DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,183.3,184.05,180.73,181.67,827468,50.45
2025-04-15,181.9,183.78,181.89,182.54,1903630,77.3
2025-04-16,182.54,192.0,182.31,190.48,2017317,59.6
2025-04-17,191.44,192.99,190.2,191.4,1264694,61.8
2025-04-21,192.05,197.28,191.85,196.82,1418236,57.77
2025-04-22,196.99,200.45,195.54,197.08,1066896,49.81
2025-04-23,199.0,202.65,195.63,202.26,2432659,56.34
2025-04-24,202.26,205.0,201.0,201.61,823746,54.74
2025-04-25,202.62,203.49,198.77,200.06,1835980,58.83
2025-04-28,200.0,203.0,197.34,201.31,1261039,68.9
2025-04-29,201.1,204.89,198.5,200.42,1001334,54.75
2025-04-30,200.15,200.85,194.0,195.87,998673,58.77
2025-05-02,195.87,197.8,194.38,195.07,515574,51.68
2025-05-05,196.45,196.49,193.83,194.91,506907,51.37
2025-05-06,195.4,196.9,187.85,188.46,1002922,59.74
2025-05-07,186.9,191.91,186.1,189.73,796704,48.19
2025-05-08,191.58,193.89,188.0,189.91,664786,64.95
2025-05-09,185.0,190.34,184.01,188.84,1085189,58.06
2025-05-12,196.7,198.0,194.32,197.6,887038,70.59
2025-05-13,197.6,203.4,197.55,202.89,1482269,61.24
2025-05-14,203.4,208.7,202.86,207.68,1237380,51.55
2025-05-15,199.0,204.0,197.0,199.53,3937914,57.58
2025-05-16,200.45,200.99,194.9,195.33,1672068,63.96
2025-05-19,195.99,203.75,195.89,202.79,2575603,45.0
2025-05-20,203.0,204.72,199.92,201.28,803285,47.85
2025-05-21,201.21,201.55,197.12,198.37,837519,52.9
2025-05-22,198.37,200.5,195.35,196.87,673938,49.35
2025-05-23,197.0,198.69,195.32,196.21,806218,53.92
2025-05-26,197.65,201.3,197.65,198.49,2101278,55.13
2025-05-27,199.38,200.49,195.9,196.37,1230649,66.21
2025-05-28,197.0,198.3,194.7,195.6,1043684,53.23
2025-05-29,197.0,198.28,195.0,196.3,889121,62.06
2025-05-30,197.0,199.02,193.85,197.91,1579157,54.9
2025-06-02,197.98,203.0,197.34,201.72,1941280,54.51
2025-06-03,202.89,204.2,197.51,197.88,1190854,53.65
2025-06-04,198.7,199.66,195.7,196.94,1084974,52.88
2025-06-05,197.1,198.5,194.51,194.97,1022961,74.76
2025-06-06,195.0,199.5,193.7,198.1,2110553,56.86
2025-06-09,199.7,205.73,199.6,203.34,2605218,60.86
2025-06-10,204.9,205.27,201.8,202.96,892001,65.63
2025-06-11,203.48,212.79,202.27,209.92,4001170,46.58
2025-06-12,210.0,211.7,205.11,207.22,1720519,54.33
2025-06-13,204.12,206.58,202.58,205.43,1066699,48.64
2025-06-16,205.8,208.2,202.8,205.66,1128508,50.14
2025-06-17,206.1,208.94,205.0,205.77,759847,51.34
2025-06-18,205.0,206.35,202.63,203.27,603526,46.64
2025-06-19,203.27,204.49,197.53,199.91,940331,53.16
2025-06-20,199.91,202.27,199.2,200.37,562965,46.59
2025-06-23,198.5,206.29,198.5,204.52,1097617,58.23
2025-06-24,205.99,210.6,205.0,205.81,1756313,60.66
2025-06-25,205.9,209.4,205.0,207.4,514613,45.73
2025-06-26,207.79,209.21,205.0,207.91,1225806,64.51
2025-06-27,209.0,209.44,206.72,207.65,1199082,67.26
2025-06-30,199.5,204.83,190.0,195.67,17800774,40.24
2025-07-01,197.51,198.49,193.5,196.77,3943909,54.24
2025-07-02,197.76,197.77,194.25,195.06,2321474,63.06
