DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-15,569.0,625.9,568.15,602.8,23809462,38.39
2026-07-16,618.0,629.2,585.1,588.7,4352403,27.76
2026-07-17,588.7,594.7,568.95,575.7,1211695,43.13
2026-07-20,570.0,572.2,555.05,565.8,1117280,34.73
2026-07-21,563.5,584.4,558.0,567.25,818641,30.78
2026-07-22,560.0,582.0,548.0,575.85,876117,38.59
2026-07-23,574.0,618.05,567.1,608.25,1996022,47.42
2026-07-24,602.3,613.3,588.75,601.35,735445,32.44
2026-07-27,609.05,623.95,573.0,575.2,1108662,40.73
2026-07-28,578.95,583.45,562.4,566.55,374541,38.6
2026-07-29,569.7,600.0,565.35,592.1,772831,41.91
2026-07-30,590.0,593.0,568.0,570.2,607183,57.94
2026-07-31,575.1,597.0,571.7,582.85,431659,39.97
2026-08-03,587.95,633.0,583.6,615.8,2180851,30.84
2026-08-04,620.6,643.8,600.05,622.05,1809484,25.42
2026-08-05,628.0,648.0,622.15,639.9,1073730,28.01
2026-08-07,653.5,656.75,636.5,640.55,447727,37.65
2026-08-10,639.1,659.5,624.9,637.05,729466,39.72
2026-08-11,640.15,657.4,604.5,635.4,1659982,17.24
2026-08-12,634.0,646.0,611.0,616.25,640856,37.54
2026-08-13,620.55,623.2,595.0,598.25,660703,49.26
2026-08-14,595.05,610.6,594.05,601.85,381572,43.5
2026-08-17,603.85,604.0,585.9,592.25,401232,44.94
2026-08-18,590.0,601.0,589.0,595.0,231690,37.25
2026-08-19,595.95,599.0,560.7,566.35,451848,56.13
2026-08-20,569.9,577.5,556.05,572.5,520667,49.19
2026-08-21,577.0,593.8,574.3,581.95,382974,43.56
2026-08-24,582.9,622.7,578.05,604.65,822274,46.25
2026-08-25,609.0,616.0,595.0,599.2,318445,55.22
2026-08-26,600.0,600.05,578.0,580.4,230393,46.73
2026-08-27,579.0,588.2,568.1,572.35,267183,44.53
2026-08-28,571.45,573.7,557.85,563.1,404494,61.49
2026-08-31,561.05,588.0,558.5,581.45,363568,40.26
2026-09-01,579.1,581.95,561.1,565.1,254968,45.55
2026-09-02,562.1,576.95,553.2,571.15,388168,50.88
