DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-14,165.9,167.0,143.0,144.93,92916431,57.38
2026-08-17,152.0,158.7,150.68,155.49,28512997,43.73
2026-08-18,160.0,164.7,158.3,160.3,29119032,37.75
2026-08-19,159.3,171.25,156.15,159.69,33309665,33.54
2026-08-20,162.78,169.8,162.5,166.66,18931621,29.79
2026-08-21,167.0,167.5,161.26,162.02,6354340,39.96
2026-08-24,160.99,163.3,156.5,159.36,5189235,43.05
2026-08-25,158.66,162.45,157.45,158.31,3568532,43.89
2026-08-26,159.5,165.18,158.6,159.65,4208271,41.82
2026-08-27,160.5,165.75,160.5,161.77,5771795,41.9
2026-08-28,162.48,169.8,161.85,168.4,8859488,43.49
2026-08-31,170.9,172.29,165.3,167.82,7393714,40.26
2026-09-01,166.75,166.75,157.55,159.47,10616983,42.86
2026-09-02,159.0,162.0,156.51,157.68,4097242,42.24
2026-09-03,158.9,160.3,151.7,152.41,4076195,49.14
2026-09-04,153.5,155.3,149.5,150.26,5589910,45.15
2026-09-07,152.0,152.55,145.45,146.28,2141218,44.58
2026-09-08,147.0,149.16,143.68,148.26,3493046,48.55
2026-09-09,149.79,149.79,143.8,144.91,1589038,51.18
2026-09-10,144.99,146.69,140.29,140.96,2862305,48.26
2026-09-11,139.9,145.0,136.0,144.34,4172766,46.64
2026-09-14,139.9,145.0,136.0,144.34,4172766,46.64
2026-09-15,145.31,145.31,132.92,134.61,3444783,44.27
2026-09-16,134.61,135.85,128.55,134.71,2218348,32.72
2026-09-17,134.25,139.0,133.78,136.31,2323727,47.41
2026-09-18,137.25,143.02,135.34,140.47,2759097,41.23
2026-09-21,144.52,147.5,141.54,145.9,4214622,36.87
2026-09-22,146.5,149.98,145.63,148.44,2591990,42.02
2026-09-23,147.8,150.86,146.25,148.62,1571060,33.83
