DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,139.4,141.78,137.16,139.75,2750869,47.58
2025-04-15,142.0,144.18,139.85,142.26,3501825,49.15
2025-04-16,143.49,144.15,139.6,141.72,2519876,42.4
2025-04-17,142.64,143.5,140.3,142.34,2170527,53.79
2025-04-21,142.74,147.75,142.74,147.31,4127829,55.55
2025-04-22,147.6,148.09,145.05,147.27,2528498,51.7
2025-04-23,147.87,147.99,143.25,146.75,3187467,46.65
2025-04-24,145.26,147.35,144.51,145.62,2297966,50.75
2025-04-25,145.99,146.63,136.61,139.47,4884179,39.24
2025-04-28,137.5,142.02,137.11,139.98,3126603,34.5
2025-04-29,141.55,143.5,138.2,139.09,1765612,44.0
2025-04-30,137.74,139.99,135.01,136.92,2147111,54.07
2025-05-02,135.5,138.64,134.51,137.75,1480697,33.03
2025-05-05,137.78,141.0,136.73,140.04,2500828,48.64
2025-05-06,140.49,141.8,133.0,133.71,2603341,50.47
2025-05-07,130.0,137.0,129.7,135.68,2425459,30.5
2025-05-08,136.69,137.7,133.26,133.66,2104574,54.01
2025-05-09,129.99,131.76,128.09,129.75,2516808,39.64
2025-05-12,138.0,138.5,136.0,138.03,2371971,37.14
2025-05-13,138.15,140.14,136.8,138.84,1494410,47.9
2025-05-14,138.6,140.9,138.56,139.38,1329902,46.24
2025-05-15,140.1,141.3,137.94,138.78,1146860,44.18
2025-05-16,139.79,141.6,139.02,140.33,1426283,53.2
2025-05-19,141.03,141.5,138.4,139.37,1108965,44.22
2025-05-20,140.1,140.44,135.42,135.78,1380020,54.31
2025-05-21,135.92,138.01,135.17,136.68,1263304,44.32
2025-05-22,137.0,137.88,135.0,135.46,1240350,61.69
2025-05-23,139.0,139.98,137.04,138.59,1842794,40.38
2025-05-26,139.64,141.4,138.51,140.12,1780762,55.61
2025-05-27,139.0,140.5,137.1,139.85,1764332,46.33
2025-05-28,140.5,143.3,138.34,141.14,3194121,52.67
2025-05-29,142.35,144.0,141.98,143.01,2637945,58.96
2025-05-30,144.18,145.8,139.0,139.33,11046658,48.72
2025-06-02,140.9,140.9,137.91,138.82,3087130,54.42
2025-06-03,139.45,140.4,138.25,138.88,2435252,55.31
2025-06-04,139.49,140.8,138.88,139.45,2968390,63.65
2025-06-05,139.95,142.5,139.6,141.32,3283409,58.53
2025-06-06,142.01,142.28,140.49,140.92,2148507,61.87
2025-06-09,141.9,142.65,141.0,141.12,1857059,52.9
2025-06-10,141.7,142.75,140.4,141.48,1836568,51.27
2025-06-11,141.6,141.96,139.25,140.35,1332847,57.08
2025-06-12,140.95,141.28,137.11,137.81,1172193,55.41
2025-06-13,135.0,139.08,134.1,138.57,1343915,41.9
2025-06-16,138.48,139.49,135.91,137.76,1411116,44.8
2025-06-17,138.5,140.2,137.76,138.17,1496822,46.01
2025-06-18,138.0,139.7,135.87,136.17,1179055,48.98
2025-06-19,135.5,136.99,133.07,133.43,1275526,49.24
2025-06-20,133.7,136.11,132.57,133.77,4647139,58.77
2025-06-23,132.6,135.48,132.6,134.8,947083,41.17
2025-06-24,140.0,140.0,134.64,136.93,2260623,42.02
2025-06-25,137.2,139.55,136.01,138.77,2523121,57.77
2025-06-26,139.89,140.39,137.17,138.18,2084397,45.18
2025-06-27,139.19,139.95,138.01,138.62,1955733,50.49
2025-06-30,138.9,141.1,138.8,140.11,2373871,55.88
2025-07-01,140.68,141.25,138.83,139.5,932575,53.39
2025-07-02,139.4,140.58,137.31,138.42,1264427,52.09
2025-07-03,138.0,139.37,137.7,137.95,1107883,49.54
2025-07-04,138.5,139.2,137.5,138.52,792120,50.88
2025-07-07,139.39,140.39,137.87,138.43,1012412,44.42
2025-07-08,138.25,147.99,138.25,146.79,15238932,35.92
2025-07-09,146.06,148.0,144.8,146.01,6122793,34.97
2025-07-10,146.01,161.0,146.01,158.11,21569113,39.15
2025-07-11,156.32,158.3,152.1,153.38,7763499,34.22
2025-07-14,152.3,154.8,150.54,152.12,2526060,35.75
2025-07-15,152.25,155.8,152.01,153.83,3164503,39.06
2025-07-16,154.0,155.6,152.45,153.82,2314150,36.63
