DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,251.62,252.29,250.38,251.52,660,93.94
2025-04-15,251.52,257.73,251.52,257.17,5753,95.41
2025-04-16,280.0,280.0,256.37,257.96,1277,41.9
2025-04-17,257.96,263.13,257.96,262.44,1015,92.51
2025-04-21,262.28,265.99,262.28,265.37,2018,95.24
2025-04-22,260.06,269.73,260.06,265.83,350,72.29
2025-04-23,267.39,268.0,265.48,267.6,2536,99.8
2025-04-24,267.46,268.0,266.88,267.0,1078,99.81
2025-04-25,267.76,268.19,262.77,264.53,39846,99.81
2025-04-28,267.06,267.89,266.96,267.59,1511,100.0
2025-04-29,267.6,269.08,266.49,267.78,8001,97.84
2025-04-30,267.78,269.1,267.44,269.0,1644,99.15
2025-05-02,270.34,271.92,267.84,268.43,2146,83.41
2025-05-05,268.45,270.3,268.43,270.1,582,97.77
2025-05-06,270.1,270.1,268.22,268.44,37813,99.43
2025-05-07,269.98,269.98,267.63,268.48,299,73.58
2025-05-08,268.49,269.14,265.55,265.67,419,78.76
2025-05-09,263.64,265.94,263.64,264.53,2839,62.52
2025-05-12,270.44,274.52,270.44,274.42,3298,98.67
2025-05-13,286.77,286.77,270.21,271.07,520,90.58
2025-05-14,272.02,273.29,270.91,271.97,1590,99.62
2025-05-15,270.91,276.05,270.68,275.53,3062,93.73
2025-05-16,275.53,275.53,274.66,275.5,906,99.78
2025-05-19,275.29,276.27,274.42,274.56,1406,99.43
2025-05-20,274.68,275.66,273.12,273.2,50190,41.13
2025-05-21,273.58,275.28,272.61,272.78,25253,99.3
2025-05-22,276.98,276.98,270.3,270.91,1372,84.4
2025-05-23,270.91,274.61,270.88,273.97,857,52.39
2025-05-26,275.33,276.38,274.81,274.93,27862,99.15
2025-05-27,277.68,277.68,272.7,273.61,20825,15.84
2025-05-28,272.73,273.4,272.3,272.43,188,98.94
2025-05-29,272.89,274.1,272.15,273.16,181,92.27
2025-05-30,268.0,274.2,259.25,272.77,760,90.26
2025-06-02,274.13,274.13,270.44,272.43,1207,78.21
2025-06-03,273.79,275.0,270.46,270.75,8526,95.3
2025-06-04,272.1,272.1,270.38,271.12,437,93.82
2025-06-05,272.23,274.37,272.23,272.7,278,88.13
2025-06-06,272.51,275.84,272.44,275.75,31631,98.83
2025-06-09,278.96,280.45,275.2,279.47,61653,52.7
2025-06-10,277.47,277.7,276.54,276.79,5789,96.39
2025-06-11,276.79,278.4,276.79,277.27,508,77.76
2025-06-12,277.71,278.3,274.03,275.13,782,63.81
2025-06-13,272.23,273.16,272.0,272.97,1864,90.45
2025-06-16,273.3,275.4,272.49,274.75,6635,99.52
2025-06-17,276.12,276.12,273.85,273.85,107,90.65
2025-06-18,275.0,275.0,273.05,273.42,200,66.0
2025-06-19,274.55,274.55,273.0,273.3,927,95.9
2025-06-20,274.66,276.5,273.97,276.35,599,56.26
2025-06-23,277.73,279.48,271.1,275.16,640,85.16
2025-06-24,278.13,278.86,276.09,277.02,1968,32.16
2025-06-25,277.54,278.75,277.54,278.44,377,80.9
