DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,999.99,1000.01,999.99,1000.0,128336,78.31
2025-04-15,999.99,1000.01,999.99,1000.0,357018,84.46
2025-04-16,999.99,1000.01,999.99,999.99,119011,63.77
2025-04-17,999.99,1000.01,999.99,999.99,168163,71.27
2025-04-21,1000.0,1000.01,999.99,1000.0,360307,79.45
2025-04-22,1000.0,1000.01,999.99,1000.0,119138,69.36
2025-04-23,1000.0,1000.01,999.99,1000.0,135154,60.39
2025-04-24,999.99,1000.01,999.99,1000.0,213116,69.3
2025-04-25,1000.01,1000.01,999.99,1000.0,165564,68.17
2025-04-28,1000.0,1000.01,999.99,999.99,137266,71.01
2025-04-29,999.99,1000.01,999.99,999.99,207757,66.26
2025-04-30,1000.0,1000.01,999.99,999.99,138436,87.99
2025-05-02,999.99,1000.01,999.99,999.99,140975,73.56
2025-05-05,999.99,1000.01,999.99,999.99,80599,53.17
2025-05-06,1000.01,1000.01,999.99,999.99,276542,83.23
2025-05-07,999.99,1000.01,999.99,1000.0,171307,61.29
2025-05-08,999.99,1000.01,999.99,999.99,83346,68.51
2025-05-09,999.99,1000.01,999.99,999.99,196097,98.43
2025-05-12,1000.0,1000.01,999.99,999.99,114252,69.14
2025-05-13,1000.01,1000.01,999.99,999.99,236948,85.63
2025-05-14,999.99,1000.01,999.99,999.99,232783,74.87
2025-05-15,1000.0,1000.01,999.99,1000.0,165032,74.21
2025-05-16,1000.0,1000.01,999.99,999.99,154320,62.75
2025-05-19,1000.01,1000.01,999.99,999.99,123333,75.82
2025-05-20,1000.0,1000.01,999.99,1000.0,292982,85.45
2025-05-21,1000.0,1000.01,999.99,999.99,224210,65.79
2025-05-22,1000.0,1000.01,999.99,999.99,114554,84.3
2025-05-23,1000.0,1000.01,999.99,999.99,118948,69.19
2025-05-26,999.99,1000.01,999.99,1000.0,238940,78.79
2025-05-27,1000.0,1000.01,999.99,999.99,188254,64.14
2025-05-28,999.99,1000.01,999.99,999.99,67345,68.0
2025-05-29,1000.0,1000.01,999.99,999.99,88234,68.21
2025-05-30,1000.0,1000.01,999.99,999.99,138478,66.68
