DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,16.91,16.91,15.2,16.44,2840,80.04
2026-08-18,16.44,17.7,16.44,16.76,26512,87.1
2026-08-19,18.43,18.43,16.0,16.25,35294,68.54
2026-08-20,16.26,17.2,16.24,17.2,7740,90.65
2026-08-21,18.2,18.2,16.0,17.0,7214,72.64
2026-08-24,15.7,17.42,15.7,16.37,21224,72.96
2026-08-25,16.29,16.64,15.05,15.89,39573,90.4
2026-08-26,16.36,16.46,15.21,15.43,9187,72.98
2026-08-27,15.6,15.93,14.51,15.63,10552,65.0
2026-08-28,15.45,15.87,15.21,15.44,7798,60.75
2026-08-31,15.37,15.6,14.55,15.45,7031,84.84
2026-09-01,15.7,15.9,15.06,15.18,3510,79.43
