DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,14900.0,15349.0,14759.15,15283.35,10213,64.63
2025-04-15,15284.0,15642.0,15081.0,15595.0,11910,47.67
2025-04-16,15690.0,15730.0,15450.0,15587.0,5485,56.97
2025-04-17,15730.0,15942.0,15547.0,15661.0,3415,37.16
2025-04-21,15750.0,16049.0,15625.0,15985.0,2475,41.41
2025-04-22,16027.0,16335.0,15885.0,16162.0,2864,52.37
2025-04-23,16200.0,16340.0,16101.0,16203.0,16431,80.67
2025-04-24,16256.0,16320.0,16102.0,16175.0,12730,91.07
2025-04-25,16116.0,16950.0,15726.0,16550.0,11367,31.65
2025-04-28,16300.0,16850.0,16300.0,16790.0,3257,40.41
2025-04-29,16723.0,16996.0,16575.0,16689.0,2401,36.53
2025-04-30,16555.0,16774.0,16201.0,16318.0,2908,50.76
2025-05-02,16390.0,16524.0,15901.0,16100.0,3417,50.42
2025-05-05,16168.0,16168.0,15932.0,15992.0,12846,90.89
2025-05-06,16040.0,16098.0,15800.0,15858.0,1998,56.06
2025-05-07,15858.0,16333.0,15752.0,16213.0,8026,50.24
2025-05-08,16294.0,16498.0,15999.0,16105.0,8621,79.47
2025-05-09,15201.0,16300.0,15201.0,16293.0,6087,37.82
2025-05-12,16500.0,17210.0,16500.0,16909.0,14728,71.53
2025-05-13,17150.0,17500.0,16908.0,17479.0,13264,73.12
2025-05-14,17390.0,18250.0,17287.0,17998.0,9962,54.85
2025-05-15,17705.0,17819.0,17401.0,17448.0,4921,52.25
2025-05-16,17640.0,17640.0,17252.0,17434.0,2808,45.69
2025-05-19,17547.0,17886.0,17244.0,17397.0,4537,47.52
2025-05-20,17397.0,17686.0,17218.0,17324.0,2178,47.02
2025-05-21,17449.0,17700.0,17311.0,17645.0,1726,54.23
2025-05-22,17700.0,17700.0,17200.0,17364.0,1685,49.14
2025-05-23,17490.0,17564.0,17311.0,17396.0,1090,57.34
2025-05-26,17520.0,17520.0,17312.0,17398.0,1071,49.11
2025-05-27,17520.0,17700.0,17288.0,17571.0,2189,60.07
2025-05-28,17650.0,17700.0,17358.0,17524.0,1808,53.48
2025-05-29,17640.0,17640.0,17350.0,17396.0,1383,63.7
2025-05-30,17396.0,17601.0,16613.0,16698.0,20200,54.36
2025-06-02,16748.0,17075.0,16564.0,16649.0,2825,44.57
2025-06-03,16700.0,16733.0,16186.0,16398.0,5469,55.73
2025-06-04,16540.0,16731.0,16300.0,16550.0,3369,47.52
2025-06-05,16748.0,16748.0,16401.0,16496.0,1881,40.88
