DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-05-26,168.99,168.99,142.06,144.34,32407,75.51
2025-05-27,146.5,147.69,138.31,140.83,16393,69.97
2025-05-28,140.51,143.51,138.01,140.15,7848,82.66
2025-05-29,139.79,144.5,138.46,140.55,5368,62.56
2025-05-30,149.0,168.66,147.0,168.66,70300,89.63
2025-06-02,180.0,189.9,166.13,168.05,460910,27.04
2025-06-03,165.5,172.7,160.05,162.06,27143,53.84
2025-06-04,166.8,186.26,157.2,162.34,235314,24.72
2025-06-05,164.4,167.0,162.94,164.42,20886,40.34
2025-06-06,164.7,164.7,158.0,158.46,31976,53.2
2025-06-09,159.01,160.47,152.36,154.99,28122,60.08
2025-06-10,154.8,158.62,152.5,153.36,13793,39.75
2025-06-11,154.9,159.0,153.4,156.05,30530,50.68
2025-06-12,157.23,158.56,144.77,149.76,55913,36.92
2025-06-13,154.9,154.9,147.31,152.51,21588,32.52
2025-06-16,151.74,153.84,147.92,150.9,16115,50.72
2025-06-17,150.9,165.9,149.3,160.64,102466,52.08
2025-06-18,160.99,163.0,156.0,160.53,31156,50.16
2025-06-19,160.53,163.0,155.25,157.25,42476,11.07
2025-06-20,157.0,161.73,153.0,156.19,19733,28.62
2025-06-23,154.0,155.41,150.25,153.39,23022,11.38
2025-06-24,156.37,156.51,152.02,153.01,9143,48.38
2025-06-25,154.71,155.94,152.62,153.2,16147,38.83
2025-06-26,153.67,158.6,152.25,154.39,38022,7.66
2025-06-27,155.66,162.45,153.06,155.1,29017,31.22
2025-06-30,155.15,162.99,154.09,156.61,49343,11.56
2025-07-01,157.75,178.9,156.15,174.29,251844,27.77
2025-07-02,174.34,175.31,167.0,170.32,92033,32.98
2025-07-03,174.0,174.0,166.02,167.97,23189,32.23
2025-07-04,166.5,169.65,161.01,164.09,20357,41.11
2025-07-07,166.0,169.47,159.98,161.92,18512,55.01
2025-07-08,162.81,167.56,160.82,161.88,11932,29.32
2025-07-09,162.27,170.45,161.52,165.5,76688,73.17
2025-07-10,165.81,172.7,165.81,169.34,30583,52.42
2025-07-11,171.5,171.5,165.1,166.45,127208,96.12
2025-07-14,167.46,174.8,163.0,169.69,38181,53.19
2025-07-15,174.7,174.7,170.25,172.16,47529,84.85
2025-07-16,173.52,173.82,170.82,172.81,11927,77.59
2025-07-17,174.5,181.0,172.0,179.6,40458,76.17
2025-07-18,181.81,182.7,174.73,180.72,80459,49.11
2025-07-21,181.5,196.9,180.99,190.48,706341,84.11
2025-07-22,228.57,228.57,222.19,228.57,1037969,44.92
2025-07-23,234.55,241.99,218.35,224.14,1170688,38.81
2025-07-24,226.99,238.79,218.6,221.22,342269,53.5
2025-10-27,229.0,229.0,221.13,224.86,94110,62.54
2025-10-28,226.5,226.5,216.85,220.36,40004,74.12
2025-10-29,225.0,225.0,200.25,217.21,95343,71.27
2025-10-30,212.3,216.97,208.01,209.26,59154,57.52
2025-10-31,214.7,214.7,205.0,206.21,21366,51.44
2025-11-03,207.0,216.0,206.29,214.33,54111,49.84
2025-11-04,217.5,224.75,214.5,223.47,119066,60.88
2025-11-05,217.5,224.75,214.5,223.47,119066,60.88
2025-11-06,224.99,226.0,215.2,217.7,44113,61.87
2025-11-07,220.0,222.89,212.77,219.37,43039,57.87
2025-11-10,224.4,224.4,216.35,222.3,48560,72.01
2025-11-11,225.65,229.49,187.65,197.85,440909,37.61
2025-11-12,200.0,205.0,192.0,199.04,68830,45.2
2025-11-13,199.01,199.01,180.1,184.56,98543,47.21
2025-11-14,184.0,186.99,177.6,181.64,43897,50.49
2025-11-17,184.16,185.98,180.22,181.72,39712,49.82
2025-11-18,182.0,186.39,181.64,184.04,30387,52.59
2025-11-19,185.41,185.41,180.05,181.55,20297,67.83
2025-11-20,184.99,184.99,176.27,177.53,25982,60.08
2025-11-21,177.5,184.9,174.99,181.54,13295,55.02
2025-11-24,184.9,184.9,173.0,174.66,21705,50.38
2025-11-25,170.22,181.0,170.22,179.69,13973,39.77
2025-11-26,179.69,182.34,176.03,178.68,8891,54.39
2025-11-27,184.9,184.9,179.0,179.35,7424,64.55
2025-11-28,181.35,186.25,175.52,184.61,17599,56.71
2025-12-01,188.0,188.0,180.0,181.27,8879,67.72
2025-12-02,180.08,188.9,177.65,183.83,16707,51.18
2025-12-03,183.0,185.63,174.8,177.63,20252,69.37
2025-12-04,177.0,181.99,177.0,180.24,9922,56.18
2025-12-05,181.0,181.76,174.0,175.74,7609,58.14
2025-12-08,179.47,179.47,166.0,169.05,14993,66.56
2025-12-09,166.1,175.17,166.1,174.31,11155,58.14
2025-12-10,175.95,176.67,172.1,172.68,5272,54.95
2025-12-11,174.7,179.0,172.48,175.98,4385,59.5
2025-12-12,179.81,180.0,173.67,174.19,4051,54.83
2025-12-15,174.19,183.16,173.75,179.56,9456,59.73
2025-12-16,180.76,181.15,178.57,179.79,5787,85.69
2025-12-17,181.8,181.8,171.04,173.46,15087,58.47
2025-12-18,173.46,177.46,170.11,172.08,9255,54.34
2025-12-19,173.32,181.0,172.08,176.07,5216,62.1
2025-12-22,175.1,177.54,171.0,174.15,14599,52.87
2025-12-23,174.5,178.0,172.3,175.44,10941,60.82
2025-12-24,177.81,179.0,170.75,173.15,26786,42.95
2025-12-25,177.81,179.0,170.75,173.15,26786,42.95
2025-12-26,173.5,173.5,166.37,168.54,18511,65.37
2025-12-29,168.54,171.0,166.5,169.94,12021,48.03
2025-12-30,168.1,170.84,168.1,169.14,4770,48.66
2025-12-31,168.01,171.5,167.11,170.02,6995,64.46
2026-01-01,170.04,171.56,165.1,166.91,8260,61.57
2026-01-02,168.33,170.98,161.48,163.11,39240,50.71
2026-01-05,169.9,169.9,162.0,163.02,11583,39.84
2026-01-06,163.1,165.59,162.0,163.84,12150,72.45
2026-01-07,160.0,165.32,160.0,164.4,6061,63.36
2026-01-08,166.0,166.4,164.0,165.26,10259,68.07
2026-01-09,164.69,164.69,160.0,160.31,12394,27.89
2026-01-12,161.39,162.7,152.31,155.51,38168,42.28
2026-01-13,155.5,159.0,153.8,155.63,8593,25.18
2026-01-14,155.63,159.5,153.61,155.57,13129,53.33
2026-01-15,155.63,159.5,153.61,155.57,13129,53.33
2026-01-16,153.6,158.6,153.6,155.48,11039,65.57
2026-01-19,158.05,158.5,153.0,153.05,17160,46.41
2026-01-20,154.86,156.97,146.42,149.17,20229,44.9
2026-01-21,150.85,153.73,138.02,141.03,27611,53.93
2026-01-22,139.0,146.0,139.0,144.11,13857,28.09
2026-01-23,144.74,145.52,139.02,140.56,10131,77.24
2026-01-26,144.74,145.52,139.02,140.56,10131,77.24
2026-01-27,140.56,145.9,137.01,142.48,6797,30.62
2026-01-28,138.15,149.0,138.15,146.34,7664,31.93
2026-01-29,149.0,149.0,138.5,140.45,10293,62.35
2026-01-30,143.3,147.58,140.92,142.14,9298,57.23
2026-02-02,140.92,141.56,130.9,134.56,16803,67.1
2026-02-03,140.0,152.0,139.68,145.95,17926,47.51
2026-02-04,150.99,151.88,141.21,143.99,21121,47.37
2026-02-05,145.0,163.99,142.8,155.81,111962,50.48
2026-02-06,154.25,157.34,152.42,154.33,11779,46.41
2026-02-09,156.0,161.0,150.4,154.05,25385,49.77
2026-02-10,155.0,155.2,142.1,143.58,53756,62.16
2026-02-11,143.85,147.29,138.01,139.84,23767,64.98
2026-02-12,144.0,144.0,138.5,140.68,14085,52.06
2026-02-13,140.32,141.54,136.21,138.12,15597,45.82
2026-02-16,136.44,137.98,134.77,135.13,14987,67.24
2026-02-17,136.1,138.58,128.22,130.38,36639,65.01
2026-02-18,130.66,131.99,128.0,130.16,16527,52.76
2026-02-19,129.25,130.87,125.5,126.92,11517,68.73
2026-02-20,124.19,126.9,120.5,122.11,42445,67.08
