DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-08-06,178.0,195.8,176.7,195.67,91822808,32.29
2025-08-07,192.8,204.35,190.33,197.8,35917913,17.97
2025-08-08,195.0,217.58,192.7,209.77,43861781,18.69
2025-08-11,209.79,218.49,200.4,202.08,11852409,29.42
2025-08-12,203.0,206.5,194.2,196.6,6018286,33.55
2025-08-13,198.0,204.79,193.61,195.03,7119543,22.93
2025-08-14,195.2,198.3,185.75,187.54,3871069,35.15
2025-08-18,191.4,192.47,180.35,183.04,4129003,41.2
2025-08-19,183.5,193.0,183.5,186.2,4191162,28.92
2025-08-20,186.8,189.29,185.33,187.03,2314498,36.42
2025-08-21,188.9,195.8,188.8,192.09,3404332,34.1
2025-08-22,194.0,196.4,190.5,191.81,1990056,34.7
2025-08-25,192.79,194.0,186.0,188.03,1865846,43.22
2025-08-26,188.0,193.95,184.5,188.47,3122924,27.01
2025-08-28,180.5,187.4,175.2,180.03,6451271,30.3
2025-08-29,181.83,184.89,179.51,181.11,1455813,29.1
2025-09-01,183.2,183.2,180.11,181.46,1011041,36.17
2025-09-02,182.0,183.4,178.85,179.58,1153725,34.52
2025-09-03,178.0,186.4,173.5,183.57,3983752,40.5
2025-09-04,187.79,190.35,182.01,182.76,2273055,40.25
2025-09-05,183.04,185.66,181.0,183.93,943638,32.11
2025-09-08,184.99,184.99,182.2,182.93,538116,37.0
2025-09-09,182.2,183.34,178.6,180.13,697635,48.53
2025-09-10,182.1,188.55,181.01,185.79,2406115,29.88
2025-09-11,185.0,185.94,176.51,178.33,1511316,62.64
2025-09-12,179.95,185.0,175.92,184.41,2882045,41.07
2025-09-15,185.0,186.75,182.66,183.98,1088162,39.29
2025-09-16,183.77,185.85,181.6,183.26,975260,39.22
2025-09-17,182.8,183.69,180.7,181.56,1179186,48.72
2025-09-18,182.0,191.9,181.69,189.24,4941614,36.09
2025-09-19,188.36,193.9,188.06,192.23,3026365,36.08
2025-09-22,192.85,192.89,187.37,188.3,1467883,41.53
2025-09-23,188.3,189.5,184.1,185.39,1086524,47.48
2025-09-24,192.0,200.69,190.0,194.94,14788118,26.69
2025-09-25,195.0,204.0,194.11,197.83,8124098,28.86
2025-09-26,198.4,199.9,192.56,193.6,3988381,30.65
2025-09-29,195.0,195.54,188.5,191.82,2081124,36.29
2025-09-30,191.98,194.39,187.25,189.07,1939618,36.58
2025-10-01,192.24,195.58,190.51,191.34,2545198,27.98
2025-10-03,192.0,194.5,189.05,190.08,1984737,34.3
2025-10-06,190.1,190.88,185.3,187.67,1539715,46.38
2025-10-07,188.0,189.0,185.3,186.5,980801,34.68
2025-10-08,186.0,187.25,183.15,184.37,901996,44.6
2025-10-09,184.9,186.8,183.8,184.78,786107,32.9
2025-10-10,185.09,187.4,184.65,185.56,669997,36.25
2025-10-13,185.11,185.43,182.95,183.19,585652,46.42
2025-10-14,183.38,184.4,180.02,180.69,896976,48.68
2025-10-15,181.0,184.4,180.9,182.51,673082,41.67
2025-10-16,182.69,184.4,181.5,182.27,553372,42.55
2025-10-17,183.0,183.64,179.0,179.57,803830,53.19
2025-10-20,180.0,188.39,179.37,185.04,1322286,35.73
2025-10-21,186.8,193.5,186.01,190.59,1598878,40.23
2025-10-22,186.8,193.5,186.01,190.59,1598878,40.23
2025-10-23,191.48,191.75,186.05,187.09,696861,45.7
2025-10-24,187.88,187.88,184.16,185.3,438286,52.33
2025-10-27,185.3,185.92,183.5,183.93,390274,53.83
2025-10-28,184.45,186.93,183.25,184.38,399339,40.1
2025-10-29,184.52,186.89,183.0,183.69,745524,43.61
2025-10-30,184.9,190.49,182.0,183.8,1217963,29.72
2025-10-31,185.0,185.48,182.0,182.22,427253,52.73
2025-11-03,182.0,182.01,176.8,177.17,1296002,66.67
2025-11-04,177.23,179.0,176.9,177.82,691575,57.66
2025-11-05,177.23,179.0,176.9,177.82,691575,57.66
2025-11-06,178.8,178.8,172.5,173.4,752252,54.53
2025-11-07,173.4,177.0,172.1,175.17,906870,36.91
2025-11-10,176.0,177.0,171.96,175.66,939568,48.02
2025-11-11,175.66,176.5,171.05,172.0,870630,47.12
2025-11-12,172.4,173.89,170.5,170.84,595949,54.01
2025-11-13,172.75,175.0,170.16,170.67,928459,39.69
2025-11-14,172.0,177.0,171.0,173.35,1456907,53.17
2025-11-17,174.82,174.99,170.98,171.43,518872,56.2
2025-11-18,171.49,172.5,170.76,171.05,284069,54.39
2025-11-19,171.0,171.66,168.5,169.15,1033899,79.7
2025-11-20,170.43,177.52,169.64,170.92,796039,45.57
2025-11-21,171.0,172.9,169.85,170.03,445054,42.98
2025-11-24,170.15,172.11,166.0,167.48,508098,39.68
2025-11-25,168.0,171.98,166.98,170.19,611849,34.93
2025-11-26,170.55,170.99,168.98,169.42,232026,53.43
2025-11-27,170.9,171.46,168.25,168.82,178088,51.12
2025-11-28,168.83,169.62,167.5,167.9,220313,59.39
2025-12-01,168.9,169.28,165.0,165.83,313441,59.34
2025-12-02,166.0,171.5,165.5,166.47,1011539,31.98
2025-12-03,166.0,166.87,162.62,163.46,331571,55.1
2025-12-04,163.46,163.75,156.52,156.96,652415,52.69
2025-12-05,157.99,157.99,153.3,154.06,381679,49.15
2025-12-08,157.29,157.68,153.3,156.88,573978,37.49
2025-12-09,153.6,159.8,151.98,158.06,947927,43.34
2025-12-10,159.31,160.99,157.5,159.77,399509,34.67
2025-12-11,159.77,164.01,158.0,160.23,635787,41.46
2025-12-12,160.8,161.8,155.5,156.57,415843,54.71
2025-12-15,155.0,155.79,153.0,153.61,437856,59.38
2025-12-16,154.95,157.0,153.89,156.33,320838,47.83
2025-12-17,155.6,156.39,152.5,152.92,289155,64.97
2025-12-18,152.9,152.9,150.5,150.96,264300,58.17
2025-12-19,153.99,156.0,152.01,154.93,243329,54.52
2025-12-22,156.0,158.0,152.16,155.01,339672,51.11
2025-12-23,154.17,157.1,153.02,156.18,399636,53.79
2025-12-24,158.4,162.26,155.65,156.29,3466586,49.34
2025-12-25,158.4,162.26,155.65,156.29,3466586,49.34
2025-12-26,157.24,158.43,154.51,157.28,478123,51.79
2025-12-29,158.0,162.0,157.5,160.44,731029,50.1
2025-12-30,160.7,161.5,158.61,159.82,339516,49.77
2025-12-31,159.25,162.0,155.65,159.31,1176244,26.37
2026-01-01,158.45,161.21,157.89,159.36,274277,51.12
2026-01-02,160.0,167.0,159.01,166.36,1043986,46.86
2026-01-05,166.01,170.7,160.07,161.7,1606849,40.19
2026-01-06,162.09,162.55,160.0,160.67,362733,49.6
2026-01-07,160.25,171.29,158.32,168.57,2122254,25.65
2026-01-08,171.8,178.61,158.05,159.17,5054346,36.19
2026-01-09,160.3,160.9,156.05,157.03,1020920,41.45
2026-01-12,158.45,158.46,152.51,154.34,935531,40.94
2026-01-13,154.49,157.4,151.1,151.83,757635,56.23
2026-01-14,153.0,153.79,150.5,150.92,603943,50.5
2026-01-15,153.0,153.79,150.5,150.92,603943,50.5
2026-01-16,151.0,152.9,148.31,151.64,986081,47.3
2026-01-19,152.0,156.52,151.5,152.78,664024,45.3
2026-01-20,152.99,152.99,144.84,145.76,658424,50.32
2026-01-21,142.8,146.32,137.6,138.32,2579550,41.11
2026-01-22,143.0,144.37,140.77,143.2,694642,48.76
2026-01-23,146.0,157.52,144.81,152.5,5500836,31.18
2026-01-26,146.0,157.52,144.81,152.5,5500836,31.18
2026-01-27,152.71,153.87,146.5,147.56,799836,48.34
2026-01-28,147.56,160.5,147.55,157.38,3473685,35.48
2026-01-29,156.8,156.8,147.0,148.38,1114956,61.73
2026-01-30,147.9,151.88,146.63,149.94,432542,37.59
2026-02-02,149.0,149.57,145.01,147.6,405268,36.79
2026-02-03,155.99,155.99,149.7,150.86,405018,47.08
2026-02-04,151.0,154.25,150.0,152.34,411061,33.29
2026-02-05,153.0,153.0,143.45,146.57,1499308,67.89
2026-02-06,146.57,149.39,144.12,146.76,845542,56.34
2026-02-09,149.7,152.0,147.52,149.69,3230139,33.1
2026-02-10,151.0,151.58,146.75,148.18,1140125,57.32
2026-02-11,149.0,149.4,146.5,147.13,682425,42.58
2026-02-12,147.13,153.1,146.12,151.57,1575786,44.14
2026-02-13,150.9,150.9,143.55,144.16,1824842,61.31
2026-02-16,146.0,146.0,141.1,141.57,1083579,52.63
2026-02-17,142.0,146.3,140.92,144.63,829002,56.19
2026-02-18,145.0,147.74,144.0,145.97,612780,51.67
2026-02-19,146.0,147.1,143.0,145.19,585134,53.1
2026-02-20,142.8,145.9,138.48,139.89,2463634,61.94
2026-02-23,143.95,153.0,143.94,145.84,3259910,42.26
2026-02-24,145.84,146.18,140.29,141.05,864319,57.69
2026-02-25,141.55,144.58,139.35,142.22,1235864,46.18
2026-02-26,143.99,147.68,142.2,143.38,1987425,73.88
2026-02-27,142.8,144.85,140.95,141.26,736691,61.17
2026-03-02,136.99,138.49,130.6,132.58,974907,50.18
2026-03-03,136.99,138.49,130.6,132.58,974907,50.18
2026-03-04,129.44,130.84,126.0,126.59,1163358,59.51
2026-03-05,129.0,129.06,122.41,126.58,1300633,40.75
2026-03-06,125.06,128.4,120.62,121.19,2095700,45.69
2026-03-09,119.0,120.23,112.49,119.64,1381849,34.96
2026-03-10,122.09,128.6,118.81,128.35,3359896,44.88
2026-03-11,129.79,141.18,128.26,134.15,13606118,30.52
2026-03-12,130.1,130.4,123.56,124.12,2940724,34.77
2026-03-13,124.69,125.76,116.62,119.46,3866764,41.17
2026-03-16,120.7,121.4,115.5,118.17,1033644,27.71
2026-03-17,118.17,121.1,117.38,120.0,1080225,48.53
2026-03-18,121.0,124.51,120.3,123.28,1391066,57.96
2026-03-19,120.0,120.97,116.15,116.78,803491,53.56
2026-03-20,118.01,119.61,113.11,114.58,2238717,74.46
2026-03-23,112.55,115.41,107.0,107.67,3596447,47.83
2026-03-24,111.8,111.8,107.3,109.52,1772053,49.47
2026-03-25,110.6,115.9,110.6,113.35,2019054,43.31
2026-03-26,110.6,115.9,110.6,113.35,2019054,43.31
2026-03-27,113.0,113.34,107.9,109.59,4216378,50.25
2026-03-30,108.25,110.43,102.2,102.84,2085643,49.61
2026-03-31,108.25,110.43,102.2,102.84,2085643,49.61
2026-04-01,105.99,113.12,105.92,112.55,1864781,46.18
2026-04-02,109.55,114.8,107.4,113.78,769525,31.43
2026-04-03,109.55,114.8,107.4,113.78,769525,31.43
2026-04-06,113.1,125.15,110.12,120.03,2297559,48.88
2026-04-07,124.0,127.5,121.76,126.24,2061443,30.52
2026-04-08,130.9,138.5,129.12,135.89,2137805,48.59
2026-04-09,141.9,141.9,133.88,134.52,1133682,42.08
2026-04-10,136.0,140.8,132.5,139.06,1495142,62.71
2026-04-13,132.11,141.0,132.11,139.34,1278864,41.04
2026-04-14,132.11,141.0,132.11,139.34,1278864,41.04
2026-04-15,142.97,145.94,142.01,142.99,1130080,62.39
2026-04-16,145.45,146.0,141.2,142.77,787578,58.67
2026-04-17,143.5,144.13,138.11,139.93,797959,65.48
2026-04-20,141.38,146.92,137.5,145.28,1636454,69.7
2026-04-21,146.9,149.0,143.44,146.13,1116661,49.09
2026-04-22,146.01,148.5,145.63,146.47,431794,53.76
2026-04-23,144.61,146.32,140.5,142.04,487111,59.38
2026-04-24,141.8,145.83,141.06,144.81,649087,50.9
2026-04-27,144.8,149.5,144.32,147.74,907387,53.69
2026-04-28,148.0,149.08,145.74,147.29,778334,54.53
2026-04-29,148.85,148.98,145.8,146.38,608975,50.66
2026-04-30,146.38,146.86,142.57,143.12,355144,58.65
2026-05-01,146.38,146.86,142.57,143.12,355144,58.65
2026-05-04,143.5,146.22,141.25,142.45,417051,47.41
2026-05-05,142.0,143.77,137.0,138.38,899803,55.02
2026-05-06,141.0,145.29,138.11,143.76,1574660,67.69
2026-05-07,144.96,148.5,144.74,147.19,1003972,48.52
2026-05-08,148.0,148.65,144.79,146.83,621067,49.87
2026-05-11,146.0,149.83,142.8,146.05,1418441,55.8
2026-05-12,146.49,147.28,141.31,142.42,726101,55.69
2026-05-13,140.9,148.3,136.95,141.91,1180355,38.98
2026-05-14,144.0,144.0,139.6,140.1,490051,58.16
2026-05-15,141.0,141.8,138.28,138.9,293313,47.75
2026-05-18,138.9,140.9,135.34,138.33,512325,47.94
2026-05-19,140.99,140.99,138.0,138.67,177797,42.77
2026-05-20,138.0,138.67,136.65,137.06,163458,60.18
2026-05-21,139.09,142.25,137.98,141.18,360512,39.76
2026-05-22,140.5,142.0,138.32,138.89,282431,52.13
2026-05-25,141.8,142.89,139.12,141.18,353139,54.58
2026-05-26,141.7,143.0,138.9,139.3,203770,43.41
2026-05-27,139.3,140.94,136.0,136.25,766115,57.51
2026-05-28,139.3,140.94,136.0,136.25,766115,57.51
2026-05-29,136.31,139.8,136.31,137.88,382446,55.84
2026-06-01,137.88,140.46,137.2,139.16,390129,56.35
2026-06-02,137.0,140.9,136.54,139.36,221768,54.6
