DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,350.5,356.7,333.0,354.35,3522923,21.57
2025-04-15,356.7,363.4,354.25,360.5,834614,38.0
2025-04-16,360.5,364.35,350.2,351.35,490902,47.48
2025-04-17,350.2,361.0,350.0,357.25,723388,37.73
2025-04-21,360.0,362.9,347.05,357.4,1024151,41.45
2025-04-22,357.4,367.75,357.4,361.2,860246,39.62
2025-04-23,365.85,374.95,361.75,368.15,667323,45.28
2025-04-24,368.0,374.35,362.35,364.5,511541,37.79
2025-04-25,365.0,369.25,348.55,355.25,743832,32.77
2025-04-28,353.0,359.25,351.9,355.5,369583,40.94
2025-04-29,356.05,358.3,350.15,352.4,237528,45.98
2025-04-30,352.4,359.8,344.55,346.55,732011,48.8
2025-05-02,345.05,354.0,337.3,341.55,556387,37.31
2025-05-05,344.0,347.7,339.2,344.65,580717,55.35
2025-05-06,346.0,349.5,333.0,334.85,339639,54.82
2025-05-07,332.0,352.9,330.0,351.0,725652,51.08
2025-05-08,351.45,359.45,345.6,348.9,442988,42.62
2025-05-09,336.2,363.3,335.15,359.55,1662513,34.32
2025-05-12,366.0,370.7,361.6,366.55,536044,46.81
2025-05-13,363.3,372.0,361.2,370.2,421804,44.19
2025-05-14,374.15,375.5,365.8,368.75,397263,48.19
2025-05-15,370.0,371.35,362.0,363.25,479698,55.76
2025-05-16,375.0,383.8,366.1,370.85,1943285,23.7
2025-05-19,373.75,389.45,372.15,384.15,1038449,44.33
2025-05-20,387.2,387.6,375.4,377.3,672523,50.07
2025-05-21,377.0,403.0,375.3,398.15,2270883,34.37
2025-05-22,399.35,410.15,397.55,402.25,1306550,39.4
2025-05-23,402.8,424.0,398.4,413.15,2769305,31.42
2025-05-26,415.15,423.8,414.25,421.2,1397658,39.2
2025-05-27,420.9,420.95,410.4,412.4,439261,46.78
2025-05-28,413.0,425.0,407.7,422.4,1044226,41.39
2025-05-29,425.0,427.0,418.3,423.95,473703,43.71
2025-05-30,424.9,441.85,420.0,439.9,1878828,42.13
2025-06-02,439.9,459.7,438.05,445.9,1696003,33.13
2025-06-03,445.0,449.0,429.1,446.05,1254116,31.08
2025-06-04,446.7,448.95,440.5,443.1,432735,40.03
2025-06-05,447.0,464.95,445.3,456.55,1576693,41.14
2025-06-06,462.0,483.95,459.2,477.35,3116359,23.41
2025-06-09,482.6,484.0,469.0,471.4,722738,38.34
2025-06-10,474.0,474.5,460.2,468.8,704214,35.09
2025-06-11,469.5,479.05,462.65,465.75,721256,36.89
2025-06-12,466.6,471.35,460.5,463.95,387882,42.8
2025-06-13,451.0,463.8,445.2,458.8,518977,35.39
2025-06-16,454.0,461.0,444.5,451.0,698392,47.03
2025-06-17,451.0,457.85,440.3,441.95,563905,41.98
2025-06-18,441.9,447.75,435.65,437.95,329123,38.83
2025-06-19,438.0,442.2,420.15,424.7,583405,48.04
2025-06-20,423.15,443.9,423.15,432.85,2432600,52.48
2025-06-23,420.0,421.2,389.2,405.6,4894648,24.47
2025-06-24,415.0,448.8,402.25,441.7,11285102,13.2
2025-06-25,441.7,451.35,432.1,448.9,2446551,20.89
2025-06-26,448.8,455.0,439.05,441.4,1035184,28.77
2025-06-27,442.7,498.7,441.3,483.25,6801972,22.97
2025-06-30,483.3,491.4,477.75,486.45,2534433,32.8
2025-07-01,485.0,485.95,465.9,475.95,1649334,33.87
2025-07-02,476.95,500.0,475.3,494.75,2247461,30.63
2025-07-03,497.0,508.9,493.3,499.55,3423372,20.27
2025-07-04,500.7,502.35,482.0,487.35,1133837,31.55
2025-07-07,489.0,491.55,478.0,485.3,876617,36.59
2025-07-08,484.0,491.0,479.5,481.9,761374,33.75
2025-07-09,483.45,497.7,476.8,493.95,1253122,26.05
2025-07-10,498.0,506.1,490.85,496.05,883673,25.69
2025-07-11,490.0,498.75,482.45,484.5,699167,39.28
2025-07-14,487.85,491.9,478.5,481.75,544539,46.22
2025-07-15,481.75,499.9,480.4,491.2,1411907,33.94
2025-07-16,490.0,505.0,490.0,502.2,1618740,29.36
2025-07-17,506.2,518.55,502.5,509.05,2468246,33.03
2025-07-18,510.95,513.0,500.9,503.6,966248,34.24
2025-07-21,504.0,504.95,492.8,502.45,659825,36.61
2025-07-22,504.9,510.85,495.65,497.35,504786,40.92
2025-07-23,498.3,501.2,485.1,487.7,658353,45.28
2025-07-24,490.0,494.65,480.6,490.7,1160192,22.74
2025-07-25,492.85,499.6,482.05,488.25,938921,35.39
2025-07-28,488.05,494.8,477.0,480.6,677536,44.33
2025-07-29,479.8,503.9,478.85,500.7,909515,40.77
2025-07-30,500.0,507.8,496.5,501.05,641544,43.62
2025-07-31,482.0,497.65,481.8,486.45,868110,39.37
2025-08-01,485.5,490.05,471.2,477.0,739168,40.73
2025-08-04,479.3,487.7,473.15,485.75,487320,37.83
2025-08-05,485.75,487.75,471.75,474.35,574914,45.6
2025-08-06,474.35,480.45,459.0,468.15,726693,48.85
2025-08-07,461.0,466.85,451.75,461.2,711306,41.62
2025-08-08,459.0,461.3,450.15,455.0,863243,42.29
2025-08-11,451.25,470.1,440.0,467.6,948318,42.19
2025-08-12,465.6,468.0,455.35,456.65,527269,49.65
2025-08-13,460.3,463.55,454.4,459.1,400998,41.75
2025-08-14,462.0,462.9,444.05,445.75,436975,45.88
2025-08-18,450.95,453.95,443.15,446.25,570837,43.67
2025-08-19,446.75,457.0,446.3,454.45,533514,42.68
2025-08-20,457.0,457.15,448.85,454.5,397071,48.33
2025-08-21,455.05,458.5,447.65,448.85,404484,46.98
2025-08-22,448.85,452.1,430.25,433.6,726704,52.4
2025-08-25,433.6,439.2,426.05,428.25,565840,51.72
2025-08-26,425.0,443.15,424.7,437.55,2014409,36.81
2025-08-28,437.6,438.5,422.0,426.1,884376,47.73
2025-08-29,426.2,430.2,420.0,421.35,573771,53.38
2025-09-01,422.0,435.25,421.35,432.0,502460,51.25
2025-09-02,435.0,441.05,431.3,436.7,312409,51.87
2025-09-03,437.9,451.0,436.75,449.4,913161,56.18
2025-09-04,455.0,460.0,437.2,440.75,800894,58.8
2025-09-05,440.5,444.8,438.0,443.1,399504,49.06
2025-09-08,443.55,449.0,438.95,444.95,470865,60.37
2025-09-09,446.8,447.9,438.1,440.1,280022,53.47
2025-09-10,442.95,455.0,441.6,453.4,939096,48.92
2025-09-11,453.45,468.0,453.1,463.2,1168941,43.18
2025-09-12,462.65,466.0,457.7,462.8,750449,55.65
2025-09-15,461.8,465.0,454.0,459.9,666815,67.12
2025-09-16,461.9,462.65,457.45,458.3,331922,60.5
2025-09-17,461.0,467.0,459.45,462.05,338773,43.29
2025-09-18,465.0,467.8,460.0,464.2,328800,57.95
2025-09-19,465.0,480.0,462.65,472.75,1555710,46.09
2025-09-22,472.6,473.3,452.3,456.65,902803,56.11
2025-09-23,459.0,459.0,421.6,429.9,2373426,44.84
2025-09-24,433.95,433.95,421.0,432.25,998864,37.75
2025-09-25,432.45,432.55,422.55,425.65,600010,49.09
2025-09-26,423.7,424.75,412.0,415.75,699444,51.0
2025-09-29,417.75,418.0,402.5,404.3,819502,55.51
2025-09-30,404.95,415.4,398.0,405.6,989046,47.96
2025-10-01,407.6,409.0,399.15,401.3,1197407,61.79
