DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,10646.0,10700.0,10400.0,10448.3,6369,54.95
2025-04-15,10798.0,10939.0,10592.0,10743.0,6718,47.81
2025-04-16,10672.0,11171.0,10672.0,11129.0,8681,53.69
2025-04-17,11125.0,11149.0,11017.0,11118.0,5692,69.55
2025-04-21,11118.0,11481.0,11000.0,11343.0,7846,37.66
2025-04-22,11380.0,11480.0,11217.0,11435.0,4891,48.35
2025-04-23,11489.0,12774.0,11395.0,11660.0,51838,23.49
2025-04-24,11785.0,12120.0,11600.0,11660.0,14037,26.0
2025-04-25,11753.0,11805.0,11181.0,11637.0,16593,46.81
2025-04-28,11637.0,11637.0,11350.0,11379.0,5821,46.14
2025-04-29,11381.0,11900.0,11381.0,11761.0,7494,44.73
2025-04-30,11793.0,11793.0,11410.0,11475.0,10626,55.48
2025-05-02,11350.0,11539.0,11350.0,11474.0,6505,61.89
2025-05-05,11510.0,11649.0,11306.0,11457.0,3743,44.4
2025-05-06,11401.0,11451.0,11017.0,11059.0,4680,54.68
2025-05-07,11056.0,11300.0,10792.0,11269.0,7426,40.61
2025-05-08,11291.0,11330.0,10750.0,10828.0,2769,52.29
2025-05-09,10501.0,10912.0,10500.0,10799.0,4370,44.51
2025-05-12,11040.0,11389.0,10900.0,11344.0,4396,46.61
2025-05-13,11312.0,11599.0,11206.0,11536.0,5536,60.96
2025-05-14,11558.0,11825.0,11421.0,11707.0,7328,62.53
2025-05-15,11800.0,12448.0,11700.0,12330.0,38134,65.97
2025-05-16,12448.0,12640.0,12199.0,12572.0,24980,63.47
2025-05-19,12700.0,13900.0,12640.0,13755.0,64194,52.63
2025-05-20,13760.0,13825.0,13530.0,13556.0,16564,49.41
2025-05-21,13593.0,13790.0,13100.0,13713.0,12778,58.08
2025-05-22,13669.0,13669.0,12864.0,13005.0,12585,50.08
2025-05-23,13109.0,13602.0,13007.0,13455.0,16675,42.4
2025-05-26,13469.0,14170.0,13404.0,13888.0,20101,51.02
2025-05-27,13890.0,13910.0,13650.0,13885.0,6936,56.96
2025-05-28,13999.0,13999.0,13202.0,13266.0,7618,54.02
2025-05-29,13364.0,13409.0,13049.0,13177.0,5025,44.28
2025-05-30,13259.0,13469.0,12933.0,13376.0,13064,42.12
2025-06-02,13459.0,13850.0,13291.0,13715.0,7804,47.33
2025-06-03,13715.0,13868.0,13307.0,13423.0,6653,44.19
2025-06-04,13400.0,13590.0,13320.0,13391.0,6527,53.78
2025-06-05,13457.0,13798.0,13340.0,13542.0,10662,27.71
2025-06-06,13600.0,14482.0,13369.0,14303.0,49876,50.35
2025-06-09,14349.0,14745.0,14162.0,14463.0,13990,44.4
2025-06-10,14500.0,14679.0,14373.0,14487.0,8038,52.15
2025-06-11,14566.0,14820.0,14402.0,14711.0,10030,41.8
2025-06-12,14650.0,14784.0,14022.0,14217.0,8185,43.8
2025-06-13,13900.0,14600.0,13900.0,14515.0,10391,36.69
2025-06-16,14532.0,15326.0,14506.0,15135.0,33946,53.55
2025-06-17,15450.0,15450.0,14500.0,14548.0,14571,43.41
2025-06-18,14602.0,14720.0,14111.0,14219.0,9269,40.78
2025-06-19,14244.0,14504.0,13656.0,13800.0,8476,35.71
2025-06-20,13836.0,14070.0,13758.0,13875.0,4268,33.86
2025-06-23,13875.0,13900.0,13486.0,13640.0,5544,45.8
2025-06-24,13820.0,14209.0,13781.0,14084.0,9835,45.78
2025-06-25,14200.0,14233.0,13800.0,13945.0,5756,45.01
2025-06-26,14045.0,14351.0,13851.0,14193.0,9945,50.76
2025-06-27,14252.0,14293.0,13900.0,14142.0,8366,45.67
2025-06-30,14199.0,14690.0,14171.0,14498.0,10594,50.94
2025-07-01,14500.0,14520.0,14209.0,14441.0,9699,46.92
2025-07-02,14440.0,15398.0,14370.0,15314.0,34923,38.3
2025-07-03,15480.0,15480.0,14891.0,14984.0,10930,39.62
2025-07-04,15057.0,15057.0,14713.0,14845.0,6817,45.68
2025-07-07,14925.0,15020.0,14580.0,14623.0,8104,46.63
2025-07-08,14696.0,14839.0,14210.0,14270.0,4774,47.42
2025-07-09,14270.0,14429.0,14161.0,14353.0,4407,48.35
2025-07-10,14420.0,14439.0,14127.0,14395.0,4244,55.66
2025-07-11,14439.0,14811.0,14270.0,14307.0,8914,33.78
2025-07-14,14275.0,14300.0,13950.0,14171.0,4873,53.13
2025-07-15,14230.0,14715.0,14201.0,14574.0,9249,35.47
2025-07-16,14673.0,14698.0,14445.0,14540.0,3230,42.14
2025-07-17,14605.0,14680.0,14400.0,14502.0,2260,46.55
2025-07-18,14502.0,14699.0,14372.0,14531.0,3150,33.68
2025-07-21,14630.0,14998.0,14461.0,14848.0,6891,43.16
2025-07-22,14848.0,14908.0,14649.0,14864.0,3342,47.49
2025-07-23,14772.0,15150.0,14529.0,15014.0,12448,24.37
2025-07-24,15239.0,15299.0,14600.0,14757.0,7106,38.59
2025-07-25,14680.0,14827.0,14371.0,14620.0,4426,47.09
2025-07-28,14710.0,15289.0,14654.0,14908.0,11905,38.33
2025-07-29,14915.0,15399.0,14817.0,15337.0,12768,44.21
2025-07-30,15400.0,15825.0,15011.0,15796.0,11982,41.65
2025-07-31,15701.0,16190.0,15604.0,16054.0,9152,47.62
2025-08-01,16150.0,16200.0,15100.0,15271.0,11568,40.21
2025-08-04,15272.0,15740.0,14921.0,15094.0,9340,32.04
2025-08-05,15115.0,15309.0,14600.0,14722.0,8143,40.07
2025-08-06,14840.0,15128.0,14729.0,15016.0,8614,54.17
2025-08-07,14999.0,14999.0,14515.0,14603.0,5579,38.39
2025-08-08,14720.0,15098.0,14569.0,14646.0,7817,41.81
2025-08-11,14766.0,15100.0,14750.0,14874.0,9005,42.97
2025-08-12,14944.0,15409.0,14900.0,15069.0,8945,45.49
2025-08-13,15101.0,15721.0,15101.0,15677.0,9618,46.1
2025-08-14,15740.0,15894.0,15536.0,15788.0,6613,45.35
2025-08-18,15999.0,16315.0,15855.0,16132.0,11475,44.68
2025-08-19,16200.0,16254.0,15947.0,16009.0,7935,55.06
2025-08-20,16169.0,16169.0,15749.0,15799.0,6507,48.12
2025-08-21,15900.0,15999.0,15650.0,15688.0,5063,51.19
2025-08-22,15780.0,15911.0,15536.0,15586.0,4411,60.17
2025-08-25,15740.0,15810.0,15173.0,15586.0,11080,52.0
2025-08-26,15700.0,15820.0,15300.0,15593.0,8693,59.69
2025-08-28,15700.0,15800.0,15538.0,15722.0,8799,72.38
2025-08-29,15796.0,16100.0,15600.0,15876.0,14069,53.77
2025-09-01,15998.0,16190.0,15832.0,16127.0,10459,62.63
2025-09-02,16249.0,16499.0,16107.0,16373.0,15721,59.72
2025-09-03,16450.0,16600.0,16370.0,16586.0,9729,64.07
2025-09-04,16625.0,17080.0,16556.0,16888.0,12913,53.81
2025-09-05,17000.0,17021.0,16348.0,16524.0,9112,61.3
2025-09-08,16700.0,17649.0,16557.0,17515.0,21213,45.65
2025-09-09,17400.0,17899.0,17211.0,17875.0,12621,47.1
2025-09-10,17803.0,18220.0,17775.0,17911.0,12375,47.39
2025-09-11,17911.0,18100.0,17501.0,17614.0,7410,52.32
2025-09-12,17614.0,18090.0,17500.0,17979.0,8355,50.4
2025-09-15,18040.0,18538.0,17719.0,17958.0,17124,44.38
2025-09-16,18024.0,18499.0,17850.0,17962.0,19892,51.12
2025-09-17,18050.0,18430.0,17930.0,18018.0,12606,42.09
2025-09-18,18155.0,18345.0,17552.0,17713.0,9741,59.47
2025-09-19,17724.0,18462.0,17080.0,17780.0,134404,66.65
2025-09-22,17805.0,18162.0,17706.0,17868.0,7868,36.57
2025-09-23,17883.0,18199.0,17463.0,17553.0,9118,56.5
