DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,157.21,161.99,157.0,158.7,5793,46.12
2025-04-15,160.89,171.99,159.0,168.44,16326,45.89
2025-04-16,168.0,180.0,164.95,167.51,37229,39.72
2025-04-17,165.49,173.77,164.54,168.11,12697,14.64
2025-04-21,167.5,171.02,162.5,165.32,19702,41.14
2025-04-22,166.79,170.01,161.41,165.39,24015,39.03
2025-04-23,166.79,168.7,163.0,164.65,10744,19.56
2025-04-24,163.99,167.98,156.46,159.14,27049,61.95
2025-04-25,167.45,167.45,156.05,157.8,12981,22.14
2025-04-28,160.95,161.8,156.24,160.9,9664,33.39
2025-04-29,160.97,161.5,157.94,159.39,9480,19.1
2025-04-30,161.45,161.5,158.94,160.5,10011,33.09
2025-05-02,162.9,162.9,156.51,157.09,8546,22.57
2025-05-05,160.07,160.21,157.55,157.99,8250,36.1
2025-05-06,157.72,160.25,152.26,156.84,10332,27.95
2025-05-07,153.49,163.0,153.49,161.66,21494,33.01
2025-05-08,160.27,161.7,158.25,159.02,6995,22.2
2025-05-09,162.0,162.0,156.02,157.14,6495,13.09
2025-05-12,162.08,162.08,151.71,161.74,18722,39.58
2025-05-13,156.34,162.0,156.34,160.75,9490,9.77
2025-05-14,158.59,161.61,156.52,157.53,10110,12.5
2025-05-15,160.62,164.89,156.0,159.91,10428,20.92
2025-05-16,163.1,163.1,158.01,159.11,1684,44.3
2025-05-19,165.0,171.98,157.0,170.57,92790,48.04
2025-05-20,174.0,174.0,168.1,169.46,30227,82.43
2025-05-21,171.99,175.18,169.01,170.14,48570,54.54
2025-05-22,173.0,173.0,165.8,167.59,34070,51.03
2025-05-23,167.8,173.0,167.8,171.41,23598,39.67
2025-05-26,174.85,182.0,165.92,176.91,55869,57.8
2025-05-27,180.04,192.35,177.05,189.31,70256,52.42
2025-05-28,191.0,199.8,187.9,195.02,74253,57.81
2025-05-29,195.02,197.2,190.41,195.52,58832,50.09
2025-05-30,195.01,197.35,189.98,195.92,75670,40.14
2025-06-02,194.99,198.5,187.5,189.89,90488,31.56
2025-06-03,191.29,196.0,182.5,184.55,49431,40.56
2025-06-04,184.24,195.0,182.99,193.57,32318,24.14
2025-06-05,189.91,200.2,189.91,197.86,85126,37.74
2025-06-06,197.85,201.0,185.0,189.17,82374,40.9
2025-06-09,190.68,190.68,184.8,188.94,58998,26.83
2025-06-10,183.89,190.0,183.89,188.71,38230,8.52
2025-06-11,190.13,190.13,186.0,189.04,38006,13.36
2025-06-12,184.72,189.16,182.5,185.18,27539,12.85
2025-06-13,180.25,197.7,180.25,194.38,73692,44.67
2025-06-16,195.36,203.15,192.8,200.93,70511,38.55
2025-06-17,195.0,214.95,195.0,210.08,192809,23.89
2025-06-18,209.5,215.75,203.77,210.9,74640,27.1
2025-06-19,214.05,215.0,198.5,201.97,68736,25.96
2025-06-20,200.16,209.9,200.16,203.64,41703,28.33
2025-06-23,195.5,204.49,194.11,197.77,63038,33.31
