DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,180.0,180.0,172.0,172.84,201879,43.47
2025-04-15,179.0,188.0,176.53,186.5,475545,48.18
2025-04-16,186.9,205.0,184.1,204.1,1221639,37.45
2025-04-17,204.0,212.09,196.0,203.34,992455,31.3
2025-04-21,205.0,210.0,200.0,208.66,521198,38.24
2025-04-22,209.0,217.0,207.02,209.69,502208,42.13
2025-04-23,210.7,213.28,201.15,205.44,329991,43.72
2025-04-24,205.32,206.6,201.0,202.08,249041,48.08
2025-04-25,202.0,202.0,186.51,192.83,500793,48.18
2025-04-28,190.1,201.49,187.82,195.07,460641,33.81
2025-04-29,195.5,200.76,193.21,196.44,426004,39.92
2025-04-30,198.9,198.9,187.0,188.42,258634,56.32
2025-05-02,188.42,193.8,187.0,190.89,299700,28.07
2025-05-05,195.0,203.9,192.61,193.99,462891,38.75
2025-05-06,194.95,195.8,184.05,185.19,268484,50.96
2025-05-07,179.66,183.36,171.8,179.19,661747,43.93
2025-05-08,181.8,187.29,172.35,176.41,316517,41.03
2025-05-09,172.0,184.0,164.53,177.1,412362,35.8
2025-05-12,190.0,194.81,188.99,194.64,576845,41.24
2025-05-13,196.4,212.51,196.38,209.45,1052204,41.4
2025-05-14,211.0,218.72,207.52,210.69,838992,39.12
2025-05-15,211.35,213.5,207.49,208.93,386562,47.91
2025-05-16,209.14,215.8,204.44,207.28,564864,47.58
2025-05-19,208.18,217.5,208.18,210.54,633248,44.22
2025-05-20,212.05,215.17,206.11,207.88,437781,46.76
2025-05-21,209.45,211.5,205.1,207.97,325213,47.94
2025-05-22,208.5,208.5,203.0,205.81,277804,53.32
2025-05-23,206.0,214.8,202.29,210.48,713509,43.86
2025-05-26,210.8,219.9,210.05,216.28,1228461,37.86
2025-05-27,218.0,223.95,216.36,218.9,1525947,33.59
2025-05-28,220.0,220.25,210.0,210.74,856011,40.65
2025-05-29,211.8,216.9,206.1,207.6,354286,53.26
2025-05-30,209.0,209.85,200.6,203.37,388598,54.53
2025-06-02,203.0,206.47,197.03,201.27,432530,45.57
2025-06-03,203.45,214.0,201.95,207.6,542506,38.11
2025-06-04,209.45,221.25,207.5,219.29,1127807,47.41
2025-06-05,224.9,224.9,216.1,218.01,662535,49.4
2025-06-06,219.2,245.4,219.2,236.17,5282930,23.06
2025-06-09,240.6,243.97,234.08,241.04,1337347,43.61
2025-06-10,242.85,244.0,232.0,234.23,758439,47.55
