DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,389.9,407.2,385.9,402.75,136445,46.19
2025-04-15,410.8,411.8,400.0,402.15,94888,53.48
2025-04-16,402.0,413.05,400.05,410.5,94864,49.57
2025-04-17,413.0,413.0,397.05,405.0,109668,51.62
2025-04-21,405.0,410.55,398.85,407.05,144201,67.8
2025-04-22,414.0,424.75,410.1,417.65,149342,46.57
2025-04-23,417.95,422.2,408.55,416.45,125794,50.35
2025-04-24,422.0,442.0,420.2,433.8,296647,51.94
2025-04-25,440.0,446.7,421.0,428.7,315375,44.11
2025-04-28,429.6,429.6,414.0,416.45,149546,44.02
2025-04-29,419.8,425.3,410.1,415.25,88970,43.7
2025-04-30,418.8,421.65,407.0,409.15,78890,49.5
2025-05-02,409.15,413.95,402.5,405.7,61178,45.36
2025-05-05,405.7,406.95,394.85,397.75,110132,55.53
2025-05-06,398.0,399.85,381.7,383.1,93450,48.96
2025-05-07,382.0,385.8,371.55,383.3,107381,55.25
2025-05-08,383.3,403.25,381.6,386.95,113866,51.85
2025-05-09,365.55,390.0,365.55,385.6,165855,51.74
2025-05-12,399.0,425.55,399.0,413.15,148330,46.71
2025-05-13,415.95,422.3,403.7,420.85,98971,48.47
2025-05-14,425.0,452.0,424.7,445.0,197329,54.49
2025-05-15,445.0,453.0,439.8,447.0,86488,49.04
2025-05-16,447.05,469.75,444.75,466.1,151025,49.87
2025-05-19,467.9,474.05,459.2,461.5,77048,51.65
2025-05-20,464.0,478.0,459.8,466.0,112853,46.07
2025-05-21,468.8,468.85,457.15,460.6,63745,51.82
2025-05-22,465.2,466.45,448.05,460.65,70095,52.1
2025-05-23,470.0,494.4,460.65,486.6,410300,30.02
2025-05-26,491.8,530.9,482.55,524.55,424569,49.0
2025-05-27,528.75,528.75,501.3,505.45,124783,51.22
2025-05-28,502.1,527.0,502.1,513.65,198256,48.06
2025-05-29,518.8,535.05,511.55,530.25,151637,57.44
2025-05-30,529.0,535.95,517.25,524.7,136748,46.23
2025-06-02,520.05,530.0,511.0,515.55,147761,56.56
2025-06-03,514.0,525.7,504.95,506.55,64779,53.22
2025-06-04,517.9,517.9,504.9,509.1,65587,47.75
2025-06-05,511.65,522.0,507.05,515.95,99139,59.31
2025-06-06,515.95,530.0,508.05,517.7,185271,47.91
2025-06-09,520.05,523.05,511.05,515.05,98987,52.1
2025-06-10,520.5,521.9,505.0,505.85,108852,58.16
2025-06-11,509.9,519.9,508.2,517.85,100260,39.06
2025-06-12,517.95,527.5,500.0,501.8,80698,41.73
2025-06-13,501.8,510.95,487.0,508.35,131113,46.39
2025-06-16,506.5,511.35,493.75,509.3,111981,47.33
