DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1090.0,1120.65,1083.35,1089.3,3025861,59.54
2025-04-15,1092.5,1100.0,1060.4,1074.1,4024878,69.41
2025-04-16,1084.0,1088.0,1067.0,1077.5,1947807,65.59
2025-04-17,1074.0,1088.4,1063.0,1084.4,2992562,74.29
2025-04-21,1095.0,1095.0,1066.5,1073.0,2070163,69.72
2025-04-22,1079.9,1137.9,1068.8,1128.7,3872495,59.0
2025-04-23,1144.4,1149.9,1110.1,1129.6,1944908,55.55
2025-04-24,1136.9,1136.9,1097.7,1108.4,1802546,52.48
2025-04-25,1121.0,1125.0,1059.1,1067.4,2532226,67.89
2025-04-28,1068.0,1103.6,1066.2,1099.8,2000264,78.2
2025-04-29,1110.0,1119.1,1100.7,1107.4,1483430,64.74
2025-04-30,1124.9,1124.9,1088.6,1098.2,2112594,63.06
2025-05-02,1086.3,1126.0,1082.0,1089.8,1297288,51.88
2025-05-05,1109.0,1139.9,1100.1,1131.7,2847994,65.52
2025-05-06,1139.9,1171.0,1133.5,1156.0,5109749,60.74
2025-05-07,1123.0,1168.0,1123.0,1152.0,1389882,55.03
2025-05-08,1160.0,1160.0,1101.0,1111.8,1621270,51.89
2025-05-09,1091.3,1130.9,1090.0,1127.7,2242389,45.6
2025-05-12,1143.0,1167.8,1131.0,1159.9,2466795,69.81
2025-05-13,1159.9,1178.2,1152.1,1172.0,1325278,55.08
2025-05-14,1149.0,1183.0,1149.0,1176.6,1476973,57.43
2025-05-15,1176.5,1204.0,1174.9,1186.5,3798282,73.2
2025-05-16,1195.7,1196.9,1158.6,1167.1,932452,53.84
2025-05-19,1174.8,1191.9,1168.3,1188.0,2197092,76.04
2025-05-20,1183.0,1190.0,1136.1,1164.7,3803892,51.95
2025-05-21,1171.9,1178.2,1130.6,1142.1,2080995,43.6
2025-05-22,1144.8,1154.0,1118.3,1148.2,1302948,46.37
2025-05-23,1140.1,1180.8,1139.5,1177.1,1221229,55.67
2025-05-26,1170.0,1191.9,1170.0,1174.1,1047297,60.76
2025-05-27,1184.0,1187.8,1153.1,1159.4,1530237,57.47
2025-05-28,1157.5,1171.3,1142.1,1149.0,1271583,56.41
2025-05-29,1149.0,1154.7,1124.4,1135.2,1437093,47.3
2025-05-30,1138.0,1146.2,1121.1,1125.2,3302191,75.25
2025-06-02,1129.5,1159.6,1122.4,1151.6,1633598,57.55
2025-06-03,1164.0,1169.9,1136.6,1138.9,1298389,65.96
2025-06-04,1137.0,1154.2,1135.0,1148.6,1300977,72.72
2025-06-05,1153.2,1154.6,1134.0,1137.4,1294519,64.42
2025-06-06,1142.8,1169.2,1127.0,1168.2,1026507,54.61
2025-06-09,1177.0,1196.8,1161.1,1194.6,1363561,57.09
2025-06-10,1198.7,1203.9,1175.2,1182.5,959783,62.65
2025-06-11,1185.0,1201.8,1182.8,1187.1,1692374,69.56
2025-06-12,1191.6,1218.7,1185.0,1202.2,3523948,46.06
2025-06-13,1196.4,1239.5,1178.3,1232.8,2935076,46.15
2025-06-16,1245.2,1250.0,1220.4,1246.8,1884937,45.16
2025-06-17,1254.3,1256.2,1220.9,1226.8,1940493,63.36
2025-06-18,1229.8,1229.9,1179.6,1181.7,1800017,61.78
2025-06-19,1186.0,1190.0,1152.7,1163.0,1791898,63.93
2025-06-20,1162.9,1220.6,1155.6,1213.8,2991004,63.19
2025-06-23,1202.1,1208.9,1185.5,1190.2,1344872,59.7
2025-06-24,1209.0,1211.9,1183.1,1198.3,1627319,60.3
2025-06-25,1191.5,1242.9,1190.0,1239.0,2283980,62.36
2025-06-26,1250.0,1275.0,1241.7,1266.5,4025154,65.24
2025-06-27,1270.0,1296.8,1255.1,1279.3,9937898,80.99
2025-06-30,1284.5,1296.8,1271.1,1276.0,1890046,70.57
2025-07-01,1285.0,1307.9,1271.6,1279.7,2067169,65.35
2025-07-02,1269.2,1299.0,1254.3,1284.8,1534237,57.79
2025-07-03,1279.0,1308.6,1279.0,1301.4,2615624,71.3
2025-07-04,1306.8,1314.3,1286.0,1298.2,1062360,64.74
