DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,257.0,269.0,257.0,265.5,9211,57.19
2025-04-15,265.0,277.9,265.0,273.6,13982,59.2
2025-04-16,274.6,274.6,267.8,270.25,4426,63.15
2025-04-17,270.75,274.9,269.25,271.45,6186,57.44
2025-04-21,274.0,274.0,259.0,265.15,37749,60.34
2025-04-22,267.3,277.9,263.9,275.85,17566,69.09
2025-04-23,275.5,283.05,272.0,272.9,8910,60.15
2025-04-24,271.7,274.95,270.7,271.05,5869,63.16
2025-04-25,268.55,271.0,262.0,264.55,13312,60.8
2025-04-28,260.05,272.5,260.05,269.2,9111,59.8
2025-04-29,270.25,274.0,263.3,264.75,11116,61.43
2025-04-30,262.35,267.8,260.15,265.3,8685,56.37
2025-05-02,265.3,266.95,255.05,257.5,9827,65.05
2025-05-05,260.95,270.0,257.05,268.55,26219,70.55
2025-05-06,268.55,274.9,257.0,261.8,23690,37.64
2025-05-07,266.95,266.95,252.0,254.55,40602,70.83
2025-05-08,257.95,294.45,255.0,284.7,109790,42.2
2025-05-09,276.85,297.2,276.75,295.2,92242,62.24
2025-05-12,306.0,316.0,293.1,297.65,125672,55.78
2025-05-13,296.0,299.0,289.0,295.9,57932,57.21
2025-05-14,299.8,300.35,286.05,287.4,52567,57.22
2025-05-15,289.7,297.4,289.65,292.85,15835,59.34
2025-05-16,292.85,294.65,284.0,287.5,28317,57.51
2025-05-19,288.05,292.0,280.1,282.95,20598,60.61
2025-05-20,286.0,286.95,275.6,279.05,65983,72.25
2025-05-21,280.45,294.8,277.0,293.4,50166,62.85
2025-05-22,291.0,314.95,290.0,312.4,125871,51.35
2025-05-23,315.0,328.4,314.05,316.45,119743,51.09
2025-05-26,316.55,330.0,316.55,321.15,153318,46.13
2025-05-27,322.6,328.0,314.5,322.2,91111,44.4
2025-05-28,325.9,326.0,315.0,316.65,57690,38.05
2025-05-29,317.5,323.0,314.05,319.45,33901,40.17
2025-05-30,318.05,344.4,310.4,339.45,133544,67.52
2025-06-02,350.0,394.9,350.0,360.2,897067,35.24
2025-06-03,365.6,380.0,345.1,348.7,337462,41.01
2025-06-04,351.5,358.75,350.1,356.35,95448,43.77
2025-06-05,359.85,362.45,347.55,349.25,138010,58.07
2025-06-06,356.7,356.7,349.0,351.9,57662,56.86
2025-06-09,354.95,356.95,350.05,353.8,51692,62.39
2025-06-10,353.9,375.0,353.9,364.45,190314,33.18
2025-06-11,367.35,367.4,340.8,342.9,133157,57.68
2025-06-12,342.9,354.9,340.0,349.35,88833,38.14
2025-06-13,345.0,356.7,341.05,348.55,72847,48.84
2025-06-16,348.55,360.0,345.6,352.0,71090,50.3
2025-06-17,352.0,359.0,350.0,352.0,35677,46.38
2025-06-18,352.05,355.85,347.5,353.55,64072,59.87
2025-06-19,357.9,364.0,345.6,355.8,250328,41.35
2025-06-20,356.95,379.8,353.6,375.35,310774,48.53
2025-06-23,379.0,427.65,379.0,416.7,2534280,14.68
2025-06-24,421.15,438.0,417.15,427.1,759204,19.93
2025-06-25,427.1,439.75,410.05,418.8,477495,37.88
2025-06-26,420.0,442.0,419.95,437.5,316764,37.24
2025-06-27,434.05,442.0,422.65,427.1,207738,48.3
2025-06-30,429.2,434.4,413.9,416.55,184048,54.91
2025-07-01,418.0,425.95,410.15,419.05,93616,44.72
2025-07-02,423.95,424.75,411.5,413.45,74048,50.33
2025-07-03,416.0,433.7,409.1,426.65,117165,55.1
2025-07-04,431.9,431.9,412.95,422.65,76331,42.73
2025-07-07,422.65,439.95,415.6,417.1,105167,41.39
2025-07-08,416.1,446.75,393.55,403.05,637100,25.15
2025-07-09,403.05,408.0,397.3,403.05,119522,27.86
2025-07-10,400.15,419.25,400.15,418.15,151195,27.36
2025-07-11,419.95,432.95,409.95,419.6,801783,21.86
2025-07-14,439.0,453.65,421.8,423.7,676417,29.06
2025-07-15,425.95,447.0,420.05,441.8,621917,40.27
2025-07-16,447.45,449.3,433.5,436.05,356169,39.28
2025-07-17,439.55,441.0,422.7,430.25,236747,36.84
2025-07-18,430.0,436.0,421.0,423.8,164026,30.72
2025-07-21,424.0,444.0,413.7,436.9,382168,33.36
2025-07-22,439.0,447.65,426.25,429.7,284033,24.33
2025-07-23,433.15,433.15,421.45,424.85,107237,27.26
2025-07-24,424.85,442.95,423.3,434.4,318703,35.27
2025-07-25,436.0,436.7,422.0,429.7,147836,32.22
2025-07-28,434.8,434.8,408.05,413.5,416685,50.84
2025-07-29,413.5,428.5,411.35,426.25,167535,44.98
2025-07-30,426.0,465.0,425.4,457.2,815318,40.7
2025-07-31,454.8,464.9,442.15,446.0,419566,33.02
2025-08-01,445.0,454.5,434.0,435.65,169030,48.3
2025-08-04,435.7,444.2,431.85,441.5,128534,28.29
2025-08-05,443.7,450.0,435.1,443.95,129690,20.06
2025-08-06,446.95,446.95,425.0,430.65,178232,37.78
2025-08-07,430.0,430.35,413.05,420.95,143912,42.18
2025-08-08,420.05,426.75,410.0,422.4,203643,31.42
2025-08-11,425.0,433.95,420.2,425.6,183014,23.93
2025-08-12,426.0,431.0,417.0,421.75,144456,25.04
2025-08-13,426.0,426.35,417.1,420.4,110171,28.3
2025-08-14,419.4,428.5,415.0,422.05,121221,25.9
2025-08-18,429.95,429.95,419.6,425.85,128678,30.52
2025-08-19,425.85,444.95,421.15,442.75,361459,52.72
2025-08-20,449.25,454.0,440.1,442.2,204277,53.08
2025-08-21,443.2,444.9,436.65,438.65,175868,56.8
2025-08-22,438.95,454.9,437.55,444.5,347832,54.89
2025-08-25,445.95,458.0,421.5,433.15,449986,42.94
2025-08-26,427.05,434.95,423.1,425.85,188257,34.3
2025-08-28,425.85,437.5,410.75,425.75,192988,30.05
2025-08-29,426.5,429.1,418.05,420.35,131741,47.56
2025-09-01,420.45,428.0,416.5,419.4,129445,44.57
2025-09-02,418.55,426.3,414.05,415.05,104790,36.44
2025-09-03,417.15,423.1,415.65,418.65,109568,22.74
2025-09-04,424.0,429.85,416.0,421.15,121268,39.06
2025-09-05,423.05,426.3,412.8,416.2,80404,48.79
2025-09-08,420.1,421.0,395.5,407.4,340323,49.3
2025-09-09,406.5,416.05,398.15,411.95,147249,34.26
2025-09-10,411.95,415.0,399.85,410.4,162645,44.6
2025-09-11,408.0,416.0,406.75,411.0,202597,49.33
2025-09-12,412.0,426.75,412.0,419.0,206324,33.55
2025-09-15,423.0,434.3,422.95,431.0,286797,67.26
2025-09-16,435.0,436.8,424.05,427.05,160434,57.18
2025-09-17,428.7,433.35,420.25,430.7,117567,29.21
2025-09-18,431.9,435.0,425.3,429.35,165725,29.25
2025-09-19,429.0,436.95,423.5,430.2,150057,33.75
2025-09-22,430.2,433.2,425.0,426.05,87139,29.81
2025-09-23,422.0,430.5,420.1,422.5,114863,30.13
2025-09-24,421.9,427.2,418.0,419.85,102546,21.7
2025-09-25,420.0,421.55,415.0,416.4,116738,26.43
2025-09-26,416.4,417.55,403.75,408.7,114663,39.08
2025-09-29,408.7,410.35,382.1,386.25,175999,44.3
2025-09-30,386.0,394.5,373.15,378.7,251772,18.14
2025-10-01,376.65,390.5,375.25,388.3,200214,15.3
2025-10-03,384.4,397.8,384.4,394.85,167631,42.01
2025-10-06,397.8,420.5,397.75,417.7,173402,49.37
2025-10-07,420.95,432.0,418.1,426.5,305166,44.62
2025-10-08,429.5,453.8,425.05,440.65,868871,41.06
2025-10-09,445.0,445.95,432.0,439.35,231716,43.35
2025-10-10,441.5,442.95,430.5,439.65,143757,50.2
2025-10-13,446.0,454.7,425.8,431.25,248549,39.82
2025-10-14,434.8,441.65,425.1,427.35,123472,36.56
2025-10-15,430.0,434.7,423.05,430.7,121722,38.11
2025-10-16,432.85,445.0,432.8,438.2,168771,45.03
2025-10-17,441.9,450.95,435.0,447.75,248893,63.17
2025-10-20,450.0,463.7,445.0,459.75,433143,45.1
2025-10-21,465.0,469.7,433.85,452.6,174215,47.5
2025-10-22,465.0,469.7,433.85,452.6,174215,47.5
2025-10-23,464.0,464.7,420.05,423.55,350095,54.14
2025-10-24,422.0,422.25,403.0,408.45,273696,49.82
2025-10-27,408.0,414.2,402.3,410.65,145873,47.93
