DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,45.5,46.89,44.11,44.85,18932,68.38
2025-04-15,45.25,47.18,44.51,46.59,17639,61.14
2025-04-16,47.0,47.45,45.31,46.68,20483,55.44
2025-04-17,46.99,51.24,46.27,50.8,97482,58.54
2025-04-21,52.63,55.88,52.63,55.88,147863,56.85
2025-04-22,57.4,61.46,57.4,61.13,676280,34.66
2025-04-23,64.09,64.09,58.07,58.07,440446,55.17
2025-04-24,57.0,59.21,55.25,55.42,153445,53.29
2025-04-25,55.5,55.74,52.64,52.98,113160,55.65
2025-04-28,54.0,55.62,52.19,55.36,86934,58.18
2025-04-29,56.0,57.49,54.5,55.42,92970,60.87
2025-04-30,56.5,56.75,53.12,55.69,66350,43.69
2025-05-02,55.1,56.0,53.52,53.78,36037,60.75
2025-05-05,54.05,55.17,53.56,53.86,22412,71.1
2025-05-06,54.8,54.8,51.21,51.63,73390,54.6
2025-05-07,49.62,51.37,49.2,50.4,65924,46.82
2025-05-08,51.9,51.9,48.01,48.73,41125,67.49
2025-05-09,48.89,50.97,46.64,49.28,68606,52.0
2025-05-12,50.7,51.74,50.7,51.74,46994,89.21
2025-05-13,53.99,54.32,52.72,54.32,46208,58.04
2025-05-14,55.9,57.03,55.31,57.03,91525,58.07
2025-05-15,59.88,59.88,58.19,59.09,198469,45.98
2025-05-16,59.5,59.88,56.13,56.73,116624,62.46
2025-05-19,57.05,58.01,56.52,57.57,51026,67.05
2025-05-20,58.5,58.5,56.31,56.84,37877,70.94
2025-05-21,56.84,58.69,55.25,57.47,51310,37.44
2025-05-22,57.47,57.97,57.0,57.71,27062,69.68
2025-05-23,57.71,58.0,55.31,57.45,47874,63.5
2025-05-26,59.6,60.32,58.27,59.96,134369,69.15
2025-05-27,61.5,61.8,59.0,60.13,88832,62.95
2025-05-28,61.0,61.49,58.95,60.1,96096,46.32
2025-05-29,59.8,60.87,59.05,59.19,37366,65.59
2025-05-30,60.39,60.39,57.51,58.75,22788,59.9
2025-06-02,57.05,59.59,56.55,57.58,57123,60.76
2025-06-03,58.0,58.39,56.59,57.13,29662,52.76
2025-06-04,57.69,58.99,57.21,58.43,44485,56.48
2025-06-05,58.43,59.49,57.75,58.68,50316,55.69
2025-06-06,56.55,59.01,55.42,57.25,66276,49.84
2025-06-09,57.31,60.67,57.31,58.05,98257,63.09
2025-06-10,59.0,60.38,58.34,58.97,59439,65.18
2025-06-11,60.38,61.5,59.33,59.85,70789,59.18
2025-06-12,59.97,59.97,57.24,58.17,62316,59.08
2025-06-13,57.0,58.49,56.35,57.98,34621,65.67
2025-06-16,58.5,58.5,55.04,56.06,80045,66.88
2025-06-17,56.95,57.79,55.5,55.71,42065,43.14
2025-06-18,57.99,57.99,55.01,55.28,32675,60.39
2025-06-19,55.85,55.98,54.23,55.35,34291,69.45
2025-06-20,56.2,56.88,54.94,56.12,46351,72.31
2025-06-23,55.42,59.49,54.14,57.35,56035,55.64
2025-06-24,58.5,59.11,57.01,57.14,24099,58.71
2025-06-25,58.0,58.5,54.85,54.96,99673,63.74
2025-06-26,56.46,56.46,55.27,55.87,40036,62.05
2025-06-27,58.48,58.48,55.87,56.28,64959,44.67
2025-06-30,57.7,57.7,56.05,56.44,33614,60.51
2025-07-01,57.2,57.2,55.31,55.76,38556,60.89
2025-07-02,56.3,56.95,54.9,55.02,46421,76.64
2025-07-03,55.1,56.29,54.56,55.07,27942,58.45
2025-07-04,55.1,56.25,54.26,54.76,49369,60.95
2025-07-07,54.76,55.46,53.0,53.86,24909,51.37
2025-07-08,54.9,54.9,54.0,54.45,16108,73.71
2025-07-09,55.5,55.5,53.9,54.12,33834,62.98
2025-07-10,55.45,55.45,54.26,54.93,22183,54.15
2025-07-11,55.39,55.39,53.82,54.2,15221,59.73
2025-07-14,55.35,55.35,52.8,53.13,44668,65.36
2025-07-15,53.1,54.56,51.56,51.96,74254,67.31
2025-07-16,51.96,53.57,51.75,52.01,47798,62.87
2025-07-17,53.05,53.05,51.51,51.92,37924,60.01
2025-07-18,51.92,52.98,50.87,51.94,33281,65.95
2025-07-21,52.88,53.21,51.42,51.99,45131,58.74
2025-07-22,52.61,52.61,51.52,51.72,26627,61.98
2025-07-23,51.5,52.75,49.8,50.08,90080,58.15
2025-07-24,50.08,52.83,49.91,50.25,36808,67.74
2025-07-25,50.26,50.82,49.12,49.54,21475,69.56
2025-07-28,51.37,51.37,48.1,48.92,19965,53.35
2025-07-29,51.1,51.1,48.33,49.1,15263,63.21
2025-07-30,49.2,53.25,49.2,51.55,42547,64.97
2025-07-31,51.55,51.55,49.2,50.01,14632,68.09
2025-08-01,49.85,51.18,49.25,49.99,23019,66.51
2025-08-04,49.3,50.98,48.5,49.02,27046,50.64
2025-08-05,49.25,51.89,48.0,48.56,14660,51.98
2025-08-06,49.49,49.49,48.11,48.67,14551,65.75
2025-08-07,48.91,49.38,47.56,48.04,24241,64.19
2025-08-08,49.0,52.5,48.31,51.31,61497,57.94
2025-08-11,55.0,56.0,51.15,53.46,287534,30.92
2025-08-12,53.5,53.5,51.56,52.11,40919,70.19
2025-08-13,52.11,53.37,51.21,51.79,49406,71.9
2025-08-14,51.56,53.11,51.04,52.5,28894,57.27
2025-08-18,52.5,52.73,51.0,51.16,40543,56.54
2025-08-19,51.01,52.71,50.15,50.49,26363,56.81
2025-08-20,50.0,52.44,50.0,50.39,61843,24.63
2025-08-21,51.9,51.9,50.31,50.45,24478,68.53
2025-08-22,50.7,50.7,47.0,48.89,57695,58.75
2025-08-25,48.5,50.0,48.5,49.0,22287,55.97
2025-08-26,48.3,49.48,47.68,48.18,28039,47.84
2025-08-28,48.51,48.51,47.71,48.19,13501,50.06
2025-08-29,48.19,49.48,47.0,47.67,13285,60.89
2025-09-01,47.99,48.49,46.0,47.33,42377,63.81
2025-09-02,47.33,48.69,46.98,47.85,14807,63.36
2025-09-03,48.49,48.49,47.12,47.51,16652,74.39
2025-09-04,47.55,48.2,47.25,47.49,15455,70.87
2025-09-05,48.34,48.34,46.8,47.08,11249,69.59
2025-09-08,48.4,48.4,47.42,47.92,17341,59.37
2025-09-09,48.7,48.7,47.21,47.51,14610,62.52
2025-09-10,48.4,48.4,45.45,46.31,63393,70.25
2025-09-11,47.48,47.49,46.05,46.36,35207,58.05
2025-09-12,47.4,47.4,45.34,46.04,77064,60.04
2025-09-15,47.1,47.98,46.08,46.98,42846,49.04
2025-09-16,48.28,48.3,47.0,47.24,35813,67.12
2025-09-17,48.1,48.43,47.27,47.76,32073,63.41
2025-09-18,48.5,49.0,47.4,47.54,17940,51.12
2025-09-19,48.3,48.3,47.27,47.86,13804,57.1
2025-09-22,48.0,48.51,47.58,48.15,26292,72.18
2025-09-23,48.9,48.9,47.55,47.84,20387,61.76
2025-09-24,48.3,48.3,46.45,46.92,38971,71.47
2025-09-25,47.5,55.99,47.49,53.36,1989651,29.14
2025-09-26,54.75,61.9,54.5,58.53,2930144,23.49
2025-09-29,60.0,63.5,57.05,60.27,969427,23.74
2025-09-30,62.8,64.49,60.0,61.13,975356,31.14
2025-10-01,61.0,62.5,57.06,60.17,365643,45.55
2025-12-02,45.03,46.99,44.51,45.45,82333,58.7
2025-12-03,46.1,46.49,44.81,45.94,25159,68.29
2025-12-04,46.99,47.94,44.99,46.73,88981,64.55
2025-12-05,47.0,47.0,45.21,45.82,63634,55.55
2025-12-08,46.04,46.81,44.1,44.63,43726,71.29
2025-12-09,45.47,46.5,44.31,45.66,39410,52.08
2025-12-10,45.66,46.54,45.01,45.27,21021,67.4
2025-12-11,46.0,46.34,45.2,45.94,28855,67.59
2025-12-12,46.26,49.1,46.26,48.6,134741,58.22
2025-12-15,48.6,53.25,48.6,52.42,423822,47.03
2025-12-16,52.96,55.45,52.5,52.97,221658,52.81
2025-12-17,53.7,53.7,49.24,49.92,131676,63.51
2025-12-18,50.29,51.25,48.97,49.82,145528,57.98
2025-12-19,49.85,51.44,48.5,48.93,119815,47.88
2025-12-22,48.96,49.99,48.9,49.17,166902,62.25
2025-12-23,49.41,51.69,48.25,49.07,344400,39.19
2025-12-24,50.0,53.97,50.0,53.69,595288,58.05
2025-12-25,50.0,53.97,50.0,53.69,595288,58.05
2025-12-26,59.05,59.05,56.16,59.05,671303,58.95
2025-12-29,64.95,64.95,61.0,64.95,2127137,47.27
2025-12-30,68.19,68.19,66.75,68.19,545185,79.36
2025-12-31,71.0,71.59,70.15,71.59,1002816,51.55
2026-01-01,74.5,75.16,72.55,75.16,937497,32.77
2026-01-02,78.91,78.91,78.91,78.91,183471,99.98
2026-01-05,82.85,82.85,82.85,82.85,156308,99.98
2026-06-01,61.0,63.5,60.3,60.56,67390,79.82
2026-06-02,59.01,61.84,58.5,61.59,45784,52.96
2026-06-03,63.56,63.6,60.02,60.78,48716,65.86
2026-06-04,60.1,61.94,59.55,59.77,47008,80.33
2026-06-05,59.69,61.19,59.1,59.6,42497,67.24
2026-06-08,57.4,59.65,57.4,58.99,42289,61.82
2026-06-09,59.14,60.17,58.52,59.07,28595,68.87
2026-06-10,58.0,59.79,55.0,57.52,36570,79.22
2026-06-11,55.55,58.77,51.77,54.74,49749,73.81
2026-06-12,55.8,59.7,55.8,58.72,66809,73.03
2026-06-15,60.9,61.0,58.72,59.62,54401,55.79
2026-06-16,60.75,60.75,59.1,59.59,27317,62.95
2026-06-17,58.52,60.19,58.52,59.61,40334,73.53
2026-06-18,59.61,60.19,58.26,58.74,36044,70.84
2026-06-19,58.74,59.25,57.4,57.79,43423,65.62
2026-06-22,57.79,59.95,57.75,59.66,46014,76.58
2026-06-23,59.0,59.47,58.25,58.76,30119,71.68
2026-06-24,56.51,58.68,56.51,57.64,42301,69.54
2026-06-25,57.85,58.86,57.01,57.24,24220,71.56
2026-06-26,57.85,58.86,57.01,57.24,24220,71.56
2026-06-29,56.0,57.09,56.0,56.11,38687,70.43
2026-06-30,54.7,57.2,54.12,55.02,49318,65.62
2026-07-01,54.1,56.58,54.1,56.2,39716,69.11
2026-07-02,56.5,56.66,54.46,54.74,68183,65.66
2026-07-03,54.9,55.86,54.56,54.78,30248,69.4
2026-07-06,54.78,56.0,54.78,55.55,18445,75.13
2026-07-07,55.55,55.8,54.52,55.23,17225,69.21
2026-07-08,56.88,56.88,53.01,53.99,18665,73.65
2026-07-09,53.9,55.3,53.7,54.57,14435,70.47
2026-07-10,55.93,55.93,54.14,54.46,34158,59.21
2026-07-13,54.0,55.48,53.99,54.83,20658,69.49
2026-07-14,55.0,55.45,54.0,54.36,13274,55.46
2026-07-15,54.0,55.5,53.61,53.97,30760,67.44
2026-07-16,53.5,55.37,53.33,53.6,14811,71.2
2026-07-17,53.01,53.52,52.2,52.78,23704,73.33
2026-07-20,51.15,53.49,51.15,52.64,22491,71.89
2026-07-21,53.16,53.94,52.6,53.01,15159,67.03
2026-07-22,54.0,54.21,52.26,52.71,26446,55.77
