DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1245.9,1285.0,1224.15,1269.95,314567,48.9
2025-04-15,1282.9,1293.0,1252.4,1275.4,349300,54.41
2025-04-16,1279.9,1298.8,1261.9,1295.3,236888,56.54
2025-04-17,1295.3,1298.7,1263.1,1269.1,277811,70.21
2025-04-21,1282.0,1284.0,1245.0,1253.4,184458,53.49
2025-04-22,1260.0,1277.4,1254.0,1272.8,162535,54.79
2025-04-23,1282.8,1295.0,1242.0,1247.5,206680,56.6
2025-04-24,1247.5,1263.1,1234.6,1241.6,153677,50.54
2025-04-25,1253.2,1253.2,1206.0,1215.1,194135,44.46
2025-04-28,1209.0,1228.8,1195.7,1201.2,136160,45.97
2025-04-29,1205.9,1218.0,1175.8,1177.8,146733,58.63
2025-04-30,1171.5,1205.0,1171.5,1197.2,292094,63.04
2025-05-02,1208.7,1215.0,1184.0,1202.8,227564,52.29
2025-05-05,1195.0,1221.5,1195.0,1208.5,70435,48.78
2025-05-06,1214.7,1219.7,1180.0,1187.5,231179,83.27
2025-05-07,1187.5,1214.5,1176.0,1210.9,107774,47.02
2025-05-08,1210.9,1226.9,1180.0,1187.5,64332,47.76
2025-05-09,1155.1,1186.8,1151.0,1170.4,143075,54.51
2025-05-12,1205.0,1235.0,1200.1,1227.1,110121,56.98
2025-05-13,1230.0,1246.5,1230.0,1241.6,96296,58.06
2025-05-14,1240.0,1252.9,1231.0,1242.9,127378,64.84
2025-05-15,1242.9,1252.0,1234.2,1243.3,87327,58.42
2025-05-16,1240.0,1245.4,1179.0,1201.1,592915,45.64
2025-05-19,1201.1,1207.5,1173.6,1181.0,253067,63.01
2025-05-20,1182.0,1197.1,1180.0,1190.1,317118,85.1
2025-05-21,1182.8,1196.1,1180.0,1183.1,89643,55.87
2025-05-22,1180.0,1194.3,1176.7,1184.3,125390,66.02
2025-05-23,1184.2,1225.0,1175.0,1219.9,179032,65.66
2025-05-26,1211.1,1221.0,1204.2,1207.0,76997,54.96
2025-05-27,1205.0,1215.7,1193.0,1210.3,82337,51.8
2025-05-28,1202.0,1215.0,1193.2,1210.2,111168,66.82
2025-05-29,1212.0,1218.0,1191.4,1197.1,81498,60.2
2025-05-30,1190.0,1198.0,1164.9,1188.2,443077,69.91
2025-06-02,1188.2,1218.0,1184.6,1213.2,157115,63.63
2025-06-03,1218.0,1224.9,1205.9,1217.1,140553,44.3
2025-06-04,1213.0,1226.9,1195.0,1196.9,79427,52.13
2025-06-05,1196.9,1215.7,1195.5,1200.9,75225,47.75
2025-06-06,1201.0,1225.0,1200.6,1216.1,121348,67.8
2025-06-09,1220.0,1225.9,1196.0,1198.6,82222,51.15
2025-06-10,1200.0,1219.0,1194.0,1199.3,113923,51.57
2025-06-11,1203.5,1209.4,1192.6,1195.8,68243,50.71
2025-06-12,1195.3,1207.5,1180.0,1184.6,94110,60.23
2025-06-13,1182.0,1190.3,1168.1,1186.0,129798,59.95
2025-06-16,1198.8,1220.0,1181.0,1217.2,649457,80.85
2025-06-17,1221.9,1224.7,1177.0,1185.2,102537,59.98
2025-06-18,1185.2,1193.5,1170.0,1171.7,102754,57.13
2025-06-19,1171.7,1192.6,1160.0,1163.0,95550,43.67
2025-06-20,1158.0,1164.0,1120.0,1131.5,931520,61.89
2025-06-23,1097.9,1165.6,1094.2,1160.4,218043,52.0
2025-06-24,1158.6,1160.6,1126.0,1128.6,257858,43.25
2025-06-25,1130.0,1140.6,1121.6,1127.3,139575,55.6
2025-06-26,1129.2,1142.8,1125.7,1133.4,111403,50.14
2025-06-27,1139.0,1154.9,1130.3,1134.6,204805,56.17
2025-06-30,1130.0,1170.0,1110.4,1136.8,370252,55.48
2025-07-01,1139.3,1155.7,1137.0,1151.4,194407,60.86
2025-07-02,1151.5,1168.0,1138.6,1166.1,237646,61.83
2025-07-03,1167.6,1200.0,1163.7,1190.6,412226,65.47
2025-07-04,1188.5,1194.9,1170.0,1183.8,135543,61.24
2025-07-07,1175.0,1210.0,1172.4,1202.8,254646,60.42
2025-07-08,1200.0,1219.9,1198.0,1218.1,292910,71.64
2025-07-09,1218.1,1328.8,1210.0,1278.7,5737881,14.82
2025-07-10,1263.0,1305.0,1263.0,1301.8,473539,32.63
2025-07-11,1300.0,1312.0,1286.4,1303.3,396556,54.46
2025-07-14,1304.9,1332.3,1296.6,1327.4,330509,41.84
2025-07-15,1327.4,1346.5,1319.0,1326.2,214919,41.23
2025-07-16,1332.9,1348.5,1330.1,1338.4,195582,41.4
2025-07-17,1344.7,1349.0,1332.0,1345.1,131775,60.77
2025-07-18,1341.1,1341.8,1313.5,1319.2,229030,68.72
2025-07-21,1319.2,1329.0,1295.0,1300.4,91573,49.29
2025-07-22,1305.9,1305.9,1283.8,1290.4,173083,67.71
2025-07-23,1290.5,1320.0,1284.5,1312.7,345641,59.92
2025-07-24,1322.5,1343.3,1307.8,1326.2,182873,50.95
2025-07-25,1326.2,1343.3,1316.6,1323.1,154797,43.35
2025-07-28,1320.0,1393.2,1310.0,1355.4,670290,33.61
2025-07-29,1355.6,1387.9,1325.1,1331.4,319627,37.13
2025-07-30,1331.8,1355.1,1299.0,1306.3,168493,50.34
2025-07-31,1291.6,1330.5,1291.6,1311.2,106602,40.6
2025-08-01,1304.0,1357.4,1304.0,1337.5,234721,46.05
2025-08-04,1332.6,1345.0,1312.5,1324.5,161142,51.94
2025-08-05,1321.0,1332.0,1303.0,1326.8,129559,47.78
2025-08-06,1326.8,1345.0,1315.6,1338.5,245315,63.6
2025-08-07,1338.0,1342.0,1307.9,1327.0,141147,48.11
2025-08-08,1355.0,1456.5,1355.0,1423.2,4891687,13.57
2025-08-11,1419.8,1440.0,1383.0,1387.4,627560,43.87
2025-08-12,1387.4,1403.5,1372.5,1380.3,262940,53.09
2025-08-13,1381.0,1394.0,1347.0,1355.6,225695,55.38
2025-08-14,1355.6,1383.5,1353.6,1374.1,306505,69.0
2025-08-18,1385.0,1394.0,1332.5,1343.2,385158,66.11
2025-08-19,1353.6,1378.6,1343.1,1373.4,241946,54.42
2025-08-20,1373.4,1428.9,1365.1,1378.0,744575,37.19
2025-08-21,1386.0,1400.0,1359.0,1389.6,346773,65.94
2025-08-22,1398.4,1406.7,1373.5,1384.7,243683,52.12
2025-08-25,1399.0,1409.9,1385.0,1396.3,224483,46.24
2025-08-26,1395.8,1408.4,1376.5,1400.0,316787,58.36
2025-08-28,1400.0,1426.0,1385.7,1399.9,454765,64.45
2025-08-29,1405.0,1409.7,1365.3,1374.0,155446,57.08
2025-09-01,1374.0,1407.9,1368.1,1396.0,144318,52.15
2025-09-02,1396.0,1410.9,1382.0,1390.4,133922,57.01
2025-09-03,1399.8,1454.0,1395.1,1427.2,714917,47.28
2025-09-04,1449.8,1449.8,1414.9,1420.8,333903,59.38
2025-09-05,1432.0,1437.9,1398.0,1408.4,193519,58.97
2025-09-08,1410.0,1417.4,1380.0,1391.0,230979,56.22
2025-09-09,1386.0,1393.3,1368.9,1377.7,200830,64.39
2025-09-10,1387.5,1387.5,1360.9,1370.6,247801,76.21
2025-09-11,1364.0,1375.0,1333.0,1355.6,334111,58.99
2025-09-12,1359.0,1361.7,1316.0,1322.3,243843,58.94
