DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,759.4,796.15,757.4,789.2,377847,59.54
2025-04-15,805.0,825.0,798.0,804.2,296487,68.9
2025-04-16,812.25,817.05,786.15,790.4,81352,43.95
2025-04-17,794.6,814.0,788.8,795.3,151791,61.15
2025-04-21,795.0,810.0,792.35,805.95,57515,56.25
2025-04-22,805.95,818.9,793.65,808.75,83817,65.3
2025-04-23,820.0,823.65,806.75,817.15,139772,60.44
2025-04-24,817.15,823.0,814.05,820.6,85846,57.65
2025-04-25,820.05,828.95,787.3,793.1,147977,54.96
2025-04-28,790.0,821.2,789.5,811.9,88455,47.14
2025-04-29,812.4,838.75,811.9,820.35,129474,50.22
2025-04-30,816.6,822.95,785.5,806.15,141859,63.88
2025-05-02,793.05,816.15,791.7,800.75,109823,64.93
2025-05-05,803.0,845.0,795.75,834.85,194097,42.5
2025-05-06,839.0,840.7,810.9,815.8,115059,51.96
2025-05-07,812.2,838.6,804.55,830.95,95643,47.47
2025-05-08,835.3,836.4,803.0,820.1,96608,45.31
2025-05-09,804.2,810.85,788.3,795.25,86529,62.39
2025-05-12,814.95,845.0,814.95,825.55,185839,61.11
2025-05-13,820.25,838.0,814.75,831.05,84101,63.29
2025-05-14,831.05,840.05,813.85,820.35,63164,49.47
2025-05-15,820.35,830.75,811.3,818.95,117689,61.29
2025-05-16,823.3,894.8,823.2,885.55,505643,41.54
2025-05-19,891.5,925.0,890.6,909.95,460884,40.03
2025-05-20,918.8,924.95,873.9,876.15,212792,53.02
2025-05-21,882.65,904.5,878.15,891.8,149762,54.99
2025-05-22,892.9,899.0,868.0,887.55,70847,43.89
2025-05-23,881.0,980.0,875.3,952.45,435203,46.45
2025-05-26,955.0,1012.8,935.1,977.2,750989,42.93
2025-05-27,982.4,984.05,941.1,949.25,152464,45.09
2025-05-28,950.1,1045.3,950.1,965.75,1019229,26.18
2025-05-29,966.5,978.5,955.1,972.0,157570,22.81
2025-05-30,973.0,988.9,960.45,966.4,255704,35.89
2025-06-02,966.4,968.35,942.55,947.3,124962,54.95
2025-06-03,948.0,950.0,910.1,917.95,265793,43.82
2025-06-04,920.0,935.0,906.35,909.6,199126,49.6
2025-06-05,914.0,920.0,904.4,915.8,173790,36.47
2025-06-06,917.7,925.0,910.5,915.15,295910,82.35
2025-06-09,915.1,920.95,889.0,894.8,156701,61.68
2025-06-10,894.95,909.05,886.55,896.05,193253,61.18
2025-06-11,900.0,903.95,876.55,887.9,118523,61.05
2025-06-12,881.2,901.6,881.2,889.2,264378,31.6
2025-06-13,875.0,886.25,870.45,880.6,101527,53.28
2025-06-16,884.0,892.0,869.55,886.8,98739,52.95
2025-06-17,893.1,895.15,865.0,868.65,105486,56.28
2025-06-18,868.65,892.8,862.0,873.65,422855,19.85
2025-06-19,873.25,882.4,864.9,865.8,69450,58.4
2025-06-20,873.8,875.0,864.8,870.9,82729,59.71
2025-06-23,863.0,873.0,849.8,870.65,180542,63.4
2025-06-24,875.0,895.3,875.0,887.35,75690,52.45
2025-06-25,887.0,903.0,878.05,883.8,150284,56.88
2025-06-26,897.0,905.0,885.9,903.0,173479,71.87
2025-06-27,910.2,918.0,894.9,911.8,191295,64.86
2025-06-30,910.0,912.8,890.6,904.5,130608,59.04
2025-07-01,900.05,908.0,886.95,890.05,85460,59.1
2025-07-02,898.95,902.25,883.8,888.15,64921,51.55
2025-07-03,888.15,892.8,868.5,874.95,89548,54.65
2025-07-04,880.0,890.8,859.4,869.3,136638,59.11
2025-07-07,869.3,879.3,852.1,860.55,156287,54.34
2025-07-08,860.0,866.05,843.8,853.6,115711,70.97
2025-07-09,855.0,869.0,850.05,855.05,216971,63.87
2025-07-10,855.0,864.2,851.0,859.95,142479,77.13
2025-07-11,859.0,879.1,853.15,874.35,103232,55.91
2025-07-14,867.35,884.4,860.4,879.1,79331,41.98
2025-07-15,884.0,915.4,878.0,910.9,134100,60.6
2025-07-16,907.1,933.0,898.6,927.1,165445,52.36
2025-07-17,926.9,945.0,910.05,917.5,122877,47.98
2025-07-18,917.15,917.15,891.65,900.4,112951,60.34
2025-07-21,895.8,913.55,890.45,906.55,50408,56.64
2025-07-22,911.3,915.05,901.0,902.65,42366,50.58
2025-07-23,902.8,906.95,880.0,884.4,48809,49.46
2025-07-24,889.1,892.75,854.8,887.2,147801,43.93
2025-07-25,880.0,904.05,874.2,896.25,105377,61.41
2025-07-28,897.75,914.6,890.9,898.6,110420,64.01
2025-07-29,903.3,924.35,888.1,911.1,240086,61.63
2025-07-30,915.65,937.6,909.75,934.45,171126,56.3
2025-07-31,929.8,935.0,873.7,930.55,127165,65.47
2025-08-01,931.0,940.0,902.45,915.25,130422,57.17
2025-08-04,929.9,932.0,888.2,919.4,260088,36.5
2025-08-05,919.9,925.0,866.15,876.75,1132310,76.0
2025-08-06,877.25,877.25,825.1,836.1,314138,61.66
