DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-09-08,28.75,32.1,28.75,32.1,28552,93.0
2025-09-09,36.9,36.99,33.0,33.56,818110,36.34
2025-09-10,33.39,33.39,31.15,31.25,90720,56.24
2025-09-11,31.79,33.05,30.5,32.5,64592,41.38
2025-09-12,32.91,33.0,31.11,31.79,28852,76.4
2025-09-15,33.0,33.0,30.83,31.18,13674,67.92
2025-09-16,31.19,31.99,31.01,31.15,4798,77.55
2025-09-17,31.31,33.94,31.25,32.9,51143,54.93
2025-09-18,32.2,33.5,31.56,32.25,27645,51.81
2025-09-19,32.05,33.1,32.05,32.4,16808,79.78
2025-09-22,32.9,32.9,31.9,32.03,9552,88.64
2025-09-23,32.19,34.5,31.5,32.34,64547,40.79
2025-09-24,32.0,32.98,30.8,31.18,21506,59.91
2025-09-25,31.01,31.01,26.99,28.16,93910,56.22
2025-09-26,29.49,30.68,28.26,29.1,25872,31.41
2025-09-29,29.93,30.93,27.1,28.35,27235,41.56
2025-09-30,29.49,29.89,27.85,29.3,8533,70.66
2025-10-01,28.52,31.89,28.52,30.09,21181,33.12
2025-10-03,30.1,31.44,29.25,29.87,8675,66.77
2025-10-06,30.2,30.74,29.08,30.28,1722,71.43
2025-10-07,29.52,30.4,28.9,29.04,10154,76.32
2025-10-08,30.78,30.78,28.15,28.6,5880,67.84
2025-10-09,28.31,29.98,27.51,29.31,23573,78.39
2025-10-10,29.31,30.6,28.1,28.54,68146,42.36
2025-10-13,29.99,29.99,28.0,28.55,7884,28.45
2025-10-14,28.8,29.0,26.0,28.15,33778,77.43
2025-10-15,28.16,28.62,26.71,28.14,2883,72.11
2025-10-16,28.02,28.89,27.2,28.44,4903,70.96
2025-10-17,28.01,29.28,27.25,27.48,14610,68.26
2025-10-20,27.48,28.47,27.48,27.89,3215,52.63
2025-10-21,27.97,28.98,27.55,27.85,10084,93.54
2025-10-22,27.97,28.98,27.55,27.85,10084,93.54
2025-10-23,28.69,29.5,27.91,29.25,15518,69.12
2025-10-24,29.39,29.99,28.65,29.61,18106,82.03
2025-10-27,30.48,31.0,30.06,30.22,20058,82.76
2025-10-28,30.8,31.2,29.82,30.56,9697,85.19
2025-10-29,31.3,31.3,29.88,30.14,9064,88.97
2025-10-30,29.84,30.1,29.6,29.91,4421,73.9
2025-10-31,30.09,30.1,29.75,29.76,5237,97.61
2025-11-03,29.25,30.89,29.01,29.93,1580,53.42
2025-11-04,30.03,30.97,28.5,28.97,11538,77.27
2025-11-05,30.03,30.97,28.5,28.97,11538,77.27
2025-11-06,28.99,29.98,25.3,27.72,36860,59.29
2025-11-07,29.4,29.41,27.15,27.84,3900,74.69
2025-11-10,28.47,28.99,27.45,27.76,3619,69.41
2025-11-11,28.1,29.25,27.25,27.67,7533,75.43
2025-11-12,28.49,28.49,27.71,27.89,1492,69.37
2025-11-13,27.91,29.25,27.65,27.71,8276,65.55
2025-11-14,28.19,28.2,26.01,27.24,6655,63.23
2025-11-17,26.61,28.8,26.2,27.86,4883,67.13
2025-11-18,26.71,28.29,26.71,27.07,2644,93.15
2025-11-19,28.67,28.67,26.0,27.0,3065,67.41
2025-11-20,27.0,28.19,26.53,26.55,4731,97.06
2025-11-21,27.64,28.5,26.0,26.87,14254,81.93
2025-11-24,27.88,27.88,26.01,26.86,1074,50.74
2025-11-25,27.14,27.74,26.21,26.8,747,79.79
2025-11-26,26.8,27.58,26.06,26.84,1506,96.08
2025-11-27,26.85,27.35,26.1,26.65,2281,86.98
2025-11-28,26.52,27.95,26.3,26.94,2812,58.25
2025-12-01,26.99,27.41,26.51,26.99,1577,81.17
2025-12-02,26.99,27.34,25.8,26.97,1329,84.95
2025-12-03,26.79,26.79,24.3,25.25,8168,68.63
2025-12-04,25.26,28.0,25.12,26.54,6757,58.49
2025-12-05,25.2,26.45,25.2,25.84,1198,53.26
2025-12-08,25.48,27.13,23.75,24.89,7862,54.81
2025-12-09,24.39,26.73,23.76,26.53,14504,76.85
2025-12-10,27.1,27.84,25.53,26.99,1732,73.61
2025-12-11,27.28,27.28,25.1,26.0,5201,74.14
2025-12-12,26.0,27.0,25.32,26.01,6592,95.37
2025-12-15,25.51,26.8,25.51,26.76,1888,90.63
2025-12-16,26.63,26.63,26.0,26.0,6728,95.38
2025-12-17,26.0,27.4,25.32,26.0,18316,92.57
2025-12-18,26.52,26.52,25.0,25.83,1919,71.55
2025-12-19,25.79,25.79,25.11,25.12,11018,99.44
2025-12-22,26.5,26.5,25.16,26.2,8607,85.49
2025-12-23,26.0,26.89,26.0,26.54,3630,98.87
2025-12-24,26.98,26.98,25.0,25.5,9654,86.58
2025-12-25,26.98,26.98,25.0,25.5,9654,86.58
2025-12-26,25.6,26.5,25.0,25.08,4565,74.44
2025-12-29,26.5,27.0,25.0,25.1,4749,82.82
2025-12-30,26.3,26.37,24.5,25.06,6051,95.62
2025-12-31,25.06,25.88,24.71,25.49,863,98.49
2026-01-01,25.89,25.9,24.5,25.03,5461,79.84
2026-01-02,25.88,25.88,24.66,24.7,13908,91.95
2026-01-05,25.3,25.3,23.53,24.47,5166,62.21
2026-01-06,24.99,25.0,24.0,24.88,1188,65.99
2026-01-07,24.11,25.0,24.1,24.37,3092,87.35
2026-01-08,25.0,25.0,23.76,24.28,6558,62.26
2026-01-09,24.28,25.0,24.01,24.98,4851,87.47
2026-01-12,23.0,24.61,23.0,23.78,1369,83.05
2026-01-13,24.47,24.47,23.01,23.54,8055,91.89
2026-01-14,23.96,25.0,23.1,24.15,1395,89.18
2026-01-15,23.96,25.0,23.1,24.15,1395,89.18
2026-01-16,24.19,24.99,24.0,24.8,1172,82.94
2026-01-19,24.8,24.99,23.0,24.54,9497,85.15
2026-01-20,24.02,24.78,23.01,23.58,2593,71.5
2026-01-21,23.0,23.99,22.5,22.82,2436,89.49
2026-01-22,22.53,23.5,20.99,22.92,3933,69.41
2026-01-23,24.94,24.94,22.55,23.36,1062,87.19
2026-01-26,24.94,24.94,22.55,23.36,1062,87.19
2026-01-27,24.89,24.89,22.65,23.44,2644,69.33
2026-01-28,24.92,24.93,23.45,23.98,2189,56.74
2026-01-29,28.7,28.7,22.02,22.72,47520,40.03
2026-01-30,24.4,24.4,22.41,23.38,5491,73.54
2026-02-02,25.36,25.59,23.11,23.88,4724,79.61
2026-02-03,23.88,25.0,22.41,24.3,5211,97.24
2026-02-04,25.79,25.79,23.55,24.44,8926,90.31
2026-02-05,24.44,24.75,23.11,24.53,1696,96.7
2026-02-06,26.25,26.25,24.2,25.04,7011,88.67
2026-02-09,25.9,25.9,24.75,25.23,5037,70.4
2026-02-10,25.99,26.0,24.9,25.95,2344,88.91
2026-02-11,26.48,26.48,25.04,26.3,893,83.76
2026-02-12,26.94,26.94,24.1,24.69,4885,56.17
2026-02-13,24.81,25.18,24.0,24.36,100,51.0
2026-02-16,25.15,25.15,24.01,24.19,1464,73.09
2026-02-17,25.08,25.08,23.2,23.59,512,74.22
2026-02-18,23.21,26.79,23.21,24.47,3572,66.15
2026-02-19,24.6,24.99,24.48,24.9,69,24.64
2026-02-20,24.88,24.88,23.0,23.73,4188,69.63
2026-02-23,25.65,25.8,24.25,25.01,13242,55.02
2026-02-24,27.25,27.25,23.51,24.26,3158,92.21
2026-02-25,26.4,26.4,23.63,23.74,577,88.04
2026-02-26,23.75,24.81,22.71,23.11,4375,77.49
2026-02-27,25.98,25.98,20.99,21.44,20783,59.19
2026-03-02,19.66,22.49,19.66,21.64,6702,58.13
2026-03-03,19.66,22.49,19.66,21.64,6702,58.13
2026-03-04,23.1,24.0,20.56,21.1,8117,70.69
2026-03-05,22.78,22.86,21.1,21.95,14475,45.02
2026-03-06,21.89,22.84,21.5,21.6,701,73.75
2026-03-09,21.02,22.95,20.67,21.69,5573,72.96
2026-03-10,22.6,23.9,20.96,22.5,2015,67.79
2026-03-11,24.99,25.05,22.01,24.28,24345,75.19
2026-03-12,23.31,25.0,22.0,22.94,8471,36.78
2026-03-13,24.93,24.95,22.64,23.77,5140,40.23
2026-03-16,23.77,24.32,21.6,23.7,986,65.82
2026-03-17,23.01,27.0,21.62,22.97,36847,53.64
2026-03-18,23.49,24.37,22.24,23.89,3398,68.25
2026-03-19,23.4,23.8,22.53,23.26,449,94.43
2026-03-20,24.19,24.19,22.76,23.0,1572,92.81
2026-03-23,22.54,23.0,21.63,22.04,541,66.73
2026-03-24,26.43,26.43,21.41,22.09,9653,99.4
2026-03-25,22.69,25.9,22.15,23.97,2657,61.76
2026-03-26,22.69,25.9,22.15,23.97,2657,61.76
2026-03-27,25.5,25.5,21.82,22.09,8280,26.03
2026-03-30,23.46,23.46,21.14,21.36,2396,91.74
2026-03-31,23.46,23.46,21.14,21.36,2396,91.74
2026-04-01,21.53,23.47,21.53,23.2,1846,67.44
2026-04-02,23.2,23.28,22.2,23.28,956,97.91
2026-04-03,23.2,23.28,22.2,23.28,956,97.91
2026-04-06,23.28,23.29,22.51,22.55,784,57.27
2026-04-07,22.42,24.45,22.4,22.69,30804,55.69
2026-04-08,26.47,26.47,22.66,23.12,10688,89.68
2026-04-09,24.94,24.94,22.7,22.82,2587,95.55
2026-04-10,22.83,24.49,22.83,23.03,1306,50.61
2026-04-13,23.01,23.99,23.0,23.89,250,85.6
2026-04-14,23.01,23.99,23.0,23.89,250,85.6
2026-04-15,24.6,24.6,23.0,23.62,4906,83.22
2026-04-16,23.02,26.0,23.02,25.18,25839,67.27
2026-04-17,25.17,25.99,24.01,25.33,4001,60.98
2026-04-20,25.2,25.6,24.0,24.6,2300,83.57
2026-04-21,24.4,25.6,24.4,24.74,2374,85.0
2026-04-22,24.3,25.54,23.92,24.33,638,88.24
2026-04-23,25.49,25.6,23.91,25.49,2594,99.38
2026-04-24,25.29,25.49,24.02,24.9,904,53.54
2026-04-27,26.3,26.43,23.31,24.52,2733,57.15
2026-04-28,25.8,26.8,24.93,25.03,16283,87.85
2026-04-29,25.95,25.95,24.6,24.98,693,64.36
2026-04-30,25.01,25.01,23.44,24.33,393,76.59
2026-05-01,25.01,25.01,23.44,24.33,393,76.59
2026-05-04,23.46,25.08,23.46,24.3,4462,78.73
2026-05-05,24.0,24.99,24.0,24.72,3996,61.91
2026-05-06,24.3,25.49,24.06,24.92,5688,96.64
2026-05-07,25.45,25.45,24.51,24.58,386,90.93
2026-05-08,24.58,25.87,24.58,25.21,2775,97.66
2026-05-11,25.85,26.35,25.12,25.38,1552,86.53
2026-05-12,26.69,26.69,24.0,26.1,11631,63.85
2026-05-13,25.58,26.56,24.1,24.81,3195,58.53
2026-05-14,26.08,26.08,24.8,25.4,847,61.39
2026-05-15,25.58,26.5,25.27,25.59,3741,85.73
2026-05-18,25.59,25.59,24.51,24.51,325,97.85
2026-05-19,25.0,26.45,24.5,25.78,501,37.33
2026-05-20,25.76,25.76,24.26,24.79,525,53.14
2026-05-21,25.75,25.75,24.31,24.49,2645,68.2
2026-05-22,24.49,25.0,24.17,24.98,907,81.37
2026-05-25,24.86,25.29,23.9,24.0,2567,97.2
2026-05-26,24.0,24.79,23.42,23.63,3382,57.19
2026-05-27,24.49,24.95,23.5,24.3,7131,63.08
2026-05-28,24.49,24.95,23.5,24.3,7131,63.08
2026-05-29,25.36,25.74,23.75,25.01,30838,77.02
2026-06-01,26.95,26.95,24.5,24.5,4899,69.54
2026-06-02,25.78,25.78,24.0,24.28,53,49.06
2026-06-03,24.01,24.94,23.11,24.32,4913,72.68
2026-06-04,26.2,26.2,24.0,24.7,516,92.25
2026-06-05,25.48,25.5,22.2,23.9,8247,76.49
2026-06-08,23.9,23.9,23.02,23.84,55,90.91
2026-06-09,24.59,24.59,23.11,23.5,5105,72.07
2026-06-10,24.2,24.2,23.8,23.8,1431,100.0
2026-06-11,24.59,24.59,23.15,23.2,1396,99.71
2026-06-12,23.2,23.99,22.21,23.1,1057,71.33
2026-06-15,22.8,24.0,22.5,22.94,17932,89.02
2026-06-16,22.95,23.64,22.95,23.64,43,76.74
