DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,18.96,19.86,18.96,19.65,9855,73.24
2025-04-15,20.05,20.05,18.93,19.61,11944,60.21
2025-04-16,20.12,20.12,19.32,19.46,16578,36.89
2025-04-17,19.46,20.16,19.07,19.58,13943,78.91
2025-04-21,20.0,20.37,19.53,19.64,151885,68.56
2025-04-22,19.87,20.25,19.81,20.15,38413,51.89
2025-04-23,20.66,20.66,20.1,20.52,10781,75.08
2025-04-24,20.52,20.93,20.33,20.43,30933,56.37
2025-04-25,20.44,20.44,19.75,19.96,28021,69.65
2025-04-28,20.36,20.67,19.88,20.24,19394,55.19
2025-04-29,20.36,20.37,20.05,20.29,17550,96.81
2025-04-30,20.39,20.39,20.1,20.1,2169,69.99
2025-05-02,20.51,20.7,19.9,19.99,17594,91.59
2025-05-05,20.47,20.47,20.02,20.42,17034,94.93
2025-05-06,20.77,20.77,19.86,19.95,23854,62.43
2025-05-07,19.94,20.15,19.94,20.09,2448,80.11
2025-05-08,20.62,20.62,19.75,19.81,4398,75.47
2025-05-09,19.7,19.92,19.49,19.87,9620,77.11
2025-05-12,20.0,20.65,20.0,20.5,9636,80.89
2025-05-13,20.6,20.97,20.33,20.66,21719,63.99
2025-05-14,20.92,20.92,20.66,20.82,5416,92.6
2025-05-15,20.81,21.31,20.81,21.11,33545,59.27
2025-05-16,21.64,21.97,20.91,21.22,44742,62.58
2025-05-19,21.77,22.0,21.14,21.24,29672,84.92
2025-05-20,21.66,21.87,20.89,20.95,19812,77.22
2025-05-21,21.24,21.24,20.73,21.14,6812,67.38
2025-05-22,21.56,21.85,20.87,21.43,12878,90.96
2025-05-23,21.53,21.7,20.99,21.15,82499,86.09
2025-05-26,21.57,21.57,21.14,21.24,18765,85.14
2025-05-27,21.35,21.35,20.83,21.27,20420,86.21
2025-05-28,21.38,21.56,21.0,21.42,16420,81.77
2025-05-29,21.8,21.91,21.23,21.49,26256,76.43
2025-05-30,21.6,21.79,21.03,21.4,27592,64.13
2025-06-02,22.04,23.0,21.02,22.23,38929,50.96
2025-06-03,23.45,25.49,22.19,23.5,26972,53.92
2025-06-04,23.27,24.9,21.45,21.62,764818,78.46
2025-06-05,21.83,21.89,21.65,21.75,61442,86.26
2025-06-06,22.1,22.1,21.33,21.85,115938,94.15
2025-06-09,21.99,22.1,21.53,22.07,96867,92.83
2025-06-10,21.97,22.28,21.8,22.14,20981,74.09
2025-06-11,22.03,22.25,21.83,21.99,28093,76.91
2025-06-12,22.02,22.1,21.73,21.78,15485,73.68
