DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,28.72,28.79,28.17,28.34,67095,49.18
2025-04-15,28.5,29.5,28.5,29.11,86783,58.74
2025-04-16,29.3,29.63,29.09,29.44,153845,69.19
2025-04-17,29.05,29.81,29.05,29.72,126421,58.52
2025-04-21,29.5,31.6,29.43,31.01,359497,41.42
2025-04-22,31.29,32.32,30.95,32.2,309975,47.39
2025-04-23,32.55,32.55,31.06,31.64,122513,61.95
2025-04-24,31.98,32.11,31.35,31.46,166632,57.4
2025-04-25,31.5,31.5,29.99,30.12,209052,62.16
2025-04-28,30.08,30.08,29.6,29.66,150027,56.73
2025-04-29,30.0,30.6,29.64,29.99,81062,54.36
2025-04-30,29.55,29.9,29.0,29.07,133245,61.67
2025-05-02,29.0,29.64,28.99,29.19,46444,56.46
2025-05-05,28.8,30.29,28.58,29.43,86576,38.04
2025-05-06,30.16,30.22,28.6,28.69,76816,50.56
2025-05-07,29.0,31.1,28.6,30.08,409093,46.27
2025-05-08,30.08,30.29,28.8,28.98,132037,65.61
2025-05-09,28.5,28.5,27.95,28.25,102518,63.75
2025-05-12,28.7,29.75,28.7,29.55,114293,52.17
2025-05-13,29.5,30.28,29.42,29.72,81265,67.3
2025-05-14,29.9,30.37,29.66,30.19,88188,58.34
2025-05-15,30.19,30.93,30.15,30.79,134785,60.37
2025-05-16,31.1,31.44,30.79,31.11,111566,55.48
2025-05-19,31.25,32.86,31.25,32.06,234262,55.81
2025-05-20,32.45,32.72,30.86,31.02,201878,42.98
2025-05-21,30.9,32.1,30.9,31.63,197272,51.86
2025-05-22,32.3,33.18,31.77,32.25,238296,58.81
2025-05-23,32.1,32.87,31.94,32.18,86767,53.23
2025-05-26,32.1,32.1,31.0,31.24,177157,57.82
2025-05-27,31.5,32.01,31.3,31.39,101947,61.28
2025-05-28,31.39,31.61,31.0,31.17,92982,72.85
2025-05-29,31.32,31.68,30.9,31.5,109018,55.23
2025-05-30,31.64,31.8,31.0,31.09,78315,58.91
2025-06-02,31.08,31.29,30.6,30.83,99470,61.74
2025-06-03,31.2,31.2,30.54,30.62,90214,63.99
2025-06-04,30.28,30.78,30.01,30.37,103857,61.04
2025-06-05,30.3,31.14,30.3,30.57,107709,47.73
2025-06-06,30.9,31.01,30.5,30.62,65893,75.1
2025-06-09,30.5,31.45,30.5,31.0,138700,53.4
2025-06-10,31.35,31.53,31.02,31.25,106387,65.07
2025-06-11,31.57,32.94,31.2,31.64,328698,43.96
2025-06-12,32.8,32.8,31.01,31.12,88852,61.18
2025-06-13,30.65,30.98,30.26,30.61,93202,50.17
2025-06-16,30.55,30.9,29.58,30.22,95357,45.96
2025-06-17,30.9,30.9,30.05,30.23,65316,50.65
2025-06-18,30.12,30.42,29.9,30.06,45975,63.04
2025-06-19,29.66,30.23,28.1,28.74,92048,68.37
2025-06-20,28.88,33.56,28.88,31.19,1598064,23.42
2025-06-23,30.99,31.56,30.25,31.0,485937,28.35
2025-06-24,31.13,31.78,30.75,30.9,189751,57.3
2025-06-25,31.3,31.3,31.0,31.07,111314,59.66
2025-06-26,31.21,31.47,30.42,30.79,104679,57.89
2025-06-27,31.25,33.9,30.99,32.33,1554325,30.48
2025-06-30,32.65,32.7,32.0,32.39,154526,58.43
2025-07-01,32.13,32.8,32.0,32.11,139317,42.79
2025-07-02,32.11,32.9,31.9,32.03,173126,52.13
2025-07-03,32.35,32.35,31.5,31.57,103320,62.99
2025-07-04,31.9,33.13,31.57,32.66,441456,46.69
2025-07-07,32.8,33.79,32.5,32.9,277659,41.97
2025-07-08,33.5,35.64,33.34,34.45,1089173,39.81
2025-07-09,34.9,35.25,34.35,34.49,298272,51.45
2025-07-10,34.65,35.49,33.9,34.5,446491,35.43
2025-07-11,34.35,34.7,33.4,33.6,146174,55.54
2025-07-14,33.39,33.8,32.7,32.9,109384,68.7
2025-07-15,33.15,33.51,32.73,32.85,107118,65.57
2025-07-16,32.99,33.65,32.75,33.1,105751,63.64
2025-07-17,33.35,33.57,32.6,32.77,88585,67.27
2025-07-18,32.77,33.49,32.25,32.36,75812,44.24
2025-07-21,32.41,33.3,32.41,32.6,57477,69.31
2025-07-22,32.82,32.99,32.4,32.74,69319,66.15
2025-07-23,32.66,32.99,32.2,32.29,82594,58.02
2025-07-24,32.94,33.25,32.38,32.94,161168,55.01
2025-07-25,33.47,38.4,33.3,35.64,4141986,23.7
2025-07-28,35.31,35.64,33.07,33.97,471064,51.15
2025-07-29,34.06,35.9,33.5,33.93,649663,33.45
2025-07-30,34.08,34.78,33.68,34.14,196808,37.28
2025-07-31,33.96,33.96,32.28,33.29,187636,47.94
2025-08-01,33.29,34.07,33.0,33.42,155739,44.43
2025-08-04,36.29,38.99,35.15,36.25,4955510,16.05
2025-08-05,36.09,36.39,35.25,35.6,362171,33.3
2025-08-06,35.96,35.96,34.52,34.82,240990,46.0
2025-08-07,34.8,34.8,33.32,34.34,319943,25.04
2025-08-08,34.77,34.89,33.3,33.54,243378,56.01
2025-08-11,33.0,33.94,33.0,33.26,181531,51.8
2025-08-12,33.35,33.65,33.05,33.26,110589,49.21
2025-08-13,33.5,34.5,33.02,33.25,159748,45.35
2025-08-14,33.5,33.5,32.52,32.66,145999,61.59
2025-08-18,33.1,34.95,33.1,33.44,277369,40.03
2025-08-19,33.05,33.89,33.05,33.44,112827,52.12
2025-08-20,33.77,33.83,33.3,33.51,112641,65.95
2025-08-21,33.51,33.89,33.3,33.36,74800,65.8
2025-08-22,33.1,33.5,33.01,33.17,66328,67.69
2025-08-25,33.79,33.79,32.75,32.9,68614,63.6
2025-08-26,32.9,32.98,32.02,32.14,92184,63.71
2025-08-28,32.1,32.82,31.74,31.96,66126,58.82
2025-08-29,32.6,33.35,31.8,32.05,119055,41.45
2025-09-01,32.1,33.0,32.1,32.49,78445,50.42
2025-09-02,32.41,33.8,32.32,33.04,134833,51.31
2025-09-03,33.04,34.75,33.04,33.89,269132,46.65
2025-09-04,34.9,35.84,33.91,34.34,333445,52.44
2025-09-05,34.78,34.78,33.12,33.6,198555,46.4
2025-09-08,33.6,34.0,33.02,33.37,35039,65.29
2025-09-09,33.53,34.0,33.06,33.5,75430,60.42
2025-09-10,33.8,34.34,33.61,34.0,220233,81.05
2025-09-11,34.0,34.55,33.4,33.63,104108,54.94
2025-09-12,33.52,34.0,33.3,33.45,62963,57.14
2025-09-15,33.9,33.9,32.73,32.94,131583,73.45
2025-09-16,32.85,38.5,32.85,37.88,2453952,35.83
2025-09-17,38.6,43.89,38.55,42.14,4503752,34.58
2025-09-18,42.98,43.9,41.03,41.5,1225591,41.53
2025-09-19,41.69,44.0,40.41,42.54,1069796,39.68
2025-09-22,42.83,43.29,41.01,41.24,474385,53.79
2025-09-23,41.5,41.5,39.6,40.21,330146,61.99
2025-09-24,40.19,41.35,39.14,39.24,442672,54.27
2025-09-25,39.0,39.74,37.51,37.88,343189,49.26
2025-09-26,37.88,41.49,37.4,39.6,1001192,38.77
2025-09-29,39.92,41.59,39.65,40.3,494152,45.07
2025-09-30,40.1,40.3,38.37,38.7,262581,61.17
2025-10-01,38.74,39.62,38.45,38.88,246719,38.7
2025-10-03,38.99,39.45,38.51,38.71,268775,50.49
2025-10-06,38.75,39.73,38.11,38.34,376372,32.07
2025-10-07,38.6,38.93,38.0,38.41,217224,34.84
2025-10-08,38.1,38.53,37.25,37.62,250862,39.09
2025-10-09,37.8,37.81,36.5,36.73,219588,55.91
2025-10-10,37.0,41.6,36.94,39.8,2724112,16.54
2025-10-13,39.75,39.75,38.26,39.4,306171,37.85
2025-10-14,39.4,39.66,38.25,38.34,193679,53.45
2025-10-15,38.75,38.98,37.38,37.86,336419,46.93
2025-10-16,38.15,38.71,38.0,38.12,206502,50.42
2025-10-17,38.15,40.9,38.15,39.43,1165917,30.81
2025-10-20,39.58,39.59,38.71,39.18,322200,40.79
2025-10-21,40.5,40.5,38.75,38.87,226656,60.91
2025-10-22,40.5,40.5,38.75,38.87,226656,60.91
2025-10-23,39.2,39.76,38.64,38.78,311506,55.03
2025-10-24,38.78,39.83,38.46,38.87,194679,36.37
2025-10-27,39.17,39.17,36.26,37.49,467430,47.62
2025-10-28,38.0,38.0,37.19,37.46,184943,43.62
2025-10-29,37.45,37.63,37.24,37.4,124041,60.06
2025-10-30,37.69,38.39,37.25,37.57,284467,47.68
2025-10-31,37.75,37.92,37.11,37.32,108769,55.57
2025-11-03,37.69,37.69,36.76,37.14,126538,60.05
2025-11-04,37.0,37.28,36.62,36.92,105657,54.7
2025-11-05,37.0,37.28,36.62,36.92,105657,54.7
2025-11-06,37.64,37.64,36.5,36.63,142631,59.13
2025-11-07,36.5,38.0,35.85,37.71,246865,56.64
2025-11-10,37.0,37.69,36.35,36.75,225054,55.02
2025-11-11,36.8,37.52,36.0,36.29,117489,57.34
2025-11-12,36.3,36.96,36.24,36.57,161766,55.6
2025-11-13,36.91,37.15,36.12,36.42,126441,41.45
2025-11-14,35.9,40.4,35.9,39.34,1269479,54.49
2025-11-17,39.2,40.9,38.43,39.95,491620,51.31
2025-11-18,39.95,40.25,39.71,40.0,286921,70.34
2025-11-19,40.0,40.39,39.05,39.2,109840,56.78
2025-11-20,39.59,40.16,38.41,39.76,210340,61.81
2025-11-21,40.0,40.79,39.24,40.01,487630,53.75
2025-11-24,40.0,40.25,39.1,39.26,217640,54.83
2025-11-25,39.1,40.25,38.83,40.11,350134,59.02
2025-11-26,40.45,41.5,39.61,40.18,371971,48.62
2025-11-27,40.18,40.51,38.3,39.29,247967,54.63
2025-11-28,39.29,39.57,38.35,38.59,180460,59.64
2025-12-01,38.6,40.49,38.01,40.28,418759,56.58
2025-12-02,40.0,41.05,39.6,39.99,335572,43.61
2025-12-03,40.39,40.7,39.27,40.5,251448,51.54
2025-12-04,40.1,40.7,39.65,40.44,204806,56.24
2025-12-05,40.05,40.54,39.75,40.01,119665,64.76
2025-12-08,39.61,41.5,39.16,40.14,821805,43.09
2025-12-09,40.75,40.75,39.5,40.4,279247,62.6
2025-12-10,40.0,40.74,39.76,40.38,254011,64.32
2025-12-11,40.02,40.95,40.02,40.6,208220,66.11
2025-12-12,40.5,40.89,40.16,40.47,142135,53.22
2025-12-15,40.34,41.45,39.99,40.72,160704,59.39
2025-12-16,40.75,41.95,40.1,40.38,251105,40.59
2025-12-17,40.1,40.97,39.91,40.46,191667,56.96
2025-12-18,40.05,40.87,39.85,40.6,206117,52.1
2025-12-19,40.11,40.77,38.2,38.8,299858,45.14
2025-12-22,39.0,39.25,38.6,38.83,133341,48.7
2025-12-23,38.65,38.93,38.3,38.48,161209,58.8
2025-12-24,38.21,39.14,37.61,37.87,252917,56.18
2025-12-25,38.21,39.14,37.61,37.87,252917,56.18
2025-12-26,37.51,38.89,37.3,37.44,131058,59.51
2025-12-29,37.44,37.44,36.3,37.01,165506,44.48
2025-12-30,37.02,37.07,36.35,36.62,146615,43.18
2025-12-31,36.89,37.45,36.82,36.99,90292,56.76
2026-01-01,37.14,37.45,36.43,36.93,95303,47.86
2026-01-02,37.2,38.5,36.5,37.08,192581,52.89
2026-01-05,37.07,37.08,36.61,36.9,102139,58.83
2026-01-06,36.62,36.9,36.13,36.29,125261,57.54
2026-01-07,36.2,36.63,36.04,36.45,79904,54.82
2026-01-08,36.49,36.57,35.75,35.94,97050,59.87
2026-01-09,36.47,36.47,34.2,34.48,195994,49.05
2026-01-12,34.05,34.96,32.7,34.75,127614,43.67
2026-01-13,34.93,36.5,33.9,35.23,203749,34.4
2026-01-14,35.8,35.8,34.1,34.28,144604,47.12
2026-01-15,35.8,35.8,34.1,34.28,144604,47.12
2026-01-16,34.28,35.12,34.02,34.62,86179,51.24
2026-01-19,34.23,34.5,33.6,34.05,77637,57.23
2026-01-20,34.5,34.5,32.11,32.53,173999,45.42
2026-01-21,32.1,33.87,31.68,32.11,191159,47.28
2026-01-22,32.5,33.69,32.5,33.24,84414,49.38
2026-01-23,32.91,33.39,32.06,32.49,87563,41.65
2026-01-26,32.91,33.39,32.06,32.49,87563,41.65
2026-01-27,33.28,34.9,32.57,34.32,328151,48.67
2026-01-28,35.98,41.18,35.5,39.18,3736689,28.35
2026-01-29,39.0,39.37,36.17,36.55,634546,53.3
2026-01-30,36.56,39.4,36.01,37.78,1230955,23.03
2026-02-02,38.05,39.89,37.66,38.82,415424,34.12
2026-02-03,43.0,43.3,38.99,39.22,987372,32.41
2026-02-04,39.37,39.62,38.5,38.79,278128,42.32
2026-02-05,38.98,38.98,38.06,38.29,134688,58.33
2026-02-06,37.9,38.22,37.25,37.76,156488,53.74
2026-02-09,38.6,39.25,37.27,38.06,510122,37.58
2026-02-10,38.23,38.23,37.31,37.37,270545,54.34
2026-02-11,37.39,37.65,36.75,37.17,200157,50.14
