DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,263.8,271.75,263.6,264.95,13107,45.77
2025-04-15,264.0,271.5,245.55,258.0,78422,40.79
2025-04-16,258.75,267.0,257.0,264.1,34977,68.55
2025-04-17,262.35,264.45,256.1,257.5,29911,68.81
2025-04-21,255.25,263.05,253.2,254.8,27070,68.69
2025-04-22,258.1,259.9,243.3,245.05,68765,66.65
2025-04-23,248.6,251.25,238.2,241.05,109416,67.46
2025-04-24,246.7,246.7,238.5,239.55,55499,61.1
2025-04-25,239.9,240.1,230.0,234.6,27969,58.91
2025-04-28,235.45,236.4,228.2,231.5,37565,59.9
2025-04-29,232.5,244.0,232.25,241.1,24421,63.97
2025-04-30,241.1,248.0,234.1,242.95,19677,63.69
2025-05-02,240.0,248.58,236.47,245.42,18162,60.06
2025-05-05,233.5,243.51,233.5,242.81,15505,59.34
2025-05-06,238.91,246.0,237.0,238.55,22836,69.61
2025-05-07,233.55,241.5,233.55,235.76,16251,50.22
2025-05-08,236.36,252.0,236.25,240.74,26033,49.76
2025-05-09,236.9,244.72,231.5,241.29,14366,45.48
2025-05-12,259.45,259.5,241.87,243.73,18169,71.02
2025-05-13,253.0,253.0,242.79,244.89,23154,77.9
2025-05-14,247.56,250.0,244.0,245.49,42143,82.95
2025-05-15,245.0,257.21,242.57,244.35,70272,70.54
2025-05-16,245.0,253.0,244.22,251.17,30594,68.82
2025-05-19,252.0,261.8,251.22,255.24,31669,60.54
2025-05-20,263.0,263.0,253.6,258.53,19240,75.13
2025-05-21,260.9,264.38,251.0,254.69,31561,68.45
2025-05-22,256.9,278.0,256.9,264.22,70175,63.94
2025-05-23,269.9,278.85,262.61,275.99,78889,69.46
2025-05-26,286.0,287.0,255.0,258.53,87111,65.51
2025-05-27,260.0,260.0,245.1,247.09,64984,76.3
2025-05-28,247.09,249.7,242.7,244.35,27516,63.96
2025-05-29,247.0,256.65,243.43,248.33,56630,69.24
2025-05-30,248.33,249.25,239.0,240.21,24078,68.17
2025-06-02,240.21,245.0,239.98,243.05,37811,57.82
2025-06-03,244.45,263.8,243.39,249.23,107903,47.04
2025-06-04,250.75,251.9,244.0,247.03,42406,62.32
2025-06-05,248.06,250.01,245.0,246.66,22030,69.42
2025-06-06,245.3,253.56,245.3,251.5,28151,50.37
2025-06-09,252.75,263.0,252.0,256.67,60453,68.32
2025-06-10,257.95,261.89,251.0,253.31,42939,66.35
2025-06-11,254.75,268.5,254.65,262.73,99224,69.35
2025-06-12,268.4,268.4,250.0,252.49,41992,59.6
2025-06-13,252.49,257.9,248.01,254.11,27000,58.23
2025-06-16,251.0,258.46,250.01,252.19,38921,70.67
2025-06-17,253.45,258.52,250.01,252.1,20593,68.01
2025-06-18,250.01,255.0,249.12,253.96,12865,69.0
2025-06-19,254.4,258.54,250.01,252.29,33138,69.14
2025-06-20,250.0,266.0,250.0,261.27,56684,48.72
2025-06-23,254.9,260.01,250.01,256.97,27673,49.91
2025-06-24,260.6,267.01,257.31,264.62,42111,58.81
2025-06-25,265.0,272.0,263.21,269.13,45863,70.63
2025-06-26,268.65,274.8,262.08,267.85,42708,60.57
2025-06-27,269.85,298.72,269.84,285.17,383178,31.43
2025-06-30,289.5,289.5,272.81,280.49,46560,55.99
2025-07-01,282.6,304.0,278.4,301.1,161871,49.39
2025-07-02,306.8,318.0,293.95,299.8,242960,39.77
2025-07-03,302.8,305.9,293.85,298.65,51200,49.77
2025-07-04,302.9,311.0,297.45,300.4,81576,52.56
2025-07-07,302.95,303.7,288.0,289.25,37059,46.31
2025-07-08,297.7,297.7,284.4,288.1,43325,43.81
2025-07-09,285.2,293.4,284.3,286.25,30500,55.36
2025-07-10,288.9,299.0,287.05,297.4,28965,61.25
2025-07-11,296.3,301.65,290.05,294.4,20695,53.16
2025-07-14,291.35,296.45,287.15,290.35,26356,58.79
2025-07-15,286.05,293.85,285.0,287.45,24520,55.4
2025-07-16,293.7,293.7,283.95,285.35,47331,67.68
2025-07-17,287.85,290.35,284.6,286.5,12070,68.95
2025-07-18,287.05,289.9,283.3,287.5,26074,55.07
2025-07-21,290.0,298.2,284.5,286.8,38202,37.06
2025-07-22,288.65,290.0,285.2,286.95,9793,60.11
2025-07-23,289.8,289.8,284.0,288.25,21152,61.16
2025-07-24,287.5,287.95,280.0,282.55,10337,58.29
2025-07-25,280.0,284.85,270.1,272.5,16830,62.48
2025-07-28,270.2,274.95,261.25,266.3,14587,63.21
2025-07-29,268.9,278.95,263.55,271.1,18758,54.39
2025-07-30,271.65,283.6,271.65,276.3,26550,56.72
2025-07-31,272.65,280.0,272.65,275.1,10170,53.81
2025-08-01,275.1,275.75,254.9,258.55,29279,60.47
2025-08-04,261.15,262.95,256.0,256.8,19759,66.42
2025-08-05,258.3,261.5,252.25,255.25,21474,56.51
2025-08-06,254.4,258.4,252.5,256.15,11760,53.44
2025-08-07,254.9,258.25,249.6,255.0,18340,53.38
