DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,304.0,309.35,303.0,306.3,368000,39.88
2025-04-15,310.0,318.0,309.0,316.4,444071,43.75
2025-04-16,316.8,330.4,314.9,328.75,1008447,31.36
2025-04-17,327.95,328.7,322.7,323.75,422497,40.42
2025-04-21,323.75,328.95,323.65,327.05,493528,43.0
2025-04-22,328.0,337.95,328.0,333.4,1050098,47.07
2025-04-23,335.1,336.1,322.2,328.95,837853,43.75
2025-04-24,330.75,333.6,327.25,330.9,636432,48.44
2025-04-25,329.25,331.8,315.5,317.2,723489,44.94
2025-04-28,315.0,321.7,313.05,318.6,380109,40.1
2025-04-29,318.5,330.6,318.5,324.1,874465,45.01
2025-04-30,326.0,326.0,314.1,315.8,554650,53.55
2025-05-02,323.5,355.0,322.95,338.7,8438365,23.77
2025-05-05,340.0,342.65,329.8,330.6,1075428,44.72
2025-05-06,331.0,332.65,321.0,325.8,1076859,42.23
2025-05-07,319.0,332.0,318.4,329.7,1354353,41.35
2025-05-08,330.1,336.2,315.25,322.0,1150706,50.4
2025-05-09,311.35,323.35,310.5,321.6,874229,47.7
2025-05-12,333.7,339.9,332.05,337.1,1101861,49.35
2025-05-13,337.1,342.3,333.8,340.35,1067258,54.26
2025-05-14,342.45,353.7,339.0,351.2,1403597,45.76
2025-05-15,356.2,369.0,355.2,364.8,2916504,40.72
2025-05-16,365.0,369.5,360.65,363.9,1019710,48.86
2025-05-19,365.5,373.85,363.7,365.9,922702,47.87
2025-05-20,368.9,374.9,362.3,363.7,1319071,38.06
2025-05-21,362.5,372.0,362.5,367.8,950334,43.44
2025-05-22,367.9,379.0,366.1,376.55,1412305,47.91
2025-05-23,378.7,382.75,373.85,376.1,891587,49.03
2025-05-26,377.8,381.55,372.65,374.5,658322,46.77
2025-05-27,376.3,379.35,373.55,375.85,492548,40.74
2025-05-28,379.2,384.0,376.2,378.1,785309,47.94
2025-05-29,380.7,390.45,380.4,383.2,1323703,44.85
2025-05-30,384.95,386.25,370.85,377.15,789241,44.33
2025-06-02,376.8,376.8,366.2,368.0,732903,50.51
2025-06-03,368.95,371.35,358.9,362.5,1491340,44.84
2025-06-04,362.95,369.0,361.1,368.3,664144,45.88
2025-06-05,369.9,391.0,368.65,387.65,3072461,37.82
2025-06-06,390.7,392.8,382.05,387.35,1386383,42.39
2025-06-09,388.9,396.45,384.45,390.8,945828,47.31
2025-06-10,392.9,405.6,389.0,391.05,1913203,39.88
2025-06-11,393.55,398.4,386.75,392.35,1016267,49.35
2025-06-12,392.5,399.5,384.3,386.4,1227993,45.88
2025-06-13,373.0,391.4,373.0,382.85,917759,40.47
2025-06-16,384.8,388.75,373.65,380.75,680207,39.64
2025-06-17,381.0,384.45,368.6,369.4,679234,54.16
2025-06-18,369.7,374.7,364.55,366.1,443322,43.67
2025-06-19,365.2,368.85,353.3,357.2,529319,40.89
2025-06-20,358.8,365.0,355.6,361.3,439070,32.48
