DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,64.3,67.72,63.84,67.23,754484,46.36
2025-04-15,68.24,75.5,68.02,74.0,2612957,36.22
2025-04-16,74.05,76.3,73.23,75.48,1696589,39.62
2025-04-17,75.51,76.0,73.12,73.94,896351,36.88
2025-04-21,73.8,76.44,73.41,74.53,1127078,33.25
2025-04-22,74.99,77.09,74.4,74.62,867320,42.66
2025-04-23,75.19,75.56,72.4,73.34,724090,50.37
2025-04-24,73.23,75.94,72.8,73.74,662934,37.43
2025-04-25,73.99,74.0,69.58,70.85,713440,43.7
2025-04-28,70.85,71.99,70.38,71.29,396934,40.54
2025-04-29,71.35,73.65,70.0,70.2,431788,34.31
2025-04-30,70.2,70.21,68.0,68.5,488342,57.53
2025-05-02,68.29,69.92,67.32,68.1,691236,38.52
2025-05-05,68.2,73.89,67.46,72.85,1699671,28.84
2025-05-06,73.39,73.64,68.52,68.85,1034551,37.8
2025-05-07,67.0,72.45,67.0,70.25,633623,44.14
2025-05-08,70.25,72.21,68.01,68.79,523401,41.32
2025-05-09,66.1,72.2,66.1,70.85,1002937,37.14
2025-05-12,76.59,78.9,74.2,74.84,3559440,31.6
2025-05-13,75.4,79.49,74.6,76.46,2844045,47.11
2025-05-14,76.93,79.68,76.0,78.4,2431804,30.45
2025-05-15,78.41,81.5,78.35,78.63,1870118,39.97
2025-05-16,79.26,81.34,78.31,79.93,1334190,48.05
2025-05-19,80.4,81.95,79.55,80.66,1313225,47.78
2025-05-20,81.3,82.5,78.65,79.67,1106932,39.61
2025-05-21,79.67,80.35,78.64,79.92,496940,42.31
2025-05-22,79.5,81.5,78.99,80.27,488660,49.65
2025-05-23,80.3,81.5,79.56,80.54,721738,46.68
2025-05-26,80.93,81.78,78.97,80.11,499781,50.01
2025-05-27,79.8,81.28,79.8,80.99,522059,56.38
2025-05-28,81.0,82.49,80.57,81.27,572212,47.83
2025-05-29,82.24,82.28,80.45,81.31,465781,53.66
2025-05-30,81.0,81.63,79.2,80.8,427043,45.75
2025-06-02,80.8,87.65,79.36,86.85,3133699,42.45
2025-06-03,87.4,90.0,87.39,88.32,2348964,41.24
2025-06-04,88.59,92.0,88.31,90.95,2123674,52.15
2025-06-05,90.95,94.0,90.32,93.0,1855817,46.84
2025-06-06,93.0,93.0,89.99,91.07,957260,35.74
2025-06-09,91.59,94.66,91.33,91.84,1146050,41.52
2025-06-10,92.47,93.35,91.74,92.01,518017,48.29
2025-06-11,92.44,93.65,90.15,91.27,879273,47.79
2025-06-12,91.7,94.18,90.57,91.61,999139,43.4
2025-06-13,90.5,93.69,88.31,93.01,944268,44.53
2025-06-16,93.99,93.99,90.4,92.35,905448,41.18
2025-06-17,92.97,93.35,90.38,90.85,725077,47.19
2025-06-18,90.7,91.85,89.91,90.17,549997,50.52
2025-06-19,90.14,90.69,84.8,86.86,1043301,45.54
2025-06-20,86.99,92.0,86.55,91.49,1270338,44.0
2025-06-23,89.75,92.13,89.46,90.01,1121732,45.66
2025-06-24,90.79,97.2,90.79,96.02,3417092,32.51
2025-06-25,96.7,98.89,96.01,97.78,3264586,37.44
2025-06-26,97.79,98.47,96.0,96.58,1035425,47.76
2025-06-27,97.06,98.89,96.25,97.44,1007473,51.58
2025-06-30,98.34,101.34,97.53,98.97,2748489,44.1
2025-07-01,99.35,103.25,99.34,101.99,2997702,42.67
2025-07-02,102.64,102.9,100.27,100.95,979992,38.52
2025-07-03,100.97,103.27,100.3,101.47,1278325,37.11
2025-07-04,101.94,102.5,100.82,101.28,800562,47.19
2025-07-07,101.34,102.4,100.53,100.84,688742,42.13
2025-07-08,101.0,101.08,96.59,98.35,1433508,44.59
2025-07-09,98.75,100.65,98.02,98.92,818080,39.77
2025-07-10,99.34,100.8,98.43,100.18,810415,47.7
2025-07-11,100.0,100.8,97.57,99.62,744349,45.29
2025-07-14,99.13,99.74,95.8,96.57,976275,61.63
2025-07-15,96.4,102.94,96.35,101.79,2522243,36.8
2025-07-16,102.0,104.67,100.96,101.62,2575892,40.25
2025-07-17,101.7,102.23,98.55,98.92,1061091,56.92
2025-07-18,99.28,99.48,96.75,98.21,847331,44.77
2025-07-21,99.25,99.74,98.0,98.57,643563,49.9
2025-07-22,98.57,100.4,98.18,99.43,983768,54.32
2025-07-23,99.78,99.99,97.76,98.59,665197,53.17
2025-07-24,98.3,99.3,96.91,97.2,691331,55.32
2025-07-25,96.99,97.86,94.01,94.14,1257348,60.96
2025-07-28,94.0,98.3,93.27,95.25,1438799,27.02
2025-07-29,95.42,100.7,95.06,100.17,2299853,40.91
2025-07-30,102.0,106.3,100.3,100.76,9401265,25.73
2025-07-31,99.0,100.95,98.25,99.16,1647850,47.93
2025-08-01,98.99,101.85,94.0,94.37,1396683,49.66
2025-08-04,95.8,96.62,91.6,92.17,1331838,48.2
2025-08-05,92.49,94.7,89.79,90.1,1329839,51.99
2025-08-06,90.3,90.5,86.4,86.66,1107827,54.81
2025-08-07,86.9,87.78,85.1,87.21,1030358,47.78
2025-08-08,87.62,87.79,85.51,85.85,594977,47.89
2025-08-11,85.95,87.42,85.26,86.59,468953,45.31
2025-08-12,86.94,87.14,85.01,85.36,560660,54.75
2025-08-13,85.54,86.14,83.0,83.32,616218,52.01
2025-08-14,83.32,84.8,82.65,83.48,591608,47.23
2025-08-18,84.09,85.24,83.5,83.71,502416,50.24
2025-08-19,83.56,86.71,83.42,86.46,865079,44.19
2025-08-20,86.7,87.79,84.99,87.22,737852,48.75
2025-08-21,87.6,88.88,84.5,85.98,701230,61.25
2025-08-22,85.41,87.1,85.09,86.53,587697,51.34
2025-08-25,87.0,87.49,85.21,85.57,470501,57.96
2025-08-26,85.5,85.78,83.94,84.68,325486,45.92
2025-08-28,84.75,85.03,82.05,82.31,540778,60.98
2025-08-29,82.99,83.15,81.67,81.84,324597,48.99
2025-09-01,82.18,82.6,81.0,81.91,437599,53.99
2025-09-02,81.5,84.33,81.5,82.51,570407,50.67
2025-09-03,82.79,84.47,81.95,82.2,733043,56.15
2025-09-04,83.25,83.75,79.6,79.79,976749,65.92
2025-09-05,79.8,81.39,79.01,80.12,479876,47.83
2025-09-08,85.03,85.75,80.0,80.59,1090022,44.04
2025-09-09,81.0,81.5,80.25,80.76,368401,45.31
2025-09-10,81.16,82.0,80.66,81.48,465678,59.42
2025-09-11,81.84,82.05,80.8,81.01,424546,60.09
2025-09-12,81.38,81.89,80.07,80.34,568687,63.49
2025-09-15,80.7,84.0,80.4,83.07,1062977,54.89
2025-09-16,83.7,85.0,83.11,84.11,836922,47.46
2025-09-17,84.39,86.24,83.91,84.7,877535,49.47
2025-09-18,85.69,87.75,84.65,86.69,1263839,46.47
2025-09-19,86.7,87.7,85.8,85.99,429358,52.9
2025-09-22,85.99,87.2,85.66,86.5,443252,44.01
2025-09-23,86.0,86.67,85.2,86.0,331014,40.98
2025-09-24,86.19,86.4,84.35,84.89,493532,49.15
2025-09-25,84.55,85.29,83.1,83.48,444399,55.02
2025-09-26,83.73,84.0,80.44,80.87,460388,54.33
2025-09-29,81.3,82.24,81.0,81.49,232360,52.28
2025-09-30,81.5,82.38,80.18,80.65,388462,36.53
2025-10-01,80.65,82.49,80.65,82.23,290789,51.23
2025-10-03,82.23,84.88,82.23,84.51,470066,56.82
2025-10-06,84.52,85.35,82.71,83.85,413906,45.92
2025-10-07,84.14,84.43,83.0,83.52,226455,44.91
2025-10-08,83.99,83.99,81.94,82.35,314540,58.53
2025-10-09,82.5,83.01,80.8,81.36,400359,60.54
2025-10-10,81.36,82.2,80.64,81.01,376106,56.08
2025-10-13,81.41,81.6,80.1,80.48,291922,54.52
2025-10-14,80.49,81.48,79.28,79.62,372185,61.51
2025-10-15,79.65,80.7,78.51,80.1,575927,54.58
2025-10-16,80.1,81.4,80.06,80.5,252135,42.95
2025-10-17,80.08,80.59,78.93,79.22,267727,58.69
2025-10-20,79.98,81.21,79.3,80.3,193973,46.35
2025-10-21,80.3,81.95,80.3,81.76,184901,70.13
2025-10-22,80.3,81.95,80.3,81.76,184901,70.13
2025-10-23,83.3,83.45,81.6,82.06,418546,44.2
2025-10-24,82.29,82.68,80.4,80.89,260807,56.37
2025-10-27,80.74,81.79,80.1,80.18,286723,62.94
2025-10-28,80.18,81.75,80.06,80.7,368867,58.29
2025-10-29,80.75,82.0,80.75,81.82,298817,50.56
2025-10-30,81.97,82.0,80.6,81.26,243223,57.78
2025-10-31,81.36,82.5,80.75,81.07,330845,49.31
2025-11-03,81.07,81.44,78.1,78.56,791277,61.6
2025-11-04,78.9,79.44,77.26,77.6,434338,67.52
2025-11-05,78.9,79.44,77.26,77.6,434338,67.52
2025-11-06,77.66,78.68,74.51,75.63,1043571,54.85
2025-11-07,75.63,77.39,74.25,74.57,1027312,55.13
2025-11-10,77.0,77.0,71.79,72.08,1337987,60.72
2025-11-11,72.4,75.04,72.08,73.94,840971,45.19
2025-11-12,74.4,74.55,72.49,72.87,523886,58.27
2025-11-13,72.87,73.23,71.49,71.92,621736,56.62
2025-11-14,71.92,72.5,71.61,71.9,433768,62.99
2025-11-17,71.9,72.5,71.12,72.11,361197,66.65
2025-11-18,72.7,73.0,71.5,71.69,325360,62.4
2025-11-19,71.79,71.82,69.1,69.59,553420,69.1
2025-11-20,69.7,70.96,69.5,69.67,657642,49.06
2025-11-21,69.06,70.5,69.05,69.74,409561,65.1
2025-11-24,70.04,70.08,67.25,67.55,518759,65.54
2025-11-25,68.0,68.62,67.27,67.68,293760,51.87
2025-11-26,69.35,69.67,67.5,68.65,530914,49.65
2025-11-27,68.9,70.31,67.95,68.6,535293,41.99
2025-11-28,68.69,69.28,67.95,68.12,352187,51.64
2025-12-01,68.12,69.2,67.35,67.49,324451,59.01
2025-12-02,67.74,67.75,66.73,66.83,330262,63.52
2025-12-03,66.99,69.0,66.45,67.44,267079,53.18
2025-12-04,67.44,67.69,66.0,66.19,365232,50.28
2025-12-05,66.2,66.48,65.0,65.16,364810,63.85
2025-12-08,65.29,65.89,62.5,63.25,612365,61.25
2025-12-09,63.25,64.19,61.51,63.83,462088,49.12
2025-12-10,64.46,65.11,63.23,63.56,437760,58.19
2025-12-11,63.9,64.29,62.6,63.0,477035,62.66
2025-12-12,63.3,64.45,63.13,63.76,362206,45.16
2025-12-15,63.66,64.3,63.27,63.84,279104,52.44
2025-12-16,63.28,64.74,63.25,63.59,393733,48.79
2025-12-17,63.91,64.49,62.1,62.31,309475,53.17
2025-12-18,62.5,62.76,61.25,62.59,318482,49.89
2025-12-19,62.59,64.01,59.75,61.5,747866,42.58
2025-12-22,62.54,66.35,62.35,64.94,1334291,36.85
2025-12-23,64.94,65.98,64.28,65.13,487271,44.45
2025-12-24,65.13,65.65,64.0,64.61,294899,52.39
2025-12-25,65.13,65.65,64.0,64.61,294899,52.39
2025-12-26,64.55,66.04,64.1,64.25,658405,54.08
2025-12-29,64.23,64.57,63.09,63.31,313178,52.21
2025-12-30,63.25,63.74,62.38,63.23,252932,49.75
2025-12-31,63.2,64.92,62.94,64.27,250162,45.67
2026-01-01,64.45,64.58,63.5,63.72,255659,60.88
2026-01-02,64.22,65.61,62.15,64.73,359148,51.96
2026-01-05,64.73,65.0,63.3,63.63,244776,57.94
2026-01-06,63.94,64.05,62.11,62.94,240993,51.58
2026-01-07,63.39,63.58,62.41,62.93,345932,54.27
2026-01-08,62.8,63.2,61.0,61.34,351113,53.24
2026-01-09,60.93,62.2,59.95,60.1,412995,54.97
2026-01-12,59.95,60.54,58.72,60.09,571307,53.83
2026-01-13,60.7,62.15,60.31,61.18,384883,41.92
2026-01-14,61.64,61.98,60.89,61.2,283775,52.81
2026-01-15,61.64,61.98,60.89,61.2,283775,52.81
2026-01-16,60.65,61.22,60.1,60.56,226790,55.61
2026-01-19,60.5,60.74,59.23,59.46,275120,56.23
2026-01-20,59.46,59.94,56.03,56.39,816328,65.82
2026-01-21,56.27,57.52,55.21,56.5,692887,50.11
2026-01-22,56.5,57.72,56.3,57.33,341246,45.38
2026-01-23,57.6,58.29,55.3,55.75,442257,57.63
2026-01-26,57.6,58.29,55.3,55.75,442257,57.63
2026-01-27,55.75,56.5,55.02,55.81,357165,43.79
2026-01-28,56.2,58.49,55.9,57.77,440264,60.39
2026-01-29,57.77,60.3,57.11,59.59,531956,49.2
2026-01-30,59.25,60.75,58.4,60.12,482226,39.11
2026-02-02,55.79,56.05,52.17,52.76,807093,55.83
2026-02-03,58.76,58.76,55.62,57.18,1319384,45.16
2026-02-04,57.18,57.51,56.11,56.47,545716,59.61
2026-02-05,56.14,56.6,54.5,54.86,439450,51.22
2026-02-06,54.86,54.99,53.15,53.39,476996,54.3
2026-02-09,54.0,57.29,53.71,55.56,1453972,46.69
2026-02-10,55.8,57.3,55.47,56.91,654991,50.18
2026-02-11,57.5,58.0,55.1,56.17,683398,39.47
2026-02-12,56.2,56.49,55.12,55.82,439162,57.02
2026-02-13,55.76,55.76,54.07,54.24,376384,63.36
2026-02-16,54.24,54.63,53.33,53.52,443731,68.28
2026-02-17,53.54,54.49,53.3,53.78,397781,57.96
2026-02-18,54.18,54.3,52.99,53.13,372818,56.53
2026-02-19,53.13,53.74,51.6,51.95,553569,61.77
2026-02-20,51.95,52.65,51.53,51.94,365832,64.14
2026-02-23,52.0,53.2,51.03,51.27,395378,59.59
2026-02-24,51.0,51.44,50.55,51.09,330026,48.79
2026-02-25,51.38,53.1,51.09,52.4,661660,52.28
2026-02-26,52.88,53.6,52.3,53.27,529402,50.78
2026-02-27,53.35,53.35,52.5,52.74,213189,61.97
2026-03-02,49.31,51.14,49.3,50.36,507381,50.54
2026-03-03,49.31,51.14,49.3,50.36,507381,50.54
2026-03-04,50.01,50.01,48.6,49.01,986653,75.25
2026-03-05,49.75,49.99,47.88,48.21,983140,79.1
2026-03-06,48.21,49.55,48.0,48.07,411925,58.06
2026-03-09,48.0,48.0,43.45,43.81,1312182,52.86
2026-03-10,45.0,45.9,44.42,45.71,1105216,52.04
2026-03-11,45.69,46.7,44.62,44.81,791717,60.02
2026-03-12,44.59,46.26,43.47,45.17,1685592,75.89
2026-03-13,45.02,45.02,43.05,43.34,665232,64.53
2026-03-16,43.34,43.57,41.25,41.85,1046834,61.92
2026-03-17,41.85,42.41,41.31,41.54,588406,54.02
2026-03-18,41.96,45.27,41.82,44.93,1344249,49.91
2026-03-19,44.0,44.0,42.2,42.58,705714,62.4
2026-03-20,42.95,44.39,42.2,42.62,845071,49.43
2026-03-23,41.85,42.1,40.05,40.37,1458900,75.73
2026-03-24,41.55,43.0,41.06,42.21,775292,51.55
2026-03-25,42.45,43.9,41.35,41.73,1201899,61.98
2026-03-26,42.45,43.9,41.35,41.73,1201899,61.98
2026-03-27,41.56,41.8,39.05,39.4,1698683,59.17
2026-03-30,39.15,39.15,36.5,36.74,1287629,58.92
2026-03-31,39.15,39.15,36.5,36.74,1287629,58.92
2026-04-01,37.9,42.9,37.89,42.31,1622114,30.17
2026-04-02,40.64,45.4,40.05,44.94,1244558,35.21
2026-04-03,40.64,45.4,40.05,44.94,1244558,35.21
2026-04-06,44.94,47.31,43.86,46.5,898900,39.76
2026-04-07,46.5,48.95,45.36,47.99,719935,42.99
2026-04-08,49.2,49.95,48.75,49.42,699016,48.03
2026-04-09,49.6,50.81,48.1,48.48,735823,45.16
2026-04-10,48.31,50.5,48.31,49.64,469476,46.96
2026-04-13,48.64,50.48,47.5,48.33,567265,43.19
2026-04-14,48.64,50.48,47.5,48.33,567265,43.19
2026-04-15,49.15,50.75,49.15,50.46,692711,49.25
2026-04-16,51.0,54.99,51.0,52.8,2346666,34.57
2026-04-17,53.19,53.9,52.81,53.58,570991,50.47
2026-04-20,53.7,54.1,52.24,52.48,411525,50.53
2026-04-21,52.85,57.5,52.49,55.49,2605244,28.81
2026-04-22,55.68,55.79,53.59,53.92,844874,44.4
2026-04-23,53.6,54.72,53.26,53.45,456243,47.94
2026-04-24,53.3,53.63,52.3,52.51,367798,54.75
2026-04-27,52.6,53.4,52.5,52.98,436140,56.94
2026-04-28,53.38,53.38,52.0,52.25,368369,59.74
2026-04-29,52.4,53.14,49.69,49.98,1081261,59.79
2026-04-30,50.0,50.25,48.2,48.93,721074,48.31
2026-05-01,50.0,50.25,48.2,48.93,721074,48.31
2026-05-04,48.94,52.46,48.94,52.01,911923,43.43
2026-05-05,53.6,59.2,53.5,57.21,29699508,8.83
2026-05-06,59.7,61.5,58.1,58.58,8146815,20.78
2026-05-07,59.4,61.5,58.26,59.9,2137654,29.32
2026-05-08,60.15,60.15,58.25,58.5,792521,43.94
2026-05-11,58.5,58.7,56.05,56.39,798515,44.63
2026-05-12,56.25,56.72,53.03,53.41,626452,51.5
2026-05-13,52.0,55.06,51.74,54.03,779675,39.76
2026-05-14,55.18,56.5,51.43,52.4,2230266,31.44
2026-05-15,50.56,54.1,50.2,52.07,1933295,34.47
2026-05-18,51.14,51.6,49.06,49.33,861226,58.03
2026-05-19,50.0,51.39,49.65,49.95,746979,47.34
2026-05-20,49.5,50.21,48.8,48.98,608298,54.84
2026-05-21,49.01,50.56,48.61,48.87,874514,48.3
