DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-22,12.64,12.65,12.46,12.5,511517,64.56
2026-07-23,12.75,12.75,12.35,12.37,14612090,99.34
2026-07-24,12.43,12.43,12.21,12.34,891111,92.03
2026-07-27,12.45,12.53,12.45,12.51,1369182,94.24
2026-07-28,12.57,12.57,12.28,12.45,6607702,93.35
2026-07-29,12.51,12.56,12.47,12.55,657153,95.54
2026-07-30,12.79,12.79,12.35,12.45,2308931,76.96
2026-07-31,12.68,12.69,12.55,12.65,1858737,83.29
2026-08-03,12.9,12.9,12.52,12.72,1688150,78.77
2026-08-04,12.74,12.86,12.74,12.8,913267,85.61
2026-08-05,12.88,12.9,12.83,12.86,826668,95.52
2026-08-07,12.85,12.94,12.85,12.9,1069660,93.31
2026-08-10,12.93,14.99,12.9,12.98,3629242,67.4
