DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-12-04,30.25,30.34,30.04,30.16,987,53.09
2025-12-05,30.19,30.19,29.88,30.19,2072,87.55
2025-12-08,30.07,30.08,29.55,29.61,6131,96.72
2025-12-09,29.58,29.58,29.32,29.58,1457,70.42
2025-12-10,29.75,29.75,29.51,29.51,481,67.36
2025-12-11,29.51,29.82,29.51,29.81,1306,99.62
2025-12-12,29.94,30.03,29.77,30.03,2298,96.87
2025-12-15,29.95,30.2,29.93,30.2,874,99.89
2025-12-16,30.13,30.2,30.0,30.19,2346,83.21
2025-12-17,29.64,30.1,29.63,30.06,6294,73.88
2025-12-18,29.89,29.89,29.73,29.87,3761,91.07
2025-12-19,29.87,29.88,29.87,29.88,1642,100.0
2025-12-22,30.49,30.49,30.07,30.2,2116,99.91
2025-12-23,30.23,30.23,30.23,30.23,195,100.0
2025-12-24,30.23,30.23,30.16,30.23,1106,100.0
2025-12-25,30.23,30.23,30.16,30.23,1106,100.0
2025-12-26,30.23,30.23,30.1,30.23,263,100.0
2025-12-29,30.23,30.23,30.06,30.2,1750,99.89
2025-12-31,30.35,30.35,30.3,30.34,1697,100.0
2026-01-01,30.47,30.5,30.31,30.5,3336,88.25
2026-01-02,31.11,31.11,30.34,30.65,1239,89.51
2026-01-05,31.1,31.65,30.65,30.86,22169,92.8
2026-01-06,30.94,30.95,30.68,30.93,1573,99.3
2026-01-07,31.57,31.57,30.75,30.75,3728,54.4
2026-01-08,30.75,30.75,30.36,30.45,5932,96.58
2026-01-09,30.33,30.46,30.17,30.26,4428,92.34
2026-01-12,30.12,30.15,29.87,30.15,6907,59.1
2026-01-13,30.2,30.39,30.1,30.26,2605,79.62
2026-01-14,30.3,30.35,30.26,30.35,1051,70.12
2026-01-15,30.3,30.35,30.26,30.35,1051,70.12
2026-01-16,30.35,30.35,30.1,30.33,441,71.66
2026-01-19,30.33,30.35,30.27,30.27,2750,70.15
2026-01-20,30.3,30.33,29.88,29.88,11961,94.37
2026-01-21,29.89,29.9,29.5,29.72,11084,46.16
2026-01-22,28.7,30.2,28.7,30.12,12686,91.98
2026-01-23,30.27,30.29,29.9,29.9,2333,85.0
2026-01-26,30.27,30.29,29.9,29.9,2333,85.0
2026-01-27,29.8,30.01,29.23,29.31,857,81.91
2026-01-28,30.0,30.26,29.9,30.26,485,85.15
2026-01-29,30.26,30.38,30.0,30.38,2935,98.64
2026-01-30,30.34,30.38,30.09,30.1,662,75.83
2026-02-02,29.6,29.67,29.03,29.57,6318,63.93
2026-02-03,30.49,30.6,29.84,29.92,8676,79.82
2026-02-04,30.75,30.8,30.68,30.7,1625,74.52
2026-02-05,30.57,30.59,30.34,30.58,842,85.27
2026-02-06,30.58,30.91,30.46,30.85,2392,89.13
2026-02-09,30.88,31.03,30.7,31.03,2718,52.24
2026-02-10,31.15,31.3,31.06,31.16,5807,80.66
2026-02-11,31.93,31.93,31.25,31.43,6108,94.73
2026-02-12,31.43,31.43,31.24,31.24,736,99.86
2026-02-13,30.9,30.91,30.7,30.7,936,90.49
2026-02-16,30.7,30.91,30.23,30.25,5865,92.7
2026-02-17,30.66,30.93,30.31,30.4,2757,92.96
2026-02-18,30.93,31.25,30.86,31.23,13061,22.2
2026-02-19,31.38,31.8,30.33,30.66,4538,95.57
2026-02-20,31.01,31.2,30.99,31.13,878,78.02
2026-02-23,31.22,31.39,30.55,31.24,6671,97.6
2026-02-24,31.31,31.58,31.21,31.45,8583,85.15
2026-02-25,31.71,31.95,31.71,31.76,5936,71.98
2026-02-26,31.94,32.01,31.76,31.99,5154,93.23
2026-02-27,31.19,33.0,31.19,31.55,5943,95.49
2026-03-02,31.5,34.0,30.87,31.19,10581,76.69
2026-03-03,31.5,34.0,30.87,31.19,10581,76.69
2026-03-04,30.59,30.6,30.22,30.34,11436,89.72
2026-03-05,30.38,30.7,30.36,30.7,1740,81.26
2026-03-06,30.76,30.9,30.61,30.7,1705,86.51
2026-03-09,30.7,30.7,29.64,29.9,1899,94.68
2026-03-10,31.0,31.0,30.22,30.39,5119,98.77
2026-03-11,30.3,30.38,30.02,30.02,223,58.3
2026-03-12,29.9,29.9,29.54,29.82,442,93.44
2026-03-13,29.82,29.82,29.1,29.16,5217,99.96
2026-03-16,29.01,29.44,28.51,28.94,6520,99.77
2026-03-17,29.02,29.27,29.02,29.26,18,61.11
2026-03-18,29.35,29.53,29.3,29.3,4581,68.22
2026-03-19,28.95,30.44,27.7,28.67,6219,68.32
2026-03-20,28.9,28.95,28.72,28.72,594,63.97
2026-03-23,28.0,28.08,27.04,27.26,3831,71.23
2026-03-24,28.14,28.59,28.02,28.38,1469,82.3
2026-03-25,28.96,29.08,28.85,29.04,26,96.15
2026-03-26,28.96,29.08,28.85,29.04,26,96.15
2026-03-27,29.04,29.04,27.51,27.65,4826,45.19
2026-03-30,27.65,28.0,27.03,27.06,3031,88.91
2026-03-31,27.65,28.0,27.03,27.06,3031,88.91
2026-04-01,28.2,28.23,28.06,28.21,2254,99.96
2026-04-02,28.0,28.35,27.53,28.26,1412,92.63
2026-04-03,28.0,28.35,27.53,28.26,1412,92.63
2026-04-06,28.83,28.83,28.18,28.23,3061,85.76
2026-04-07,28.55,28.59,28.33,28.58,2989,68.69
2026-04-08,29.58,29.7,29.55,29.55,1634,77.36
2026-04-09,29.87,29.88,29.54,29.73,1763,70.56
2026-04-10,30.04,30.25,30.04,30.2,1320,65.98
2026-04-13,29.6,30.09,29.6,29.94,2713,67.42
2026-04-14,29.6,30.09,29.6,29.94,2713,67.42
2026-04-15,30.08,30.51,29.23,30.5,7367,79.41
2026-04-16,30.51,31.8,30.33,31.8,5683,83.86
2026-04-17,30.8,31.5,30.47,31.25,12920,96.96
2026-04-20,31.12,31.37,31.02,31.26,6949,81.93
2026-04-21,31.56,32.0,31.33,31.75,18585,82.69
2026-04-22,31.76,32.06,31.76,31.98,5946,57.74
2026-04-23,31.74,31.87,31.69,31.79,2456,50.94
2026-04-24,31.79,31.79,31.22,31.62,84286,97.21
2026-04-27,31.7,31.99,31.7,31.91,4540,76.37
2026-04-28,31.91,32.02,31.71,31.82,715,90.77
2026-04-29,31.82,32.15,31.82,31.99,757,70.81
2026-04-30,31.99,31.99,31.36,31.89,1101,99.82
2026-05-01,31.99,31.99,31.36,31.89,1101,99.82
2026-05-04,32.32,33.5,31.99,32.01,22679,62.61
2026-05-05,32.0,32.18,32.0,32.02,1048,99.52
