DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,568.0,574.6,556.4,567.5,27980,44.51
2025-04-15,572.0,586.9,570.85,577.55,17885,54.85
2025-04-16,582.5,591.45,576.0,583.0,26716,34.68
2025-04-17,587.8,589.2,575.0,576.6,15763,49.86
2025-04-21,580.85,588.95,573.05,586.2,14654,47.28
2025-04-22,589.0,590.95,577.8,585.1,13779,48.12
2025-04-23,589.3,623.0,576.45,612.85,44003,46.06
2025-04-24,610.0,620.0,602.05,603.9,13206,45.67
2025-04-25,607.1,609.75,576.95,598.9,29404,55.21
2025-04-28,595.6,595.6,580.0,584.4,25541,49.43
2025-04-29,589.0,593.55,581.0,583.15,8597,42.82
2025-04-30,581.1,587.0,571.6,572.9,17514,53.44
2025-05-02,575.05,577.2,564.3,569.25,11190,40.55
2025-05-05,567.0,577.25,562.9,573.0,12805,47.43
2025-05-06,577.5,577.5,550.0,555.75,13814,63.27
2025-05-07,555.0,574.7,548.8,555.95,38297,40.92
2025-05-08,558.75,574.0,547.6,550.45,36198,49.0
2025-05-09,545.0,547.3,520.15,542.6,26636,38.88
2025-05-12,552.0,574.0,552.0,568.3,23723,61.2
2025-05-13,572.95,577.75,565.1,568.35,32041,57.64
2025-05-14,571.9,576.4,563.55,570.0,30878,66.2
2025-05-15,572.95,597.0,570.95,592.6,32058,51.17
2025-05-16,598.0,598.0,585.15,591.95,30141,67.8
2025-05-19,596.0,635.4,596.0,623.55,50810,48.45
2025-05-20,628.3,628.3,608.25,611.0,24948,50.18
2025-05-21,619.9,624.8,605.55,616.0,11742,43.28
2025-05-22,615.9,618.0,602.0,607.75,17655,67.82
2025-05-23,609.8,615.75,603.15,605.25,43254,60.47
2025-05-26,609.5,615.85,603.5,610.6,26276,58.6
2025-05-27,612.4,618.95,582.2,593.05,141036,48.78
2025-05-28,593.3,616.0,593.3,606.15,48447,55.35
2025-05-29,607.05,611.95,600.0,606.65,20596,56.86
2025-05-30,606.65,609.75,594.95,599.15,22972,59.68
2025-06-02,599.15,609.05,590.9,602.7,23612,52.99
2025-06-03,612.1,617.0,602.7,603.4,23625,41.7
2025-06-04,603.0,612.0,599.55,609.0,15588,48.7
2025-06-05,609.0,625.1,609.0,615.9,30497,59.97
2025-06-06,620.8,620.8,600.0,610.55,17077,53.17
2025-06-09,616.8,628.6,615.0,620.05,19308,52.24
2025-06-10,624.3,627.0,615.1,621.85,24873,62.66
2025-06-11,622.0,630.85,617.5,622.25,24258,51.85
2025-06-12,622.95,634.85,610.0,615.85,29896,45.64
2025-06-13,612.05,617.25,601.55,612.3,12449,47.05
