DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-05-29,10.12,10.12,9.87,9.9,18570,78.4
2026-06-01,9.86,9.95,9.76,9.81,15609,87.18
2026-06-02,9.85,9.85,9.71,9.77,12923,37.65
2026-06-03,9.75,11.6,9.72,9.97,7547,91.18
2026-06-04,9.8,9.84,9.72,9.82,10499,52.47
2026-06-05,9.85,9.85,9.72,9.74,2711,99.52
2026-06-08,9.78,9.78,9.64,9.68,6324,96.92
2026-06-09,9.75,9.75,9.73,9.75,517,100.0
2026-06-10,9.75,9.75,9.7,9.71,653,100.0
2026-06-11,9.69,9.72,9.6,9.65,416,97.36
2026-06-12,9.69,9.84,9.69,9.84,4621,66.91
2026-06-15,10.02,10.02,9.92,9.93,2303,95.09
2026-06-16,9.97,10.04,9.93,10.03,735,85.03
2026-06-17,10.08,10.8,9.93,10.19,8139,58.71
2026-06-18,10.2,10.2,10.0,10.12,5824,88.77
2026-06-19,10.12,10.12,9.93,10.07,2105,52.78
2026-06-22,10.02,10.13,10.02,10.13,600,81.67
2026-06-23,10.15,10.15,9.96,10.0,583,64.84
2026-06-24,10.05,10.1,9.94,9.99,1250,80.72
2026-06-25,10.04,10.15,10.04,10.09,1032,99.81
2026-06-26,10.04,10.15,10.04,10.09,1032,99.81
2026-06-29,10.14,10.14,10.0,10.0,379,99.21
2026-06-30,10.0,10.04,9.95,9.97,878,95.67
2026-07-01,10.04,10.08,9.98,10.08,741,99.87
2026-07-02,10.33,10.33,10.01,10.14,1450,62.07
2026-07-03,10.16,10.18,10.06,10.14,891,99.1
2026-07-06,10.19,10.21,10.11,10.14,3079,80.74
2026-07-07,10.15,10.24,10.02,10.19,2518,99.44
2026-07-08,10.2,10.2,9.98,10.14,2874,100.0
2026-07-09,10.07,10.14,10.0,10.05,15876,98.74
2026-07-13,10.05,11.49,10.02,11.16,17492,69.2
2026-07-14,10.57,10.61,10.06,10.18,91767,87.47
2026-07-15,10.2,10.2,10.12,10.12,9826,89.81
2026-07-16,10.14,10.18,10.02,10.11,10928,91.6
2026-07-17,9.85,10.15,9.85,10.14,10285,99.43
2026-07-20,10.19,10.19,10.09,10.13,869,99.77
2026-07-21,10.18,10.19,10.08,10.14,4976,76.43
