DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-21,6.54,6.54,6.26,6.37,1158433,67.91
2025-07-22,6.4,6.48,6.2,6.4,1067946,77.56
2025-07-23,6.49,6.5,6.23,6.26,624542,68.42
2025-07-24,6.29,6.42,6.11,6.16,728674,49.53
2025-07-25,6.2,6.45,6.05,6.07,916939,50.78
2025-07-28,6.18,6.37,5.82,5.9,551605,65.39
2025-07-29,5.95,6.1,5.8,5.98,676400,54.35
2025-07-30,6.05,6.23,6.0,6.02,696916,68.59
2025-07-31,5.97,6.0,5.88,5.96,288234,67.5
2025-08-01,5.97,6.08,5.95,5.97,217368,65.37
2025-08-04,6.2,6.22,5.95,5.98,675120,80.93
2025-08-05,6.05,6.05,5.87,5.88,331478,72.45
2025-08-06,5.88,5.93,5.78,5.87,412664,63.29
2025-08-07,6.1,6.1,5.67,5.8,895752,49.83
2025-08-08,5.89,5.91,5.7,5.74,404257,76.47
2025-08-11,5.79,5.84,5.7,5.75,520845,59.9
2025-08-12,5.71,6.15,5.71,5.95,566356,46.33
2025-08-13,6.08,6.08,5.86,6.01,588319,65.41
2025-08-14,6.1,6.12,5.82,5.93,530289,59.14
2025-08-18,6.05,6.2,5.93,5.95,853321,52.6
2025-08-19,6.07,6.1,5.9,5.93,471953,53.3
2025-08-20,6.07,6.07,5.84,5.95,758665,62.44
2025-08-21,6.0,6.03,5.82,5.9,942585,61.03
2025-08-22,6.01,6.01,5.77,5.8,465955,61.77
2025-08-25,5.81,5.89,5.75,5.75,377486,64.93
2025-08-26,5.85,5.85,5.51,5.53,508874,59.63
2025-08-28,5.58,5.58,5.2,5.26,969753,70.02
2025-08-29,5.26,5.36,5.19,5.24,444431,55.54
2025-09-01,5.24,5.32,5.12,5.16,484584,64.7
2025-09-02,5.3,5.35,5.18,5.22,468863,57.55
2025-09-03,5.28,5.47,5.22,5.44,582499,60.54
2025-09-04,5.57,5.69,5.32,5.47,843436,44.93
2025-09-05,5.53,5.59,5.4,5.48,489211,52.85
2025-09-08,5.61,5.65,5.25,5.51,656722,51.79
2025-09-09,5.63,5.65,5.43,5.46,296424,60.07
2025-09-10,5.46,5.65,5.44,5.49,577687,42.19
2025-09-11,5.58,5.58,5.24,5.31,668909,58.65
2025-09-12,5.31,5.45,5.2,5.31,575736,55.58
2025-09-15,5.33,5.4,5.26,5.32,681655,59.59
2025-09-16,5.44,5.44,5.3,5.35,327099,63.74
2025-09-17,5.37,5.5,5.37,5.39,368597,61.29
2025-09-18,5.49,5.49,5.33,5.37,431302,61.6
2025-09-19,5.36,5.44,5.18,5.38,415584,72.34
2025-09-22,5.39,5.44,5.34,5.36,461372,74.86
2025-09-23,5.35,5.41,5.31,5.33,352979,73.28
2025-09-24,5.31,5.37,5.2,5.27,329194,64.36
2025-09-25,5.34,5.38,4.99,5.11,909692,73.09
2025-09-26,5.11,5.23,5.01,5.08,519549,67.94
2025-09-29,5.08,5.1,5.03,5.08,334596,88.17
2025-09-30,5.13,5.2,5.11,5.15,176335,72.57
2025-10-01,5.25,5.25,5.1,5.13,262142,66.42
2025-10-03,5.07,5.16,5.06,5.08,345915,85.82
2025-10-06,5.04,5.14,4.93,5.03,511534,75.1
2025-10-07,5.03,5.09,5.02,5.03,246724,71.27
2025-10-08,5.0,5.17,5.0,5.12,325612,71.92
2025-10-09,5.12,5.18,5.05,5.07,250596,78.68
2025-10-10,5.09,5.18,4.99,5.03,362491,63.55
2025-10-13,5.12,5.12,4.93,4.98,415545,72.29
2025-10-14,5.0,5.04,4.9,4.93,480621,77.33
2025-10-15,4.99,4.99,4.84,4.86,489976,74.57
2025-10-16,4.86,5.0,4.85,4.88,641116,45.25
2025-10-17,4.88,4.97,4.86,4.91,282901,64.73
2025-10-20,4.99,4.99,4.8,4.9,353007,69.74
2025-10-21,4.88,5.18,4.88,4.97,174331,79.61
2025-10-22,4.88,5.18,4.88,4.97,174331,79.61
2025-10-23,5.01,5.1,4.96,5.04,472042,67.02
2025-10-24,5.04,5.07,4.95,4.99,234548,71.48
2025-10-27,5.08,5.08,4.95,4.96,230936,64.44
2025-10-28,5.03,5.05,4.96,4.97,597904,68.54
2025-10-29,5.04,5.04,4.96,4.97,217899,60.34
2025-10-30,4.97,5.08,4.94,5.01,277828,75.58
2025-10-31,5.05,5.24,4.94,4.95,490032,68.18
2025-11-03,5.02,5.05,4.89,4.91,378655,87.34
2025-11-04,4.91,5.0,4.9,4.95,222804,61.12
2025-11-05,4.91,5.0,4.9,4.95,222804,61.12
2025-11-06,4.99,4.99,4.82,4.83,388794,75.96
2025-11-07,4.83,4.9,4.82,4.86,198295,69.57
2025-11-10,4.94,4.94,4.8,4.81,312119,67.46
2025-11-11,4.86,4.9,4.82,4.89,324666,71.1
2025-11-12,4.92,4.96,4.75,4.87,317500,59.09
2025-11-13,4.98,4.98,4.88,4.92,258476,79.27
2025-11-14,4.95,4.96,4.9,4.92,197111,76.54
2025-11-17,4.91,4.92,4.8,4.82,294063,71.22
2025-11-18,4.85,4.93,4.83,4.83,267978,73.56
2025-11-19,4.83,4.88,4.75,4.79,330729,75.37
2025-11-20,4.85,4.85,4.68,4.69,507973,91.48
2025-11-21,4.69,4.77,4.66,4.68,257604,75.31
2025-11-24,4.68,4.71,4.6,4.61,207356,74.59
2025-11-25,4.64,4.67,4.5,4.54,319777,71.03
2025-11-26,4.53,4.6,4.49,4.53,289003,64.1
2025-11-27,4.59,4.64,4.53,4.57,240222,70.01
2025-11-28,4.6,4.68,4.56,4.59,171524,72.43
2025-12-01,4.56,4.6,4.53,4.55,206070,70.68
2025-12-02,4.5,4.55,4.48,4.48,218331,88.87
2025-12-03,4.55,4.57,4.32,4.4,445302,67.12
2025-12-04,4.45,4.47,4.35,4.36,361337,79.34
2025-12-05,4.4,4.4,4.25,4.28,357932,71.09
2025-12-08,4.32,4.34,4.04,4.13,419479,65.39
2025-12-09,4.09,4.95,4.09,4.52,1162004,32.66
2025-12-10,4.72,5.17,4.62,4.88,1740001,43.96
2025-12-11,4.99,5.09,4.88,4.9,289047,76.58
2025-12-12,4.91,4.99,4.9,4.93,331847,73.78
2025-12-15,4.93,4.97,4.65,4.74,340225,66.18
2025-12-16,4.74,4.9,4.74,4.79,194470,57.69
2025-12-17,4.8,4.87,4.68,4.69,314118,69.9
2025-12-18,4.69,4.69,4.59,4.6,208817,60.09
2025-12-19,4.6,4.74,4.6,4.68,176629,71.36
2025-12-22,4.75,4.83,4.56,4.61,457984,55.87
2025-12-23,4.71,4.72,4.56,4.67,172703,63.47
2025-12-24,4.74,5.1,4.6,5.01,1171885,68.53
2025-12-25,4.74,5.1,4.6,5.01,1171885,68.53
2025-12-26,5.01,5.03,4.92,4.93,227403,79.48
2025-12-29,4.93,5.03,4.8,4.84,327049,69.44
2025-12-30,4.94,5.5,4.86,5.32,2972941,56.21
2025-12-31,5.5,5.69,5.05,5.44,2560029,61.42
2026-01-01,5.53,5.63,5.31,5.43,1008714,56.88
2026-01-02,5.35,5.47,5.25,5.37,561616,73.51
2026-01-05,5.3,5.42,5.1,5.16,585872,50.75
2026-01-06,5.26,5.29,4.95,4.99,512405,74.98
2026-01-07,5.09,5.15,5.0,5.02,272462,76.88
2026-01-08,5.11,5.17,4.95,4.97,443043,59.9
2026-01-09,5.1,5.28,4.75,4.87,618231,56.39
2026-01-12,4.85,5.05,4.58,4.63,874081,66.17
2026-01-13,4.66,4.83,4.66,4.69,450700,47.52
2026-01-14,4.81,4.85,4.7,4.76,152928,59.66
2026-01-15,4.81,4.85,4.7,4.76,152928,59.66
2026-01-16,4.84,4.97,4.78,4.91,378211,76.55
2026-01-19,5.0,5.19,4.75,4.86,668648,62.83
2026-01-20,4.86,4.9,4.55,4.66,516891,71.28
2026-01-21,4.54,4.66,4.46,4.58,492547,67.18
2026-01-22,4.61,4.88,4.6,4.69,306110,70.06
2026-01-23,4.76,4.78,4.6,4.66,181479,61.08
2026-01-26,4.76,4.78,4.6,4.66,181479,61.08
2026-01-27,4.87,4.87,4.63,4.67,274441,61.04
2026-01-28,4.7,4.85,4.7,4.79,278477,74.3
2026-01-29,4.79,5.04,4.6,4.96,666186,62.13
2026-01-30,4.94,5.05,4.62,4.84,616536,59.28
2026-02-02,4.98,5.02,4.64,4.86,509870,53.83
2026-02-03,5.06,5.06,4.76,4.84,319420,67.92
2026-02-04,4.91,4.91,4.82,4.85,198270,68.33
2026-02-05,4.92,4.94,4.78,4.82,198892,62.77
