DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,210.03,211.98,208.0,209.97,4046094,39.73
2025-04-15,212.94,218.55,212.08,215.91,6837356,38.72
2025-04-16,216.51,222.3,216.51,220.61,6643958,28.81
2025-04-17,221.89,222.19,216.24,217.78,6813390,41.26
2025-04-21,219.55,224.5,217.0,223.44,4774569,32.05
2025-04-22,224.55,224.99,217.08,217.7,5565620,41.64
2025-04-23,219.43,221.5,215.76,219.78,3939716,28.96
2025-04-24,219.54,221.4,218.02,220.04,3500579,46.23
2025-04-25,220.6,221.15,210.1,211.77,5550265,40.21
2025-04-28,209.21,219.4,209.2,218.57,4002455,36.92
2025-04-29,218.57,223.76,216.0,216.76,4910422,34.56
2025-04-30,216.0,216.97,211.2,211.9,2881446,38.65
2025-05-02,213.99,217.95,212.5,217.4,5042085,27.55
2025-05-05,217.9,222.31,216.05,221.16,3684489,38.06
2025-05-06,221.15,222.3,207.01,208.43,3934248,42.69
2025-05-07,204.25,215.0,204.0,214.2,3940907,29.86
2025-05-08,214.99,216.8,206.0,207.75,2382263,35.02
2025-05-09,201.6,207.9,201.5,206.46,2622525,27.15
2025-05-12,212.0,220.95,212.0,220.37,3824929,40.53
2025-05-13,220.49,222.54,218.5,220.15,3299485,34.34
2025-05-14,221.0,227.3,220.11,226.11,6169705,33.29
2025-05-15,227.9,230.93,224.15,229.45,6512104,43.44
2025-05-16,227.0,230.8,221.0,227.19,21023233,31.12
2025-05-19,230.0,238.85,229.43,235.44,10224481,25.41
2025-05-20,238.58,240.85,230.51,230.96,8075087,29.67
2025-05-21,232.5,237.3,230.81,233.54,4333929,23.94
2025-05-22,233.42,236.9,231.1,234.17,4407939,27.71
2025-05-23,234.4,234.9,230.01,232.77,2712534,37.8
2025-05-26,233.99,235.92,232.77,234.37,3121603,43.19
2025-05-27,234.5,237.3,233.52,234.09,2507734,37.53
2025-05-28,235.95,239.67,234.5,237.49,4715595,35.91
2025-05-29,238.09,238.89,235.2,236.41,2342352,42.94
2025-05-30,237.49,237.99,230.33,231.19,3005752,47.41
2025-06-02,231.19,236.75,229.75,235.91,2663440,39.35
2025-06-03,235.24,237.1,233.75,234.35,1611973,37.97
2025-06-04,234.39,238.1,230.61,235.75,3445416,43.01
2025-06-05,235.75,236.03,231.45,232.44,3342131,38.22
2025-06-06,234.3,239.4,232.69,237.89,4764193,49.37
2025-06-09,239.7,242.15,237.9,239.93,3857445,36.71
2025-06-10,241.1,241.8,238.56,239.11,1890875,43.17
2025-06-11,239.0,240.55,235.87,238.14,2545355,46.82
2025-06-12,238.0,238.9,230.77,231.55,2502052,55.42
2025-06-13,226.0,229.1,223.81,226.58,4349209,35.25
2025-06-16,226.58,229.74,221.89,229.3,2591529,33.15
2025-06-17,229.0,231.17,225.1,225.77,1484201,36.14
2025-06-18,225.0,227.85,222.05,223.63,1800779,26.87
