DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1730.0,1738.4,1666.0,1699.95,650989,35.24
2025-04-15,1718.3,1784.4,1708.0,1735.6,914908,39.95
2025-04-16,1741.2,1833.0,1736.1,1793.3,1471435,35.14
2025-04-17,1810.0,1861.0,1800.0,1854.4,1248178,27.85
2025-04-21,1862.6,1871.6,1812.3,1823.6,582098,45.69
2025-04-22,1830.0,1852.8,1811.7,1835.4,430369,38.12
2025-04-23,1840.2,1851.0,1792.8,1800.6,367621,51.07
2025-04-24,1809.0,1815.0,1784.0,1796.8,264170,52.99
2025-04-25,1796.9,1805.6,1750.0,1788.0,344206,37.25
2025-04-28,1780.0,1834.2,1779.4,1798.2,372475,42.23
2025-04-29,1812.0,1815.1,1770.6,1775.8,294111,49.73
2025-04-30,1765.8,1800.0,1744.6,1760.5,314492,49.97
2025-05-02,1770.0,1793.5,1728.1,1759.8,258783,39.8
2025-05-05,1770.0,1797.6,1760.9,1779.4,252388,48.85
2025-05-06,1785.0,1858.0,1776.8,1795.5,1541634,27.54
2025-05-07,1776.0,1834.8,1765.0,1821.8,355712,41.43
2025-05-08,1825.0,1847.7,1771.0,1789.7,355571,44.05
2025-05-09,1752.2,1788.9,1740.0,1779.1,238345,41.98
2025-05-12,1829.0,1835.3,1773.1,1780.9,315516,40.48
2025-05-13,1790.0,1795.0,1753.0,1775.2,195295,43.17
2025-05-14,1793.8,1810.6,1776.1,1779.3,225082,61.77
2025-05-15,1780.0,1805.0,1765.1,1790.7,184775,48.08
2025-05-16,1805.0,1823.3,1763.0,1774.6,258767,50.8
2025-05-19,1771.3,1774.3,1718.0,1752.4,377578,39.58
2025-05-20,1760.0,1769.9,1721.1,1727.5,183126,45.54
2025-05-21,1732.2,1760.0,1730.1,1741.7,246070,56.57
2025-05-22,1742.5,1760.4,1702.0,1722.7,246130,49.87
2025-05-23,1712.0,1749.3,1709.0,1724.4,196219,41.46
2025-05-26,1740.0,1869.9,1740.0,1776.9,3025773,18.12
2025-05-27,1781.6,1795.4,1735.0,1742.6,554284,52.19
2025-05-28,1745.0,1749.4,1711.0,1724.3,303976,45.52
2025-05-29,1724.3,1788.0,1715.6,1764.8,516501,45.07
2025-05-30,1764.7,1774.8,1734.9,1743.9,276768,53.22
2025-06-02,1745.0,1759.5,1730.8,1746.1,195596,47.86
2025-06-03,1756.5,1800.0,1743.6,1752.8,440134,48.38
2025-06-04,1756.0,1776.0,1722.3,1739.9,180287,40.98
2025-06-05,1743.9,1755.0,1734.0,1743.4,174083,53.28
2025-06-06,1749.8,1758.9,1730.4,1750.7,187771,38.91
2025-06-09,1767.0,1795.0,1752.9,1791.5,245607,49.63
2025-06-10,1800.4,1822.0,1791.5,1813.9,268613,43.61
2025-06-11,1826.5,1845.0,1814.0,1835.3,246027,51.32
2025-06-12,1835.5,1866.6,1804.0,1824.4,254600,47.1
2025-06-13,1796.2,1931.0,1788.3,1913.0,1673692,23.87
2025-06-16,1924.0,1957.0,1874.1,1934.1,807616,20.93
2025-06-17,1939.9,1951.1,1895.0,1903.1,442302,45.63
2025-06-18,1897.1,1946.0,1882.0,1903.9,315843,28.92
2025-06-19,1904.7,1928.0,1863.1,1873.8,254987,40.28
2025-06-20,1882.0,1925.0,1856.7,1903.4,422945,43.19
2025-06-23,1904.9,1996.7,1902.1,1985.3,914330,31.43
2025-06-24,1988.0,1996.5,1949.4,1989.1,372184,42.17
2025-06-25,1990.0,2098.7,1985.2,2058.7,666043,54.21
2025-06-26,2088.5,2145.9,2045.4,2073.3,1143820,38.4
2025-06-27,2079.0,2370.2,2022.2,2263.2,1922178,34.75
2025-06-30,2225.0,2225.0,2112.8,2170.4,1210580,33.9
2025-07-01,2180.0,2201.3,2076.2,2094.0,766832,41.53
2025-07-02,2094.9,2096.0,1973.4,1981.4,895485,37.47
2025-07-03,1989.2,2084.0,1989.2,2005.9,2212509,22.58
2025-07-04,2017.3,2020.0,1983.0,2011.4,427579,27.31
2025-07-07,2012.6,2017.9,1983.1,1990.3,212180,44.24
2025-07-08,1990.0,1995.0,1961.0,1964.9,243075,49.8
2025-07-09,1975.0,1993.9,1957.0,1969.2,300295,39.45
2025-07-10,1982.0,1984.9,1956.9,1970.1,209535,46.37
2025-07-11,1979.6,2028.0,1970.1,2007.0,462829,32.01
2025-07-14,2020.5,2045.0,2002.0,2019.8,406980,35.75
2025-07-15,2026.9,2032.0,1972.5,1984.5,315268,45.61
2025-07-16,1985.0,1990.8,1945.0,1951.3,309312,53.06
2025-07-17,1951.3,1989.0,1951.3,1961.3,272551,37.83
2025-07-18,1965.2,1969.8,1930.3,1951.8,231671,42.67
2025-07-21,1951.8,1968.7,1910.3,1915.8,367874,58.52
2025-07-22,1924.9,1992.0,1924.4,1985.5,567165,30.0
2025-07-23,1995.2,2005.0,1983.9,1993.9,223181,42.29
2025-07-24,1998.0,2014.8,1970.6,1980.6,296144,58.77
2025-07-25,1970.2,2001.5,1962.7,1991.6,220427,47.29
2025-07-28,1975.0,2013.8,1971.7,1991.3,282263,56.88
2025-07-29,1976.4,2001.0,1965.1,1982.6,208843,57.64
2025-07-30,1984.4,1995.0,1935.0,1937.8,180947,45.28
2025-07-31,1924.0,1983.0,1909.8,1915.2,408346,41.78
2025-08-01,1915.2,1963.7,1911.2,1945.5,272815,41.53
2025-08-04,1915.5,1924.5,1790.1,1829.7,1255491,30.11
2025-08-05,1842.9,1850.3,1801.5,1807.5,339817,46.62
2025-08-06,1808.4,1830.0,1762.3,1768.6,490147,59.98
2025-08-07,1750.0,1788.1,1736.6,1777.8,559734,58.99
2025-08-08,1779.0,1779.4,1726.0,1737.2,390580,63.02
2025-08-11,1727.0,1773.0,1700.0,1765.6,461022,54.6
2025-08-12,1774.3,1832.5,1773.8,1811.8,316793,39.15
2025-08-13,1820.0,1840.0,1799.4,1830.9,273295,36.83
2025-08-14,1839.0,1840.0,1801.4,1812.0,202572,42.6
2025-08-18,1812.0,1847.1,1803.1,1834.1,288049,50.47
2025-08-19,1843.0,1854.0,1822.5,1847.1,242090,64.03
2025-08-20,1847.0,1853.0,1830.0,1839.1,172817,62.15
2025-08-21,1848.0,1855.0,1824.0,1847.9,153041,47.04
2025-08-22,1847.9,1848.9,1810.0,1813.7,137698,51.31
2025-08-25,1822.7,1853.0,1821.0,1845.8,194397,62.5
2025-08-26,1845.0,1849.0,1772.0,1777.2,312063,59.22
2025-08-28,1784.9,1787.7,1748.3,1754.0,216906,66.44
2025-08-29,1749.0,1779.1,1741.2,1753.8,185646,65.13
2025-09-01,1754.0,1795.2,1740.6,1785.2,202102,55.45
2025-09-02,1785.4,1793.9,1762.8,1766.3,153094,56.76
2025-09-03,1774.8,1820.0,1757.0,1809.2,284953,47.63
2025-09-04,1819.6,1844.0,1790.3,1837.5,274481,50.7
2025-09-05,1829.0,1837.1,1781.1,1785.6,353412,69.3
2025-09-08,1795.2,1798.9,1757.0,1784.7,282442,45.85
2025-09-09,1784.7,1792.1,1739.0,1745.3,259623,59.41
2025-09-10,1760.0,1789.2,1754.0,1782.4,223887,54.73
2025-09-11,1780.0,1784.1,1726.1,1738.4,415354,61.4
2025-09-12,1749.9,1775.7,1741.0,1764.3,219410,52.62
2025-09-15,1755.5,1786.8,1752.1,1772.8,180914,52.26
2025-09-16,1772.8,1798.9,1771.2,1785.5,208138,62.97
2025-09-17,1793.0,1834.8,1783.4,1807.1,352317,51.76
2025-09-18,1810.0,1814.0,1779.7,1787.8,141857,60.89
2025-09-19,1794.5,1798.2,1752.0,1772.8,1192184,55.5
2025-09-22,1777.9,1778.0,1731.0,1739.3,220456,57.35
2025-09-23,1747.5,1758.8,1726.1,1733.2,181344,61.06
2025-09-24,1741.8,1742.5,1714.9,1721.2,241402,75.41
2025-09-25,1729.5,1736.0,1715.0,1720.4,156942,66.6
2025-09-26,1727.8,1730.9,1692.5,1725.0,234625,66.8
2025-09-29,1740.0,1785.0,1721.3,1772.8,401359,60.17
2025-09-30,1780.0,1789.9,1732.8,1737.6,246775,56.01
2025-10-01,1730.0,1760.7,1715.0,1731.5,271139,56.33
2025-10-03,1741.9,1803.0,1737.9,1753.0,477609,54.87
2025-10-06,1759.2,1852.0,1731.0,1789.4,1659235,29.91
2025-10-07,1790.3,1825.0,1765.0,1781.4,492281,52.79
2025-10-08,1790.3,1793.0,1765.2,1779.9,422084,69.57
2025-10-09,1793.0,1793.0,1751.1,1774.4,242113,49.34
2025-10-10,1782.9,1790.0,1762.3,1769.9,209660,52.45
2025-10-13,1769.8,1778.0,1745.1,1759.0,196429,57.18
2025-10-14,1755.2,1764.0,1732.8,1743.8,275902,64.32
2025-10-15,1752.5,1767.9,1743.0,1748.6,209890,60.76
2025-10-16,1755.0,1775.0,1751.1,1764.7,173114,49.91
2025-10-17,1772.0,1787.1,1750.2,1755.4,296678,51.37
2025-10-20,1764.1,1780.0,1756.0,1761.9,218113,58.4
2025-10-21,1775.0,1786.0,1774.1,1780.2,42705,59.42
2025-10-22,1775.0,1786.0,1774.1,1780.2,42705,59.42
2025-10-23,1781.0,1786.0,1750.1,1759.8,210665,52.04
2025-10-24,1768.0,1768.0,1727.1,1734.9,212763,61.83
2025-10-27,1734.8,1755.0,1725.4,1749.3,203819,63.68
2025-10-28,1750.1,1783.0,1750.1,1776.0,202256,56.23
2025-10-29,1775.2,1807.7,1771.2,1799.9,193285,67.26
2025-10-30,1799.9,1805.4,1778.4,1794.9,148237,60.77
2025-10-31,1809.0,1816.1,1732.0,1757.4,621379,69.05
2025-11-03,1768.0,1797.0,1746.4,1785.0,301933,54.76
2025-11-04,1792.0,1862.9,1783.0,1830.3,925703,48.64
2025-11-05,1792.0,1862.9,1783.0,1830.3,925703,48.64
2025-11-06,1843.7,1843.7,1809.6,1819.9,318645,55.52
2025-11-07,1820.0,1823.4,1777.8,1810.4,190620,48.59
2025-11-10,1817.9,1834.0,1794.6,1812.3,206573,48.21
2025-11-11,1816.0,1816.0,1746.6,1758.8,441446,60.64
2025-11-12,1768.0,1787.3,1735.0,1759.2,539086,64.56
2025-11-13,1763.9,1799.0,1756.9,1777.1,329567,68.2
2025-11-14,1779.0,1783.0,1745.2,1753.5,172634,52.28
2025-11-17,1835.0,2093.3,1829.3,2008.2,13331752,10.85
2025-11-18,2008.0,2048.7,1935.8,1951.7,4611999,15.64
2025-11-19,1950.0,2030.0,1922.7,1991.2,2948398,25.14
2025-11-20,1995.0,2044.0,1995.0,2017.0,1192447,28.87
2025-11-21,2007.0,2068.0,1982.7,2043.2,1140449,29.06
2025-11-24,2043.5,2061.9,1967.0,1975.8,846322,47.63
2025-11-25,1980.8,1995.0,1934.6,1957.3,1897297,68.97
2025-11-26,1961.1,1987.5,1946.3,1967.1,372667,42.78
2025-11-27,1986.5,2006.0,1943.0,1951.2,394214,38.23
2025-11-28,1958.2,1966.3,1931.8,1945.5,292348,37.41
2025-12-01,1965.7,1975.0,1905.0,1910.6,421845,42.29
2025-12-02,1920.0,1935.0,1898.1,1910.3,340189,59.75
2025-12-03,1916.0,1965.4,1893.0,1955.2,766632,49.98
2025-12-04,1955.2,1960.2,1927.1,1937.6,347289,50.79
2025-12-05,1937.6,1961.0,1910.0,1916.9,270066,40.82
2025-12-08,1915.0,1948.2,1880.0,1924.6,424265,46.75
2025-12-09,1925.0,1929.0,1875.3,1889.3,458431,48.01
2025-12-10,1890.0,1897.6,1850.0,1857.6,243536,48.1
2025-12-11,1866.7,1904.8,1853.5,1884.9,246976,42.0
2025-12-12,1894.9,1894.9,1865.8,1870.2,168262,40.98
2025-12-15,1863.0,1908.0,1845.4,1900.2,253852,41.81
2025-12-16,1898.4,1932.0,1880.8,1892.9,311367,41.51
2025-12-17,1892.2,1893.9,1854.1,1874.6,203584,51.72
2025-12-18,1875.5,1882.9,1823.7,1837.0,260271,50.94
2025-12-19,1846.1,1946.0,1839.7,1898.6,646192,55.05
2025-12-22,1900.2,1914.8,1882.5,1896.6,150198,45.35
2025-12-23,1888.0,1899.9,1868.8,1876.6,113243,51.49
2025-12-24,1870.0,1884.7,1865.6,1876.2,118927,44.55
2025-12-25,1870.0,1884.7,1865.6,1876.2,118927,44.55
2025-12-26,1885.0,1886.8,1855.1,1859.5,130093,46.69
