DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,23.3,23.3,21.75,22.71,19945,64.14
2025-04-15,22.95,25.03,22.71,23.24,98795,35.13
2025-04-16,23.71,23.98,23.1,23.35,17661,62.39
2025-04-17,23.53,23.83,22.56,23.5,6017,68.71
2025-04-21,23.88,24.06,23.31,23.5,8462,55.65
2025-04-22,23.88,23.99,23.54,23.67,15524,55.64
2025-04-23,24.75,24.75,23.25,23.57,6819,39.68
2025-04-24,23.92,23.92,23.11,23.21,5219,77.14
2025-04-25,23.0,23.73,22.02,22.17,14738,77.47
2025-04-28,22.17,22.75,21.51,22.31,22741,46.57
2025-04-29,22.91,23.98,22.27,23.05,66897,56.19
2025-04-30,23.4,23.44,22.11,22.29,7654,50.93
2025-05-02,23.28,23.28,22.11,22.33,3813,72.04
2025-05-05,24.87,24.87,22.61,23.08,4002,43.28
2025-05-06,23.08,23.08,22.36,22.68,3345,63.68
2025-05-07,22.25,22.89,21.62,22.26,7909,62.33
2025-05-08,22.59,23.38,21.6,22.16,4919,59.85
2025-05-09,22.67,22.67,21.52,21.82,7956,63.46
2025-05-12,22.26,22.89,22.26,22.67,3275,74.44
2025-05-13,22.99,22.99,21.92,22.35,6302,62.95
2025-05-14,22.35,22.99,22.12,22.86,5630,55.74
2025-05-15,24.93,25.45,22.38,25.29,91489,67.25
2025-05-16,25.44,26.8,24.81,25.34,13876,65.34
2025-05-19,26.58,26.96,24.56,25.22,50922,47.88
2025-05-20,25.2,25.98,24.28,24.58,12328,76.07
2025-05-21,24.83,25.53,24.22,24.56,17146,46.87
2025-05-22,24.91,24.91,24.08,24.53,10470,56.7
2025-05-23,24.96,24.96,23.6,23.91,9419,67.82
2025-05-26,24.02,24.95,24.0,24.26,9134,69.03
2025-05-27,24.72,24.89,23.2,24.52,12755,41.71
2025-05-28,25.2,28.5,24.5,26.64,56821,82.41
2025-05-29,26.78,27.28,25.5,25.98,34489,73.15
2025-05-30,25.6,26.98,25.6,25.82,7510,54.82
2025-06-02,25.5,30.98,25.5,30.98,465459,38.11
2025-06-03,33.0,37.17,32.65,37.17,1324763,37.94
2025-06-04,35.88,35.88,33.45,33.66,518560,45.19
2025-06-05,33.01,34.62,30.55,30.96,164378,65.57
2025-09-08,24.06,28.9,24.06,25.67,56730,36.03
2025-09-09,26.18,28.23,25.59,28.23,65469,91.73
2025-09-10,30.49,31.0,28.01,28.7,214131,48.58
2025-09-11,28.13,28.95,26.6,27.25,24233,63.04
2025-09-12,28.59,29.97,27.25,29.97,142451,59.9
2025-09-15,30.29,32.6,28.17,31.94,218309,56.74
2025-09-16,32.34,34.09,30.8,33.66,107663,63.5
2025-09-17,33.99,33.99,32.15,32.93,43761,65.16
2025-09-18,31.9,32.0,30.17,31.68,51709,56.26
2025-09-19,31.01,32.69,31.01,31.95,100582,53.5
2025-09-22,32.38,32.38,30.1,30.15,22470,77.25
2025-09-23,31.18,31.18,28.41,29.58,45483,73.5
2025-09-24,29.58,29.75,28.32,28.49,42510,56.0
2025-09-25,28.89,29.12,28.05,28.42,14000,85.52
2025-09-26,27.65,28.63,27.2,27.66,14359,78.73
2025-09-29,27.0,28.6,27.0,27.97,10136,64.19
2025-09-30,26.25,29.39,26.25,28.17,28436,72.01
2025-10-01,27.6,28.49,26.5,27.34,22948,64.82
2025-10-03,27.53,28.46,27.2,28.04,6277,67.34
2025-10-06,28.04,28.99,26.15,28.02,15369,68.3
2025-10-07,27.1,28.79,27.1,28.09,23708,87.3
2025-10-08,28.65,30.05,27.02,29.6,33790,53.85
2025-10-09,29.59,31.48,28.42,30.76,56574,62.78
2025-10-10,29.49,31.75,29.49,30.92,26959,53.8
2025-10-13,30.5,30.98,28.3,29.38,51785,63.17
2025-10-14,30.6,30.6,28.4,28.71,13248,44.84
2025-10-15,28.5,29.94,28.21,29.58,11414,58.5
2025-10-16,29.9,29.9,28.61,28.86,8561,66.01
2025-10-17,29.68,29.68,28.21,28.82,14712,69.45
2025-10-20,28.75,29.8,27.68,28.81,3650,68.22
2025-10-21,29.51,34.5,28.01,33.23,665889,26.88
2025-10-22,29.51,34.5,28.01,33.23,665889,26.88
2025-10-23,34.0,34.0,31.11,31.89,135260,51.18
2025-10-24,32.4,33.0,31.3,31.97,31982,73.7
2025-10-27,32.6,33.45,31.01,31.19,39235,58.64
2025-10-28,30.71,31.97,30.2,30.47,27573,62.55
2025-10-29,31.08,31.48,29.52,30.33,18081,73.33
2025-10-30,31.45,31.45,30.03,30.21,26175,65.44
2025-10-31,30.02,30.9,29.57,29.96,18586,64.33
2025-11-03,30.56,32.0,28.81,29.54,102033,32.07
2025-11-04,29.4,30.79,28.52,29.54,34899,49.07
2025-11-05,29.4,30.79,28.52,29.54,34899,49.07
2025-11-06,29.55,29.92,27.01,27.72,64168,79.26
2025-11-07,27.32,27.6,26.82,27.22,23389,69.13
2025-11-10,26.82,27.97,26.82,27.41,26431,45.02
2025-11-11,27.41,27.41,26.81,26.93,7360,76.58
2025-11-12,26.9,31.4,26.9,30.39,155365,62.99
