DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,56.71,58.9,56.71,57.88,33686,50.62
2025-04-15,59.48,62.0,58.67,60.1,63054,43.1
2025-04-16,59.05,61.99,59.05,60.82,47527,73.06
2025-04-17,60.85,61.97,59.5,60.25,21905,70.59
2025-04-21,60.0,63.5,59.7,60.75,68032,70.28
2025-04-22,59.7,62.53,59.7,60.88,25230,74.97
2025-04-23,60.8,61.24,58.61,59.71,28521,61.73
2025-04-24,59.0,62.5,59.0,61.6,72052,62.05
2025-04-25,62.98,68.0,59.5,60.48,323322,39.29
2025-04-28,61.2,62.88,58.75,59.44,42071,36.12
2025-04-29,60.26,61.0,58.52,58.9,32459,68.97
2025-04-30,58.9,59.64,56.58,57.52,38286,58.36
2025-05-02,57.52,57.52,54.8,55.19,33483,64.83
2025-05-05,55.01,58.0,54.98,55.52,18335,57.72
2025-05-06,58.0,58.0,53.12,54.3,28645,46.05
2025-05-07,52.0,55.7,52.0,53.46,15064,47.59
2025-05-08,57.85,57.85,54.0,54.53,27794,76.17
2025-05-09,53.89,53.89,51.31,52.63,31050,52.49
2025-05-12,53.98,61.2,53.98,58.5,143637,52.26
2025-05-13,59.0,60.99,56.82,57.37,29485,61.13
2025-05-14,58.56,60.88,58.01,58.92,31178,72.53
2025-05-15,59.75,63.0,59.01,60.2,36030,75.57
2025-05-16,62.59,62.59,57.8,58.23,39036,50.85
2025-05-19,58.23,61.49,58.21,60.5,52000,75.22
2025-05-20,61.0,61.8,56.1,57.19,59006,73.04
2025-05-21,58.0,58.91,57.05,57.86,12190,47.37
2025-05-22,58.45,59.91,56.56,59.27,14512,63.41
2025-05-23,57.99,62.25,57.95,59.44,82366,56.45
2025-05-26,59.91,60.5,58.4,59.66,26557,59.09
2025-05-27,60.0,60.0,58.02,58.64,14135,64.75
2025-05-28,59.65,59.65,58.07,58.55,3224,66.78
2025-05-29,59.06,59.4,57.75,58.18,13108,44.12
2025-05-30,58.26,59.36,57.8,58.67,20659,54.23
2025-06-02,59.63,59.63,57.81,58.04,16142,50.25
2025-06-03,58.0,58.0,56.22,56.82,30132,45.35
2025-06-04,56.23,56.89,55.11,56.34,19296,41.77
2025-06-05,55.34,56.99,55.34,56.6,11029,80.22
2025-06-06,57.86,57.88,55.55,56.12,13627,84.41
2025-06-09,56.19,58.8,56.1,56.98,23412,60.87
2025-06-10,58.49,58.49,55.85,56.2,24931,60.98
2025-06-11,57.2,57.75,56.5,56.6,29018,64.7
2025-06-12,56.54,56.6,56.0,56.07,15616,83.41
2025-06-13,54.1,56.0,54.1,55.07,14976,54.51
2025-06-16,54.2,55.57,54.2,54.65,10972,44.69
2025-06-17,55.82,56.1,54.06,54.52,8338,50.59
2025-06-18,54.7,55.5,54.02,54.36,12880,34.39
2025-06-19,54.63,55.3,52.5,52.88,16946,55.09
2025-06-20,52.97,54.99,52.8,53.82,13797,44.52
2025-06-23,52.7,54.82,52.7,54.02,10600,71.75
2025-06-24,54.02,58.0,53.92,55.56,27125,64.5
2025-06-25,55.61,56.41,54.83,55.65,41619,47.37
2025-06-26,56.7,57.55,55.02,55.89,16854,30.98
2025-06-27,56.49,56.49,55.1,55.47,36219,51.92
2025-06-30,55.05,55.99,54.15,54.67,35987,43.72
2025-07-01,54.67,55.59,53.68,53.86,17135,54.89
2025-07-02,54.94,54.94,53.12,53.8,13791,38.0
2025-07-03,54.18,54.5,53.12,54.36,23914,60.35
2025-07-04,54.0,54.55,51.5,52.95,22358,57.56
2025-07-07,53.2,53.38,51.81,52.79,14433,43.82
2025-07-08,54.2,54.55,52.7,53.36,10711,48.89
2025-07-09,53.2,53.5,52.0,52.25,18202,65.46
2025-07-10,52.49,53.19,51.0,51.55,38539,70.32
2025-07-11,50.6,52.97,50.6,52.39,14954,60.99
2025-07-14,53.4,53.4,51.61,52.06,11277,54.54
2025-07-15,52.0,52.98,51.0,51.44,13122,57.81
2025-07-16,52.77,55.79,51.9,53.3,58470,41.72
2025-07-17,52.61,53.49,51.15,51.89,22435,58.36
2025-07-18,52.95,53.09,51.76,52.72,11529,65.64
2025-07-21,53.0,53.0,51.83,51.95,15674,65.9
2025-07-22,51.95,52.59,51.4,51.47,17876,69.72
2025-07-23,51.92,52.5,51.1,51.37,52463,73.31
2025-07-24,51.99,52.0,50.72,51.31,14641,80.81
2025-07-25,51.0,52.0,50.57,51.13,13252,45.5
2025-07-28,52.0,52.0,49.11,49.69,28433,76.07
2025-07-29,49.0,51.99,49.0,51.06,12369,30.2
2025-07-30,51.06,52.0,50.4,51.68,15764,80.73
2025-07-31,51.75,51.98,49.81,50.9,6869,60.01
2025-08-01,51.99,51.99,50.35,50.82,2059,53.76
2025-08-04,50.35,51.75,49.51,50.85,4913,41.34
2025-08-05,50.85,50.91,49.22,50.13,5614,38.33
2025-08-06,51.27,51.27,48.22,49.0,22600,24.69
2025-08-07,48.62,50.8,48.52,50.72,22846,26.22
2025-08-08,50.95,50.95,48.5,49.52,11453,25.29
2025-08-11,51.93,51.93,47.1,48.65,15557,47.48
2025-08-12,51.0,51.0,48.3,49.36,10134,58.58
2025-08-13,49.35,50.2,48.0,49.67,16100,48.8
2025-08-14,48.9,50.94,43.4,45.37,85297,67.07
2025-08-18,45.5,47.99,45.5,46.93,23390,48.79
2025-08-19,48.84,49.55,46.67,48.73,18933,45.76
2025-08-20,48.73,48.73,47.12,47.76,7506,51.0
2025-08-21,48.49,52.0,47.25,50.16,17167,76.76
2025-08-22,50.16,50.19,48.03,48.7,12779,43.36
2025-08-25,50.66,50.66,46.0,46.3,29014,52.01
2025-08-26,47.99,49.7,45.55,46.83,14770,67.06
2025-08-28,48.0,48.28,46.73,47.79,9460,58.44
2025-08-29,47.56,47.99,45.4,46.49,15136,72.48
2025-09-01,48.69,48.69,45.6,46.14,15085,68.54
2025-09-02,46.51,47.5,46.01,46.46,23951,73.62
2025-09-03,46.98,48.89,46.27,47.16,24845,50.48
2025-09-04,47.73,48.23,46.71,46.82,7950,58.7
2025-09-05,46.4,47.58,46.4,46.66,4656,58.7
2025-09-08,46.93,48.98,46.93,47.99,43106,73.43
2025-09-09,47.02,49.38,47.02,47.97,8092,42.6
2025-09-10,49.0,49.0,46.59,47.38,14970,52.02
2025-09-11,47.15,49.48,46.65,48.7,42760,77.37
2025-09-12,49.47,49.47,47.21,48.76,48967,65.45
2025-09-15,47.5,51.98,47.07,48.17,165408,34.36
2025-09-16,48.5,49.69,47.35,47.49,56675,85.54
2025-09-17,48.2,48.79,46.8,47.0,50416,68.34
2025-09-18,46.36,48.99,46.36,47.63,157334,28.0
2025-09-19,47.01,48.26,46.25,46.85,31650,66.71
2025-09-22,46.78,48.09,45.27,46.11,44482,41.44
2025-09-23,46.76,46.76,45.63,45.79,11084,63.18
2025-09-24,46.01,47.58,45.51,46.84,21723,58.25
2025-09-25,46.1,47.47,45.7,45.75,15061,53.18
2025-09-26,45.18,46.96,44.46,45.42,23015,53.9
2025-09-29,45.2,47.2,45.05,45.53,13496,43.9
2025-09-30,46.49,46.78,45.0,45.79,8130,40.52
2025-10-01,45.11,46.79,45.11,46.4,18005,56.91
2025-10-03,47.1,49.0,46.0,46.48,17714,38.86
2025-10-06,47.15,47.35,45.8,45.95,9679,37.11
2025-10-07,47.25,47.25,44.88,45.19,21356,56.01
2025-10-08,45.04,45.99,43.77,44.07,22043,49.25
2025-10-09,40.0,43.47,35.25,36.0,1199642,53.44
2025-10-10,35.79,36.48,34.7,35.04,190342,49.07
2025-10-13,35.0,35.78,30.37,32.78,593810,45.7
2025-10-14,33.39,34.95,30.55,30.87,251039,48.38
2025-10-15,30.9,31.85,29.5,29.8,147551,65.38
2025-10-16,29.8,30.59,28.4,28.6,213272,63.77
2025-10-17,28.6,31.46,28.4,31.46,240541,67.29
2025-10-20,32.39,34.6,32.39,34.6,214797,61.4
