DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-04-20,540.0,549.95,516.03,539.79,5900,92.59
2026-04-21,542.49,549.4,540.0,544.74,3492,78.18
2026-04-22,546.92,549.97,541.52,545.03,11690,94.47
2026-04-23,545.0,547.0,544.08,545.38,3987,92.15
2026-04-24,545.38,552.0,543.0,550.02,12483,96.05
2026-04-27,550.02,569.9,546.31,554.46,6815,59.22
2026-04-28,556.68,567.97,556.68,560.83,32269,95.17
2026-04-29,565.0,565.0,557.81,560.0,26181,97.24
2026-04-30,560.02,571.76,558.07,570.59,8389,86.83
2026-05-01,560.02,571.76,558.07,570.59,8389,86.83
2026-05-04,570.6,575.0,569.75,571.6,13782,88.14
2026-05-05,574.5,583.9,574.45,579.35,7593,77.03
2026-05-06,584.0,584.0,575.3,579.95,17810,91.97
2026-05-07,583.35,584.0,579.2,581.7,8647,80.76
2026-05-08,584.0,589.0,584.0,585.4,5250,83.24
2026-05-11,589.0,589.0,576.75,585.0,16224,90.53
2026-05-12,557.15,618.9,557.15,593.55,37492,54.95
2026-05-13,593.0,617.6,590.6,597.3,5164,76.63
2026-05-14,598.35,609.75,598.0,598.2,3943,74.54
2026-05-15,598.2,602.9,596.85,598.05,5816,79.25
2026-05-18,609.0,609.0,600.3,604.3,15131,91.92
2026-05-19,609.0,620.0,602.1,605.75,6750,75.66
2026-05-20,614.5,614.5,595.85,607.25,4569,71.33
2026-05-21,610.2,614.9,610.0,612.5,3299,65.05
2026-05-22,611.0,627.8,611.0,619.5,22016,90.13
2026-05-25,628.35,630.0,615.2,625.5,4551,57.64
2026-05-26,620.0,634.8,610.1,615.2,14132,67.03
2026-05-27,615.1,617.55,610.35,615.6,9455,70.59
2026-05-28,615.1,617.55,610.35,615.6,9455,70.59
2026-05-29,610.0,621.7,602.0,602.2,30043,84.14
2026-06-01,611.25,614.95,582.15,602.85,34675,79.84
2026-06-02,605.15,612.95,599.0,606.05,32520,80.62
2026-06-03,610.55,625.0,605.1,611.9,5256,72.43
2026-06-04,605.0,625.15,605.0,619.4,2530,48.93
2026-06-05,619.4,623.95,609.05,615.15,7385,84.56
2026-06-08,590.55,619.9,590.55,615.05,5871,81.37
2026-06-09,612.0,620.0,612.0,617.15,6684,89.68
2026-06-10,620.0,623.95,619.25,620.05,11402,87.48
2026-06-11,625.7,625.7,618.7,619.85,4183,92.83
2026-06-12,619.95,623.9,618.65,620.0,7212,91.81
2026-06-15,610.0,628.8,610.0,620.1,2543,69.29
2026-06-16,623.7,624.0,618.0,620.05,4849,86.18
2026-06-17,621.2,623.75,600.85,616.45,34336,86.97
2026-06-18,619.5,624.0,619.5,620.45,9721,87.02
2026-06-19,620.0,623.65,619.15,620.25,5478,76.82
2026-06-22,623.7,623.7,620.0,620.4,1305,79.31
2026-06-23,620.5,622.15,620.0,620.0,2169,78.79
2026-06-24,620.2,625.9,618.1,619.95,3630,87.19
2026-06-25,616.25,623.9,616.25,620.1,5054,82.87
2026-06-26,616.25,623.9,616.25,620.1,5054,82.87
2026-06-29,608.3,624.95,608.3,619.7,4241,73.31
2026-06-30,620.15,623.95,618.05,620.25,4514,82.61
2026-07-01,628.45,628.45,619.05,620.05,3014,68.94
2026-07-02,620.05,623.95,619.25,620.45,2996,59.15
2026-07-03,621.1,621.1,609.1,620.05,4370,88.35
2026-07-06,615.0,621.1,615.0,619.95,1676,96.54
2026-07-07,620.0,623.7,620.0,620.05,2218,91.88
2026-07-08,620.0,621.1,619.7,620.05,2523,92.03
2026-07-09,615.0,622.0,615.0,620.0,5270,92.31
2026-07-10,628.95,628.95,617.1,619.3,4063,86.24
2026-07-13,610.15,632.0,604.6,629.2,7325,84.56
2026-07-14,629.2,657.0,624.5,647.95,66699,50.53
2026-07-15,655.0,657.0,638.0,642.85,8406,63.07
2026-07-16,637.55,649.0,618.9,620.0,27468,60.09
