DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,263.82,264.0,257.77,259.86,1469,63.92
2025-04-15,259.87,268.54,259.87,267.65,927,88.35
2025-04-16,269.08,273.13,269.07,272.09,4554,62.52
2025-04-17,271.11,279.72,271.11,277.9,5690,88.58
2025-04-21,277.9,285.13,277.9,284.56,2692,82.84
2025-04-22,284.51,287.6,284.12,284.88,1503,78.71
2025-04-23,281.14,288.97,281.14,283.22,1620,91.91
2025-04-24,283.22,284.42,281.37,282.23,3734,98.9
2025-04-25,281.91,282.72,276.35,277.57,1828,75.55
2025-04-28,278.3,283.84,275.0,282.26,3114,64.29
2025-04-29,284.02,284.91,281.75,281.82,1717,57.78
2025-04-30,281.82,283.66,280.25,281.68,1891,99.42
2025-05-02,281.68,284.97,280.18,280.49,5812,38.87
2025-05-05,281.9,282.3,278.14,278.23,3011,93.99
2025-05-06,278.23,278.28,276.21,276.44,1034,97.39
2025-05-07,276.43,279.0,276.43,278.6,1227,98.45
2025-05-08,280.5,281.89,276.58,278.49,6186,7.4
2025-05-09,273.41,277.01,273.41,274.57,1277,52.23
2025-05-12,281.7,284.23,281.7,283.14,3086,76.47
2025-05-13,283.15,283.45,281.5,281.67,591,94.25
2025-05-14,281.68,284.0,279.2,281.09,1656,64.55
2025-05-15,282.49,283.87,277.1,283.11,1787,82.2
2025-05-16,286.47,286.66,282.37,283.61,11801,65.26
2025-05-19,283.25,285.22,282.99,282.99,1446,98.96
2025-05-20,282.01,283.11,279.13,280.88,2370,74.94
2025-05-21,280.88,283.18,279.6,280.42,2669,63.73
2025-05-22,279.02,283.6,278.21,279.86,1353,71.84
2025-05-23,281.25,283.86,280.86,282.82,380,100.0
2025-05-26,284.23,285.89,282.0,284.49,2601,54.56
2025-05-27,284.5,284.76,280.89,281.83,597,67.5
2025-05-28,282.0,283.1,281.51,282.97,196,97.96
2025-05-29,283.24,283.24,280.82,283.22,852,99.65
2025-05-30,283.22,284.65,282.06,283.69,855,16.26
2025-06-02,285.1,285.1,280.01,284.25,977,76.87
2025-06-03,285.67,285.86,280.0,280.48,3162,94.37
2025-06-04,281.75,281.8,279.93,280.06,1051,96.19
2025-06-05,281.83,282.0,280.25,280.25,225,85.78
2025-06-06,280.25,286.39,278.85,285.28,1088,55.7
2025-06-09,286.7,289.81,286.09,289.04,1968,94.77
2025-06-10,287.87,289.37,286.77,288.26,1274,96.15
2025-06-11,289.57,289.71,286.52,288.04,1038,78.81
2025-06-12,287.64,287.64,285.52,285.7,431,76.57
2025-06-13,284.9,284.9,282.0,283.11,569,85.06
2025-06-16,283.11,288.78,282.1,285.47,2865,52.39
2025-06-17,284.5,285.33,283.23,284.81,37,100.0
2025-06-18,284.77,285.76,282.29,285.58,110,62.73
2025-06-19,285.71,286.18,283.62,284.75,130,81.54
2025-06-20,277.63,287.0,277.63,286.59,2222,99.19
2025-06-23,283.72,286.59,283.72,286.22,498,91.16
2025-06-24,279.06,289.85,279.06,289.18,304,83.88
2025-06-25,289.02,289.26,287.85,288.69,437,83.75
2025-06-26,288.69,291.29,288.35,291.22,864,99.07
2025-06-27,291.2,292.72,287.51,292.52,1740,96.26
2025-06-30,292.52,294.95,290.09,290.32,1646,79.04
2025-07-01,290.32,292.51,289.24,291.04,1427,54.8
2025-07-02,292.49,292.49,288.13,289.75,471,73.46
2025-07-03,288.66,288.66,287.46,287.96,147,93.2
2025-07-04,287.46,289.45,286.66,289.43,419,86.63
2025-07-07,290.5,290.5,287.71,288.0,292,90.75
2025-07-08,290.0,290.91,289.77,290.18,478,97.91
2025-07-09,290.95,291.04,289.87,289.96,39,15.38
2025-07-10,290.27,291.4,289.15,289.83,64,90.63
2025-07-11,289.41,289.41,288.13,288.84,150,98.0
2025-07-14,281.61,289.92,281.61,289.06,282,98.58
2025-07-15,289.06,290.81,289.06,289.48,86,90.7
2025-07-16,289.43,290.01,288.65,289.88,203,82.76
2025-07-17,289.91,289.91,287.5,288.02,1245,86.27
2025-07-18,286.11,286.19,282.8,284.07,2171,75.5
2025-07-21,284.53,286.97,283.35,286.44,9162,22.66
2025-07-22,287.13,287.7,286.03,286.03,2081,98.99
2025-07-23,286.2,289.26,286.2,289.21,712,75.0
2025-07-24,296.7,296.7,286.38,286.95,530,83.77
2025-07-25,283.31,287.6,283.31,284.58,1524,78.81
2025-07-28,284.0,284.0,279.36,280.32,1213,95.22
2025-07-29,280.0,280.0,278.6,279.7,280,72.86
2025-07-30,279.2,280.03,278.86,279.93,162,92.59
