DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,13.75,14.04,13.37,13.45,912257,62.94
2025-04-15,13.85,13.94,12.6,13.69,835423,64.77
2025-04-16,13.94,13.94,13.49,13.74,476923,60.25
2025-04-17,13.99,13.99,13.62,13.92,540435,74.5
2025-04-21,14.35,14.35,13.78,14.09,597638,75.94
2025-04-22,14.0,14.25,14.0,14.08,511521,50.97
2025-04-23,14.38,14.38,14.0,14.25,489300,57.59
2025-04-24,14.11,14.35,13.82,14.21,746872,62.12
2025-04-25,14.2,14.33,14.05,14.16,412611,61.53
2025-04-28,14.44,14.44,14.06,14.29,453329,62.21
2025-04-29,14.6,14.6,14.2,14.25,363236,52.47
2025-04-30,14.45,14.45,14.05,14.21,363835,57.55
2025-05-02,14.35,14.38,13.82,14.26,452197,60.67
2025-05-05,14.26,14.48,14.02,14.31,606393,53.97
2025-05-06,14.74,14.74,14.17,14.19,462237,66.11
2025-05-07,14.25,14.3,14.05,14.24,377409,58.08
2025-05-08,14.34,14.36,14.1,14.22,227408,56.71
2025-05-09,14.36,14.36,13.95,14.1,579358,55.11
2025-05-12,14.52,14.67,14.02,14.64,995093,80.77
2025-05-13,14.86,14.86,14.35,14.44,651456,74.01
2025-05-14,14.66,14.66,14.31,14.51,567099,52.13
2025-05-15,14.59,14.76,14.4,14.7,787823,60.31
2025-05-16,14.56,14.84,14.56,14.72,427683,67.66
2025-05-19,15.16,15.16,14.55,14.65,563033,52.55
2025-05-20,14.65,14.76,14.5,14.55,347383,64.34
2025-05-21,14.6,14.63,14.41,14.59,464760,52.01
2025-05-22,14.59,14.65,14.35,14.45,1097791,85.91
2025-05-23,14.3,14.64,14.3,14.55,872301,71.71
2025-05-26,14.74,14.74,14.54,14.65,322612,63.21
2025-05-27,14.65,14.82,14.21,14.58,550750,54.52
2025-05-28,14.64,14.64,14.49,14.53,365959,54.77
2025-05-29,14.54,14.67,14.5,14.58,195234,59.14
2025-05-30,14.8,14.8,14.3,14.5,586984,59.03
2025-06-02,14.72,14.78,14.35,14.45,633241,62.15
2025-06-03,14.67,14.8,14.29,14.37,830941,73.31
2025-06-04,14.23,14.7,14.23,14.43,557690,61.28
2025-06-05,14.65,14.66,14.35,14.45,652083,53.24
2025-06-06,14.56,14.57,14.38,14.52,552651,68.46
2025-06-09,14.9,14.9,14.1,14.56,565611,77.81
2025-06-10,14.78,14.78,14.54,14.66,342891,80.13
2025-06-11,14.66,14.84,14.51,14.71,517305,79.4
2025-06-12,14.79,14.79,14.55,14.59,396330,84.04
2025-06-13,14.22,14.82,14.22,14.56,418204,48.26
2025-06-16,14.76,14.77,14.49,14.65,316872,68.63
2025-06-17,14.76,14.76,14.56,14.59,244065,65.7
