DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,305.0,315.0,301.7,307.55,63066,68.13
2025-04-15,310.0,317.7,306.2,310.0,51185,62.0
2025-04-16,311.05,316.25,306.1,311.35,68553,64.47
2025-04-17,311.9,314.15,308.8,309.8,27343,67.25
2025-04-21,313.1,323.15,308.1,310.4,60350,69.36
2025-04-22,311.0,318.5,305.1,315.7,79649,63.04
2025-04-23,320.0,321.5,312.0,314.7,47257,53.83
2025-04-24,312.0,335.0,312.0,328.35,108744,54.25
2025-04-25,326.0,333.25,313.2,329.45,104674,47.56
2025-04-28,333.0,350.0,328.0,338.45,191725,37.23
2025-04-29,340.0,348.5,335.0,345.55,44079,49.3
2025-04-30,347.7,348.15,336.5,337.1,34929,51.79
2025-05-02,337.1,341.3,331.0,332.65,43874,57.51
2025-05-05,341.55,364.0,334.05,360.7,94436,43.22
2025-05-06,363.9,363.9,350.05,353.05,43451,60.14
2025-05-07,347.75,350.95,340.15,348.65,29679,45.97
2025-05-08,346.8,358.6,340.0,348.6,31904,61.77
2025-05-09,345.0,352.75,335.15,342.8,37308,54.62
2025-05-12,349.9,375.0,349.9,371.35,58897,61.36
2025-05-13,372.9,379.9,370.5,379.3,43955,57.85
2025-05-14,379.8,385.0,375.8,383.75,35810,59.88
2025-05-15,383.75,384.4,374.8,381.45,38946,62.85
2025-05-16,376.25,388.15,376.0,385.85,39116,63.07
2025-05-19,385.85,395.7,378.95,391.0,41969,54.46
2025-05-20,394.65,410.4,385.25,402.85,51280,52.56
2025-05-21,411.95,412.0,388.05,393.65,61810,42.51
2025-05-22,391.5,419.0,391.5,413.05,41776,56.88
2025-05-23,414.6,423.0,405.7,413.5,34161,62.41
2025-05-26,413.0,421.45,406.5,414.35,27008,54.61
2025-05-27,415.4,432.0,410.0,427.4,49987,60.99
2025-05-28,403.1,410.0,375.7,382.8,283541,39.37
2025-05-29,384.45,385.8,367.95,369.5,61585,35.38
2025-05-30,370.0,371.35,357.95,361.6,54380,65.17
2025-06-02,363.4,369.85,356.95,367.25,17733,50.78
2025-06-03,365.0,374.2,365.0,372.2,18171,50.32
2025-06-04,371.0,375.0,366.05,371.6,23291,53.06
2025-06-05,373.55,380.0,371.55,377.95,30004,48.93
2025-06-06,379.9,386.95,373.0,382.35,16760,55.96
2025-06-09,383.75,385.15,377.35,380.35,16994,51.77
2025-06-10,380.0,387.0,377.85,384.2,10483,53.45
2025-06-11,386.1,386.1,377.0,379.05,20205,57.59
2025-06-12,380.95,380.95,374.55,377.35,12543,46.3
2025-06-13,376.0,384.85,368.8,381.9,40600,44.27
2025-06-16,383.8,385.0,372.2,383.4,19283,48.96
2025-06-17,379.55,396.9,378.65,391.3,46205,43.09
2025-06-18,388.0,393.05,383.35,387.75,18114,37.72
2025-06-19,385.25,390.0,375.5,379.9,17197,42.32
2025-06-20,375.15,392.35,374.0,389.35,18569,42.8
2025-06-23,373.9,395.0,373.9,390.7,19521,45.43
2025-06-24,390.0,398.35,385.55,394.3,21382,54.2
2025-06-25,396.3,404.5,388.85,395.7,18024,45.93
2025-06-26,396.5,397.2,388.2,389.55,7959,44.29
2025-06-27,383.7,392.75,376.45,378.35,22061,62.62
2025-06-30,380.0,385.5,378.0,380.65,11349,46.11
2025-07-01,376.0,384.6,374.65,376.05,11067,64.15
2025-07-02,378.05,379.5,369.8,371.45,19563,65.14
2025-07-03,372.75,373.5,368.05,370.05,12050,68.18
2025-07-04,371.9,372.95,368.4,369.3,13226,66.41
2025-07-07,373.0,374.75,364.9,365.4,8791,45.03
2025-07-08,363.3,367.45,363.0,365.55,5998,51.28
2025-07-09,366.5,368.5,361.35,363.1,6738,66.98
2025-07-10,367.95,390.35,361.5,386.2,37515,60.92
2025-07-11,380.2,385.45,371.35,375.45,6804,49.15
2025-07-14,372.15,375.9,370.15,375.05,5949,49.37
2025-07-15,375.55,384.9,374.75,378.0,13885,66.77
2025-07-16,366.25,382.5,366.25,377.0,4237,51.95
2025-07-17,372.6,422.0,372.6,403.85,147090,32.89
2025-07-18,409.9,417.9,398.05,407.75,64380,43.13
2025-07-21,410.0,421.3,410.0,418.8,44931,57.88
2025-07-22,419.0,420.0,412.0,412.85,15362,55.35
2025-07-23,414.8,414.8,400.0,406.95,17229,51.93
2025-07-24,402.5,412.9,393.35,398.4,23081,64.52
2025-07-25,395.55,404.95,378.0,381.45,21683,54.77
2025-07-28,377.65,388.45,370.35,374.95,10112,53.23
2025-07-29,374.65,384.5,374.65,380.8,7801,52.37
2025-07-30,381.3,384.55,375.0,377.75,6520,62.71
2025-07-31,374.95,379.6,370.0,373.9,5310,57.78
2025-08-01,377.8,379.5,365.1,369.65,6359,52.21
2025-08-04,369.65,374.3,365.25,369.0,5734,60.78
2025-08-05,366.0,372.6,363.0,364.85,12450,69.9
2025-08-06,368.3,369.95,354.0,356.35,10739,60.05
2025-08-07,354.95,358.2,348.0,349.95,8768,55.35
2025-08-08,349.15,360.0,348.0,351.1,8829,58.99
2025-08-11,349.0,349.0,327.95,330.6,22531,66.03
2025-08-12,330.35,337.2,325.0,327.7,10485,63.65
2025-08-13,326.05,333.35,326.05,327.55,6943,63.03
2025-08-14,329.4,333.15,324.0,325.65,7417,60.68
2025-08-18,325.65,334.45,320.75,325.55,8945,51.49
