DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1546.85,1577.8,1511.0,1547.35,638767,49.97
2025-04-15,1590.0,1635.0,1565.7,1624.7,531277,58.42
2025-04-16,1631.8,1645.6,1610.2,1641.4,299858,51.54
2025-04-17,1646.0,1656.0,1620.6,1640.7,390973,59.05
2025-04-21,1617.0,1665.0,1593.0,1656.2,856404,47.43
2025-04-22,1665.0,1723.3,1638.9,1699.7,895055,35.7
2025-04-23,1711.3,1732.0,1676.1,1706.0,931108,52.29
2025-04-24,1707.1,1708.0,1665.0,1678.9,906152,56.11
2025-04-25,1678.9,1682.8,1587.7,1606.2,1266105,49.94
2025-04-28,1606.4,1663.0,1601.3,1656.8,293983,31.47
2025-04-29,1600.0,1636.7,1584.0,1620.5,1349828,25.21
2025-04-30,1620.5,1674.7,1606.3,1641.6,1449084,40.03
2025-05-02,1629.3,1646.5,1592.2,1605.2,785690,45.49
2025-05-05,1610.0,1635.0,1597.5,1625.1,462582,41.48
2025-05-06,1625.1,1633.1,1551.3,1559.2,449461,48.69
2025-05-07,1552.0,1590.0,1540.9,1581.5,695940,57.24
2025-05-08,1588.0,1596.0,1540.0,1554.7,463835,56.97
2025-05-09,1510.0,1547.3,1510.0,1534.2,666647,37.47
2025-05-12,1614.0,1621.6,1550.0,1617.7,850975,53.99
2025-05-13,1618.1,1628.6,1573.0,1586.2,822538,57.33
2025-05-14,1590.2,1627.1,1577.7,1613.3,640989,45.14
2025-05-15,1619.0,1642.2,1591.2,1633.5,481428,46.89
2025-05-16,1635.0,1679.0,1626.3,1676.2,545987,43.57
2025-05-19,1685.0,1746.0,1670.8,1734.6,1063705,38.77
2025-05-20,1746.0,1761.9,1692.4,1699.2,1136840,43.3
2025-05-21,1705.0,1744.7,1699.0,1731.9,620174,47.94
2025-05-22,1731.9,1743.7,1721.0,1728.0,335377,48.03
2025-05-23,1730.0,1748.9,1712.1,1738.3,286447,48.4
2025-05-26,1744.9,1760.3,1733.4,1741.4,378639,41.55
2025-05-27,1735.4,1760.9,1727.9,1751.2,467941,56.21
2025-05-28,1751.2,1765.0,1716.0,1725.9,717635,49.33
2025-05-29,1725.9,1751.9,1694.2,1740.9,1013315,46.54
2025-05-30,1750.0,1764.5,1717.9,1746.3,2492957,68.34
2025-06-02,1746.9,1784.0,1721.6,1768.1,884586,47.2
2025-06-03,1786.0,1814.8,1772.4,1797.3,1114026,41.06
2025-06-04,1818.0,1826.0,1757.1,1777.3,937309,40.66
2025-06-05,1782.2,1817.5,1775.7,1800.8,496326,43.75
2025-06-06,1810.0,1919.0,1803.1,1908.2,2048555,35.6
2025-06-09,1929.0,1933.2,1881.0,1903.1,1019364,48.71
2025-06-10,1907.0,1942.7,1901.6,1917.7,912981,44.05
2025-06-11,1918.9,1932.9,1884.6,1901.0,482323,48.02
2025-06-12,1895.0,1911.8,1885.1,1890.2,385043,51.65
2025-06-13,1850.0,1910.0,1850.0,1903.1,447485,51.56
2025-06-16,1905.0,1933.6,1878.9,1928.9,569165,52.55
2025-06-17,1940.1,1972.0,1905.1,1911.2,948887,31.42
2025-06-18,1917.0,1931.8,1888.2,1896.2,317331,40.12
2025-06-19,1907.7,1914.0,1876.5,1880.3,630360,43.15
2025-06-20,1882.0,1920.0,1882.0,1910.9,760759,47.1
2025-06-23,1880.0,1947.1,1875.1,1936.0,572393,41.59
2025-06-24,1955.0,2003.0,1933.5,1988.0,1020962,40.02
2025-06-25,2005.0,2005.0,1966.1,1989.0,631449,36.83
2025-06-26,1985.0,1989.9,1952.0,1982.3,807925,49.6
2025-06-27,1982.1,1988.2,1912.6,1918.8,1449448,56.68
2025-06-30,1924.9,1934.5,1895.7,1905.6,592732,54.71
2025-07-01,1914.9,1940.0,1901.0,1913.4,445266,42.43
2025-07-02,1913.4,1920.8,1878.6,1897.9,299965,53.54
2025-07-03,1902.6,1914.7,1866.0,1871.0,458827,63.17
2025-07-04,1879.0,1889.8,1855.1,1869.5,373302,57.63
2025-07-07,1870.0,1876.9,1837.6,1844.3,214956,55.73
2025-07-08,1841.0,1862.4,1810.0,1857.5,422671,49.21
2025-07-09,1859.5,1862.3,1825.0,1831.1,543133,65.35
2025-07-10,1831.1,1858.0,1822.8,1843.1,566655,54.54
2025-07-11,1845.0,1854.0,1824.6,1835.5,235830,55.12
2025-07-14,1846.3,1846.3,1796.6,1804.2,956003,63.63
2025-07-15,1825.0,1853.5,1816.1,1820.1,635634,40.23
2025-07-16,1822.5,1829.9,1800.3,1816.5,473363,60.57
2025-07-17,1824.9,1847.8,1818.6,1838.7,363037,49.55
2025-07-18,1848.0,1857.0,1827.8,1835.0,499713,65.96
2025-07-21,1834.9,1853.5,1822.9,1834.6,280353,48.59
2025-07-22,1781.0,1834.5,1781.0,1826.2,718088,23.35
2025-07-23,1770.0,1788.9,1750.2,1769.6,4102400,45.18
2025-07-24,1785.0,1787.0,1727.6,1748.8,692382,49.32
2025-07-25,1732.0,1744.8,1686.7,1698.2,999802,64.51
2025-07-28,1681.0,1687.8,1620.5,1627.2,1303405,53.81
2025-07-29,1625.1,1682.7,1616.3,1664.8,1123541,49.45
2025-07-30,1677.7,1677.7,1643.6,1648.0,360307,45.87
2025-07-31,1625.0,1647.6,1606.2,1630.1,727062,52.75
2025-08-01,1629.1,1637.0,1583.5,1589.4,555688,50.4
2025-08-04,1596.2,1614.4,1581.5,1609.6,566757,58.56
2025-08-05,1609.6,1615.6,1585.0,1608.6,441716,56.69
2025-08-06,1609.0,1617.9,1584.4,1604.5,492717,50.87
2025-08-07,1600.8,1613.6,1589.5,1610.5,359864,53.62
2025-08-08,1608.0,1616.7,1563.5,1571.3,616455,44.85
2025-08-11,1567.4,1612.5,1564.3,1610.7,312265,39.95
2025-08-12,1619.0,1631.0,1598.7,1613.9,309489,37.26
2025-08-13,1616.0,1641.0,1616.0,1626.7,307027,46.38
2025-08-14,1622.6,1635.0,1614.3,1619.2,319944,64.69
2025-08-18,1630.2,1661.1,1624.9,1646.5,283877,45.74
2025-08-19,1647.0,1655.1,1628.0,1649.4,129527,36.7
2025-08-20,1648.7,1671.0,1640.6,1656.9,292102,49.99
2025-08-21,1655.0,1681.2,1654.7,1659.7,315112,35.04
2025-08-22,1661.0,1669.4,1635.0,1657.4,585935,69.82
2025-08-25,1665.4,1682.5,1652.0,1672.7,401347,50.21
2025-08-26,1671.1,1674.4,1627.5,1638.2,308268,59.66
2025-08-28,1635.0,1652.0,1610.9,1618.8,341948,52.73
2025-08-29,1618.0,1646.0,1600.1,1610.8,670647,68.5
2025-09-01,1615.0,1641.8,1604.6,1638.2,239325,49.01
2025-09-02,1638.9,1672.0,1638.0,1651.8,215690,29.83
2025-09-03,1661.8,1662.5,1641.0,1656.7,235041,54.4
2025-09-04,1684.9,1684.9,1655.2,1661.9,386288,63.62
2025-09-05,1658.1,1667.5,1611.7,1628.6,462279,52.51
2025-09-08,1640.0,1650.7,1620.5,1623.3,369564,69.33
2025-09-09,1631.0,1634.5,1604.8,1617.4,432224,67.04
2025-09-10,1625.3,1642.3,1608.0,1611.7,680321,73.17
2025-09-11,1619.0,1626.9,1597.0,1603.8,563822,75.3
2025-09-12,1611.8,1621.9,1594.7,1601.9,1178319,83.21
2025-09-15,1608.1,1652.2,1599.9,1640.0,515735,57.45
2025-09-16,1647.0,1649.5,1624.0,1643.0,218824,48.78
2025-09-17,1647.0,1662.3,1637.1,1656.7,323540,52.57
2025-09-18,1660.0,1683.0,1653.9,1658.2,537540,56.44
2025-09-19,1664.9,1680.8,1646.1,1670.2,531718,62.79
2025-09-22,1663.6,1697.7,1647.3,1673.9,630675,47.97
2025-09-23,1671.5,1677.8,1652.3,1666.0,379371,49.16
2025-09-24,1665.0,1669.7,1607.7,1620.1,749614,61.12
2025-09-25,1620.1,1629.8,1590.9,1599.9,1843960,77.89
2025-09-26,1599.9,1609.9,1575.2,1577.7,548852,56.98
2025-09-29,1581.0,1610.2,1574.2,1600.8,449206,55.53
2025-09-30,1600.8,1606.7,1578.3,1582.1,981462,58.38
2025-10-01,1587.9,1610.8,1571.4,1595.6,307351,45.93
2025-10-03,1609.8,1613.3,1583.7,1605.4,429741,52.89
2025-10-06,1610.9,1625.0,1591.0,1622.3,151403,38.72
2025-10-07,1622.6,1641.9,1621.0,1636.6,286623,63.2
2025-10-08,1625.0,1633.8,1563.5,1577.5,596321,54.07
2025-10-09,1584.0,1603.4,1575.7,1591.4,316450,38.54
2025-10-10,1598.4,1618.9,1585.0,1599.6,311537,37.2
2025-10-13,1592.2,1604.0,1570.1,1588.0,413785,66.37
2025-10-14,1599.0,1599.0,1559.1,1571.0,282907,51.2
2025-10-15,1578.5,1610.0,1567.7,1601.4,472666,47.6
2025-10-16,1675.0,1695.7,1651.0,1687.1,2609529,13.28
2025-10-17,1698.7,1724.9,1681.0,1700.5,910748,36.63
2025-10-20,1708.0,1711.9,1682.0,1699.2,307160,42.02
2025-10-21,1700.0,1708.0,1691.4,1699.0,41351,35.9
2025-10-22,1700.0,1708.0,1691.4,1699.0,41351,35.9
2025-10-23,1699.0,1704.8,1669.6,1674.0,542574,62.84
2025-10-24,1680.4,1708.0,1678.1,1699.9,449652,50.62
2025-10-27,1705.0,1747.3,1700.0,1736.0,1003301,46.94
2025-10-28,1737.0,1740.0,1703.1,1708.1,428250,57.94
2025-10-29,1714.7,1722.0,1705.0,1713.4,175253,52.58
2025-10-30,1731.0,1765.0,1721.5,1750.3,1074751,54.01
2025-10-31,1760.0,1794.9,1759.0,1778.3,1586130,59.99
2025-11-03,1791.5,1817.6,1777.1,1807.5,418317,34.73
