DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1160.0,1171.95,1134.0,1153.0,852466,18.85
2025-04-15,1175.0,1194.7,1163.5,1179.9,320911,35.82
2025-04-16,1193.0,1274.5,1188.6,1232.0,3921171,10.6
2025-04-17,1231.5,1251.9,1220.5,1241.3,558689,25.03
2025-04-21,1245.0,1258.0,1236.0,1244.2,316454,33.62
2025-04-22,1246.0,1263.3,1238.5,1245.6,290259,32.87
2025-04-23,1250.0,1274.0,1222.6,1248.5,424993,23.94
2025-04-24,1250.0,1259.4,1228.0,1232.9,251030,35.26
2025-04-25,1234.0,1239.5,1170.2,1207.4,565515,31.83
2025-04-28,1200.0,1215.1,1181.4,1194.3,306428,28.72
2025-04-29,1200.3,1227.0,1194.8,1199.5,276578,27.25
2025-04-30,1197.6,1202.3,1152.0,1161.5,247719,46.45
2025-05-02,1161.0,1181.5,1137.4,1142.0,310998,32.3
2025-05-05,1152.0,1190.0,1143.1,1183.8,498323,20.88
2025-05-06,1185.0,1193.9,1150.0,1153.1,283051,36.11
2025-05-07,1121.0,1143.8,1115.0,1138.6,455991,36.74
2025-05-08,1142.0,1164.1,1111.0,1127.1,195307,35.05
2025-05-09,1080.0,1115.0,1080.0,1095.2,352095,31.7
2025-05-12,1159.0,1215.0,1147.0,1204.4,835420,29.65
2025-05-13,1209.0,1257.7,1184.4,1241.6,721846,37.85
2025-05-14,1247.0,1268.9,1230.9,1241.0,379863,35.46
2025-05-15,1247.3,1277.8,1242.1,1255.0,479611,32.7
2025-05-16,1262.0,1318.5,1252.2,1286.8,908103,35.05
2025-05-19,1290.0,1308.9,1268.0,1286.2,444705,31.48
2025-05-20,1293.9,1315.0,1258.7,1263.1,512105,34.74
2025-05-21,1270.0,1281.5,1253.0,1269.4,249889,27.26
2025-05-22,1268.8,1278.7,1251.0,1257.4,204414,39.59
2025-05-23,1278.0,1312.5,1278.0,1293.4,1337610,23.97
2025-05-26,1298.6,1350.0,1279.7,1345.4,1277546,36.65
2025-05-27,1160.1,1294.0,1160.1,1257.9,4814013,20.48
2025-05-28,1259.0,1274.4,1232.0,1238.8,814920,35.3
2025-05-29,1239.0,1244.0,1186.1,1190.8,1252164,40.65
2025-05-30,1200.0,1248.4,1200.0,1229.6,1286786,26.86
2025-06-02,1248.0,1261.0,1233.3,1243.4,841367,29.52
2025-06-03,1248.9,1257.6,1226.5,1239.3,334379,35.42
2025-06-04,1235.0,1246.6,1222.5,1228.6,255942,36.11
2025-06-05,1230.0,1243.9,1216.6,1220.0,259405,41.13
2025-06-06,1222.7,1234.4,1220.0,1221.9,231558,42.46
2025-06-09,1225.0,1253.9,1212.5,1224.6,518947,31.66
2025-06-10,1224.6,1232.3,1216.0,1219.3,311630,49.96
2025-06-11,1223.9,1231.0,1208.0,1219.7,239836,40.53
2025-06-12,1223.4,1228.0,1195.1,1204.8,248473,47.15
2025-06-13,1171.0,1203.9,1171.0,1188.2,272501,39.35
2025-06-16,1183.2,1197.9,1162.1,1181.6,250833,37.93
2025-06-17,1181.0,1193.9,1170.0,1172.4,188406,42.26
2025-06-18,1170.0,1182.5,1161.0,1164.8,277673,51.63
2025-06-19,1161.2,1178.0,1142.1,1152.2,245680,43.25
2025-06-20,1158.0,1166.1,1140.2,1147.0,284761,46.27
2025-06-23,1130.0,1155.0,1130.0,1152.5,221940,37.32
2025-06-24,1160.1,1180.0,1155.0,1158.9,209874,39.48
2025-06-25,1158.1,1204.8,1158.0,1188.5,433705,34.35
2025-06-26,1193.9,1200.5,1183.0,1188.8,165900,36.02
2025-06-27,1189.0,1197.0,1140.0,1164.2,249365,48.34
2025-06-30,1176.0,1183.0,1166.2,1171.6,172845,46.93
2025-07-01,1180.9,1240.0,1177.7,1214.5,1815904,18.43
2025-07-02,1221.0,1230.3,1202.8,1217.2,398877,23.32
2025-07-03,1220.0,1226.9,1203.7,1209.1,209358,37.5
2025-07-04,1210.0,1217.4,1196.6,1199.4,158585,41.06
2025-07-07,1199.4,1216.0,1182.7,1199.4,282311,44.67
2025-07-08,1199.4,1224.0,1195.0,1214.2,235522,42.72
2025-07-09,1220.0,1222.6,1200.0,1203.8,184818,51.23
2025-07-10,1202.6,1260.0,1201.5,1244.7,1549274,33.6
2025-07-11,1241.0,1245.9,1218.4,1227.2,237195,39.56
2025-07-14,1220.0,1238.4,1210.5,1212.3,196044,39.15
2025-07-15,1212.9,1243.6,1212.9,1227.4,230733,36.16
2025-07-16,1227.4,1266.0,1222.0,1246.2,790155,37.61
2025-07-17,1248.0,1298.8,1246.0,1275.3,1471088,36.93
2025-07-18,1274.0,1296.0,1248.2,1283.7,612577,31.48
2025-07-21,1279.0,1285.0,1260.0,1266.3,322545,46.41
2025-07-22,1267.0,1294.2,1266.9,1271.5,270808,49.53
2025-07-23,1274.9,1339.8,1270.1,1327.3,1750865,41.44
2025-07-24,1340.0,1586.2,1338.0,1532.4,13751142,14.77
2025-07-25,1541.8,1549.8,1460.0,1480.9,4186717,13.64
2025-07-28,1475.0,1499.9,1432.3,1438.8,1006687,31.47
2025-07-29,1427.0,1466.9,1408.0,1430.4,594424,22.46
2025-07-30,1434.7,1463.4,1403.0,1420.0,553746,27.92
2025-07-31,1402.4,1450.0,1380.5,1409.0,836029,21.88
2025-08-01,1409.1,1482.0,1401.2,1443.3,1831658,28.4
2025-08-04,1441.7,1469.8,1413.2,1451.2,534944,24.38
2025-08-05,1455.0,1475.0,1432.2,1446.7,485103,29.47
2025-08-06,1445.0,1457.6,1401.0,1409.2,315525,37.77
2025-08-07,1400.0,1466.5,1386.0,1447.9,1177463,18.0
2025-08-08,1449.0,1451.0,1390.0,1405.5,350120,43.06
2025-08-11,1391.0,1458.0,1358.0,1419.3,1243782,25.53
2025-08-12,1422.0,1469.0,1417.1,1432.6,502838,25.84
2025-08-13,1439.8,1515.5,1436.3,1477.9,1342578,23.0
2025-08-14,1479.2,1496.7,1451.5,1468.8,364745,31.68
2025-08-18,1480.1,1492.8,1448.6,1456.2,359059,34.3
2025-08-19,1458.2,1555.0,1444.0,1507.8,2542198,21.04
2025-08-20,1518.7,1554.0,1497.2,1528.8,1032532,25.95
2025-08-21,1532.2,1550.8,1521.0,1530.3,630368,28.64
2025-08-22,1527.0,1595.7,1526.0,1553.5,2384844,20.54
2025-08-25,1565.0,1690.0,1558.4,1600.6,4485704,18.63
2025-08-26,1602.0,1625.0,1578.9,1592.7,1418167,25.8
