DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,75.0,75.45,73.71,74.43,64791,40.63
2025-04-15,75.55,78.84,75.5,78.23,113412,51.62
2025-04-16,78.5,78.68,77.63,78.09,75412,55.33
2025-04-17,78.47,79.31,77.76,78.95,105112,49.06
2025-04-21,78.95,81.34,78.1,79.24,104363,51.06
2025-04-22,80.0,81.0,78.0,79.01,159353,59.36
2025-04-23,80.1,80.1,77.37,78.85,81763,52.65
2025-04-24,78.85,79.7,78.0,78.84,83447,56.67
2025-04-25,79.4,79.4,76.24,77.21,94449,51.75
2025-04-28,78.95,79.2,77.16,77.73,69248,47.47
2025-04-29,78.13,78.73,76.7,77.48,44514,31.39
2025-04-30,77.4,77.99,74.56,75.31,125422,75.32
2025-05-02,76.4,76.69,73.11,74.35,59240,56.51
2025-05-05,74.6,75.85,73.88,75.11,36109,46.11
2025-05-06,75.88,75.88,72.1,72.62,56696,68.76
2025-05-07,74.98,74.98,70.92,71.47,70960,55.62
2025-05-08,72.5,74.2,70.6,71.17,82447,48.0
2025-05-09,70.86,70.94,68.91,70.27,57829,53.55
2025-05-12,74.25,74.8,72.73,74.09,73698,56.31
2025-05-13,74.95,79.57,74.27,75.6,107754,43.42
2025-05-14,76.7,79.11,76.09,78.6,88157,65.46
2025-05-15,79.76,80.76,78.01,79.06,130340,58.56
2025-05-16,79.8,82.3,78.61,80.8,112658,57.27
2025-05-19,82.19,82.19,77.9,79.19,159281,59.37
2025-05-20,80.07,80.38,77.62,78.03,70744,59.33
2025-05-21,78.15,79.5,78.0,79.26,42277,58.32
2025-05-22,79.65,79.94,77.51,78.15,62977,58.29
2025-05-23,79.0,81.0,78.06,79.95,92176,48.37
2025-05-26,78.9,81.9,78.84,80.35,119684,57.69
2025-05-27,81.84,91.0,80.05,88.3,409610,47.78
2025-05-28,88.62,90.51,87.01,87.82,152567,56.66
2025-05-29,86.0,89.85,82.81,87.28,184610,55.18
2025-05-30,89.0,89.0,83.0,85.22,89946,49.16
2025-06-02,85.22,101.65,84.87,99.47,1016053,33.61
2025-06-03,99.25,107.75,99.2,100.15,1231054,32.63
2025-06-04,100.95,104.9,96.22,100.33,477895,37.72
2025-06-05,99.5,107.7,99.5,105.01,480542,51.05
2025-06-06,103.95,107.3,100.1,100.96,375356,56.51
2025-06-09,101.49,105.49,100.0,100.37,336909,46.93
2025-06-10,100.37,101.88,96.5,97.85,216252,46.21
2025-06-11,97.5,100.52,96.7,97.92,185910,50.83
2025-06-12,98.66,99.28,95.15,95.83,100813,40.47
2025-06-13,95.0,96.21,91.72,95.38,114514,44.34
2025-06-16,95.0,107.9,92.61,106.61,3236053,16.37
2025-06-17,107.5,110.0,99.2,100.16,1458788,22.66
2025-06-18,99.42,113.4,99.42,102.84,5761883,13.54
2025-06-19,104.0,107.9,101.29,102.39,1148820,14.8
2025-06-20,103.21,106.95,101.0,103.87,1119708,17.58
2025-06-23,102.7,105.29,101.43,103.38,366669,27.63
2025-06-24,106.9,107.5,102.31,103.36,775711,40.96
2025-06-25,106.5,108.9,103.24,104.15,1190075,38.44
2025-06-26,105.3,106.89,102.11,102.87,722670,59.34
2025-06-27,103.8,104.0,100.69,101.81,1425991,27.95
2025-06-30,102.7,107.4,102.3,102.76,1972506,19.36
2025-07-01,104.3,106.6,101.5,101.82,1643911,24.22
2025-07-02,102.94,103.2,98.55,99.12,670979,38.54
2025-07-03,99.85,102.0,98.25,100.54,598644,33.52
2025-07-04,101.8,105.05,99.54,103.35,876654,35.72
2025-07-07,103.3,103.3,101.5,102.26,189226,39.2
2025-07-08,103.0,107.34,100.33,104.67,1845640,19.23
2025-07-09,105.59,107.8,102.68,103.87,883810,34.08
2025-07-10,104.49,104.8,102.55,102.94,302177,38.39
2025-07-11,102.5,104.37,101.66,102.08,254963,33.86
2025-07-14,101.3,103.36,100.67,102.64,209058,31.92
2025-07-15,105.4,106.8,103.11,105.77,442184,60.31
2025-07-16,105.77,106.9,104.15,104.48,713439,48.32
2025-07-17,104.55,107.5,103.84,106.91,1091587,48.2
2025-07-18,108.0,110.0,104.5,105.07,923345,50.29
2025-07-21,104.56,105.43,103.3,104.26,285637,54.28
2025-07-22,104.0,105.5,102.0,102.57,429099,51.0
2025-07-23,102.99,103.8,98.1,99.07,857519,42.74
2025-07-24,99.9,100.35,98.0,99.39,282045,48.65
2025-07-25,99.0,99.0,93.42,94.17,341245,50.17
2025-07-28,94.05,102.64,93.9,99.85,1321212,22.26
2025-07-29,101.9,102.5,99.18,101.5,512415,29.76
2025-07-30,101.5,102.12,98.11,98.65,307066,56.45
2025-07-31,97.99,99.3,95.55,97.53,171944,37.23
2025-08-01,97.53,99.79,95.25,95.96,257983,48.6
2025-08-04,96.5,97.0,94.64,96.1,95685,35.71
2025-08-05,96.11,96.11,93.83,94.34,140257,45.24
2025-08-06,95.0,95.0,92.43,93.15,91947,35.52
2025-08-07,93.05,95.5,91.69,94.72,106354,40.23
2025-08-08,93.2,95.47,91.6,92.41,43777,54.76
2025-08-11,92.8,94.17,90.99,93.57,98155,41.5
2025-08-12,92.0,95.58,92.0,94.71,76584,58.16
2025-08-13,95.1,96.5,94.0,94.44,71156,49.89
2025-08-14,90.21,93.99,88.65,92.34,232385,29.73
2025-08-18,92.12,94.1,91.85,93.56,57160,44.61
2025-08-19,93.99,94.89,92.81,93.37,113970,57.59
2025-08-20,93.99,94.84,91.4,92.09,101810,55.35
2025-08-21,92.45,93.58,91.26,91.64,117734,56.97
2025-08-22,91.9,91.9,90.0,90.24,55575,58.03
2025-08-25,91.15,93.5,89.0,89.55,430177,70.51
2025-08-26,89.32,89.49,87.25,87.92,64971,54.27
2025-08-28,87.2,88.89,83.36,84.12,163833,60.39
2025-08-29,84.6,96.64,84.2,87.49,8768620,12.64
2025-09-01,88.45,89.77,86.01,86.58,432854,42.98
2025-09-02,86.64,89.28,86.11,86.98,279820,31.97
2025-09-03,87.33,89.5,86.71,89.02,145067,33.71
2025-09-04,90.35,90.8,86.2,86.69,174018,40.78
2025-09-05,87.55,87.75,85.35,86.89,69559,38.05
2025-09-08,87.74,87.96,86.5,86.82,46871,54.67
2025-09-09,87.25,87.5,86.0,86.5,90052,46.54
2025-09-10,86.84,87.9,86.68,87.18,76350,44.83
2025-09-11,87.0,89.5,87.0,89.02,119401,55.11
2025-09-12,88.91,89.76,88.18,88.87,55648,49.29
2025-09-15,89.2,89.26,88.0,88.76,99063,64.95
2025-09-16,88.76,89.67,85.83,86.6,121478,55.55
2025-09-17,87.0,88.13,86.61,87.12,93703,53.41
2025-09-18,87.59,88.15,85.0,85.77,147819,57.01
2025-09-19,86.14,86.67,84.99,86.11,191569,57.81
2025-09-22,86.0,87.55,85.4,85.81,148796,62.21
2025-09-23,86.15,87.88,85.55,85.94,298684,45.41
2025-09-24,86.48,86.65,84.65,84.94,75531,50.23
2025-09-25,84.94,85.99,82.5,83.56,107354,56.25
2025-09-26,83.2,83.8,81.5,82.85,81343,58.13
2025-09-29,82.85,83.5,80.01,80.45,109678,51.87
2025-09-30,81.0,81.65,78.1,79.15,102319,47.02
2025-10-01,79.47,86.0,79.35,81.9,254554,52.13
2025-10-03,83.15,90.47,82.71,84.1,1518400,19.08
2025-10-06,84.7,85.85,82.77,84.24,192863,31.75
2025-10-07,84.8,84.8,81.51,82.02,888549,82.52
2025-10-08,82.02,82.92,79.0,80.0,525909,77.91
2025-10-09,80.6,80.6,79.21,80.04,133778,60.43
2025-10-10,80.6,86.1,79.6,83.6,407896,54.82
2025-10-13,82.6,84.27,81.73,82.12,115217,46.85
2025-10-14,82.12,82.9,81.05,81.72,121153,40.64
2025-10-15,80.94,82.24,80.86,81.23,90826,45.44
2025-10-16,81.55,82.5,80.99,81.59,82522,54.01
2025-10-17,81.75,82.38,80.4,80.74,92786,46.53
2025-10-20,81.99,81.99,80.15,80.66,112500,44.17
2025-10-21,82.3,82.3,80.25,80.71,44054,54.31
2025-10-22,82.3,82.3,80.25,80.71,44054,54.31
2025-10-23,81.9,82.14,80.26,81.39,100047,52.83
2025-10-24,81.28,81.5,80.31,80.93,94009,37.83
2025-10-27,81.0,81.95,80.8,81.05,122469,59.05
2025-10-28,81.85,81.85,79.98,80.13,85287,65.67
2025-10-29,80.14,81.08,80.0,80.65,93892,69.64
2025-10-30,79.85,81.5,79.85,80.69,106149,52.73
2025-10-31,80.27,81.6,79.96,80.35,74979,45.28
2025-11-03,80.67,81.5,80.17,81.12,72110,68.39
2025-11-04,80.4,81.5,79.32,79.78,81177,63.75
2025-11-05,80.4,81.5,79.32,79.78,81177,63.75
2025-11-06,80.84,80.84,78.35,78.55,51284,65.71
2025-11-07,79.19,80.25,77.63,79.96,118153,60.74
2025-11-10,79.0,79.99,78.0,78.3,172731,82.82
2025-11-11,77.51,78.87,77.51,77.89,31400,75.87
2025-11-12,79.17,79.18,77.6,77.96,70845,81.12
2025-11-13,79.0,79.0,77.0,77.15,56047,59.01
2025-11-14,77.0,78.0,74.2,76.98,154901,45.39
2025-11-17,75.3,76.95,74.0,74.27,204030,68.4
2025-11-18,74.0,75.8,72.87,73.04,86781,61.38
2025-11-19,74.09,74.29,71.3,71.97,208563,64.78
2025-11-20,74.29,74.29,70.15,70.6,224094,74.88
2025-11-21,71.03,71.5,69.1,69.38,104979,60.95
2025-11-24,69.1,69.95,66.6,67.37,123533,57.83
2025-11-25,67.6,69.2,66.95,68.49,139623,63.36
2025-11-26,68.7,74.72,68.0,69.01,431583,25.92
2025-11-27,69.64,70.58,68.9,69.73,95404,42.77
2025-11-28,69.8,72.0,69.4,69.66,80924,61.67
2025-12-01,70.08,70.78,68.0,68.4,75489,57.84
2025-12-02,68.47,71.65,67.99,68.75,186015,27.81
2025-12-03,68.6,70.99,67.3,70.04,188781,36.61
2025-12-04,70.0,70.35,68.02,68.46,70441,45.95
2025-12-05,69.31,69.31,67.1,67.83,54775,56.31
2025-12-08,70.1,70.1,63.7,64.29,716290,30.38
2025-12-09,64.2,65.35,62.5,64.62,329970,65.19
2025-12-10,64.62,67.25,64.46,65.55,1132099,87.56
2025-12-11,65.21,67.25,64.51,65.41,1665327,90.52
2025-12-12,65.25,66.3,64.2,65.02,185871,41.71
2025-12-15,65.19,67.4,64.39,66.35,184287,54.3
2025-12-16,66.05,66.35,64.73,65.18,391234,91.08
2025-12-17,65.25,65.47,63.57,64.43,126254,51.33
2025-12-18,64.33,65.3,63.1,64.09,111768,51.8
2025-12-19,64.7,66.0,64.27,65.7,183324,55.87
2025-12-22,66.36,67.33,65.64,67.01,328408,79.71
2025-12-23,67.7,80.41,66.76,80.41,9845216,14.42
2025-12-24,82.4,87.0,79.47,83.38,12520138,9.12
2025-12-25,82.4,87.0,79.47,83.38,12520138,9.12
2025-12-26,83.49,88.8,81.0,86.75,3934876,11.78
2025-12-29,84.36,90.53,83.61,84.5,2075066,16.5
2025-12-30,84.0,85.19,77.61,79.88,969498,27.11
2025-12-31,78.1,85.0,77.77,82.92,1064217,24.82
2026-01-01,82.9,82.9,80.32,80.9,190795,34.62
2026-01-02,81.0,81.9,78.5,79.99,203071,38.98
2026-01-05,79.99,82.7,79.41,80.91,183081,41.08
2026-01-06,81.5,81.5,78.7,78.91,110326,49.43
2026-01-07,78.91,79.89,77.16,78.02,108701,37.89
2026-01-08,77.25,79.77,75.51,76.04,163071,35.56
2026-01-09,76.04,78.45,75.1,75.35,180164,31.04
2026-01-12,75.08,75.58,72.08,72.59,158128,51.39
2026-01-13,73.01,87.0,72.85,81.8,19579049,7.08
2026-01-14,78.12,79.9,76.5,77.98,3550363,14.89
2026-01-15,78.12,79.9,76.5,77.98,3550363,14.89
2026-01-16,76.5,77.89,75.12,75.97,408001,24.08
2026-01-19,75.1,76.09,73.0,73.47,271618,30.39
2026-01-20,73.47,73.98,70.0,70.42,390893,32.22
2026-01-21,72.0,74.19,67.81,72.55,1429239,30.32
2026-01-22,72.3,75.93,72.3,73.7,983807,42.09
2026-01-23,73.01,78.5,72.12,75.02,1460186,25.01
2026-01-26,73.01,78.5,72.12,75.02,1460186,25.01
2026-01-27,73.99,81.93,73.63,79.34,1013011,37.22
2026-01-28,79.97,79.97,77.21,77.98,271580,28.07
2026-01-29,77.99,78.45,73.11,74.06,523896,49.84
2026-01-30,74.65,75.8,73.3,74.92,156129,37.54
2026-02-02,72.9,75.9,71.0,75.12,199169,20.55
2026-02-03,76.2,78.0,73.59,77.35,216708,30.12
2026-02-04,78.4,79.7,77.11,79.06,221049,44.57
2026-02-05,79.0,80.7,78.29,79.36,199499,45.58
2026-02-06,77.8,79.53,76.9,79.32,140421,48.77
2026-02-09,79.32,80.09,78.72,79.35,81089,48.51
2026-02-10,78.5,80.49,78.0,78.84,160301,53.02
2026-02-11,79.38,80.25,77.21,79.19,190475,50.8
2026-02-12,78.0,81.75,78.0,79.57,266981,42.52
2026-02-13,79.32,79.55,78.0,79.07,94415,53.57
2026-02-16,77.05,79.81,77.05,77.68,57943,48.27
2026-02-17,77.83,79.49,77.16,78.61,74595,46.5
2026-02-18,78.41,79.27,78.2,78.58,51150,47.17
2026-02-19,79.05,79.79,77.71,78.4,109852,43.89
2026-02-20,78.01,79.37,78.0,78.97,85788,41.67
2026-02-23,78.72,79.73,78.19,78.72,100039,48.93
2026-02-24,78.1,78.72,75.2,76.55,76792,48.24
2026-02-25,76.55,78.5,76.3,77.59,55426,45.44
2026-02-26,79.2,80.18,77.8,78.8,72955,55.09
2026-02-27,80.8,80.8,78.22,79.04,55133,53.89
2026-03-02,65.55,79.0,65.55,78.61,235755,44.01
2026-03-03,65.55,79.0,65.55,78.61,235755,44.01
2026-03-04,76.35,77.69,74.24,75.27,75067,46.93
2026-03-05,75.27,79.0,75.27,78.56,95669,43.06
2026-03-06,79.8,80.8,75.16,75.86,340547,34.59
2026-03-09,73.02,75.5,72.12,73.05,39900,44.15
2026-03-10,74.1,75.9,74.05,74.88,69759,63.09
2026-03-11,74.51,77.4,74.51,74.99,91295,56.72
2026-03-12,75.06,76.23,72.26,72.75,198387,70.39
2026-03-13,73.0,73.91,70.05,71.42,125954,55.32
2026-03-16,71.0,71.32,67.0,68.59,185664,47.89
2026-03-17,68.9,80.98,68.9,72.37,2805153,10.97
2026-03-18,70.0,73.97,69.67,72.16,284737,49.37
2026-03-19,70.05,74.41,70.0,70.87,231366,46.72
2026-03-20,71.8,72.9,71.31,72.05,63001,45.55
2026-03-23,72.0,72.72,68.0,68.45,147505,55.82
2026-03-24,70.88,71.39,69.0,70.15,186232,74.76
2026-03-25,71.0,72.39,70.01,71.05,125890,53.65
2026-03-26,71.0,72.39,70.01,71.05,125890,53.65
2026-03-27,70.0,70.4,67.5,67.85,198212,70.49
2026-03-30,66.09,69.0,63.99,65.25,158532,59.87
2026-03-31,66.09,69.0,63.99,65.25,158532,59.87
2026-04-01,65.9,70.29,65.9,69.95,131418,43.8
2026-04-02,68.2,74.33,67.47,73.14,133670,39.17
2026-04-03,68.2,74.33,67.47,73.14,133670,39.17
2026-04-06,72.2,72.55,70.7,71.97,74076,55.6
2026-04-07,71.25,73.49,71.25,71.89,82690,44.04
2026-04-08,74.4,79.0,73.12,75.18,365503,30.57
2026-04-09,75.0,77.65,73.52,76.03,54641,37.18
2026-04-10,76.0,77.5,76.0,77.11,47881,49.41
2026-04-13,75.95,78.0,74.31,77.13,88473,55.44
2026-04-14,75.95,78.0,74.31,77.13,88473,55.44
2026-04-15,78.1,79.26,76.25,77.65,120230,46.73
2026-04-16,77.25,79.48,76.86,78.24,87966,47.73
