DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,225.0,235.0,221.15,230.45,64438,45.09
2025-04-15,233.0,248.0,233.0,246.2,78867,40.61
2025-04-16,244.0,249.7,242.0,245.65,27734,32.5
2025-04-17,243.0,256.8,239.9,250.25,50442,37.37
2025-04-21,252.75,259.8,252.75,254.6,47187,54.83
2025-04-22,255.05,256.85,248.95,252.45,30596,55.52
2025-04-23,254.95,278.25,253.5,271.3,273070,18.94
2025-04-24,272.0,274.5,267.05,272.0,52124,39.42
2025-04-25,270.0,270.65,255.3,258.45,44239,41.55
2025-04-28,257.0,263.95,252.95,262.35,16034,29.51
2025-04-29,261.05,262.4,253.45,254.9,22770,45.27
2025-04-30,250.15,254.95,248.55,250.7,23252,40.7
2025-05-02,251.95,258.0,246.6,249.5,40252,43.7
2025-05-05,249.5,254.75,246.0,251.0,17009,33.71
2025-05-06,253.8,254.2,239.05,240.9,36032,53.82
2025-05-07,239.7,241.75,233.25,234.25,52760,64.21
2025-05-08,236.65,252.95,236.65,240.3,63511,36.26
2025-05-09,233.25,241.5,227.05,231.15,40739,46.71
2025-05-12,235.0,249.0,234.95,245.85,42424,56.42
2025-05-13,249.5,256.0,245.8,253.7,44521,48.44
2025-05-14,255.0,259.4,252.4,255.55,17551,49.57
2025-05-15,255.55,270.0,253.6,265.8,67344,49.48
2025-05-16,271.0,318.95,265.05,313.0,1234349,22.92
2025-05-19,313.0,329.65,282.8,295.05,548869,38.05
2025-05-20,284.0,298.5,284.0,292.9,80095,44.35
2025-05-21,296.0,307.85,281.55,290.9,188244,45.77
2025-05-22,287.0,291.1,286.4,288.5,39831,53.94
2025-05-23,287.1,303.0,287.1,296.35,120528,53.3
2025-05-26,299.9,309.5,297.0,304.4,123425,59.47
2025-05-27,303.0,303.6,296.85,301.15,53003,46.22
2025-05-28,302.95,303.0,295.0,296.35,29681,53.16
2025-05-29,298.65,302.55,295.6,297.1,27549,44.46
2025-05-30,297.4,301.7,293.8,296.3,43196,38.65
2025-06-02,298.95,319.0,292.35,310.25,284228,36.52
2025-06-03,310.0,313.0,302.0,303.75,63045,45.62
2025-06-04,303.75,307.3,292.55,294.05,77869,58.35
2025-06-05,295.55,299.55,293.3,294.35,51275,46.67
2025-06-06,297.3,297.35,293.25,296.5,33699,47.0
2025-06-09,299.85,333.95,299.85,323.45,811544,30.0
2025-06-10,326.8,337.8,323.8,326.9,334433,37.51
2025-06-11,326.5,330.05,316.7,322.6,149501,49.86
2025-06-12,325.85,326.0,312.65,315.6,70181,42.35
2025-06-13,310.0,323.8,306.1,314.6,65661,45.21
2025-06-16,310.3,316.65,302.55,313.45,66105,40.86
2025-06-17,313.45,316.25,306.0,306.3,28919,54.05
2025-06-18,306.5,312.75,303.2,305.5,43121,40.56
2025-06-19,305.5,307.2,296.5,297.7,37780,53.84
2025-06-20,300.15,314.75,297.6,310.85,52911,37.74
2025-06-23,306.0,312.6,301.3,309.6,53350,43.11
2025-06-24,310.85,318.45,302.5,305.5,56486,42.64
2025-06-25,308.55,334.45,308.2,330.15,147377,51.83
2025-06-26,338.0,377.7,332.0,370.8,2423424,14.03
2025-06-27,366.0,368.75,356.0,358.5,396890,20.08
2025-06-30,360.2,362.05,342.35,346.85,96737,58.33
2025-10-06,304.0,348.6,304.0,319.95,264912,34.89
2025-10-07,319.7,337.45,312.8,320.3,217374,45.21
2025-10-08,320.0,325.1,315.0,316.55,26704,58.61
2025-10-09,318.0,319.65,298.35,302.8,59415,51.85
2025-10-10,302.8,320.0,302.75,314.6,48984,55.18
2025-10-13,317.35,317.35,303.0,306.9,23161,55.29
2025-10-14,314.7,315.35,305.0,308.4,19280,57.57
2025-10-15,304.95,320.0,304.95,311.95,38964,56.67
2025-10-16,313.8,323.7,310.6,311.85,33539,73.28
2025-10-17,313.0,335.0,300.0,306.45,427779,28.13
2025-10-20,310.9,319.5,303.65,308.75,63909,51.78
2025-10-21,314.85,319.85,311.45,315.5,29209,68.87
2025-10-22,314.85,319.85,311.45,315.5,29209,68.87
2025-10-23,319.85,328.2,310.4,315.95,67612,72.67
2025-10-24,316.45,321.35,310.0,319.6,33541,52.89
2025-10-27,321.05,323.5,318.0,320.25,52156,74.63
2025-10-28,320.25,322.0,314.05,318.8,52750,74.47
2025-10-29,318.8,321.45,302.3,304.8,53351,75.08
2025-10-30,306.95,315.0,302.4,303.45,73569,59.12
2025-10-31,302.5,308.0,302.0,304.25,39153,58.55
2025-11-03,304.25,305.95,299.5,300.35,33109,69.59
2025-11-04,301.05,305.0,299.25,301.25,27530,56.22
2025-11-05,301.05,305.0,299.25,301.25,27530,56.22
