DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,4629.35,4850.0,4625.1,4693.95,10539,23.13
2025-04-15,4790.0,4911.8,4721.3,4873.0,9477,51.39
2025-04-16,4872.0,5014.9,4872.0,4971.9,10111,31.62
2025-04-17,4995.0,5149.7,4945.0,5013.5,10308,33.93
2025-04-21,5078.0,5448.9,5027.3,5376.1,30797,35.66
2025-04-22,5430.0,5940.0,5430.0,5623.6,61890,18.95
2025-04-23,5674.0,5758.6,5443.5,5524.5,20680,41.85
2025-04-24,5521.0,5594.5,5466.0,5488.1,7755,33.98
2025-04-25,5492.0,5522.6,5207.0,5250.0,11875,40.07
2025-04-28,5300.0,5306.4,5175.5,5242.9,7832,31.87
2025-04-29,5252.0,5315.9,5201.0,5248.1,7500,43.43
2025-04-30,5220.0,5251.6,5003.0,5068.6,9057,47.91
2025-05-02,5071.0,5210.5,5017.0,5073.5,7250,35.59
2025-05-05,5101.0,5148.0,4975.0,5042.5,9050,43.14
2025-05-06,5060.0,5079.5,4953.5,4966.5,5414,52.81
2025-05-07,4870.0,5085.0,4870.0,5022.5,7145,37.54
2025-05-08,5039.5,5126.0,4900.0,4965.5,5262,42.76
2025-05-09,4900.0,4999.0,4800.5,4981.5,6529,45.92
2025-05-12,5117.5,5225.0,5117.5,5212.0,8243,52.04
2025-05-13,5215.5,5367.0,5200.0,5282.0,6847,36.97
2025-05-14,5303.0,5607.0,5300.0,5515.5,15453,43.09
2025-05-15,5500.0,5580.0,5455.0,5472.5,5287,51.26
2025-05-16,5496.0,5625.0,5488.5,5594.0,9247,48.26
2025-05-19,5594.0,5735.0,5471.0,5559.0,20216,45.23
2025-05-20,5561.0,5595.5,5270.0,5290.0,21283,60.05
2025-05-21,5332.0,5332.0,5139.5,5220.0,17581,53.51
2025-05-22,5220.0,5254.5,5105.5,5137.0,10643,46.88
2025-05-23,5145.0,5272.0,5079.0,5227.5,9780,43.52
2025-05-26,5226.5,5259.5,5101.0,5140.5,10097,53.93
2025-05-27,5128.5,5160.0,5061.0,5092.5,10898,56.38
2025-05-28,5108.5,5108.5,4955.0,4970.0,23459,63.05
2025-05-29,4992.5,5098.5,4911.0,4955.5,24543,51.7
2025-05-30,4951.0,5189.0,4850.0,5094.5,85400,44.51
2025-06-02,5079.0,5146.0,4990.0,5002.0,11001,53.1
2025-06-03,5049.5,5052.0,4911.0,4937.0,14036,56.8
2025-06-04,4900.0,5029.0,4825.5,4908.5,41665,36.07
2025-06-05,4918.5,5040.0,4918.5,4937.5,12320,44.25
2025-06-06,5000.0,5320.0,4945.5,5073.5,72524,28.64
2025-06-09,5170.0,5338.0,5134.0,5182.0,37298,39.45
2025-06-10,5223.5,5255.0,5090.0,5117.0,18669,52.66
2025-06-11,5129.0,5378.5,5104.0,5268.0,49931,38.18
2025-06-12,5294.0,5349.0,5070.0,5099.0,17294,54.37
2025-06-13,5000.0,5055.0,4954.5,4996.5,14618,50.99
2025-06-16,5010.0,5048.0,4915.0,5015.5,16846,36.67
2025-06-17,4995.0,5065.0,4907.5,4937.5,11557,48.09
2025-06-18,4900.0,4930.0,4760.0,4838.5,20577,45.07
2025-06-19,4830.0,4895.5,4770.0,4789.5,15141,56.04
2025-06-20,4799.0,4860.5,4753.0,4823.0,6800,36.21
2025-06-23,4780.0,4848.0,4764.0,4786.5,7762,45.5
2025-06-24,4820.0,4919.0,4820.0,4838.5,9943,43.11
2025-06-25,4832.0,4960.5,4832.0,4944.0,9877,39.85
2025-06-26,4919.5,5039.0,4906.5,4986.5,10078,44.34
2025-06-27,4992.5,5068.0,4935.0,4952.0,8169,50.04
2025-06-30,4941.0,5005.0,4906.0,4944.5,6119,48.65
2025-07-01,4936.0,4975.3,4871.4,4881.3,6006,42.97
2025-07-02,4881.3,4928.0,4830.1,4845.9,5571,46.51
2025-07-03,4861.0,4893.3,4805.0,4817.3,6136,53.55
2025-07-04,4828.0,4860.0,4793.0,4807.2,3698,57.08
2025-07-07,4807.2,4848.0,4759.0,4768.6,4903,44.99
2025-07-08,4798.4,4830.7,4715.0,4738.5,5853,51.0
2025-07-09,4731.5,4788.0,4677.0,4696.4,7621,37.44
2025-07-10,4698.0,4760.0,4661.1,4713.2,8477,43.9
2025-07-11,4749.0,4754.9,4685.0,4693.9,3458,47.51
2025-07-14,4693.9,4708.7,4625.0,4671.2,5313,46.38
2025-07-15,4654.0,4711.0,4635.0,4641.2,5895,60.25
2025-07-16,4642.0,4675.0,4601.5,4644.8,7056,54.29
2025-07-17,4656.5,4766.0,4642.6,4739.3,8833,47.23
2025-07-18,4763.0,5343.9,4740.0,5228.1,184504,20.86
2025-07-21,5200.0,5299.0,5139.8,5160.3,34823,33.96
2025-07-22,5200.0,5420.0,5063.1,5242.0,72826,24.51
2025-07-23,5243.5,5349.0,5180.0,5192.1,23288,37.0
2025-07-24,5200.0,5208.2,5065.0,5094.2,5927,47.22
2025-07-25,5071.0,5080.0,4925.0,4949.6,6626,53.53
2025-07-28,4924.9,5085.6,4900.2,4963.3,8621,38.38
2025-07-29,4930.1,5023.9,4910.0,4962.6,5938,37.32
2025-07-30,4962.6,5009.8,4944.0,4971.2,2890,42.25
2025-07-31,4923.5,4980.0,4888.9,4922.2,4040,44.93
2025-08-01,4912.2,5016.0,4750.5,4813.8,8439,50.39
2025-08-04,4813.0,5025.6,4774.2,4864.5,18693,22.54
2025-08-05,4834.1,4922.6,4820.0,4842.3,3666,44.16
2025-08-06,4850.0,4874.4,4773.1,4807.7,4356,68.39
2025-08-07,4751.0,4887.0,4710.1,4770.4,5175,32.91
2025-08-08,4780.0,4836.0,4708.7,4720.3,5700,42.91
