DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-14,11.93,11.93,11.5,11.75,4310,82.97
2025-07-15,11.4,11.94,11.4,11.71,2733,98.72
2025-07-16,11.7,11.89,11.4,11.51,2109,97.96
2025-07-17,11.8,11.95,11.65,11.89,2170,64.1
2025-07-18,11.89,12.04,11.55,12.0,3725,64.51
2025-07-21,12.0,12.29,11.5,11.53,19353,63.65
2025-07-22,11.1,11.86,11.1,11.44,3476,75.72
2025-07-23,11.5,11.78,10.86,11.11,12099,82.35
2025-07-24,11.12,11.66,10.9,11.66,34566,69.13
2025-07-25,12.2,12.24,12.2,12.24,6698,100.0
2025-07-28,12.8,12.85,12.8,12.85,7237,100.0
2025-07-29,13.49,13.49,12.26,13.49,76847,82.1
2025-07-30,14.16,14.16,14.16,14.16,5656,80.85
2025-07-31,14.86,14.86,13.45,14.86,50572,66.35
2025-08-01,15.6,15.6,15.6,15.6,7519,100.0
2025-08-04,16.38,16.38,16.38,16.38,52388,99.97
2025-08-05,17.19,17.19,15.71,17.18,382944,61.34
2025-08-06,18.03,18.03,17.6,18.03,325507,76.68
2025-11-10,11.85,11.98,11.0,11.56,17463,81.69
2025-11-11,11.56,11.87,11.11,11.82,4512,94.35
2025-11-12,12.2,12.41,11.7,12.41,23248,81.45
2025-11-13,12.5,12.89,11.85,11.94,16372,69.56
2025-11-14,12.0,12.0,11.41,11.48,8836,64.1
2025-11-17,11.0,11.73,11.0,11.19,10689,61.2
2025-11-18,11.43,11.74,11.3,11.74,6285,99.9
2025-11-19,12.1,12.32,11.8,12.32,7886,74.13
2025-11-20,12.85,12.85,11.91,12.0,7071,51.59
2025-11-21,11.9,12.38,11.9,12.16,3577,88.45
2025-11-24,12.1,12.68,11.86,11.87,1972,84.03
2025-11-25,11.66,12.28,11.33,11.93,7925,74.85
2025-11-26,12.38,12.39,11.55,11.55,2015,69.63
2025-11-27,11.55,11.87,11.55,11.56,840,98.69
2025-11-28,12.0,12.0,11.55,11.96,7250,76.01
2025-12-01,11.85,12.55,11.65,12.55,12802,97.56
2025-12-02,12.9,13.17,12.75,13.15,27454,76.81
2025-12-03,13.4,13.8,13.15,13.8,19863,92.43
2025-12-04,14.49,14.49,14.49,14.49,24874,100.0
2025-12-05,15.93,15.93,14.22,15.61,60041,72.32
2025-12-08,15.6,17.17,15.51,16.31,199269,57.1
2025-12-09,16.95,17.46,15.22,15.41,80777,55.58
2025-12-10,15.41,15.41,13.87,13.91,30120,59.57
2026-05-25,14.57,16.09,14.57,15.7,11483,80.34
2026-05-26,15.5,16.29,15.5,15.54,3103,99.97
2026-05-27,16.0,16.31,16.0,16.31,21976,88.62
2026-05-28,16.0,16.31,16.0,16.31,21976,88.62
2026-05-29,17.1,17.12,15.5,15.51,49238,77.45
2026-06-01,16.2,16.2,15.01,15.01,1085,64.98
2026-06-02,15.01,15.75,15.01,15.74,2251,99.82
2026-06-03,16.5,16.52,14.96,15.69,35223,77.54
2026-06-04,16.47,16.47,16.03,16.47,37473,99.06
2026-06-05,18.11,18.11,18.11,18.11,32066,93.05
2026-06-08,19.92,19.92,19.01,19.92,199795,86.51
2026-06-09,20.51,21.3,17.93,17.93,87561,67.02
2026-06-10,17.7,18.41,16.6,18.02,48801,61.16
