DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,48.1,49.4,47.92,48.56,855551,45.58
2025-04-15,49.75,51.45,49.75,51.26,679754,56.07
2025-04-16,51.55,52.85,51.21,51.58,1302246,42.62
2025-04-17,51.7,52.25,51.3,51.62,784416,50.58
2025-04-21,51.67,52.88,51.3,52.48,885676,54.78
2025-04-22,52.55,54.34,51.74,53.73,1308353,44.63
2025-04-23,54.25,54.3,52.15,52.91,1100919,42.91
2025-04-24,52.8,55.29,52.53,53.78,1282708,49.41
2025-04-25,53.7,53.8,50.81,51.28,1088109,44.56
2025-04-28,51.3,52.0,50.2,51.06,595301,33.01
2025-04-29,51.43,52.3,49.5,50.14,982548,51.92
2025-04-30,50.1,51.0,48.12,48.4,1108582,58.25
2025-05-02,48.6,49.78,48.11,48.68,588249,44.1
2025-05-05,48.2,51.57,47.91,50.44,1391356,39.93
2025-05-06,50.6,50.66,48.49,48.73,793957,50.03
2025-05-07,47.5,48.8,47.04,47.96,852530,44.75
2025-05-08,48.48,49.2,47.01,47.2,911905,50.19
2025-05-09,46.0,47.28,45.01,46.98,702017,43.95
2025-05-12,49.0,50.8,48.7,50.46,1379298,53.27
2025-05-13,50.6,55.74,50.51,54.29,3609234,41.52
2025-05-14,54.7,56.34,53.79,55.82,3695191,37.59
2025-05-15,55.95,57.81,55.2,56.11,2349572,45.06
2025-05-16,56.5,57.96,55.87,57.26,2170578,51.03
2025-05-19,57.7,60.6,57.5,60.08,1983626,48.22
2025-05-20,60.76,61.29,57.03,58.51,2857123,48.03
2025-05-21,58.58,62.5,57.16,61.59,3152813,45.9
2025-05-22,54.69,56.9,54.1,56.26,5847370,37.41
2025-05-23,56.0,56.38,53.15,53.7,3087536,48.41
2025-05-26,53.98,54.9,53.88,54.17,1299754,55.22
2025-05-27,54.25,54.52,53.16,53.73,1066744,53.11
2025-05-28,53.97,54.8,53.6,54.67,1080119,58.29
2025-05-29,54.5,55.0,53.34,53.89,693748,51.17
2025-05-30,54.0,54.95,53.5,54.41,1148355,53.46
2025-06-02,54.3,56.67,53.96,55.31,1502246,52.29
2025-06-03,55.6,56.59,54.8,55.09,1073113,46.56
2025-06-04,55.0,55.64,53.76,54.92,1193852,48.94
2025-06-05,55.05,55.8,54.79,55.18,894134,48.98
2025-06-06,55.0,55.5,54.21,54.46,675425,54.05
2025-06-09,54.73,56.14,54.73,55.4,903887,52.47
2025-06-10,55.51,56.81,55.51,56.12,1317708,54.38
2025-06-11,56.19,58.5,55.56,56.22,2268517,45.53
2025-06-12,56.5,56.85,54.41,54.72,826535,49.35
2025-06-13,53.0,54.09,52.43,53.47,1188421,43.16
2025-06-16,53.11,57.59,51.77,55.81,3612411,37.68
2025-06-17,55.8,56.49,54.6,54.91,794254,42.94
2025-06-18,54.74,55.51,53.75,54.07,895836,33.26
2025-06-19,54.29,54.61,52.05,52.53,725806,41.32
2025-06-20,52.15,55.4,52.13,54.25,902500,34.74
2025-06-23,54.0,55.0,53.41,53.7,608461,39.0
2025-06-24,54.2,55.0,54.01,54.36,461831,44.61
2025-06-25,54.8,58.2,54.76,57.9,2213557,51.8
2025-06-26,58.15,58.71,56.21,56.73,1097840,54.27
2025-06-27,56.99,57.3,55.81,56.21,782942,50.6
2025-06-30,56.49,57.73,56.49,57.34,921490,53.35
2025-07-01,57.59,57.92,56.79,57.59,636765,54.17
2025-07-02,62.75,62.75,59.4,59.7,4463862,33.34
2025-07-03,59.85,60.23,58.81,59.19,826809,43.35
