DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1820.65,1904.9,1820.45,1886.35,833119,52.57
2025-04-15,1913.6,1939.9,1881.9,1933.3,728838,64.49
2025-04-16,1940.0,2011.0,1927.1,2000.8,2754531,53.33
2025-04-17,2004.5,2007.0,1967.4,1973.1,1756568,58.0
2025-04-21,1984.0,1995.0,1956.3,1973.4,553018,55.01
2025-04-22,1972.1,1989.0,1961.0,1966.0,2051964,47.02
2025-04-23,1973.8,1983.9,1956.1,1963.2,3473460,45.16
2025-04-24,1962.8,1981.0,1910.0,1968.6,688679,36.36
2025-04-25,1972.0,1978.0,1898.1,1967.0,721638,37.18
2025-04-28,1965.0,1972.6,1926.9,1931.7,774571,64.52
2025-04-29,1929.9,1943.7,1907.1,1918.4,697545,52.91
2025-04-30,1912.0,1931.0,1899.5,1906.0,326068,65.84
2025-05-02,1907.0,1913.8,1862.0,1869.0,574557,60.4
2025-05-05,1867.0,1886.0,1851.1,1873.3,941220,54.44
2025-05-06,1880.0,1882.8,1836.2,1850.7,427840,65.39
2025-05-07,1842.7,1846.8,1773.5,1833.1,682379,27.45
2025-05-08,1840.1,1853.7,1780.0,1799.0,407868,59.29
2025-05-09,1766.0,1800.0,1735.7,1759.9,485976,61.36
2025-05-12,1785.0,1838.9,1773.6,1818.9,1586025,49.76
2025-05-13,1806.1,1831.4,1798.0,1819.1,865326,47.79
2025-05-14,1829.9,1833.0,1776.1,1783.3,1045747,46.78
2025-05-15,1798.0,1823.0,1767.0,1811.1,854757,50.42
2025-05-16,1824.0,1829.0,1751.7,1785.0,2001275,42.14
2025-05-19,1797.0,1797.0,1725.1,1732.1,1500388,52.79
2025-05-20,1742.2,1744.4,1702.0,1706.8,880360,60.08
2025-05-21,1712.9,1731.2,1689.3,1725.0,1037084,45.62
2025-05-22,1724.9,1724.9,1696.5,1711.3,558356,52.55
2025-05-23,1716.9,1718.8,1691.3,1700.8,617260,43.11
2025-05-26,1709.3,1743.2,1705.0,1739.9,613056,51.46
2025-05-27,1749.0,1755.0,1720.9,1740.3,549742,61.62
2025-05-28,1740.3,1754.0,1725.5,1747.0,476038,57.98
2025-05-29,1753.0,1765.2,1719.0,1757.1,837315,47.02
2025-05-30,1748.0,1748.0,1647.1,1671.3,1406738,52.19
2025-06-02,1676.6,1723.5,1676.6,1697.2,1003001,41.26
2025-06-03,1720.0,1724.9,1683.0,1688.7,506147,54.94
2025-06-04,1692.0,1699.0,1657.9,1680.2,649083,47.28
2025-06-05,1677.0,1690.0,1665.8,1681.6,418861,32.2
2025-06-06,1680.0,1720.1,1667.0,1710.5,864225,37.84
2025-06-09,1715.3,1718.2,1692.4,1700.7,264693,28.68
2025-06-10,1705.0,1709.0,1688.0,1690.0,317687,49.81
2025-06-11,1698.0,1698.0,1667.9,1674.7,368656,49.11
2025-06-12,1689.6,1700.3,1660.1,1680.0,844491,66.27
2025-06-13,1668.1,1677.8,1663.3,1673.0,169723,47.89
2025-06-16,1674.0,1683.6,1667.5,1680.0,194389,55.75
2025-06-17,1680.0,1686.3,1651.3,1657.8,1416611,71.14
2025-06-18,1657.8,1670.0,1650.1,1661.6,556173,49.31
2025-06-19,1665.9,1671.0,1621.0,1635.6,751476,42.61
2025-06-20,1632.1,1654.1,1617.5,1649.6,584054,49.01
2025-06-23,1640.0,1641.5,1613.8,1614.9,987591,73.63
2025-06-24,1632.0,1635.0,1609.3,1613.0,1113821,56.69
2025-06-25,1622.7,1643.8,1615.0,1633.1,1128921,67.37
2025-06-26,1636.1,1664.0,1634.5,1652.4,1425606,39.85
2025-06-27,1658.0,1671.9,1626.5,1647.7,923387,50.82
2025-06-30,1650.0,1659.9,1628.5,1650.6,1864109,50.11
2025-07-01,1644.0,1657.1,1625.1,1629.1,709994,52.26
2025-07-02,1643.6,1648.8,1619.9,1638.1,804875,44.77
2025-07-03,1638.1,1665.9,1625.6,1661.2,2369765,24.41
2025-07-04,1660.0,1670.0,1645.9,1660.8,308750,49.35
2025-07-07,1660.0,1670.0,1621.8,1661.1,1754453,25.73
2025-07-08,1655.0,1671.7,1629.1,1638.2,2314429,35.93
2025-07-09,1640.0,1666.9,1630.1,1660.6,704742,37.15
2025-07-10,1658.3,1671.2,1653.4,1663.6,518693,27.1
2025-07-11,1663.6,1676.1,1652.0,1665.2,434047,50.29
2025-07-14,1668.3,1679.0,1658.1,1673.7,353045,51.42
2025-07-15,1688.5,1752.3,1672.0,1744.5,1937989,40.81
2025-07-16,1745.0,1873.3,1744.6,1859.6,5313544,21.53
2025-07-17,1853.0,1922.6,1846.1,1909.3,4058569,25.6
2025-07-18,1904.0,1954.5,1894.1,1941.7,1966830,14.41
2025-07-21,1937.9,1951.1,1921.7,1942.0,1088023,24.11
2025-07-22,1947.0,1961.8,1935.0,1942.0,604403,28.9
2025-07-23,1938.0,1948.0,1867.4,1935.1,3187099,40.99
2025-07-24,1935.1,1938.1,1890.0,1898.5,458050,33.37
2025-07-25,1903.3,1907.4,1872.0,1880.3,1681840,43.45
2025-07-28,1888.0,1888.0,1823.0,1861.3,678927,38.61
2025-07-29,1846.0,1898.5,1842.6,1887.1,791473,39.63
2025-07-30,1899.0,1916.8,1883.0,1899.9,1275981,43.28
2025-07-31,1870.0,1892.8,1860.0,1873.7,1082772,49.86
2025-08-01,1869.6,1895.6,1850.0,1861.0,325364,26.41
2025-08-04,1871.0,1871.0,1851.1,1861.0,176478,26.2
2025-08-05,1859.0,1862.8,1817.1,1833.4,301915,32.17
2025-08-06,1834.9,1843.9,1804.2,1824.0,374568,31.23
2025-08-07,1819.8,1826.2,1787.4,1820.4,334040,37.05
2025-08-08,1820.0,1827.6,1754.3,1804.7,302296,36.44
2025-08-11,1806.5,1812.5,1775.0,1783.3,200107,37.13
2025-08-12,1775.0,1825.5,1771.5,1819.3,525990,38.28
2025-08-13,1822.8,1830.0,1786.8,1797.5,561912,29.11
2025-08-14,1806.0,1806.0,1755.5,1764.8,511956,41.04
2025-08-18,1800.0,1811.4,1771.0,1777.7,1268393,50.74
2025-08-19,1765.1,1803.6,1765.1,1789.8,345226,27.88
2025-08-20,1798.7,1820.5,1785.7,1813.8,1102754,63.14
2025-08-21,1820.0,1832.3,1791.0,1808.7,460952,27.86
2025-08-22,1805.0,1816.6,1794.0,1801.2,190320,29.85
2025-08-25,1812.1,1817.4,1801.2,1805.7,294102,38.0
2025-08-26,1804.1,1811.9,1784.1,1799.3,267067,32.92
2025-08-28,1809.4,1809.4,1759.0,1769.8,571455,61.77
2025-08-29,1780.0,1796.4,1771.3,1777.6,230722,50.6
2025-09-01,1793.9,1803.0,1775.7,1793.8,219101,41.22
2025-09-02,1804.0,1815.0,1792.2,1804.8,313790,52.15
2025-09-03,1811.0,1822.0,1794.8,1816.5,499862,44.72
2025-09-04,1844.9,1845.0,1803.0,1810.4,538870,50.99
2025-09-05,1807.0,1816.1,1781.6,1789.2,327517,49.87
2025-09-08,1794.9,1802.9,1790.0,1798.0,137418,46.07
2025-09-09,1802.0,1807.9,1790.0,1802.1,229745,51.79
2025-09-10,1810.0,1810.0,1788.0,1802.0,286019,53.99
2025-09-11,602.7,603.5,589.5,598.9,2427699,34.41
2025-09-12,598.8,602.0,585.6,592.7,1047249,45.57
2025-09-15,590.6,601.9,589.5,599.0,815908,35.11
2025-09-16,599.0,601.7,595.5,600.3,496016,48.59
2025-09-17,600.0,604.4,595.7,602.3,1274555,56.75
2025-09-18,602.3,607.0,600.2,606.0,1437044,70.39
2025-09-19,607.0,614.9,605.9,608.9,1423136,46.7
2025-09-22,608.0,608.1,592.1,597.4,1043197,48.85
2025-09-23,596.5,603.3,596.5,599.8,2129544,73.45
2025-09-24,600.0,605.8,596.0,600.8,595726,38.11
2025-09-25,600.0,604.6,597.0,600.0,648680,48.28
2025-09-26,596.6,598.9,586.7,589.0,450394,49.5
2025-09-29,590.0,603.1,587.8,597.1,615370,32.59
2025-09-30,597.2,600.9,570.0,575.8,1252621,40.8
2025-10-01,575.8,584.35,567.8,580.95,833268,42.95
2025-10-03,576.1,591.05,576.1,588.45,730453,39.26
2025-10-06,587.0,600.95,583.5,597.55,902590,31.63
2025-10-07,599.0,603.0,591.0,597.25,413182,46.09
2025-10-08,596.95,599.9,593.1,598.2,185683,42.4
2025-10-09,597.0,600.5,591.6,594.55,793782,48.16
2025-10-10,592.0,598.35,589.0,594.1,295918,48.12
2025-10-13,590.0,594.05,581.85,589.8,553234,39.49
2025-10-14,587.8,591.0,576.95,583.6,383700,45.01
2025-10-15,583.0,589.35,580.1,584.6,556159,65.26
2025-10-16,584.6,593.45,583.1,589.85,590961,43.47
2025-10-17,587.2,596.2,584.1,587.85,1918582,56.51
2025-10-20,591.3,594.0,587.0,590.25,254332,34.48
2025-10-21,593.0,594.15,587.1,588.7,88692,51.03
2025-10-22,593.0,594.15,587.1,588.7,88692,51.03
2025-10-23,588.75,598.35,585.8,593.6,1826678,66.05
2025-10-24,591.65,596.0,579.0,580.95,540478,45.28
2025-10-27,582.9,591.65,581.4,590.5,629426,41.38
2025-10-28,590.5,595.7,588.7,593.65,656009,32.66
2025-10-29,593.0,606.95,592.0,604.7,1773586,51.12
2025-10-30,605.05,613.4,603.25,609.55,1000569,39.36
2025-10-31,612.8,614.05,601.35,602.4,707902,38.74
2025-11-03,606.95,606.95,565.05,578.15,9149046,35.19
2025-11-04,582.05,582.5,572.05,575.55,1205332,53.52
2025-11-05,582.05,582.5,572.05,575.55,1205332,53.52
2025-11-06,576.0,582.6,567.25,573.0,1036633,34.19
2025-11-07,573.3,580.0,565.8,578.9,952756,47.73
2025-11-10,579.95,584.4,576.7,580.0,1155667,51.2
2025-11-11,580.95,583.7,574.4,582.5,402988,46.34
2025-11-12,586.0,589.9,580.25,588.3,882672,52.91
2025-11-13,588.3,593.9,584.2,590.45,1688646,25.76
2025-11-14,589.5,592.75,581.5,587.8,488732,38.85
2025-11-17,587.8,590.5,584.65,586.9,1391118,45.89
2025-11-18,593.0,594.95,582.0,587.05,2112668,45.01
2025-11-19,585.0,589.95,578.65,582.9,468012,42.61
2025-11-20,581.3,586.55,579.5,584.25,524362,41.08
2025-11-21,582.6,583.7,575.0,579.3,745872,48.34
2025-11-24,579.3,580.45,568.0,569.75,439901,46.19
2025-11-25,568.05,571.5,565.55,569.35,680112,48.73
2025-11-26,568.0,575.4,567.55,569.65,1058621,61.51
2025-11-27,569.95,573.9,565.1,569.45,377745,49.45
2025-11-28,567.5,570.25,565.6,568.15,360701,45.0
2025-12-01,568.15,570.8,562.8,569.25,553676,51.16
2025-12-02,565.1,568.85,561.9,563.35,510611,51.85
2025-12-03,560.9,564.25,551.8,555.15,1166556,38.21
2025-12-04,552.0,558.35,521.0,528.75,1644469,48.98
2025-12-05,527.45,555.15,522.65,550.8,5471238,33.33
2025-12-08,552.9,556.9,542.0,547.85,1967581,49.61
