DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,355.95,368.95,354.95,360.2,5524,78.02
2025-04-15,363.05,372.0,352.3,358.95,8004,48.14
2025-04-16,372.15,375.0,360.95,370.15,14199,85.81
2025-04-17,367.95,385.1,355.4,379.1,10151,65.34
2025-04-21,361.1,377.9,361.1,369.0,3526,56.27
2025-04-22,388.0,388.0,363.0,366.8,11252,38.29
2025-04-23,364.0,369.85,342.55,351.75,14305,45.14
2025-04-24,358.0,361.7,345.0,352.25,8831,50.89
2025-04-25,352.05,352.05,315.25,322.75,47469,59.51
2025-04-28,330.9,348.95,325.0,329.5,10522,52.0
2025-04-29,337.75,339.9,324.0,333.05,9694,55.83
2025-04-30,340.55,340.55,305.55,313.4,17526,46.12
2025-05-02,312.8,329.15,307.95,325.05,4692,61.36
2025-05-05,345.0,345.0,317.0,319.85,5838,70.81
2025-05-06,322.5,325.45,312.7,314.0,3591,64.94
2025-05-07,310.6,316.65,303.55,312.5,3774,80.42
2025-05-08,315.6,375.0,315.05,371.85,136527,34.19
2025-05-09,364.7,383.0,349.8,363.9,42389,36.31
2025-05-12,371.55,401.0,354.6,393.0,41786,58.27
2025-05-13,385.8,419.95,380.35,413.05,19407,52.1
2025-05-14,410.0,425.5,390.0,414.05,16011,57.5
2025-05-15,402.7,412.1,397.15,403.55,19800,76.45
2025-05-16,398.3,411.55,390.0,402.25,15776,66.88
2025-05-19,402.25,406.0,390.1,405.8,15597,81.12
2025-05-20,411.9,411.9,395.0,400.65,11097,86.35
2025-05-21,399.7,406.0,389.95,400.2,24244,75.64
2025-05-22,400.0,406.0,397.25,402.25,4770,38.97
2025-05-23,401.8,406.0,395.6,399.55,20260,69.48
2025-05-26,380.7,404.85,380.7,401.8,3805,61.37
2025-05-27,378.3,404.9,378.3,400.2,3273,43.17
2025-05-28,400.2,405.2,392.0,395.9,7168,44.0
2025-05-29,396.55,400.45,388.05,391.2,13938,64.88
2025-05-30,395.25,406.0,388.35,394.35,29521,82.57
2025-06-02,394.0,399.9,391.05,398.95,1978,38.07
2025-06-03,394.8,401.2,391.5,397.0,3891,51.61
2025-06-04,391.4,405.0,385.3,388.5,10487,64.68
2025-06-05,395.65,396.2,381.5,383.25,5880,60.46
2025-06-06,381.25,391.3,377.0,380.05,5480,45.82
2025-06-09,375.35,411.0,375.35,396.15,27762,35.54
2025-06-10,402.95,440.0,389.4,420.9,43022,55.07
2025-06-11,422.8,448.0,415.55,441.75,36608,64.71
2025-06-12,451.2,452.2,441.75,444.9,16858,68.44
2025-06-13,415.0,459.95,415.0,445.05,16994,63.8
2025-06-16,440.0,447.5,420.6,438.75,11462,47.91
2025-06-17,435.25,438.4,426.0,428.45,7690,74.19
2025-06-18,420.0,433.4,419.4,426.8,5132,53.12
2025-06-19,428.95,433.0,411.5,425.05,6642,70.52
2025-06-20,422.95,428.95,415.1,422.95,5584,24.89
2025-06-23,422.95,428.05,408.6,412.0,4417,44.89
2025-06-24,419.4,422.95,407.3,411.15,5578,39.48
2025-06-25,415.0,419.1,412.15,413.35,3249,66.85
2025-06-26,420.6,420.6,407.8,412.75,4958,55.61
2025-06-27,409.0,417.1,400.0,404.2,7134,53.35
2025-06-30,424.8,469.6,423.3,432.3,96262,33.54
2025-07-01,434.5,436.8,415.0,417.7,10591,58.42
2025-07-02,418.3,426.7,410.8,417.1,16367,56.87
2025-07-03,424.0,455.0,417.1,423.1,72745,31.47
2025-07-04,427.75,440.0,425.0,428.3,19040,59.19
2025-07-07,430.4,437.3,418.55,420.0,5440,59.63
2025-07-08,421.0,427.95,415.0,417.9,5649,70.38
2025-07-09,416.35,423.15,410.0,410.75,7779,85.08
2025-07-10,412.0,417.9,406.0,409.45,6935,69.07
2025-07-11,413.2,418.8,409.0,414.95,3870,60.59
2025-07-14,411.15,432.0,411.15,427.55,18256,41.2
2025-07-15,429.0,435.0,423.05,431.85,10210,63.64
2025-07-16,431.25,439.8,411.25,428.1,37633,57.95
2025-07-17,429.9,431.9,416.3,417.9,6788,75.59
2025-07-18,415.85,423.5,409.05,413.6,11149,61.38
2025-07-21,416.2,423.95,410.8,419.15,4786,60.78
2025-07-22,422.75,424.1,413.3,415.2,6926,56.76
2025-07-23,415.2,418.8,409.75,410.85,4863,63.77
2025-07-24,410.85,426.95,408.0,411.05,7760,66.96
2025-07-25,411.05,414.5,403.05,407.55,9578,73.44
2025-07-28,415.0,415.0,384.05,392.0,12271,49.32
2025-07-29,390.05,402.25,389.95,398.4,7295,54.56
2025-07-30,412.6,412.6,395.0,396.65,2226,61.9
2025-07-31,385.0,400.0,383.95,392.7,4876,62.08
2025-08-01,383.35,398.6,383.35,389.4,2499,79.19
2025-08-04,395.2,402.0,392.65,394.7,3911,57.02
2025-08-05,399.1,402.75,389.0,395.65,2638,58.3
2025-08-06,400.0,414.9,382.9,387.4,19727,53.88
2025-08-07,393.0,393.9,370.6,375.8,18383,62.82
2025-08-08,378.4,389.9,350.2,360.6,11709,46.0
2025-08-11,365.0,376.05,354.9,369.55,13534,49.3
2025-08-12,375.1,402.05,373.05,393.4,23873,52.88
2025-08-13,400.0,430.0,396.0,418.5,27231,55.74
2025-08-14,420.0,425.95,406.7,410.15,10318,52.01
2025-08-18,423.0,449.6,415.0,418.6,44298,64.12
2025-08-19,419.1,432.0,417.2,423.75,11731,71.84
2025-08-20,429.0,435.15,422.2,427.2,30177,70.87
2025-08-21,430.0,459.8,428.1,445.3,108909,57.5
2025-08-22,449.75,459.95,438.2,441.6,48758,51.3
2025-08-25,448.5,450.0,438.0,440.0,19151,51.76
2025-08-26,438.0,445.0,429.0,431.45,12578,72.43
2025-08-28,431.45,435.9,420.0,424.5,12249,60.14
2025-08-29,428.75,429.9,408.55,413.2,37471,59.71
2025-09-01,41.85,42.4,37.0,37.95,251666,76.63
2025-09-02,39.9,39.9,36.1,38.25,254305,62.45
2025-09-03,39.05,39.75,37.2,37.5,96676,59.87
2025-09-04,38.5,38.9,36.4,36.6,98778,78.96
2025-09-05,36.9,36.9,34.1,34.55,141100,68.11
2025-09-08,34.55,38.5,34.55,35.05,239458,55.8
2025-09-09,35.5,36.6,35.0,35.65,76907,63.49
2025-09-10,35.8,35.95,34.55,34.8,157036,63.94
2025-09-11,35.55,35.55,34.1,34.25,84277,79.63
2025-09-12,35.65,35.65,33.0,33.35,126123,67.15
2025-09-15,33.05,34.4,32.6,34.05,47760,56.93
2025-09-16,34.15,40.85,33.6,40.35,2640673,28.17
2025-09-17,42.3,43.8,38.75,41.1,1023537,31.35
