DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,63.5,63.5,63.5,63.5,16,100.0
2026-08-18,64.8,64.8,58.8,60.42,405,99.51
2026-08-19,60.0,60.0,60.0,60.0,30,100.0
2026-08-21,60.6,60.6,60.3,60.3,1360,100.0
2026-08-27,60.0,60.5,58.0,60.2,65,98.46
2026-08-28,60.2,72.2,60.2,64.61,2394,69.26
2026-08-31,70.0,70.0,59.6,60.8,391,98.47
2026-09-01,56.53,65.0,56.53,64.41,599,99.67
2026-09-02,62.6,62.6,58.0,59.26,1728,71.47
2026-09-03,59.26,60.2,58.21,58.67,366,71.58
2026-09-04,59.3,64.0,57.14,61.0,528,81.06
2026-09-09,60.0,61.0,59.51,60.86,478,86.4
2026-09-10,60.5,60.5,57.15,60.0,103,99.03
2026-09-11,59.43,61.0,59.43,61.0,65,96.92
2026-09-14,59.43,61.0,59.43,61.0,65,96.92
2026-09-17,61.0,61.0,59.99,60.0,278,100.0
2026-09-18,67.0,67.0,60.08,65.0,146,98.63
2026-09-21,64.7,65.0,64.7,65.0,101,99.01
2026-09-22,65.0,68.0,65.0,65.01,1938,99.9
