DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-06-16,110.0,115.0,108.4,112.09,160576,72.81
2025-06-17,111.6,115.6,111.6,113.11,75068,67.92
2025-06-18,113.11,114.14,110.0,111.13,53067,58.4
2025-06-19,110.07,112.5,108.38,110.3,79756,65.05
2025-06-20,109.01,113.0,108.33,111.06,82633,58.77
2025-06-23,108.85,111.55,107.92,108.68,45041,57.9
2025-06-24,108.3,112.39,108.3,110.41,61541,64.3
2025-06-25,111.65,115.93,111.65,115.93,136583,72.7
2025-06-26,118.0,121.72,116.0,117.74,232149,65.48
2025-06-27,116.66,117.44,114.51,115.9,80517,65.51
2025-06-30,117.5,118.25,115.12,117.5,171207,65.83
2025-07-01,117.93,120.75,115.5,116.03,114912,54.33
2025-07-02,117.39,117.39,115.0,116.08,44234,69.29
2025-07-03,117.51,117.8,114.35,116.12,52888,66.01
2025-07-04,115.12,121.92,115.12,121.42,413608,53.08
2025-07-07,122.33,127.49,122.02,127.49,394617,51.99
2025-07-08,128.5,129.9,122.53,127.38,341968,42.67
2025-07-09,127.38,129.38,124.0,127.01,169308,53.39
2025-07-10,126.69,128.5,125.01,125.4,65873,57.18
2025-07-11,124.0,126.67,122.91,123.84,70538,63.83
2025-07-14,123.49,124.21,120.15,121.55,102911,59.74
2025-07-15,122.05,127.0,121.65,126.22,162405,54.32
2025-07-16,125.97,127.39,124.5,124.77,62851,60.77
2025-07-17,125.75,126.35,121.05,122.54,156784,59.19
2025-07-18,123.0,125.39,121.85,122.39,76741,49.34
2025-07-21,122.5,124.0,121.15,122.75,54826,50.63
2025-07-22,123.59,124.18,121.17,122.38,48046,57.74
2025-07-23,122.88,123.0,121.5,121.96,44750,65.02
2025-07-24,121.6,126.5,121.6,124.08,179781,52.33
2025-07-25,122.5,123.07,120.0,120.05,91107,68.39
2025-07-28,120.0,123.2,116.1,117.05,126873,59.05
2025-07-29,116.05,119.0,115.21,116.59,85426,54.43
2025-07-30,117.0,118.38,115.0,116.08,81371,65.55
2025-07-31,113.51,121.88,112.94,119.08,146896,57.11
2025-08-01,119.14,125.03,116.5,125.03,289122,59.1
2025-08-04,125.0,129.4,119.85,125.36,461854,40.36
2025-08-05,128.3,129.5,125.99,128.18,353483,62.27
2025-08-06,128.72,131.39,124.0,127.78,306297,46.71
2025-08-07,128.7,128.7,124.31,126.13,222725,41.51
2025-08-08,126.48,136.5,124.66,129.7,661797,35.3
2025-08-11,129.68,130.12,125.31,126.83,136816,48.79
2025-08-12,126.83,129.49,125.0,125.28,146213,52.99
2025-08-13,125.3,127.17,125.01,125.34,133813,45.08
2025-08-14,125.51,127.42,122.51,123.22,145355,66.98
2025-08-18,124.35,134.8,124.35,128.73,649450,42.05
2025-08-19,129.13,133.8,128.45,132.94,288369,50.62
2025-08-20,132.94,139.95,130.0,131.32,485049,36.62
2025-08-21,131.99,134.15,130.42,131.62,175105,45.57
2025-08-22,131.49,135.79,130.21,132.55,205374,37.76
2025-08-25,132.78,148.39,132.6,143.45,2423060,22.43
2025-08-26,144.4,144.8,137.0,137.9,487536,36.43
2025-08-28,139.99,140.0,133.91,134.63,300050,40.01
2025-08-29,136.0,138.94,132.02,132.48,206840,43.22
2025-09-01,133.15,136.0,132.0,132.94,168527,40.62
2025-09-02,132.1,136.0,131.5,132.15,208210,36.48
2025-09-03,132.0,133.65,129.32,130.48,181772,51.58
2025-09-04,134.99,135.6,130.0,130.85,202664,46.88
2025-09-05,131.0,133.05,128.2,128.44,131103,49.48
2025-09-08,128.65,130.89,125.51,126.51,132111,50.62
2025-09-09,126.87,128.35,125.1,126.0,82401,56.43
2025-09-10,127.24,132.0,126.21,128.52,175900,42.3
2025-09-11,129.15,132.66,128.51,129.39,100914,42.73
2025-09-12,130.03,132.96,127.23,127.91,83745,54.9
2025-09-15,128.74,129.01,125.41,125.81,126938,49.7
2025-09-16,126.0,128.0,125.0,126.17,105022,49.19
2025-09-17,127.45,127.45,125.4,126.68,76855,52.41
2025-09-18,126.6,127.9,124.0,124.59,149518,58.99
2025-09-19,125.0,130.0,123.84,127.32,111481,48.72
2025-09-22,127.32,130.0,125.5,128.5,168016,49.47
2025-09-23,128.85,128.86,125.9,126.66,61007,51.23
2025-09-24,126.0,126.4,122.5,123.8,63121,53.93
2025-09-25,123.81,125.63,121.5,122.38,81296,46.66
2025-09-26,121.65,123.07,116.5,117.64,167913,47.13
