DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,4115.6,4115.6,4001.2,4080.25,19928,51.43
2025-04-15,4130.0,4229.9,4050.0,4197.9,34401,50.54
2025-04-16,4204.5,4214.1,4164.0,4201.8,14700,50.29
2025-04-17,4197.0,4202.9,4151.0,4164.2,17456,57.72
2025-04-21,4165.0,4199.0,4125.0,4191.4,21385,47.8
2025-04-22,4200.0,4269.3,4163.2,4254.5,22097,48.67
2025-04-23,4267.8,4268.0,4179.6,4243.5,15935,51.36
2025-04-24,4252.0,4347.0,4233.7,4275.9,24401,43.25
2025-04-25,4288.0,4365.0,4177.0,4248.9,28172,55.81
2025-04-28,4250.0,4335.3,4202.1,4274.1,22317,41.1
2025-04-29,4295.5,4297.8,4211.0,4268.4,13924,49.58
2025-04-30,4250.0,4338.0,4227.2,4292.8,20540,42.04
2025-05-02,4310.5,4340.0,4250.0,4297.2,14347,58.33
2025-05-05,4314.9,4325.9,4252.0,4260.1,11168,57.49
2025-05-06,4250.0,4311.0,4222.6,4243.6,16331,49.62
2025-05-07,4200.0,4300.0,4170.8,4275.6,17852,47.88
2025-05-08,4271.0,4323.2,4188.0,4263.0,14098,56.91
2025-05-09,4100.1,4258.6,4100.1,4249.9,13838,54.85
2025-05-12,4212.0,4338.7,4212.0,4249.4,15058,53.55
2025-05-13,4269.3,4335.0,4269.1,4324.0,17567,48.99
2025-05-14,4338.0,4412.7,4302.2,4405.0,21098,55.2
2025-05-15,4405.0,4490.0,4388.0,4459.2,18130,56.4
2025-05-16,4465.1,4476.7,4400.0,4413.2,10732,64.26
2025-05-19,4448.0,4488.0,4405.0,4468.0,15028,45.16
2025-05-20,4575.0,5050.0,4575.0,4949.8,1454991,5.2
2025-05-21,4946.9,5028.0,4848.5,4978.9,147060,17.3
2025-05-22,4935.0,5169.0,4850.0,5139.4,116572,29.55
2025-05-23,5103.0,5172.3,5076.5,5147.8,48064,39.65
2025-05-26,5174.5,5360.0,5115.7,5182.6,88922,26.16
2025-05-27,5184.6,5438.0,5162.7,5417.6,127414,28.99
2025-05-28,5380.0,5564.0,5362.1,5511.0,87856,29.58
2025-05-29,5511.0,5600.0,5491.2,5585.3,41982,37.33
2025-05-30,5549.0,5671.3,5533.3,5613.3,44312,41.93
2025-06-02,5590.0,5680.0,5580.0,5623.5,40953,40.03
2025-06-03,5600.0,5750.0,5597.0,5693.5,56463,43.72
2025-06-04,5693.0,5799.0,5670.5,5750.5,45111,44.21
2025-06-05,5773.5,5857.5,5748.0,5797.0,37818,50.0
2025-06-06,5775.0,5810.0,5678.5,5706.5,23374,47.35
2025-06-09,5707.0,5731.5,5583.0,5608.5,25934,49.94
2025-06-10,5660.0,5809.0,5621.5,5773.5,53195,40.91
2025-06-11,5774.0,5839.0,5742.0,5776.0,21562,37.03
2025-06-12,5788.0,5930.0,5773.0,5889.0,62639,40.72
2025-06-13,5850.5,5927.5,5785.0,5882.5,24381,38.65
2025-06-16,5910.0,5993.0,5832.5,5873.0,25189,44.19
2025-06-17,5900.0,5981.0,5840.0,5860.5,28547,49.49
