DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,677.1,708.0,677.1,691.3,156,46.79
2025-04-15,682.4,730.0,682.4,715.4,247,36.03
2025-04-16,718.5,730.95,701.4,729.75,376,66.76
2025-04-17,740.0,810.6,655.0,768.85,4844,21.64
2025-04-21,735.2,790.0,710.4,745.85,605,53.06
2025-04-22,746.45,778.8,744.95,760.0,894,58.72
2025-04-23,757.4,757.4,725.0,735.4,421,69.36
2025-04-24,735.4,746.0,723.5,739.95,225,50.67
2025-04-25,739.9,752.1,697.1,701.0,449,71.49
2025-04-28,710.4,751.0,709.3,735.3,395,65.57
2025-04-29,758.35,762.0,730.0,735.9,146,58.22
2025-04-30,733.9,733.9,708.15,710.6,82,51.22
2025-05-02,739.35,739.35,680.0,686.75,368,72.83
2025-05-05,686.0,686.05,661.0,670.5,1445,72.32
2025-05-06,674.0,728.4,666.1,672.75,1722,29.33
2025-05-07,670.75,677.95,656.0,670.35,483,60.46
2025-05-08,664.4,668.45,664.4,667.25,70,84.29
2025-05-09,663.95,664.0,628.0,649.45,340,66.18
2025-05-12,670.4,744.45,656.1,688.7,7149,18.02
2025-05-13,719.6,719.6,680.95,687.7,269,44.61
2025-05-14,689.05,694.4,672.2,688.6,191,54.97
2025-05-15,685.15,698.4,565.0,654.7,1294,63.99
2025-05-16,678.95,785.6,660.15,785.6,12782,47.43
2025-05-19,865.0,935.0,853.4,894.8,53551,19.71
2025-05-20,894.8,894.8,800.0,830.3,4591,45.41
2025-05-21,880.0,890.0,823.1,857.2,2377,38.24
2025-05-22,864.0,864.0,746.0,801.35,2285,48.05
2025-05-23,781.0,848.0,781.0,801.2,1313,42.65
2025-05-26,839.35,839.4,754.0,780.15,1059,46.65
2025-05-27,770.05,798.95,751.0,763.8,1105,71.4
2025-05-28,738.0,824.9,694.2,801.05,18411,16.25
2025-05-29,801.05,801.05,770.05,773.2,1989,48.92
2025-05-30,772.0,789.5,736.05,748.25,1278,57.43
2025-06-02,740.0,778.25,735.0,742.7,504,65.08
2025-06-03,753.85,793.9,732.05,757.95,1531,41.48
2025-06-04,754.7,755.5,730.95,735.45,938,56.5
2025-06-05,777.0,882.5,754.0,882.5,27754,37.43
2025-06-06,920.0,1013.9,920.0,956.4,77435,20.01
2025-06-09,946.45,946.45,903.0,910.6,4283,56.39
2025-06-10,890.6,903.9,850.05,855.9,3831,57.11
2025-06-11,855.0,892.5,842.0,847.5,3096,63.4
2025-06-12,865.0,865.0,830.0,834.7,982,53.56
2025-06-13,819.6,837.95,802.8,812.85,1610,47.95
2025-06-16,802.0,817.95,790.05,797.5,833,58.58
2025-12-02,687.0,745.5,687.0,745.15,938,63.75
2025-12-03,770.0,770.0,758.0,758.0,13,76.92
2025-12-04,770.0,770.0,740.0,764.25,429,94.17
2025-12-05,770.0,770.05,750.0,768.5,63,79.37
2025-12-08,725.05,769.35,725.0,738.0,549,96.72
2025-12-09,737.4,745.0,732.0,732.0,153,92.16
2025-12-10,702.05,750.0,695.0,734.9,424,72.41
2025-12-11,736.0,759.0,725.0,725.0,486,89.09
2025-12-12,725.0,771.0,725.0,765.45,532,67.29
2025-12-15,760.0,764.5,760.0,764.5,43,100.0
2025-12-16,745.4,776.3,730.0,775.05,93,87.1
2025-12-17,819.9,852.55,785.2,852.55,5562,95.99
2025-12-18,937.8,937.8,872.4,895.55,6337,32.38
2025-12-19,899.9,915.0,841.0,848.05,1118,55.1
2025-12-22,925.0,929.45,860.0,866.25,842,38.0
2025-12-23,859.4,952.85,845.0,918.85,1761,95.63
2025-12-24,922.0,945.0,870.0,920.3,9763,88.76
2025-12-25,922.0,945.0,870.0,920.3,9763,88.76
2025-12-26,998.0,998.0,851.0,856.65,9085,73.31
2025-12-29,863.5,870.05,841.0,845.5,441,42.18
2025-12-30,840.05,869.5,840.05,860.4,1084,91.79
2025-12-31,869.35,895.0,825.0,882.05,877,54.05
2026-01-01,884.05,885.0,850.0,852.6,310,67.74
2026-01-02,857.75,877.4,842.4,850.35,412,57.28
2026-01-05,830.0,868.8,830.0,836.45,258,42.25
2026-01-06,842.1,842.15,805.0,809.2,372,53.23
2026-01-07,813.9,813.9,789.2,789.85,157,73.89
2026-01-08,791.9,799.7,711.1,731.5,1118,65.21
2026-01-09,722.0,735.4,709.45,717.2,272,52.21
2026-01-12,671.2,709.05,671.2,679.1,1567,84.05
2026-01-13,679.95,680.0,631.0,645.85,1165,83.0
2026-01-14,640.0,649.35,615.25,642.0,563,61.46
2026-01-15,640.0,649.35,615.25,642.0,563,61.46
2026-01-16,650.0,666.0,650.0,666.0,27,100.0
2026-01-19,694.45,694.45,670.0,679.7,266,83.08
2026-01-20,703.6,703.6,662.0,672.0,41,65.85
2026-01-21,672.0,689.4,656.0,676.0,67,67.16
2026-01-22,676.4,689.4,676.0,677.0,148,93.24
2026-01-23,677.0,677.0,660.0,668.5,119,99.16
2026-01-26,677.0,677.0,660.0,668.5,119,99.16
2026-01-27,675.55,694.0,675.55,683.55,65,92.31
2026-01-28,683.0,683.0,650.4,655.3,190,53.16
2026-01-29,657.0,661.5,657.0,660.0,142,100.0
2026-01-30,663.0,679.0,656.0,660.0,44,54.55
2026-02-02,693.0,693.0,685.0,688.05,53,49.06
2026-02-03,721.95,721.95,686.2,689.2,531,45.95
2026-02-04,718.0,718.0,685.0,709.0,86,72.09
2026-02-05,705.0,705.0,705.0,705.0,1,100.0
2026-02-06,703.4,703.4,670.1,672.45,230,56.96
2026-02-09,674.05,705.0,653.0,703.15,717,92.33
2026-02-10,738.3,738.3,738.3,738.3,596,98.66
2026-02-11,775.2,775.2,770.0,775.05,1015,88.97
2026-02-12,751.4,785.0,750.0,775.05,451,86.03
2026-02-13,775.0,805.0,750.0,773.3,5933,95.25
2026-02-16,773.3,800.0,770.4,783.65,758,66.89
2026-02-17,794.4,819.0,756.05,794.45,3782,81.04
2026-02-18,785.0,801.95,775.0,775.5,2269,91.58
2026-02-19,780.0,782.0,775.0,775.45,40,55.0
2026-02-20,770.55,775.45,770.0,773.3,50,68.0
2026-02-23,799.5,799.5,790.0,790.0,22,86.36
2026-02-24,786.0,790.0,786.0,789.9,37,97.3
2026-02-25,799.0,812.0,798.75,805.5,168,88.1
2026-02-26,804.0,820.0,795.0,796.4,326,73.31
2026-02-27,780.5,800.0,780.5,790.0,400,90.0
2026-03-02,751.0,790.05,750.5,765.0,417,55.64
2026-03-03,751.0,790.05,750.5,765.0,417,55.64
2026-03-04,761.0,763.0,760.0,760.45,398,84.42
2026-03-05,763.0,789.95,763.0,773.65,167,82.63
2026-03-06,775.05,775.05,775.0,775.0,168,94.05
2026-03-09,775.05,775.05,775.0,775.0,760,99.34
2026-03-10,775.0,799.0,775.0,777.05,23,69.57
2026-03-11,790.0,790.0,780.0,780.0,168,100.0
2026-03-12,780.0,800.0,780.0,796.95,257,100.0
2026-03-16,790.0,802.0,780.0,790.0,913,100.0
2026-03-17,795.0,798.0,795.0,795.0,132,100.0
2026-03-18,795.0,834.75,795.0,810.0,330,86.67
2026-03-19,810.0,850.0,810.0,820.35,1899,92.73
2026-03-20,845.0,845.0,815.0,845.0,147,100.0
2026-03-23,842.0,842.05,805.0,805.0,390,84.87
2026-03-24,805.05,806.0,805.0,805.0,310,98.39
2026-03-25,810.0,820.0,795.4,816.25,37,91.89
2026-03-26,810.0,820.0,795.4,816.25,37,91.89
2026-03-27,816.25,816.25,816.25,816.25,2,100.0
2026-03-30,816.25,816.25,816.25,816.25,1,100.0
2026-03-31,816.25,816.25,816.25,816.25,1,100.0
2026-04-01,833.0,852.0,833.0,840.0,26,100.0
2026-04-02,840.0,878.0,799.0,804.6,169,43.2
2026-04-03,840.0,878.0,799.0,804.6,169,43.2
2026-04-06,824.7,824.7,821.0,821.0,10,100.0
2026-04-07,814.0,814.0,814.0,814.0,5,100.0
2026-04-08,814.95,814.95,750.0,758.2,247,60.73
2026-04-09,794.0,794.0,750.0,771.8,92,84.78
2026-04-13,772.0,772.0,772.0,772.0,4,100.0
2026-04-14,772.0,772.0,772.0,772.0,4,100.0
2026-04-15,772.0,772.0,763.05,769.6,117,98.29
2026-04-16,763.0,763.0,750.05,754.4,73,94.52
2026-04-20,761.0,769.0,761.0,769.0,9,77.78
2026-04-21,775.0,793.95,759.95,782.0,82,87.8
2026-04-22,782.0,782.0,755.1,759.0,72,91.67
2026-04-23,759.95,811.0,759.95,785.0,14,71.43
2026-04-24,814.9,814.9,726.35,746.65,165,84.85
2026-04-27,751.0,782.0,744.95,763.85,167,96.41
2026-04-28,771.95,800.0,771.95,791.35,176,98.3
2026-04-29,790.95,809.0,777.05,809.0,8,75.0
2026-04-30,807.0,807.0,770.0,790.0,62,82.26
2026-05-01,807.0,807.0,770.0,790.0,62,82.26
2026-05-04,814.95,869.0,805.0,869.0,1130,97.79
2026-05-05,945.0,950.0,878.5,923.7,3925,64.84
2026-05-06,945.0,945.0,895.0,900.1,747,86.75
2026-05-07,900.1,900.1,878.0,879.1,742,98.25
2026-05-08,880.0,884.9,857.0,861.1,151,68.87
2026-05-11,861.0,865.0,819.0,863.95,344,78.2
2026-05-12,910.0,910.0,837.05,860.0,57,54.39
2026-05-14,864.3,887.95,840.0,848.05,85,84.71
2026-05-15,848.05,848.05,809.0,820.1,187,88.24
2026-05-18,880.0,898.95,810.6,827.75,196,63.78
2026-05-19,831.85,879.95,825.0,825.0,21,95.24
2026-05-20,820.0,824.0,778.0,781.1,308,74.03
2026-05-21,781.2,814.5,781.2,800.0,3,100.0
2026-05-22,850.0,859.0,780.2,785.35,84,78.57
2026-05-25,848.0,848.0,784.0,834.9,128,89.84
2026-05-26,835.9,918.0,806.75,838.65,9987,25.78
2026-05-27,882.95,882.95,825.0,843.25,254,83.86
2026-05-28,882.95,882.95,825.0,843.25,254,83.86
2026-05-29,840.0,840.0,800.0,806.05,682,80.06
2026-06-01,800.0,829.95,800.0,808.65,272,99.63
2026-06-02,800.05,804.0,778.0,780.1,494,92.11
2026-06-03,780.1,790.0,778.1,783.75,209,98.09
2026-06-04,828.0,828.0,795.0,802.2,146,75.34
2026-06-05,835.0,865.0,801.0,802.05,4342,26.67
2026-06-08,803.5,803.5,778.0,784.35,144,86.81
2026-06-09,783.0,798.0,778.0,798.0,109,98.17
2026-06-10,791.0,791.0,791.0,791.0,9,100.0
2026-06-11,785.0,785.0,760.0,780.0,240,97.92
2026-06-12,780.0,780.0,725.05,757.95,423,80.14
2026-06-15,814.0,814.0,755.0,759.05,437,94.97
2026-06-16,770.0,770.0,730.15,765.0,144,92.36
2026-06-17,765.0,765.0,765.0,765.0,15,100.0
2026-06-18,765.0,765.0,738.0,764.35,95,97.89
2026-06-19,760.0,770.0,760.0,763.0,28,100.0
2026-06-22,778.0,778.0,778.0,778.0,1,100.0
2026-06-23,798.0,812.0,770.0,790.0,791,83.44
2026-06-24,790.0,790.0,780.0,780.0,47,100.0
2026-06-25,775.0,805.0,745.0,764.65,121,77.69
2026-06-26,775.0,805.0,745.0,764.65,121,77.69
2026-06-29,732.0,750.0,701.0,726.1,350,70.57
2026-06-30,726.2,780.0,726.2,764.85,107,71.96
2026-07-01,791.6,800.0,740.3,755.45,15,53.33
2026-07-02,779.0,787.0,779.0,786.9,75,97.33
2026-07-03,747.0,783.25,743.0,763.85,349,72.49
2026-07-06,750.0,760.0,750.0,750.2,51,98.04
2026-07-08,742.05,816.0,710.2,736.95,419,31.26
2026-07-09,794.0,794.45,741.0,763.7,47,38.3
2026-07-10,797.0,797.0,734.05,734.95,2466,95.94
2026-07-13,785.0,785.0,728.5,729.0,1949,97.85
2026-07-14,713.1,722.0,713.1,718.85,47,63.83
2026-07-15,719.0,727.0,718.85,727.0,53,100.0
2026-07-16,725.95,726.0,707.35,725.95,77,85.71
2026-07-17,712.4,712.75,712.4,712.7,37,86.49
