DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,508.45,508.45,494.8,501.1,384908,42.77
2025-04-15,516.4,519.8,508.0,517.25,499599,43.22
2025-04-16,517.05,525.3,512.55,520.6,480707,46.83
2025-04-17,520.0,522.45,514.4,517.75,397995,42.96
2025-04-21,523.0,527.9,514.95,523.55,479413,41.82
2025-04-22,524.0,539.85,520.0,528.4,975192,42.23
2025-04-23,534.0,537.15,520.45,529.25,582019,44.26
2025-04-24,530.0,533.8,524.2,526.6,485085,38.69
2025-04-25,528.95,530.45,504.0,505.35,777202,46.3
2025-04-28,506.0,515.8,498.6,513.8,568945,37.79
2025-04-29,515.7,519.9,506.45,508.35,642289,40.14
2025-04-30,488.0,488.0,457.2,461.3,4933736,39.42
2025-05-02,461.3,463.55,444.05,451.95,2130668,36.1
2025-05-05,455.6,474.0,451.9,470.4,2302120,41.2
2025-05-06,474.05,474.05,451.05,453.45,715533,43.06
2025-05-07,445.0,465.05,444.75,462.95,812767,34.56
2025-05-08,462.95,471.5,449.95,456.25,812104,36.05
2025-05-09,444.8,455.0,443.9,451.5,619868,38.63
2025-05-12,479.3,479.3,462.75,474.15,878330,47.14
2025-05-13,473.0,478.55,468.0,469.75,802965,47.93
2025-05-14,472.5,483.3,470.15,478.75,965370,52.96
2025-05-15,482.0,493.85,480.2,489.65,1096383,44.94
2025-05-16,491.8,496.0,488.0,492.35,1138467,38.6
2025-05-19,497.0,503.3,488.2,494.85,956501,47.37
2025-05-20,495.85,499.75,486.05,488.45,673878,46.51
2025-05-21,490.0,493.55,482.9,488.95,457164,43.69
2025-05-22,488.2,493.35,484.85,488.55,335273,34.56
2025-05-23,488.5,492.0,485.05,488.0,327133,41.29
2025-05-26,488.0,493.95,485.15,489.45,389066,43.37
2025-05-27,490.0,496.35,488.25,489.85,407005,38.11
2025-05-28,492.0,493.95,485.5,486.85,362296,45.99
2025-05-29,488.0,489.85,480.0,485.2,432544,45.86
2025-05-30,485.0,490.0,477.0,479.95,467835,58.46
2025-06-02,480.0,490.6,479.4,488.1,691327,51.6
2025-06-03,488.5,503.2,484.1,485.9,1233428,39.92
2025-06-04,490.7,499.75,488.3,494.0,988880,39.22
2025-06-05,497.35,504.9,487.55,489.35,1033593,51.6
2025-06-06,495.2,508.1,493.65,505.9,3291421,32.79
2025-06-09,512.0,536.85,509.35,532.6,5414731,33.02
2025-06-10,536.4,538.0,525.1,526.5,1600054,50.31
2025-06-11,526.5,529.0,511.85,516.35,1050595,53.22
2025-06-12,518.9,522.5,506.05,508.85,737211,40.51
2025-06-13,492.25,509.0,492.25,505.95,812382,37.01
2025-06-16,500.95,505.6,493.45,496.95,716593,49.58
2025-06-17,499.75,505.5,492.1,493.25,636076,46.74
2025-06-18,493.3,497.25,486.2,488.35,518390,45.93
2025-06-19,488.35,491.9,474.3,476.45,698574,50.13
2025-06-20,476.5,492.0,475.15,490.15,541502,32.88
2025-06-23,492.95,495.75,485.3,490.7,608007,33.55
2025-06-24,493.1,503.45,493.1,495.5,614762,41.02
2025-06-25,499.1,505.9,498.3,500.4,541218,43.57
2025-06-26,503.0,508.6,499.0,505.4,660484,41.32
2025-06-27,505.95,511.9,498.5,500.1,909578,47.4
2025-06-30,505.0,510.0,499.75,508.85,781928,42.55
2025-07-01,509.0,513.8,500.25,502.2,596257,41.3
2025-07-02,502.9,506.0,493.0,496.2,590757,57.27
2025-07-03,499.8,502.0,496.1,497.25,418744,51.33
2025-07-04,496.0,499.35,493.9,498.2,324822,48.78
2025-07-07,498.2,501.5,495.2,497.3,444600,49.01
2025-07-08,497.3,501.45,494.75,496.35,375331,53.51
2025-07-09,498.0,501.35,494.2,495.9,324340,51.14
2025-07-10,495.9,504.4,495.25,500.6,510761,41.32
2025-07-11,500.0,501.8,494.2,495.7,366112,51.66
2025-07-14,495.5,497.0,489.55,491.7,338912,53.28
2025-07-15,492.5,501.7,492.5,495.4,778809,64.86
2025-07-16,495.0,499.25,490.75,492.15,417351,57.83
2025-07-17,492.7,512.0,492.7,505.9,1315168,37.17
2025-07-18,507.0,509.9,498.0,499.45,530424,51.62
2025-07-21,501.0,502.7,494.65,499.8,405281,38.37
2025-07-22,500.5,504.0,491.55,493.3,363703,58.82
2025-07-23,493.85,497.0,491.0,492.7,308282,50.67
2025-07-24,493.25,495.45,488.95,490.55,248321,50.05
2025-07-25,485.0,489.55,482.4,483.3,306202,57.48
2025-07-28,484.5,485.7,473.05,477.3,436967,45.73
2025-07-29,475.05,479.85,468.0,469.6,486211,56.64
2025-07-30,470.0,476.4,469.25,470.2,401462,55.72
2025-07-31,463.95,471.9,462.9,467.05,298701,56.05
2025-08-01,470.3,476.8,467.25,469.05,439046,61.31
2025-08-04,469.95,471.95,461.0,462.85,353998,54.37
2025-08-05,464.45,467.4,454.55,456.5,410369,49.79
2025-08-06,457.5,458.9,449.0,454.35,504588,43.49
2025-08-07,450.45,455.95,445.0,452.8,347850,41.52
2025-08-08,455.0,457.0,446.1,447.65,307748,48.06
2025-08-11,447.65,451.85,441.0,445.4,536780,49.02
2025-08-12,423.0,423.0,406.4,413.6,4004297,29.13
2025-08-13,415.5,416.8,397.1,404.9,2260784,42.09
2025-08-14,405.0,413.9,405.0,411.3,956021,51.18
2025-08-18,416.85,418.65,405.0,406.15,454710,46.4
2025-08-19,407.85,416.05,406.7,414.5,467430,49.44
2025-08-20,413.85,419.85,410.0,411.25,480034,47.32
2025-08-21,413.95,417.5,410.25,412.8,443260,59.53
2025-08-22,412.8,416.4,406.85,407.6,415118,49.99
2025-08-25,407.6,410.2,404.75,409.1,418815,57.47
2025-08-26,406.75,408.75,397.05,399.45,683790,60.42
2025-08-28,399.8,403.9,394.9,395.75,364710,46.28
2025-08-29,395.75,400.0,390.0,391.3,583179,55.63
2025-09-01,393.2,406.75,391.0,402.15,717732,40.25
2025-09-02,412.15,433.0,412.15,418.4,5087518,20.93
2025-09-03,420.6,422.05,411.6,412.7,689496,41.91
2025-09-04,419.0,419.0,400.0,402.0,698131,52.47
2025-09-05,404.6,407.9,398.45,406.5,553463,34.11
2025-09-08,408.7,408.7,396.0,396.8,623328,55.19
2025-09-09,398.0,401.95,388.0,389.6,953436,61.9
2025-09-10,391.0,396.9,389.75,393.25,728799,49.33
2025-09-11,393.95,397.0,390.0,390.45,508433,62.05
2025-09-12,393.25,395.0,389.6,392.85,462037,51.97
2025-09-15,392.9,396.75,390.55,391.5,500485,58.52
2025-09-16,393.0,394.8,388.6,390.4,777104,60.26
2025-09-17,391.95,397.7,389.6,390.45,836626,55.24
2025-09-18,392.55,393.35,390.0,391.6,577696,54.98
2025-09-19,393.95,393.95,388.0,389.0,599312,64.47
2025-09-22,389.0,390.85,381.0,381.95,1187221,57.88
2025-09-23,383.0,384.5,379.2,380.35,662685,52.32
2025-09-24,381.25,382.4,368.25,369.4,1527984,47.63
2025-09-25,371.0,372.05,355.25,358.8,1359058,42.69
2025-09-26,358.75,358.75,346.05,348.4,1049720,47.52
2025-09-29,350.0,351.0,340.0,341.45,1037668,37.02
2025-09-30,341.55,347.0,329.0,329.95,2032487,50.95
2025-10-01,330.0,336.9,328.55,335.2,1783870,40.27
2025-10-03,338.0,363.9,336.65,357.5,5295910,19.71
2025-10-06,359.8,361.2,346.1,347.15,1271798,39.53
2025-10-07,347.15,358.45,344.7,356.45,1271930,30.9
2025-10-08,358.0,369.8,351.0,352.8,2376978,26.29
2025-10-09,353.7,354.0,349.0,351.0,674414,34.92
2025-10-10,351.0,354.55,348.75,350.0,687894,44.05
2025-10-13,348.0,349.7,341.55,342.55,716338,45.48
2025-10-14,343.4,343.85,335.4,338.8,618514,44.02
2025-10-15,338.35,343.0,338.15,339.15,609610,43.58
2025-10-16,342.2,345.75,339.15,339.95,648798,41.36
2025-10-17,342.0,342.7,337.0,338.9,485079,41.23
2025-10-20,342.8,342.8,337.2,341.05,441820,38.47
2025-10-21,343.05,347.55,343.05,346.55,277787,57.21
2025-10-22,343.05,347.55,343.05,346.55,277787,57.21
2025-10-23,347.2,349.0,341.75,342.65,514538,57.95
2025-10-24,344.0,344.3,340.1,341.7,278884,54.13
2025-10-27,342.05,344.4,336.55,337.95,698452,58.86
2025-10-28,336.45,341.35,332.3,335.5,708910,54.81
2025-10-29,335.5,342.0,334.05,340.8,692089,55.99
2025-10-30,342.45,345.25,340.45,343.65,646730,43.38
2025-10-31,344.35,344.55,336.45,337.6,385966,63.76
2025-11-03,337.6,341.3,337.1,340.35,249486,54.01
2025-11-04,340.35,346.25,337.35,338.7,599006,39.36
2025-11-05,340.35,346.25,337.35,338.7,599006,39.36
2025-11-06,331.45,345.2,330.7,333.75,1121516,32.19
2025-11-07,333.75,335.0,328.1,332.9,466108,37.93
2025-11-10,333.45,337.7,328.65,330.95,682522,51.55
2025-11-11,332.45,332.45,325.0,325.5,1500419,73.22
2025-11-12,325.5,335.9,324.0,335.4,852837,43.74
2025-11-13,335.0,340.8,330.2,331.1,774988,34.02
2025-11-14,331.1,332.8,327.5,331.4,626772,58.99
2025-11-17,331.4,337.25,330.1,333.75,450574,44.5
2025-11-18,333.75,347.0,332.55,344.75,2273324,40.69
2025-11-19,344.0,344.05,337.1,341.35,561871,37.11
2025-11-20,341.35,348.0,338.0,342.15,839374,36.33
2025-11-21,340.7,340.75,333.45,334.6,514062,53.39
2025-11-24,332.05,334.1,328.0,329.35,503706,53.91
2025-11-25,329.35,330.5,320.55,322.6,716470,50.24
2025-11-26,323.65,329.35,322.7,325.2,413443,49.93
2025-11-27,325.2,327.5,322.45,323.05,414549,50.15
2025-11-28,324.95,324.95,315.15,316.2,826899,51.53
2025-12-01,316.2,325.8,315.05,316.4,639198,36.75
2025-12-02,317.8,319.0,315.0,317.3,376631,40.58
2025-12-03,317.35,318.5,312.5,313.7,398129,45.11
2025-12-04,313.7,318.2,310.35,314.85,504885,39.69
2025-12-05,314.8,314.9,310.0,310.5,428800,49.11
2025-12-08,310.55,311.3,300.1,301.05,660519,45.92
2025-12-09,300.1,312.8,293.4,311.0,913753,39.61
2025-12-10,313.0,314.05,300.95,302.05,617131,44.87
2025-12-11,302.1,307.6,301.5,304.4,381600,37.79
2025-12-12,305.0,307.95,302.95,303.7,395994,53.46
2025-12-15,303.7,341.9,300.8,334.35,20378345,7.65
2025-12-16,330.0,357.8,327.65,345.2,21100301,8.33
2025-12-17,342.0,349.0,330.65,332.6,4669528,13.69
2025-12-18,332.65,341.9,326.6,339.25,2626972,16.69
2025-12-19,340.8,344.8,335.85,343.2,1448696,22.98
2025-12-22,343.2,350.0,342.3,345.4,876748,36.95
2025-12-23,346.95,347.3,335.05,336.4,737979,44.24
2025-12-24,338.85,339.95,333.5,334.45,557339,33.7
2025-12-25,338.85,339.95,333.5,334.45,557339,33.7
2025-12-26,335.9,337.5,331.85,333.1,394033,37.62
2025-12-29,333.0,334.1,322.25,323.5,595711,47.4
2025-12-30,323.5,326.1,317.5,318.25,639371,43.25
2025-12-31,319.0,324.55,319.0,322.6,453836,37.1
2026-01-01,322.6,325.4,319.05,319.7,279572,52.63
2026-01-02,321.0,329.1,320.45,325.45,765390,34.6
2026-01-05,325.65,328.0,320.05,321.85,466585,48.98
2026-01-06,321.9,326.9,318.5,324.4,1188674,33.03
2026-01-07,324.4,324.95,321.0,321.85,554988,48.18
2026-01-08,321.85,323.45,313.0,315.9,546585,48.62
2026-01-09,315.85,315.85,308.0,310.95,744627,32.65
2026-01-12,309.0,310.0,300.9,305.05,858469,41.18
2026-01-13,307.0,312.0,305.05,307.85,549635,36.19
2026-01-14,307.9,312.0,305.25,308.35,363972,46.63
2026-01-15,307.9,312.0,305.25,308.35,363972,46.63
2026-01-16,307.2,315.4,306.0,311.15,656926,35.51
2026-01-19,307.25,308.85,300.0,302.05,515758,49.66
2026-01-20,300.0,301.1,290.0,290.65,916054,45.46
2026-01-21,289.95,292.9,283.2,289.15,1015755,29.58
2026-01-22,295.0,296.9,289.85,294.15,396222,32.35
2026-01-23,294.15,294.2,282.0,283.55,661459,42.96
2026-01-26,294.15,294.2,282.0,283.55,661459,42.96
2026-01-27,283.95,284.75,273.0,276.15,977602,35.75
2026-01-28,279.0,289.3,277.2,287.25,576739,41.97
2026-01-29,290.5,290.5,277.9,279.0,621305,47.53
2026-01-30,279.0,294.5,277.2,290.15,1141762,29.02
2026-02-02,285.8,286.05,275.4,280.1,707907,42.01
2026-02-03,300.0,300.2,285.1,292.7,1094368,41.99
2026-02-04,292.7,298.8,288.3,289.65,866461,47.71
2026-02-05,290.0,291.2,283.0,286.25,347810,43.81
2026-02-06,288.0,288.05,280.65,285.5,416895,29.06
2026-02-09,287.0,302.7,286.25,295.8,1131037,33.2
2026-02-10,301.0,348.0,299.95,342.05,44558250,7.56
2026-02-11,338.0,340.95,328.0,330.1,7457483,14.67
2026-02-12,329.75,338.8,322.05,330.5,1989379,20.97
2026-02-13,318.0,318.85,305.0,308.45,2645952,26.15
2026-02-16,303.55,307.4,297.05,302.55,1211389,30.48
2026-02-17,303.15,343.65,303.15,333.1,30082731,5.62
2026-02-18,328.85,338.8,325.05,327.45,6161222,11.11
2026-02-19,326.0,326.7,316.0,317.4,1210523,26.91
2026-02-20,316.65,320.7,310.25,311.45,863119,25.72
2026-02-23,312.75,317.7,307.6,309.35,890544,28.68
2026-02-24,309.0,309.0,302.4,305.35,616754,31.92
2026-02-25,307.0,309.9,300.0,301.6,952079,29.21
2026-02-26,302.95,316.95,300.5,310.1,3248032,16.15
2026-02-27,312.85,333.3,309.0,317.95,11608516,11.22
2026-03-02,297.0,310.0,297.0,304.5,1652633,25.39
2026-03-03,297.0,310.0,297.0,304.5,1652633,25.39
2026-03-04,300.95,327.95,294.1,315.6,10954285,8.65
2026-03-05,318.0,321.6,303.15,306.25,2557773,24.82
2026-03-06,308.0,312.8,302.0,304.65,1046984,29.59
2026-03-09,302.9,322.45,297.0,312.75,12202570,7.16
2026-03-10,315.55,317.9,308.7,314.0,1716263,24.07
2026-03-11,315.0,318.9,310.0,313.95,1350405,27.51
2026-03-12,313.9,320.0,306.55,314.45,2215550,18.77
2026-03-13,314.45,318.4,300.0,302.4,1920776,42.4
2026-03-16,304.5,304.6,292.25,295.05,1712363,34.2
2026-03-17,298.0,319.55,297.2,304.65,16578521,5.84
2026-03-18,305.85,309.5,304.3,306.4,1156765,30.27
2026-03-19,302.1,315.8,300.4,310.25,2491639,25.8
2026-03-20,316.0,319.8,313.35,315.15,2020019,31.12
2026-03-23,311.0,322.6,306.8,311.9,3982669,17.77
2026-03-24,316.0,317.25,309.85,312.6,1604450,28.15
2026-03-25,315.0,332.0,314.3,325.75,3839606,34.84
2026-03-26,315.0,332.0,314.3,325.75,3839606,34.84
2026-03-27,325.75,331.8,313.15,316.7,3756255,38.19
2026-03-30,311.0,326.9,309.8,318.05,3147757,35.28
2026-03-31,311.0,326.9,309.8,318.05,3147757,35.28
2026-04-01,326.05,330.9,322.95,326.2,1501859,31.63
2026-04-02,324.0,336.7,317.3,334.1,2676083,40.08
2026-04-03,324.0,336.7,317.3,334.1,2676083,40.08
2026-04-06,337.0,346.35,330.5,344.75,2851962,27.66
2026-04-07,344.0,351.85,339.25,340.55,1444813,33.6
2026-04-08,349.0,349.0,337.5,342.4,1685244,33.7
2026-04-09,342.8,349.45,335.1,336.6,1540703,33.49
2026-04-10,338.0,342.4,336.6,338.15,800570,39.95
2026-04-13,332.55,349.85,328.05,343.15,2184579,37.81
2026-04-14,332.55,349.85,328.05,343.15,2184579,37.81
2026-04-15,346.9,353.85,342.8,352.45,2814393,39.75
2026-04-16,355.0,357.0,346.05,349.25,1728366,50.2
2026-04-17,350.05,355.2,350.05,350.9,1031011,50.16
2026-04-20,352.2,361.7,343.1,356.5,2606969,32.99
2026-04-21,357.2,368.0,356.55,364.2,2160209,46.33
2026-04-22,368.95,389.8,366.5,382.8,6935179,22.58
2026-04-23,386.1,427.65,386.1,410.05,21020317,13.57
2026-04-24,415.0,416.6,388.15,398.45,4205851,29.33
2026-04-27,402.0,410.5,395.9,403.35,1800027,27.17
2026-04-28,403.35,403.4,393.55,395.1,1196296,42.72
2026-04-29,401.05,408.95,398.2,400.65,1827502,30.66
2026-04-30,401.0,423.0,397.5,408.35,5618619,21.28
2026-05-01,401.0,423.0,397.5,408.35,5618619,21.28
2026-05-04,412.4,422.85,410.65,412.2,1975928,34.12
2026-05-05,411.95,417.9,408.3,415.5,1462377,29.81
2026-05-06,421.0,422.5,398.25,401.8,1334235,47.24
2026-05-07,403.05,408.8,402.25,403.6,822907,38.48
2026-05-08,405.9,406.7,399.0,403.45,852339,35.95
2026-05-11,402.45,409.65,393.6,398.2,1384313,32.72
2026-05-12,399.0,404.0,388.55,391.7,1236118,38.52
2026-05-13,392.0,402.0,378.0,379.3,2373304,51.79
2026-05-14,379.5,383.3,363.1,372.15,1452914,31.32
2026-05-15,374.95,378.4,367.0,370.5,797479,37.59
2026-05-18,367.0,367.65,356.5,364.7,1193887,40.4
2026-05-19,364.1,388.85,363.95,386.05,1615601,29.94
2026-05-20,386.0,394.05,382.45,386.8,1094608,38.3
2026-05-21,389.05,396.55,385.85,390.45,1169092,53.81
2026-05-22,390.0,391.1,383.75,390.25,574665,41.79
2026-05-25,392.4,395.55,384.05,393.65,1085515,46.18
2026-05-26,395.0,400.2,390.95,393.85,732517,44.56
2026-05-27,395.0,395.5,380.55,383.8,578060,49.43
2026-05-28,395.0,395.5,380.55,383.8,578060,49.43
2026-05-29,359.0,374.85,350.1,352.3,2584090,43.87
2026-06-01,354.45,358.9,335.2,338.25,1684978,44.12
2026-06-02,335.0,351.6,332.1,348.55,1484190,26.51
2026-06-03,349.5,350.75,340.2,344.55,548847,31.02
2026-06-04,344.55,350.55,344.55,349.9,663023,37.12
2026-06-05,351.15,362.2,350.3,353.45,1379926,39.97
2026-06-08,350.0,365.9,345.05,358.1,2037148,29.42
2026-06-09,358.6,361.9,355.0,356.25,463340,36.82
2026-06-10,356.9,360.0,341.1,343.75,640405,40.66
2026-06-11,345.5,350.55,326.0,328.5,2064744,36.4
2026-06-12,336.0,336.0,324.1,332.1,1149143,37.91
2026-06-15,347.0,350.9,333.3,336.95,2157767,32.14
2026-06-16,338.8,343.0,334.8,341.4,896092,40.33
2026-06-17,343.0,344.0,335.55,340.05,705471,45.32
2026-06-18,341.0,344.75,339.1,343.15,674276,41.54
2026-06-19,343.0,343.0,337.5,340.5,488816,41.05
2026-06-22,342.0,346.7,339.05,341.55,1145196,42.67
2026-06-23,342.55,348.5,339.5,342.95,802356,43.08
2026-06-24,342.95,351.0,338.1,348.05,985688,44.0
2026-06-25,349.7,351.55,344.0,348.65,671485,55.43
2026-06-26,349.7,351.55,344.0,348.65,671485,55.43
2026-06-29,348.7,350.75,340.3,346.4,1434381,53.07
2026-06-30,347.4,355.9,346.25,350.9,806012,42.17
2026-07-01,352.0,366.5,352.0,361.9,1969735,34.56
2026-07-02,363.0,363.0,353.0,359.9,661380,40.73
2026-07-03,361.5,363.7,352.0,353.7,451660,51.04
2026-07-06,355.1,367.85,352.15,366.0,1086288,43.68
2026-07-07,366.5,367.5,355.0,361.0,684040,43.99
2026-07-08,357.0,360.0,352.05,355.15,689829,50.97
2026-07-09,356.9,360.85,352.75,353.95,464402,56.27
2026-07-10,355.0,360.9,355.0,355.8,242614,44.47
2026-07-13,355.3,360.85,351.15,357.35,484972,41.35
2026-07-14,357.35,357.35,349.1,351.7,461718,44.56
2026-07-15,353.0,358.8,351.45,352.75,373531,42.96
2026-07-16,352.75,359.4,351.0,356.05,343877,40.78
2026-07-17,354.6,355.95,346.0,346.95,434000,53.09
2026-07-20,346.95,347.0,336.5,337.6,508000,48.15
2026-07-21,337.0,339.8,333.7,335.75,444872,53.98
2026-07-22,335.55,336.3,325.25,326.55,497226,55.65
