DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,168.02,172.7,165.52,169.61,976437,43.57
2025-04-15,172.0,174.85,167.49,169.02,1109686,48.61
2025-04-16,169.95,171.94,166.4,168.57,585507,43.37
2025-04-17,170.85,172.32,166.5,167.49,655843,45.18
2025-04-21,167.99,171.49,166.63,168.2,562273,48.84
2025-04-22,170.0,183.98,169.24,180.71,2929249,49.64
2025-04-23,182.3,185.22,176.5,180.29,1259367,49.67
2025-04-24,180.95,190.4,178.62,185.68,2042752,42.26
2025-04-25,187.0,187.0,171.54,176.49,1216361,36.25
2025-04-28,176.9,181.59,174.27,180.32,669725,51.29
2025-04-29,180.32,183.75,176.0,178.17,552918,39.16
2025-04-30,178.45,178.45,170.05,171.57,929115,35.58
2025-05-02,171.57,177.01,171.05,172.0,645868,48.76
2025-05-05,173.38,173.38,166.2,168.84,964565,45.09
2025-05-06,169.06,171.19,162.7,163.28,589840,47.01
2025-05-07,161.0,165.54,160.62,164.04,568163,35.14
2025-05-08,165.0,167.13,160.15,161.01,487978,43.15
2025-05-09,156.0,161.0,156.0,160.0,375534,33.96
2025-05-12,168.0,172.5,166.01,171.58,549433,47.4
2025-05-13,172.35,183.2,170.95,179.81,936762,44.5
2025-05-14,180.95,181.7,177.49,180.99,457866,40.67
2025-05-15,181.85,185.23,179.81,180.98,630609,49.8
2025-05-16,180.05,182.9,178.62,180.98,460304,42.68
2025-05-19,183.0,184.45,178.22,180.33,617524,45.76
2025-05-20,181.49,183.59,175.3,176.97,473060,50.48
2025-05-21,178.0,179.85,174.3,176.93,312809,36.86
2025-05-22,176.87,179.0,174.96,178.36,311234,43.15
2025-05-23,179.85,182.74,172.15,176.44,1373536,30.41
2025-05-26,177.0,180.91,174.3,175.61,966234,38.95
2025-05-27,175.61,175.61,170.21,171.29,1042037,30.34
2025-05-28,172.92,172.92,168.48,169.11,354049,56.41
2025-05-29,170.4,172.6,167.5,169.32,468908,53.25
2025-05-30,171.0,171.16,164.7,165.17,613262,61.52
2025-06-02,165.0,166.08,163.63,164.37,410918,57.82
2025-06-03,165.0,165.5,160.5,160.94,600841,62.28
2025-06-04,162.0,165.0,159.67,164.1,609722,57.25
2025-06-05,164.0,166.0,161.1,161.5,607864,57.13
2025-06-06,162.59,171.9,160.88,168.73,1076871,57.36
2025-06-09,172.0,175.31,169.66,173.5,1229033,51.8
2025-06-10,174.65,177.52,171.0,171.84,730916,54.55
2025-06-11,171.88,176.46,170.5,171.94,1141371,56.03
2025-06-12,172.8,172.96,165.55,166.06,544653,55.52
2025-06-13,163.9,165.6,160.71,163.55,527898,43.98
2025-06-16,164.85,165.4,159.7,162.91,484624,48.53
2025-06-17,163.85,164.8,159.25,159.85,517966,57.6
2025-06-18,159.1,163.55,157.55,159.39,507031,42.04
2025-06-19,159.0,160.3,155.0,156.37,596772,50.37
2025-06-20,157.0,158.55,155.29,156.31,474409,38.31
2025-06-23,156.96,158.44,155.12,156.72,361802,52.49
2025-06-24,158.85,164.15,158.7,162.66,1015134,52.03
2025-06-25,164.5,166.5,162.22,162.99,490596,46.11
2025-06-26,164.14,166.6,161.54,164.25,1156097,31.76
2025-06-27,166.2,168.5,162.4,162.85,617603,46.52
2025-06-30,164.38,165.64,161.99,162.48,346956,51.63
2025-07-01,163.5,164.33,160.27,160.93,404280,52.81
2025-07-02,162.36,162.36,157.71,159.61,685582,52.82
2025-07-03,161.0,162.0,158.88,159.68,451544,44.35
2025-07-04,160.75,160.75,158.5,159.27,284336,43.01
2025-07-07,158.89,160.16,157.91,158.78,289458,63.28
2025-07-08,159.8,161.26,157.74,159.26,281427,50.8
2025-07-09,160.63,165.44,158.65,160.29,609591,45.84
2025-07-10,161.85,164.0,158.7,160.59,838828,37.53
2025-07-11,160.55,162.2,158.4,158.64,422475,52.23
2025-07-14,158.99,161.32,157.5,158.94,302927,49.06
2025-07-15,159.23,165.0,158.77,163.01,1050771,29.19
2025-07-16,163.74,170.88,163.45,167.05,2104335,49.31
2025-07-17,168.54,170.36,165.86,166.92,1055975,59.5
2025-07-18,167.67,180.0,167.2,178.95,4136625,48.42
2025-07-21,179.85,186.7,176.08,183.64,3181464,45.45
2025-07-22,184.5,185.95,181.17,183.5,1071181,47.41
2025-07-23,184.5,184.6,179.27,180.99,950619,59.03
2025-07-24,181.98,184.36,179.51,181.29,693966,44.57
2025-07-25,181.29,181.89,176.1,176.64,836024,40.77
2025-07-28,176.64,179.59,172.11,174.08,1204512,27.99
2025-07-29,175.48,182.0,172.0,180.03,991210,40.93
2025-07-30,180.8,181.65,178.21,179.22,385486,47.56
2025-07-31,176.3,179.4,174.52,176.64,489377,53.22
2025-08-01,177.8,177.8,164.0,164.3,1849516,47.52
2025-08-04,165.8,169.37,163.51,167.19,569413,41.96
2025-08-05,166.9,190.9,166.9,187.97,21455975,14.07
2025-08-06,189.4,190.67,182.51,185.78,3832736,19.12
2025-08-07,185.05,187.35,181.05,185.43,1792720,30.26
2025-08-08,186.4,186.95,174.2,177.04,1084650,44.59
2025-08-11,178.7,179.58,158.25,162.01,4281115,37.74
2025-08-12,162.09,166.4,161.21,164.21,1671459,37.51
2025-08-13,165.4,166.0,161.76,163.85,1057846,42.27
2025-08-14,163.85,165.25,159.99,160.29,645154,52.02
2025-08-18,162.5,163.31,159.03,161.09,659057,40.79
2025-08-19,161.8,165.9,161.11,164.8,689896,43.63
2025-08-20,164.98,165.79,163.1,163.7,599773,53.06
2025-08-21,163.87,167.52,163.3,164.11,493900,47.0
2025-08-22,163.25,164.8,161.4,162.07,331893,54.96
2025-08-25,162.93,165.65,161.13,162.64,475103,53.58
2025-08-26,161.55,163.0,159.15,159.88,409708,54.86
2025-08-28,160.0,160.3,156.5,157.1,399764,54.39
2025-08-29,157.14,159.5,156.05,156.51,391954,38.61
2025-09-01,156.01,159.6,156.01,159.02,289830,52.3
2025-09-02,159.02,164.25,159.0,161.69,471024,42.82
2025-09-03,162.35,167.35,161.74,164.08,1025569,53.76
2025-09-04,166.92,168.0,160.01,160.63,591941,49.37
2025-09-05,161.28,162.85,159.41,161.17,380130,45.19
2025-09-08,161.6,164.89,160.1,160.41,404729,48.94
2025-09-09,160.7,162.8,159.5,159.93,409654,50.08
2025-09-10,160.6,161.71,159.0,159.44,422919,46.12
2025-09-11,159.8,165.11,159.73,162.75,783416,49.42
2025-09-12,162.75,172.98,162.4,165.05,2231499,34.09
2025-09-15,166.34,169.9,164.75,167.17,772090,42.38
2025-09-16,167.75,173.07,166.5,167.48,1139039,37.31
2025-09-17,167.0,170.3,165.87,166.45,544910,49.67
2025-09-18,166.75,169.0,166.45,167.4,394687,43.19
2025-09-19,167.88,169.0,166.0,167.71,369076,49.39
2025-09-22,167.25,170.35,166.13,167.21,508958,43.94
2025-09-23,167.9,171.83,166.5,168.02,1616156,69.51
2025-09-24,168.4,175.76,168.4,168.93,1379777,41.94
2025-09-25,169.09,174.68,169.01,173.05,1217012,48.58
2025-09-26,173.0,177.0,168.0,169.84,1152260,40.06
2025-09-29,170.19,173.29,165.58,166.21,548121,41.41
2025-09-30,167.3,169.39,162.5,164.41,411935,38.88
2025-10-01,165.0,167.29,164.21,166.19,356227,37.62
2025-10-03,166.95,171.04,165.73,169.9,562978,38.55
2025-10-06,170.9,172.74,166.1,166.84,470406,46.49
2025-10-07,167.9,168.39,162.88,163.52,479198,55.22
2025-10-08,163.49,165.0,161.0,161.49,414742,52.17
2025-10-09,162.46,166.0,161.4,165.11,638445,38.25
2025-10-10,166.3,167.99,163.2,164.52,632730,44.79
2025-10-13,163.8,165.9,161.0,161.52,659777,62.22
2025-10-14,162.1,163.94,158.0,159.3,504996,61.46
2025-10-15,159.35,160.89,158.0,158.37,694707,65.3
2025-10-16,158.99,161.0,158.16,158.65,403630,62.71
2025-10-17,159.5,159.5,156.05,156.74,452857,55.31
2025-10-20,157.8,159.78,155.06,158.5,429461,51.07
2025-10-21,159.8,160.95,159.79,160.61,139359,70.4
2025-10-22,159.8,160.95,159.79,160.61,139359,70.4
2025-10-23,160.52,164.5,159.45,160.68,560490,53.4
2025-10-24,160.47,161.8,158.5,159.29,244290,55.93
2025-10-27,162.0,164.95,161.0,163.41,762795,55.16
2025-10-28,163.38,163.42,160.11,160.68,285013,52.03
2025-10-29,161.06,167.5,161.06,164.96,1857411,58.71
2025-10-30,165.8,166.62,163.01,164.18,542774,57.72
2025-10-31,164.25,167.84,163.4,164.22,733838,54.86
2025-11-03,164.85,172.9,164.85,167.69,1973419,57.66
2025-11-04,168.1,170.56,166.2,166.85,813816,57.12
2025-11-05,168.1,170.56,166.2,166.85,813816,57.12
2025-11-06,166.2,167.49,160.6,161.11,984468,60.6
2025-11-07,160.4,162.05,159.1,160.86,406855,52.28
2025-11-10,160.58,161.94,158.1,158.27,505738,66.91
2025-11-11,158.25,159.06,156.7,158.07,529881,61.05
2025-11-12,158.07,159.03,156.9,157.08,476331,69.33
2025-11-13,157.1,158.94,156.6,156.85,441977,61.55
2025-11-14,156.8,156.8,145.1,147.09,2012515,53.36
2025-11-17,147.15,149.2,142.9,143.46,1228588,61.85
2025-11-18,143.1,143.32,140.75,141.29,561353,59.7
2025-11-19,141.41,141.96,138.0,138.56,701965,58.93
2025-11-20,138.9,141.0,138.0,138.2,458738,47.52
2025-11-21,138.0,138.0,132.52,133.13,906904,64.86
2025-11-24,133.01,133.9,131.9,132.93,731932,63.81
2025-11-25,133.0,133.0,130.77,131.81,425798,53.42
2025-11-26,132.5,138.67,132.03,137.78,645739,44.86
2025-11-27,138.98,140.48,137.1,137.6,462826,53.22
2025-11-28,137.6,139.4,135.9,139.0,260033,45.61
2025-12-01,139.5,140.22,134.6,135.03,344224,57.85
2025-12-02,134.88,136.77,133.5,134.3,307251,53.93
2025-12-03,134.5,135.01,133.05,134.35,364809,62.84
2025-12-04,134.5,134.99,131.1,132.13,331331,72.4
2025-12-05,132.0,133.35,130.3,131.35,363008,58.45
2025-12-08,130.0,132.48,120.91,123.04,937004,52.45
2025-12-09,122.6,134.0,121.26,133.11,1093052,65.25
2025-12-10,133.0,134.07,130.25,131.07,320763,54.16
2025-12-11,131.45,133.32,130.01,132.84,202227,42.67
2025-12-12,132.84,136.5,132.81,134.73,435279,40.81
2025-12-15,134.74,135.22,131.5,133.15,621558,75.54
2025-12-16,134.07,135.7,132.1,133.02,393152,66.03
2025-12-17,132.37,132.71,130.25,130.86,393596,69.97
2025-12-18,130.0,131.56,125.15,126.85,834646,54.18
2025-12-19,126.85,132.38,126.85,131.81,423234,59.5
2025-12-22,132.89,138.2,132.0,135.24,820761,50.39
2025-12-23,135.55,136.85,134.1,134.55,529589,71.47
2025-12-24,135.0,139.9,133.93,136.07,895557,60.01
2025-12-25,135.0,139.9,133.93,136.07,895557,60.01
2025-12-26,137.4,138.65,135.18,136.92,908182,80.19
2025-12-29,137.05,143.4,136.58,140.91,1161965,34.69
2025-12-30,140.99,146.99,139.0,146.07,1148873,43.91
2025-12-31,148.26,151.1,144.75,146.7,1043035,37.09
2026-01-01,147.99,148.26,145.15,145.91,275698,47.46
2026-01-02,146.9,148.01,145.54,147.51,316403,55.35
2026-01-05,147.0,150.02,142.3,143.05,614886,47.17
2026-01-06,144.0,144.95,141.5,143.09,331459,44.02
2026-01-07,142.86,145.0,142.5,144.14,241329,43.51
2026-01-08,143.78,143.83,137.5,138.64,518541,53.91
2026-01-09,139.0,142.87,136.5,137.05,533875,55.09
2026-01-12,137.0,137.82,133.4,136.65,350771,50.64
2026-01-13,136.65,137.51,132.1,132.73,380300,45.65
2026-01-14,132.0,136.97,132.0,135.33,353477,47.46
2026-01-15,132.0,136.97,132.0,135.33,353477,47.46
2026-01-16,135.85,136.14,125.8,126.4,1476545,56.73
2026-01-19,126.7,126.7,121.51,122.88,693701,50.17
2026-01-20,122.0,125.05,119.88,120.41,498237,43.87
2026-01-21,120.0,121.96,115.01,116.09,730180,34.54
2026-01-22,117.91,119.71,113.6,115.87,473894,49.6
2026-01-23,115.0,117.27,111.0,111.9,574135,61.99
2026-01-26,115.0,117.27,111.0,111.9,574135,61.99
2026-01-27,112.3,113.4,110.24,112.34,583657,52.15
2026-01-28,114.0,124.02,113.5,121.99,855241,40.86
2026-01-29,122.58,126.25,120.62,125.37,596561,39.39
2026-01-30,125.96,128.3,121.7,122.52,633478,37.47
2026-02-02,120.9,122.01,116.24,118.63,359252,42.81
2026-02-03,123.0,126.78,118.91,122.29,473340,44.98
2026-02-04,122.29,129.1,122.29,128.57,719832,56.32
2026-02-05,128.9,130.7,127.44,130.04,362210,45.58
2026-02-06,129.9,131.39,127.66,130.29,322314,47.36
2026-02-09,131.29,132.99,127.55,132.23,447596,50.75
2026-02-10,132.19,135.7,131.9,133.71,354235,45.09
2026-02-11,133.0,133.35,129.01,130.22,294222,54.54
2026-02-12,130.2,133.79,128.25,132.56,350858,40.59
2026-02-13,130.0,136.95,129.0,134.85,629491,46.01
2026-02-16,135.09,135.1,129.0,129.84,630730,57.39
2026-02-17,129.0,134.67,128.0,132.13,367182,34.56
2026-02-18,133.53,134.66,131.76,133.94,261826,57.82
2026-02-19,133.94,138.6,133.24,137.22,698111,49.44
2026-02-20,137.94,139.37,135.72,137.98,396723,50.42
2026-02-23,137.98,139.63,134.97,138.87,575509,56.9
2026-02-24,138.2,140.49,134.71,135.65,495901,40.66
2026-02-25,135.99,137.75,135.35,136.81,237426,43.86
2026-02-26,137.1,140.5,134.71,135.74,307516,45.36
2026-02-27,135.0,135.29,130.61,131.16,427810,65.12
2026-03-02,127.0,132.28,127.0,129.57,538358,48.35
2026-03-03,127.0,132.28,127.0,129.57,538358,48.35
2026-03-04,128.0,128.0,122.25,123.46,524684,57.59
2026-03-05,125.05,126.8,123.77,126.16,440671,64.92
2026-03-06,125.15,126.99,123.1,124.28,287901,54.89
2026-03-09,120.4,121.0,117.12,119.25,528735,54.14
2026-03-10,120.25,123.5,120.0,123.0,349964,45.68
2026-03-11,122.05,127.85,122.05,124.55,724741,75.38
2026-03-12,124.25,128.65,121.31,128.06,469740,58.65
2026-03-13,127.0,128.9,120.1,120.77,607969,68.12
2026-03-16,121.0,122.01,116.26,117.8,456526,47.65
2026-03-17,118.5,119.7,117.28,119.07,433460,63.12
