DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,6.7,6.81,6.5,6.7,172621,64.88
2025-04-15,6.76,6.87,6.7,6.75,272181,58.7
2025-04-16,6.89,6.9,6.64,6.78,358508,60.14
2025-04-17,6.94,6.94,6.72,6.82,219204,60.83
2025-04-21,6.94,6.94,6.79,6.89,473582,65.67
2025-04-22,7.0,7.1,6.88,7.03,249071,70.14
2025-04-23,7.15,7.15,6.91,6.97,330643,63.8
2025-04-24,7.0,7.14,6.92,7.07,349175,80.36
2025-04-25,7.1,7.11,6.54,6.84,492932,57.07
2025-04-28,6.7,6.9,6.67,6.78,192412,58.76
2025-04-29,6.87,6.94,6.75,6.79,226618,63.88
2025-04-30,6.86,6.86,6.49,6.63,614688,34.9
2025-05-02,6.63,6.78,6.56,6.61,222316,60.39
2025-05-05,6.66,6.75,6.58,6.62,178470,63.64
2025-05-06,6.77,6.77,6.27,6.35,217629,59.64
2025-05-07,6.33,6.45,6.1,6.24,415269,67.45
2025-05-08,6.17,6.5,6.17,6.22,145836,45.83
2025-05-09,6.22,7.45,5.96,6.42,246040,58.62
2025-05-12,6.56,6.99,6.42,6.69,514200,51.32
2025-05-13,6.83,6.83,6.02,6.71,321386,44.59
2025-05-14,6.85,6.85,6.68,6.72,242840,62.74
2025-05-15,6.84,6.88,6.76,6.83,258592,63.64
2025-05-16,6.95,6.95,6.66,6.75,481946,76.55
2025-05-19,6.87,6.88,6.65,6.68,560534,68.58
2025-05-20,6.8,6.83,6.68,6.74,382512,69.5
2025-05-21,6.82,6.82,6.7,6.72,170545,62.2
2025-05-22,6.73,6.79,6.65,6.69,139590,60.33
2025-05-23,6.71,6.9,6.7,6.77,424217,69.67
2025-05-26,6.84,6.84,6.7,6.75,235465,67.7
2025-05-27,6.6,6.8,6.45,6.72,192899,63.16
2025-05-28,6.72,6.86,6.6,6.63,281089,74.7
2025-05-29,6.74,6.74,6.56,6.6,359795,59.54
2025-05-30,6.67,6.7,6.45,6.51,514752,75.28
2025-06-02,6.4,6.54,6.4,6.46,436178,63.39
2025-06-03,6.41,6.54,6.41,6.43,305882,49.72
2025-06-04,6.38,6.5,6.38,6.43,140739,57.76
