DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,88.0,90.49,86.84,89.39,11526,54.62
2025-04-15,89.13,92.01,89.13,91.81,5426,66.83
2025-04-16,91.94,95.0,91.9,94.36,10287,55.14
2025-04-17,94.95,94.95,90.75,91.74,13262,50.54
2025-04-21,93.99,94.0,91.75,93.0,26059,72.11
2025-04-22,93.1,96.02,93.01,94.77,12525,67.34
2025-04-23,98.0,98.0,93.69,94.81,16342,62.74
2025-04-24,96.0,96.8,93.3,94.78,10768,67.72
2025-04-25,94.88,95.58,90.2,90.63,15910,41.75
2025-04-28,90.63,93.98,89.97,90.85,8166,50.31
2025-04-29,92.9,94.98,91.98,94.29,16290,55.42
2025-04-30,94.0,94.01,92.05,92.71,6044,55.43
2025-05-02,92.71,93.21,90.51,92.31,13271,71.02
2025-05-05,93.93,93.93,88.7,90.86,19877,59.69
2025-05-06,91.0,92.99,86.0,87.62,15681,58.4
2025-05-07,86.24,88.99,85.01,87.08,8268,45.9
2025-05-08,85.44,89.98,85.44,86.84,5463,30.9
2025-05-09,85.0,87.79,84.85,85.13,13853,52.56
2025-05-12,87.05,93.79,87.05,92.34,26740,46.02
2025-05-13,92.01,93.25,89.95,91.9,17601,52.54
2025-05-14,92.52,99.0,92.52,95.95,27246,73.5
2025-05-15,96.0,96.84,94.5,96.73,13949,61.27
2025-05-16,96.79,104.0,96.79,100.45,30199,54.53
2025-05-19,100.95,107.09,100.95,105.44,38086,54.72
2025-05-20,105.45,105.45,99.1,100.85,28374,49.34
2025-05-21,100.85,105.25,100.59,102.0,18483,69.59
2025-05-22,100.0,102.17,96.62,100.08,22778,38.51
2025-05-23,99.51,102.01,99.51,100.15,10117,53.78
2025-05-26,101.95,101.96,99.21,99.42,9737,70.83
2025-05-27,99.3,101.45,94.05,94.94,30921,73.49
2025-05-28,96.49,104.0,95.05,100.52,15032,68.85
2025-05-29,103.02,104.0,96.7,97.96,37715,57.44
2025-05-30,99.4,99.4,94.8,96.21,16023,67.37
2025-06-02,94.8,97.03,91.5,96.0,69486,60.0
2025-06-03,96.0,99.48,95.01,95.89,15567,58.86
2025-06-04,96.36,96.57,94.3,95.01,17079,72.97
2025-06-05,97.2,97.2,95.15,95.59,10547,49.49
2025-06-06,94.35,96.94,94.35,94.92,16682,64.78
2025-06-09,94.92,96.5,94.82,95.69,12093,64.13
2025-06-10,94.61,97.2,94.4,95.98,12715,67.46
