DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,15.91,16.1,15.55,15.79,273240,46.9
2025-04-15,15.9,16.49,15.9,16.3,309061,52.43
2025-04-16,16.57,16.93,16.41,16.71,220687,57.25
2025-04-17,16.71,17.22,16.57,16.94,196934,49.88
2025-04-21,17.4,17.4,16.5,16.77,452283,50.79
2025-04-22,17.15,17.2,16.74,16.96,232225,53.74
2025-04-23,17.3,17.3,16.6,16.99,161471,58.28
2025-04-24,17.19,17.47,16.93,17.06,198486,51.69
2025-04-25,17.37,17.37,16.16,16.37,229009,52.08
2025-04-28,16.73,16.73,16.0,16.12,181613,62.12
2025-04-29,16.13,16.58,15.98,16.02,90859,55.88
2025-04-30,15.9,16.1,15.59,15.79,122564,73.71
2025-05-02,16.35,16.35,15.61,15.67,102192,53.19
2025-05-05,15.71,16.02,15.52,15.88,112922,52.73
2025-05-06,15.89,16.15,15.4,15.48,107632,71.54
2025-05-07,15.0,15.52,15.0,15.39,192984,50.6
2025-05-08,15.36,15.75,15.06,15.15,120727,46.51
2025-05-09,15.0,15.11,14.05,14.88,112897,41.04
2025-05-12,15.3,16.11,15.3,16.02,238561,62.77
2025-05-13,16.02,16.83,16.02,16.57,221561,59.89
2025-05-14,16.88,17.1,16.66,16.99,124648,61.69
2025-05-15,17.25,17.25,16.86,17.06,146214,63.29
2025-05-16,17.45,17.7,17.01,17.58,408398,60.71
2025-05-19,17.58,19.0,17.45,17.84,662420,46.0
2025-05-20,17.8,18.78,17.76,17.88,547725,61.88
2025-05-21,18.0,18.01,17.55,17.79,174675,51.51
2025-05-22,17.55,18.0,17.52,17.82,232225,62.64
2025-05-23,17.94,18.4,17.8,18.09,219882,57.89
2025-05-26,18.09,18.51,18.06,18.27,202622,56.52
2025-05-27,18.69,18.69,18.12,18.2,139759,55.22
2025-05-28,18.01,18.95,18.01,18.58,253349,57.52
2025-05-29,18.8,18.8,18.31,18.48,113174,55.75
2025-05-30,18.79,18.93,18.15,18.24,153873,54.0
2025-06-02,18.47,18.8,18.06,18.26,217132,67.17
2025-06-03,18.59,18.59,18.06,18.12,98059,46.96
2025-06-04,18.03,18.39,17.96,18.16,186934,62.86
2025-06-05,18.1,18.69,18.07,18.11,201531,56.4
2025-06-06,18.11,18.39,18.03,18.17,116600,53.25
2025-06-09,18.17,18.8,18.17,18.58,166716,72.11
2025-06-10,18.5,18.8,18.5,18.56,157387,61.39
2025-06-11,18.5,19.6,18.42,19.32,491324,57.99
2025-06-12,19.7,19.82,18.72,18.82,213697,54.92
2025-06-13,18.05,18.67,17.99,18.23,239071,58.33
2025-06-16,18.01,18.5,17.6,17.97,184149,56.31
2025-06-17,17.81,18.28,17.68,17.72,153594,68.59
2025-06-18,17.89,17.91,17.57,17.74,77481,65.79
2025-06-19,17.74,17.88,17.17,17.21,93769,68.1
2025-06-20,17.0,17.79,17.0,17.54,64477,46.58
2025-06-23,17.0,17.64,16.95,17.38,98255,57.07
2025-06-24,17.5,18.18,17.5,17.75,122480,61.21
2025-06-25,17.79,18.36,17.79,18.24,102509,64.44
2025-06-26,18.79,18.79,17.92,18.14,107943,62.41
2025-06-27,18.3,18.49,18.01,18.14,63252,63.3
2025-06-30,18.2,19.23,18.15,18.66,274716,54.09
2025-07-01,18.75,19.97,18.67,19.81,726972,60.0
