DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-06-17,117.0,118.9,113.5,114.42,713560,51.11
2025-06-18,115.5,125.99,113.1,122.07,2320706,52.28
2025-06-19,126.0,126.0,116.1,119.28,1440696,44.99
2025-06-20,121.91,135.63,117.8,131.28,6689120,39.9
2025-06-23,133.0,140.85,130.0,134.05,5012517,36.28
2025-06-24,126.5,138.0,126.5,131.12,3182196,39.36
2025-06-25,132.4,135.0,129.56,133.26,1378363,45.34
2025-06-26,136.72,140.4,132.6,135.39,3369149,35.27
2025-06-27,136.06,145.0,133.97,142.18,2393515,47.15
2025-06-30,145.8,155.9,140.05,142.73,6016929,31.94
2025-07-01,142.7,156.05,141.5,152.26,5421694,32.71
2025-07-02,153.5,158.8,147.75,149.36,3031288,37.49
2025-07-03,150.0,152.08,143.8,144.54,1444748,39.41
2025-07-04,145.0,153.01,144.1,152.13,2345599,37.37
2025-07-07,153.0,157.99,149.31,155.95,1839624,31.32
2025-07-08,158.0,165.95,155.41,164.06,4161919,34.29
2025-07-09,167.5,196.87,163.66,196.87,15455673,17.75
2025-07-10,205.4,216.55,196.87,213.92,20404943,13.23
2025-07-11,212.95,223.65,203.1,205.88,7158638,22.48
2025-07-14,213.0,216.0,188.11,202.01,6831672,25.96
2025-07-15,203.0,208.5,195.0,196.07,1740827,40.38
2025-07-16,198.0,198.85,192.0,193.36,1298483,43.39
2025-07-17,197.5,205.8,195.53,200.22,2004355,34.39
2025-07-18,204.0,220.24,200.36,220.24,4571077,35.64
2025-07-21,225.8,238.17,212.8,228.63,6745460,22.33
2025-07-22,229.0,233.0,214.11,218.67,2589693,35.82
2025-07-23,219.7,227.84,214.6,222.83,1985216,32.62
2025-07-24,224.65,226.01,210.5,213.24,1216449,43.49
2025-07-25,213.0,225.0,207.06,222.21,2547851,28.15
2025-07-28,219.97,226.8,212.91,218.44,1338380,32.02
2025-07-29,220.0,240.28,215.21,239.61,3734250,40.48
2025-07-30,240.35,253.49,231.1,234.38,3431335,36.98
2025-07-31,227.0,242.99,227.0,232.85,1520414,35.62
2025-08-01,233.5,236.19,222.0,225.63,1551780,40.62
2025-08-04,228.59,230.0,222.51,227.28,784825,35.19
2025-08-05,228.4,233.7,220.5,222.9,878499,41.79
2025-08-06,223.8,223.95,201.16,202.6,2151347,41.51
2025-08-07,203.4,214.9,202.19,209.53,1484301,30.2
2025-08-08,210.0,210.48,196.0,198.58,891230,47.34
2025-08-11,199.5,214.69,198.7,208.29,1281879,34.15
2025-08-12,209.4,213.0,202.0,203.35,641043,36.22
2025-08-13,205.5,212.9,205.5,211.26,730312,38.95
2025-08-14,212.79,213.8,204.07,205.81,501877,43.33
2025-08-18,185.22,195.18,185.22,186.42,4622259,36.85
2025-08-19,187.38,199.79,185.51,193.87,1862010,30.98
2025-08-20,194.3,213.25,194.3,208.95,3441177,28.07
2025-08-21,213.0,213.0,206.76,207.78,1002131,35.23
2025-08-22,207.5,209.36,202.15,203.26,604401,36.41
2025-08-25,205.0,210.15,198.4,205.37,643888,38.08
2025-08-26,205.99,206.4,197.15,198.34,528150,41.51
2025-08-28,196.51,196.51,185.25,189.49,1076222,39.62
2025-08-29,190.5,192.21,187.7,188.77,946856,47.67
2025-09-01,190.0,195.0,186.0,191.4,903332,46.39
2025-09-02,192.0,192.0,183.0,183.95,1034440,51.5
2025-09-03,183.98,193.0,181.9,190.72,1373764,32.55
2025-09-04,192.47,196.08,185.0,188.43,850364,30.97
2025-09-05,188.99,207.27,187.1,207.11,3564876,29.93
2025-09-08,208.65,215.9,206.1,208.32,1503747,36.42
2025-09-09,207.9,208.32,198.6,203.09,698169,42.01
2025-09-10,203.88,222.3,201.0,220.41,3624350,33.24
2025-09-11,222.4,228.6,218.12,226.42,3777047,21.92
2025-09-12,228.75,231.72,216.55,218.69,1796039,35.53
2025-09-15,220.0,223.99,217.8,222.52,804964,30.63
2025-09-16,223.49,237.0,223.49,229.35,2896689,31.33
2025-09-17,230.5,231.2,219.1,220.63,964205,38.69
2025-09-18,220.63,229.0,220.26,222.52,887166,31.2
2025-09-19,224.5,234.85,201.2,207.39,3630890,31.8
2025-09-22,208.0,214.0,206.56,209.83,990242,30.13
2025-09-23,210.0,210.0,203.52,206.22,628175,34.94
