DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,2091.05,2287.95,2091.05,2259.95,108771,66.44
2025-04-15,2260.1,2319.9,2200.0,2223.2,57794,52.69
2025-04-16,2254.7,2350.0,2210.0,2335.7,45000,57.12
2025-04-17,2315.0,2440.0,2312.9,2336.8,168537,87.61
2025-04-21,2340.0,2415.0,2294.5,2393.3,33619,49.86
2025-04-22,2412.0,2449.0,2365.0,2385.6,39509,47.84
2025-04-23,2398.0,2500.0,2392.1,2472.3,45600,45.01
2025-04-24,2500.0,2567.6,2443.2,2471.3,56213,30.35
2025-04-25,2475.0,2489.9,2270.0,2316.6,63473,35.45
2025-04-28,2327.9,2385.0,2296.1,2355.4,26124,35.94
2025-04-29,2359.9,2394.0,2299.8,2307.3,19413,42.47
2025-04-30,2329.0,2329.0,2197.1,2215.3,37644,53.9
2025-05-02,2202.0,2281.7,2202.0,2267.9,23468,34.89
2025-05-05,2064.0,2350.0,2064.0,2326.8,35202,31.03
2025-05-06,2322.0,2333.4,2198.1,2210.9,21396,48.78
2025-05-07,2151.0,2245.9,2151.0,2225.2,19306,35.19
2025-05-08,2258.6,2310.0,2198.1,2206.8,16231,37.34
2025-05-09,2173.7,2240.0,2133.5,2227.5,14990,44.08
2025-05-12,2380.0,2380.0,2290.2,2345.9,33882,47.44
2025-05-13,2349.0,2470.0,2321.0,2436.9,87534,47.39
2025-05-14,2440.0,2450.0,2391.6,2432.2,28466,49.47
2025-05-15,2444.0,2445.2,2385.3,2414.9,26522,63.13
2025-05-16,2419.6,2558.5,2417.9,2531.6,40405,42.91
2025-05-19,2569.6,2645.6,2510.0,2634.2,40932,41.97
2025-05-20,2634.2,2673.7,2563.9,2598.7,21682,46.89
2025-05-21,2598.7,2643.6,2546.4,2604.5,27665,44.44
2025-05-22,2616.9,2630.4,2520.1,2543.6,68535,84.55
2025-05-23,2569.0,2595.6,2456.2,2570.3,30801,43.59
2025-05-26,2600.0,2630.2,2564.2,2618.5,13004,41.2
2025-05-27,2579.2,2710.0,2579.2,2672.8,31397,38.57
2025-05-28,2700.0,2725.0,2672.9,2710.7,16283,46.1
2025-05-29,2730.0,2849.7,2726.2,2766.2,38526,37.56
