DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-21,20.9,21.0,20.72,20.96,6065,99.98
2025-07-22,20.96,20.96,20.73,20.81,7769,69.02
2025-07-23,21.25,21.25,20.73,20.8,3588,93.06
2025-07-24,20.78,21.25,20.61,20.9,13586,20.24
2025-07-25,20.89,20.89,20.67,20.85,5742,40.07
2025-07-28,20.98,20.98,20.11,20.21,51733,78.2
2025-07-29,20.24,20.25,20.15,20.19,11772,65.1
2025-07-30,20.17,20.26,20.09,20.26,2780,93.02
2025-07-31,20.25,20.29,20.15,20.19,2793,84.25
2025-08-01,20.19,20.31,20.19,20.3,7295,99.93
2025-08-04,20.8,20.8,20.09,20.14,13107,68.07
2025-08-05,20.64,20.64,20.09,20.25,1498,84.78
2025-08-06,20.66,20.66,20.0,20.16,2674,45.06
2025-08-07,20.24,20.47,20.14,20.34,3735,59.92
2025-08-08,19.75,20.47,19.75,20.2,3091,86.38
2025-08-11,20.27,20.27,20.13,20.26,10840,94.09
2025-08-12,20.66,20.66,20.21,20.31,1069,99.81
2025-08-13,20.25,20.29,20.2,20.28,3660,71.86
2025-08-14,20.31,20.31,20.2,20.31,168,59.52
2025-08-18,20.41,20.46,19.9,20.35,5213,76.54
2025-08-19,20.85,20.85,20.35,20.35,5683,91.8
2025-08-20,20.36,20.66,20.25,20.43,16816,38.61
2025-08-21,19.51,21.18,19.51,20.81,78422,16.61
2025-08-22,20.81,20.81,20.55,20.71,1990,90.35
2025-08-25,21.12,21.13,20.55,20.64,3072,52.73
2025-08-26,20.96,21.38,20.23,20.9,48754,27.91
2025-08-28,21.0,21.0,20.15,20.86,7058,37.83
2025-08-29,21.25,21.34,20.41,20.51,22041,66.33
2025-09-01,20.56,20.86,20.55,20.74,24947,76.91
2025-09-02,20.85,20.96,20.76,20.91,5262,97.49
2025-09-03,20.49,20.99,20.49,20.89,11249,99.67
2025-09-04,21.09,21.09,20.89,20.9,11544,91.73
2025-09-05,21.11,21.11,20.75,20.78,2431,97.45
2025-09-08,20.78,20.96,20.78,20.79,22065,99.97
2025-09-09,20.9,20.96,20.9,20.9,10493,100.0
2025-09-10,20.8,21.18,20.8,21.16,59365,74.54
2025-09-11,20.8,21.49,20.8,21.23,7274,73.1
2025-09-12,21.25,21.26,21.15,21.15,6421,97.48
2025-09-15,21.15,21.22,21.12,21.12,34013,72.3
