DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,746.1,848.4,746.1,825.0,87552,15.39
2025-04-15,832.0,849.0,806.8,819.45,13387,51.7
2025-04-16,807.15,829.7,805.25,817.45,3113,52.81
2025-04-17,823.0,835.9,811.0,819.75,4700,51.62
2025-04-21,832.05,849.0,829.3,838.8,17852,41.2
2025-04-22,848.0,848.0,830.0,836.6,13110,46.48
2025-04-23,850.0,858.45,841.0,847.3,6407,54.88
2025-04-24,842.6,850.0,812.0,816.2,19749,66.42
2025-04-25,816.2,818.8,786.25,790.2,9073,73.97
2025-04-28,790.2,803.9,767.0,777.9,7748,53.64
2025-04-29,787.65,822.1,785.9,814.45,9443,33.59
2025-04-30,818.0,829.0,783.8,793.0,7001,54.18
2025-05-02,781.1,810.0,771.0,780.4,7713,39.47
2025-05-05,786.3,799.8,776.0,786.2,3590,55.46
2025-05-06,786.2,788.6,770.0,775.5,6936,55.48
2025-05-07,774.0,810.0,765.1,790.75,9614,48.65
2025-05-08,776.0,796.9,762.05,777.7,11352,42.47
2025-05-09,765.0,776.75,760.0,769.8,4003,65.5
2025-05-12,785.2,860.05,785.2,847.0,13165,68.91
2025-05-13,831.45,846.35,799.0,801.05,17081,71.97
2025-05-14,802.5,835.35,796.3,809.8,598061,84.21
2025-05-15,834.0,848.0,821.05,833.45,32269,60.98
2025-05-16,837.0,845.0,822.05,836.75,15480,66.74
2025-05-19,859.8,896.0,840.55,892.05,42687,70.31
2025-05-20,888.0,960.0,887.1,932.75,32195,52.29
2025-05-21,937.5,968.5,921.6,950.1,35018,44.83
2025-05-22,940.6,964.0,933.1,960.35,15924,46.6
2025-05-23,961.0,984.55,948.25,969.8,18187,56.66
2025-05-26,969.8,1050.0,969.6,1028.55,45168,44.89
2025-05-27,1013.1,1120.0,1011.4,1102.15,44119,52.38
2025-05-28,1090.05,1091.0,981.0,987.15,53358,46.6
2025-05-29,987.8,1005.65,967.35,977.55,11462,47.41
2025-05-30,978.25,986.95,940.0,944.8,8409,40.72
2025-06-02,944.6,1009.95,935.2,995.5,14222,54.11
2025-06-03,1008.95,1008.95,962.9,985.0,6882,51.9
2025-06-04,998.0,998.0,976.3,985.05,6732,50.95
2025-06-05,984.95,987.45,942.0,952.1,4188,48.14
2025-06-06,955.5,994.0,930.05,982.45,8706,39.12
2025-06-09,1006.0,1006.0,924.8,948.7,10374,54.62
2025-06-10,974.0,974.0,943.9,950.35,5707,63.1
2025-06-11,950.35,967.0,940.0,963.3,2737,52.32
2025-06-12,963.95,980.95,954.95,959.95,3754,59.27
2025-06-13,948.85,969.5,942.05,962.95,3344,50.21
2025-06-16,962.95,999.0,955.0,984.85,5173,69.8
2025-06-17,999.0,999.0,939.0,941.2,8455,70.15
2025-06-18,945.95,962.15,932.6,943.1,4312,65.14
2025-06-19,938.75,950.0,922.1,946.65,4483,63.95
2025-06-20,942.0,1000.0,927.15,970.5,10189,51.71
2025-06-23,980.0,980.0,928.05,929.6,12229,57.35
2025-06-24,934.25,944.15,901.1,903.8,14139,65.62
2025-06-25,912.0,938.0,902.1,908.15,8754,52.9
2025-06-26,908.15,916.05,904.0,909.55,4990,67.66
2025-06-27,919.85,920.8,885.55,893.55,27477,70.85
2025-06-30,908.5,933.95,895.0,900.15,9392,52.61
2025-07-01,913.65,919.0,890.0,907.45,7397,65.55
2025-07-02,916.5,927.05,897.2,918.35,5146,59.5
2025-07-03,908.95,933.9,906.05,914.0,5023,55.25
2025-07-04,915.1,933.9,903.0,920.6,5663,51.7
2025-07-07,925.2,934.9,909.3,923.65,9884,81.13
2025-07-08,932.45,953.0,921.05,947.25,7095,78.32
2025-07-09,954.0,965.0,940.0,944.45,5831,71.39
2025-07-10,958.6,958.6,931.0,939.35,2886,65.38
2025-07-11,939.3,957.6,929.55,953.9,4075,52.49
2025-07-14,954.0,960.45,935.05,937.35,2687,59.84
2025-07-15,942.95,942.95,905.0,921.35,11344,60.64
2025-07-16,929.05,930.6,910.0,912.9,3415,67.26
2025-07-17,918.75,934.2,899.95,902.5,8834,71.15
2025-07-18,902.5,919.6,902.5,910.5,3455,71.09
2025-07-21,919.6,925.0,893.1,910.95,7196,47.39
2025-07-22,920.05,1020.0,917.95,1002.4,263423,12.28
2025-07-23,1028.0,1032.9,995.2,1011.7,55657,33.31
2025-07-24,1004.15,1008.2,980.0,987.8,9617,52.52
2025-07-25,988.45,1020.0,972.05,1000.9,7181,46.43
2025-07-28,1000.9,1012.95,960.35,970.75,8284,48.04
2025-07-29,975.6,986.95,963.05,974.2,7344,59.18
2025-07-30,981.6,985.05,936.0,941.9,10649,71.81
2025-07-31,940.0,949.95,920.5,929.45,6086,54.11
2025-08-01,938.75,964.8,921.0,948.55,6877,65.07
2025-08-04,960.8,989.45,928.0,934.9,18988,41.06
2025-08-05,944.0,958.0,923.0,935.2,7644,50.6
2025-08-06,930.2,962.0,925.2,947.15,10339,65.3
2025-08-07,960.0,960.9,928.0,943.9,3356,71.51
2025-08-08,979.95,979.95,929.6,942.6,9385,63.86
2025-08-11,940.0,945.35,910.65,914.3,5682,69.27
2025-08-12,906.95,940.0,905.95,931.9,4417,64.95
2025-08-13,920.0,935.2,898.0,901.4,11584,44.73
2025-08-14,911.8,911.95,855.8,878.85,16037,55.72
2025-08-18,896.45,898.9,805.0,834.75,33067,61.25
2025-08-19,841.3,881.85,824.55,863.35,12572,55.27
2025-08-20,872.0,894.55,859.1,866.7,7725,61.81
2025-08-21,897.0,1040.0,897.0,934.2,568776,10.64
2025-08-22,937.75,964.8,890.0,931.8,84222,18.97
2025-08-25,939.25,970.0,909.0,913.25,14745,54.22
2025-08-26,917.9,917.9,888.85,899.8,13133,61.99
2025-08-28,899.8,907.4,885.2,900.4,8020,46.18
2025-08-29,900.4,907.9,887.9,898.75,6880,64.11
2025-09-01,898.85,921.2,890.0,893.15,5492,50.67
2025-09-02,893.15,934.0,887.0,918.25,8328,54.62
2025-09-03,927.0,965.0,906.9,938.65,9660,73.06
2025-09-04,957.4,972.4,930.05,939.45,5599,42.4
2025-09-05,948.8,948.8,911.5,915.4,4541,61.7
2025-09-08,919.9,924.9,896.6,902.55,5762,55.05
2025-09-09,902.55,921.1,895.7,916.15,3661,57.25
2025-09-10,921.5,923.05,890.0,900.9,10492,41.56
2025-09-11,902.05,915.2,897.9,909.3,4451,63.94
2025-09-12,911.75,936.0,904.8,924.05,12276,74.95
2025-09-15,936.0,950.0,924.35,945.65,11954,52.83
2025-09-16,963.0,963.0,930.5,936.5,10712,62.12
2025-09-17,954.0,954.0,925.0,929.85,4803,49.99
2025-09-18,929.85,948.4,910.65,916.15,7363,55.71
2025-09-19,921.0,933.95,900.1,908.05,5823,62.82
2025-09-22,911.0,921.95,909.3,914.35,2814,70.58
2025-09-23,924.0,947.85,911.45,942.35,13320,62.32
2025-09-24,930.25,940.1,922.55,924.05,3244,59.25
2025-09-25,937.95,1034.55,926.15,982.4,428386,12.54
2025-09-26,983.9,1174.0,982.4,1111.2,1599735,11.41
2025-09-29,1078.0,1196.5,1056.05,1136.8,437656,19.08
2025-09-30,1145.05,1149.45,1050.0,1070.15,123168,21.16
2025-10-01,1071.0,1272.0,1071.0,1218.1,867529,12.12
2025-10-03,1203.7,1267.9,1184.1,1237.0,173844,21.28
2025-10-06,1256.6,1262.7,1091.0,1154.4,128537,30.15
2025-10-07,1159.8,1347.8,1155.0,1262.0,896020,11.44
2025-10-08,1244.0,1244.0,1190.2,1209.0,77727,22.94
2025-10-09,1214.0,1327.0,1213.0,1227.6,180521,14.87
2025-10-10,1237.8,1300.0,1176.6,1195.7,54763,36.0
2025-10-13,1185.0,1199.0,1150.1,1157.1,35658,44.5
2025-10-14,1168.0,1169.0,1072.9,1093.0,99537,42.65
2025-10-15,1114.9,1200.1,1087.0,1099.9,75232,32.09
2025-10-16,1093.8,1120.8,1068.3,1076.6,41739,33.77
2025-10-17,1094.0,1175.0,1068.3,1130.3,177987,17.85
2025-10-20,1150.6,1150.6,1076.0,1123.5,48136,26.8
2025-10-21,1123.0,1195.0,1121.2,1136.9,19072,28.56
2025-10-22,1123.0,1195.0,1121.2,1136.9,19072,28.56
2025-10-23,1164.5,1164.5,1088.0,1092.1,63359,21.04
2025-10-24,1103.0,1108.5,1073.5,1099.4,34202,26.25
2025-10-27,1085.8,1104.6,1080.1,1094.0,24510,39.32
2025-10-28,1095.0,1104.9,1050.1,1073.8,30007,41.13
2025-10-29,1082.4,1098.0,1062.1,1092.4,17284,38.14
2025-10-30,1093.4,1096.7,1076.7,1090.7,9805,28.59
2025-10-31,1101.5,1170.9,1079.2,1149.7,78229,24.66
2025-11-03,1143.7,1143.7,1091.0,1100.0,24706,50.59
2025-11-04,1100.0,1101.1,1075.0,1083.8,15066,36.21
2025-11-05,1100.0,1101.1,1075.0,1083.8,15066,36.21
2025-11-06,1085.0,1096.5,1056.3,1070.0,18238,39.45
2025-11-07,1075.0,1075.0,1015.6,1030.0,34134,51.29
2025-11-10,1012.5,1032.4,975.1,986.7,56138,55.74
2025-11-11,999.0,1016.9,968.0,1005.2,21579,39.13
2025-11-12,1001.0,1030.7,997.0,1024.7,20130,48.51
2025-11-13,1035.0,1083.2,1016.0,1069.0,44229,47.1
2025-11-14,1080.0,1117.8,1057.5,1102.0,35213,51.35
2025-11-17,1144.9,1182.0,1120.4,1126.5,103279,33.26
2025-11-18,1130.0,1130.0,1078.1,1087.2,18592,43.99
2025-11-19,1087.2,1098.5,1056.3,1065.2,27202,46.26
2025-11-20,1073.2,1084.9,1060.0,1069.0,8012,34.87
2025-11-21,1070.0,1124.9,1065.0,1076.9,54368,22.09
2025-11-24,1076.9,1079.3,1052.9,1057.1,11570,64.62
2025-11-25,1057.1,1071.4,1055.0,1062.8,10542,56.16
2025-11-26,1064.0,1079.1,1050.0,1059.2,8732,52.21
2025-11-27,1069.5,1112.9,1055.0,1065.0,23580,51.34
2025-11-28,1065.0,1073.5,1050.0,1062.3,11075,62.22
2025-12-01,1060.0,1068.9,1035.5,1048.1,13617,58.58
2025-12-02,1048.7,1049.0,1003.7,1015.5,21093,61.73
2025-12-03,1016.5,1055.8,1000.0,1043.3,15739,52.63
2025-12-04,1040.0,1058.9,1024.5,1033.4,5403,45.73
2025-12-05,1028.5,1057.5,1017.5,1041.8,10543,42.2
2025-12-08,1056.0,1069.0,1023.0,1041.2,32580,41.97
2025-12-09,1047.0,1052.7,1004.3,1029.1,15374,53.41
2025-12-10,1020.0,1037.1,1008.2,1017.4,4641,50.59
2025-12-11,1017.4,1055.0,1013.4,1044.9,10200,54.53
2025-12-12,1049.4,1050.0,1035.0,1044.5,4891,53.32
2025-12-15,1050.0,1076.0,1050.0,1065.8,9452,50.84
2025-12-16,1068.1,1102.4,1055.5,1059.0,22562,36.55
2025-12-17,1055.1,1066.7,1035.0,1044.5,9271,62.31
2025-12-18,1045.0,1051.1,1009.3,1015.2,18447,66.65
2025-12-19,1009.1,1027.1,1001.6,1012.5,12137,64.93
2025-12-22,1027.7,1050.0,1015.2,1042.2,8890,51.16
2025-12-23,1095.0,1095.0,1020.0,1057.0,12720,29.72
2025-12-24,1057.0,1075.4,1055.1,1070.8,9249,65.16
2025-12-25,1057.0,1075.4,1055.1,1070.8,9249,65.16
2025-12-26,1079.0,1199.0,1069.2,1178.3,245572,20.47
2025-12-29,1178.0,1226.8,1152.2,1169.2,149893,22.4
2025-12-30,1153.8,1169.8,1130.0,1135.0,21710,38.77
2025-12-31,1125.0,1158.3,1113.1,1131.6,16978,26.63
2026-01-01,1121.0,1150.0,1110.0,1114.8,10255,44.77
2026-01-02,1114.8,1159.6,1114.0,1152.1,20065,52.27
2026-01-05,1150.0,1155.0,1121.0,1133.4,10821,63.28
2026-01-06,1145.0,1190.0,1070.2,1083.0,47084,33.01
2026-01-07,1091.7,1091.7,1037.4,1059.4,19571,40.88
2026-01-08,1055.0,1059.4,1025.1,1037.0,10431,54.25
2026-01-09,1052.6,1052.6,1005.3,1020.1,11709,52.02
2026-01-12,1016.0,1061.8,994.1,1029.6,36370,42.08
2026-01-13,1037.8,1043.0,1015.1,1032.0,10187,50.25
2026-01-14,1033.0,1058.0,1026.1,1052.2,8910,60.02
2026-01-15,1033.0,1058.0,1026.1,1052.2,8910,60.02
2026-01-16,1062.7,1062.7,991.0,1024.1,27177,42.32
2026-01-19,1015.0,1020.0,997.3,1005.2,8789,49.3
2026-01-20,995.5,1008.2,970.0,974.1,10831,55.43
2026-01-21,979.0,1012.9,944.5,964.1,31012,57.58
2026-01-22,985.9,1000.0,971.1,989.0,10019,51.25
2026-01-23,1003.8,1005.0,948.1,958.8,9832,50.91
2026-01-26,1003.8,1005.0,948.1,958.8,9832,50.91
2026-01-27,1035.0,1139.0,921.8,1004.9,1929589,5.64
2026-01-28,1060.0,1096.0,1019.0,1069.1,203835,8.86
2026-01-29,1043.2,1044.2,987.2,1008.0,67540,25.23
2026-01-30,993.0,1044.4,986.7,1012.4,32466,15.72
2026-02-02,985.0,1028.0,985.0,1014.2,19084,35.12
2026-02-03,1070.0,1091.5,1032.2,1063.6,26519,40.88
2026-02-04,1063.2,1089.0,1057.8,1076.5,11415,51.98
2026-02-05,1088.6,1092.0,1033.0,1040.6,11899,51.82
2026-02-06,1040.6,1052.0,1025.1,1043.0,4346,40.43
2026-02-09,1050.0,1138.9,1050.0,1123.5,41927,40.46
2026-02-10,1128.0,1200.0,1125.1,1162.5,25949,40.1
2026-02-11,1155.0,1210.0,1131.1,1183.2,31920,39.07
2026-02-12,1192.7,1242.0,1170.0,1232.7,40280,51.02
2026-02-13,1232.6,1232.6,1180.0,1201.4,19404,53.42
2026-02-16,1299.5,1441.6,1280.3,1441.6,1024732,16.53
2026-02-17,1506.3,1691.9,1481.5,1631.8,3037980,5.6
2026-02-18,1608.0,1631.8,1512.8,1541.2,340163,13.28
2026-02-19,1520.0,1600.0,1502.0,1517.7,145988,22.23
2026-02-20,1504.0,1530.0,1455.2,1495.7,92855,41.29
2026-02-23,1509.9,1540.0,1371.3,1426.0,118385,38.61
2026-02-24,1428.0,1537.9,1331.3,1401.4,214493,17.98
2026-02-25,1395.0,1479.8,1373.4,1429.1,78655,25.77
2026-02-26,1469.8,1469.8,1407.5,1425.4,44287,28.33
2026-02-27,1446.8,1446.8,1376.7,1401.2,42141,30.59
2026-03-02,1365.2,1431.1,1310.0,1381.1,85696,32.27
2026-03-03,1365.2,1431.1,1310.0,1381.1,85696,32.27
2026-03-04,1351.1,1378.0,1327.4,1368.4,30103,40.78
2026-03-05,1400.0,1495.0,1382.0,1434.3,185861,23.04
2026-03-06,1410.0,1469.7,1386.2,1403.6,44465,30.02
2026-03-09,1403.6,1403.6,1304.0,1351.9,46997,47.9
2026-03-10,1385.0,1433.9,1372.1,1384.8,19538,32.77
2026-03-11,1394.8,1449.0,1340.9,1355.2,41434,32.88
2026-03-12,1345.2,1345.2,1276.1,1286.5,30466,43.13
2026-03-13,1296.0,1328.2,1219.9,1229.9,50873,36.11
2026-03-16,1236.1,1291.0,1227.1,1278.6,38142,32.48
2026-03-17,1278.0,1287.1,1242.0,1261.2,20055,47.8
2026-03-18,1261.2,1283.1,1211.9,1220.6,74414,43.27
2026-03-19,1185.1,1213.0,1178.2,1188.2,13917,48.28
2026-03-20,1188.2,1263.9,1188.2,1250.2,28121,35.43
2026-03-23,1220.2,1224.3,1144.0,1177.2,45680,32.28
2026-03-24,1220.0,1247.9,1164.4,1214.0,33061,35.92
2026-03-25,1240.0,1328.8,1218.7,1267.4,41352,33.45
2026-03-26,1240.0,1328.8,1218.7,1267.4,41352,33.45
2026-03-27,1248.4,1262.5,1224.0,1231.8,15761,38.58
2026-03-30,1231.0,1231.0,1181.6,1205.5,17571,36.83
2026-03-31,1231.0,1231.0,1181.6,1205.5,17571,36.83
2026-04-01,1255.0,1280.8,1188.5,1225.8,28959,44.85
2026-04-02,1190.0,1300.0,1181.8,1279.9,15153,43.71
2026-04-03,1190.0,1300.0,1181.8,1279.9,15153,43.71
2026-04-06,1299.1,1310.0,1240.4,1249.1,21595,42.77
2026-04-07,1241.0,1273.6,1220.4,1247.7,16627,51.21
2026-04-08,1309.0,1331.8,1281.6,1313.8,35075,60.91
2026-04-09,1329.9,1335.7,1290.0,1295.2,20140,56.78
2026-04-10,1314.6,1362.0,1295.0,1300.0,44365,47.74
2026-04-13,1290.0,1400.0,1245.0,1373.3,62997,49.04
2026-04-14,1290.0,1400.0,1245.0,1373.3,62997,49.04
2026-04-15,1385.0,1439.0,1385.0,1398.1,38472,46.82
2026-04-16,1400.0,1441.9,1352.6,1386.3,24540,36.63
2026-04-17,1386.0,1406.0,1351.1,1399.4,25073,49.78
2026-04-20,1405.0,1426.3,1355.0,1363.6,16024,51.37
2026-04-21,1355.0,1369.9,1312.5,1317.8,27495,55.29
2026-04-22,1328.0,1362.0,1283.1,1298.4,28140,49.64
2026-04-23,1275.0,1287.8,1230.5,1241.0,23266,55.93
2026-04-24,1259.6,1274.9,1204.1,1222.1,14477,50.6
2026-04-27,1225.0,1319.9,1225.0,1289.4,35347,39.08
2026-04-28,1291.5,1291.5,1262.7,1271.4,10012,54.17
2026-04-29,1270.6,1302.8,1250.0,1257.9,13237,43.11
2026-04-30,1257.9,1294.8,1230.0,1273.0,16026,46.55
2026-05-01,1257.9,1294.8,1230.0,1273.0,16026,46.55
2026-05-04,1273.0,1293.9,1254.0,1263.9,9669,48.26
2026-05-05,1244.9,1260.0,1225.1,1244.0,13087,53.43
2026-05-06,1258.3,1374.9,1245.0,1359.1,45861,53.58
2026-05-07,1371.0,1383.6,1316.3,1323.3,29317,59.77
2026-05-08,1285.0,1298.0,1243.9,1268.7,45427,47.17
