DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,92.56,94.18,91.31,92.75,557335,37.24
2025-04-15,95.0,96.16,93.31,93.9,345052,48.61
2025-04-16,93.9,95.8,93.0,94.93,372390,41.19
2025-04-17,95.1,98.51,94.0,95.79,518270,36.1
2025-04-21,96.01,98.0,94.99,96.69,266040,41.14
2025-04-22,96.99,98.81,94.0,96.31,492224,41.16
2025-04-23,97.7,98.49,94.55,96.24,303083,42.61
2025-04-24,94.0,97.64,94.0,96.08,418482,51.96
2025-04-25,96.1,97.47,91.5,92.48,465888,54.08
2025-04-28,91.2,94.0,90.49,92.64,179573,38.6
2025-04-29,93.34,95.79,92.0,92.87,266378,35.46
2025-04-30,92.0,93.59,89.27,89.95,247493,51.32
2025-05-02,90.13,92.8,89.29,89.76,235537,44.7
2025-05-05,90.89,91.0,88.9,90.45,129666,51.01
2025-05-06,89.2,91.6,85.02,85.59,231455,43.4
2025-05-07,82.05,87.0,82.05,85.73,281937,43.94
2025-05-08,86.6,87.85,83.31,84.17,211680,38.64
2025-05-09,81.5,84.0,80.54,82.76,308214,43.86
2025-05-12,85.24,93.49,85.24,91.44,540470,38.07
2025-05-13,92.14,92.15,90.18,91.13,207380,51.05
2025-05-14,91.89,92.98,91.0,92.03,200954,42.73
2025-05-15,92.77,93.29,89.0,91.2,152686,44.79
2025-05-16,91.92,92.45,91.0,91.63,136035,46.16
2025-05-19,91.64,93.95,90.07,91.13,300859,44.06
2025-05-20,92.0,92.18,89.51,89.94,147535,58.39
2025-05-21,89.9,91.29,88.72,90.38,154855,43.18
2025-05-22,91.04,91.04,88.96,89.89,145100,53.88
2025-05-23,89.4,93.0,89.0,92.02,554416,41.31
2025-05-26,88.16,89.7,85.71,86.54,982411,53.53
2025-05-27,87.5,87.5,86.11,86.87,232074,52.72
2025-05-28,87.48,87.48,85.33,85.46,274679,64.21
2025-05-29,85.87,86.4,84.6,84.83,217886,61.16
2025-05-30,85.5,86.85,84.76,85.29,257484,40.17
2025-06-02,85.29,86.0,84.19,84.53,205546,53.89
2025-06-03,84.53,86.8,84.47,85.15,252965,39.3
2025-06-04,85.0,85.73,83.7,84.3,181792,54.46
2025-06-05,84.4,85.28,84.4,84.75,145679,51.97
2025-06-06,85.17,87.4,84.39,86.86,357343,51.22
2025-06-09,88.8,89.0,86.0,86.51,393223,48.34
2025-06-10,87.5,87.5,85.8,86.19,159217,53.68
2025-06-11,86.43,91.5,85.96,89.55,1429115,45.31
2025-06-12,90.44,94.0,87.55,88.1,909937,43.78
2025-06-13,86.0,93.9,85.15,89.35,2180372,30.37
2025-06-16,89.35,90.6,87.0,89.01,404797,38.25
2025-06-17,89.01,90.0,86.7,87.07,332088,44.48
2025-06-18,87.09,87.68,85.5,85.78,291028,43.1
2025-06-19,85.32,86.81,82.4,83.17,309154,56.61
2025-06-20,84.3,85.29,83.65,84.11,274376,48.78
2025-06-23,82.85,87.29,82.62,85.81,261115,36.84
2025-06-24,86.7,86.94,84.61,85.4,219125,43.5
2025-06-25,86.25,86.74,85.69,85.93,107488,42.73
