DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,9.45,9.76,9.45,9.69,117004,73.16
2025-04-15,9.78,9.84,9.6,9.77,86640,77.73
2025-04-16,9.77,9.84,9.59,9.79,219199,86.39
2025-04-17,9.85,9.95,9.71,9.76,99279,62.51
2025-04-21,9.9,10.0,9.7,9.94,97063,64.95
2025-04-22,10.09,10.65,9.95,10.58,308865,60.38
2025-04-23,10.8,10.8,10.05,10.56,99639,67.63
2025-04-24,10.69,10.69,10.1,10.21,84766,70.96
2025-04-25,10.32,11.25,9.6,10.11,279589,65.86
2025-04-28,10.15,10.15,9.77,9.9,117039,76.18
2025-04-29,10.05,10.16,9.65,9.7,70956,64.58
2025-04-30,9.7,9.84,9.63,9.7,35161,76.52
2025-05-02,9.85,9.85,9.6,9.74,38976,70.15
2025-05-05,9.88,9.88,9.75,9.75,51194,85.02
2025-05-06,9.63,9.85,9.42,9.45,87373,71.09
2025-05-07,9.42,9.45,9.12,9.29,117388,64.95
2025-05-08,9.45,9.47,9.2,9.2,74770,79.64
2025-05-09,9.31,9.31,8.96,9.1,169708,81.75
2025-05-12,9.31,9.59,9.31,9.43,84796,80.71
2025-05-13,9.4,9.59,9.25,9.42,102561,77.81
2025-05-14,9.55,9.68,9.42,9.52,140622,78.7
2025-05-15,9.8,9.8,9.54,9.69,68849,75.4
2025-05-16,9.73,9.94,9.72,9.92,75156,86.08
2025-05-19,10.0,11.5,9.99,10.81,725830,57.41
2025-05-20,10.95,11.09,10.15,10.82,447181,53.36
2025-05-21,9.88,10.1,8.65,9.44,2621286,42.88
2025-05-22,9.55,9.55,9.22,9.43,243825,71.45
2025-05-23,9.5,9.5,9.26,9.35,184487,70.26
2025-05-26,9.33,9.44,9.28,9.33,81793,69.78
2025-05-27,9.27,9.41,9.27,9.34,98406,73.47
2025-05-28,9.38,9.49,9.36,9.43,103484,94.62
2025-05-29,9.55,9.64,9.1,9.31,320174,79.59
2025-05-30,9.39,9.45,9.36,9.41,57946,56.91
2025-06-02,9.45,9.58,9.35,9.44,80306,65.89
2025-06-03,9.44,9.58,9.2,9.3,99029,59.25
2025-06-04,9.45,9.59,9.29,9.32,135872,50.1
2025-06-05,9.42,9.45,9.2,9.25,78035,62.36
2025-06-06,9.35,9.35,9.21,9.25,47201,66.18
2025-06-09,9.39,9.51,9.26,9.37,175363,77.2
2025-06-10,9.4,9.5,9.2,9.39,144393,61.25
2025-06-11,9.49,9.84,9.35,9.42,196021,63.39
2025-06-12,9.46,9.54,9.28,9.3,95444,52.05
2025-06-13,9.45,9.45,9.03,9.24,110083,58.2
2025-06-16,9.2,9.27,8.9,9.14,123711,69.9
2025-06-17,9.07,9.59,9.03,9.06,86445,57.76
2025-06-18,8.91,9.24,8.91,9.05,53335,62.82
2025-06-19,9.09,9.23,8.11,8.68,471203,61.58
2025-06-20,8.8,8.9,8.61,8.73,112439,61.81
2025-06-23,8.85,8.89,8.66,8.7,145512,56.95
2025-06-24,8.83,9.26,8.77,9.07,149279,64.2
2025-06-25,9.2,9.35,9.0,9.09,122729,58.64
2025-06-26,9.09,9.23,8.99,9.01,93304,73.54
2025-06-27,9.15,9.15,8.9,8.95,67594,68.84
2025-06-30,9.1,9.17,8.8,8.89,86942,54.0
2025-07-01,9.0,9.04,8.9,8.95,55844,74.13
2025-07-02,9.09,9.09,8.8,8.83,74647,61.94
2025-07-03,8.95,9.18,8.83,8.91,115942,57.51
2025-07-04,8.96,9.5,8.91,9.14,343704,52.14
2025-07-07,9.36,9.36,9.04,9.12,75987,63.06
2025-07-08,9.39,9.41,9.0,9.23,127991,50.29
2025-07-09,9.23,9.39,9.12,9.22,56867,65.89
2025-07-10,9.35,9.51,9.16,9.21,128096,67.62
2025-07-11,9.33,9.33,9.09,9.18,44250,86.64
2025-07-14,9.3,9.3,9.08,9.1,42993,73.0
2025-07-15,9.24,9.75,9.1,9.2,543921,26.49
2025-07-16,9.23,9.5,9.23,9.29,98946,54.91
2025-07-17,9.3,9.5,9.17,9.21,66719,58.85
2025-07-18,9.38,9.42,9.17,9.23,58411,52.66
2025-07-21,9.29,9.38,9.16,9.23,40578,72.99
2025-07-22,9.34,9.41,9.11,9.16,94754,59.14
2025-07-23,9.3,9.3,9.0,9.12,57394,50.89
2025-07-24,9.25,9.26,8.92,8.99,126514,79.73
2025-07-25,8.99,9.09,8.8,8.87,112395,78.29
2025-07-28,8.8,8.94,8.69,8.76,125811,74.92
2025-07-29,8.9,8.95,8.76,8.91,41209,78.1
2025-07-30,8.91,8.99,8.8,8.85,33891,84.18
2025-07-31,8.89,8.89,8.64,8.7,94579,82.01
2025-08-01,8.85,8.85,8.62,8.67,62571,81.11
2025-08-04,8.67,8.9,8.61,8.67,91225,78.68
2025-08-05,8.79,8.79,8.51,8.53,129609,81.12
2025-08-06,8.53,8.67,8.31,8.41,225867,65.41
2025-08-07,8.3,8.52,8.26,8.32,137740,61.11
2025-08-08,8.4,8.4,8.2,8.29,131121,71.22
2025-08-11,8.39,8.43,8.17,8.32,88631,82.73
2025-08-12,8.45,8.45,8.27,8.3,50102,65.4
2025-08-13,8.4,8.73,8.39,8.58,78972,77.19
2025-08-14,8.6,8.69,7.7,8.47,131703,68.2
2025-08-18,8.45,8.76,8.32,8.46,28560,68.9
2025-08-19,8.6,9.23,8.13,8.62,274153,34.2
2025-08-20,8.75,8.85,8.6,8.63,81307,64.42
2025-08-21,8.75,8.97,8.41,8.5,50856,43.4
2025-08-22,8.65,8.65,8.48,8.51,49379,83.3
2025-08-25,8.4,8.82,8.4,8.62,86799,67.22
