DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,416.75,456.35,415.6,444.95,289655,33.49
2025-04-15,454.0,462.05,444.95,451.75,87328,48.44
2025-04-16,451.75,486.75,450.95,479.5,185569,48.06
2025-04-17,474.0,488.7,465.35,481.1,81818,46.89
2025-04-21,481.1,509.8,479.0,505.85,118490,53.51
2025-04-22,504.2,518.45,502.0,503.7,104801,52.97
2025-04-23,507.9,514.7,491.05,501.4,90388,50.16
2025-04-24,501.4,516.45,501.4,507.95,99648,48.72
2025-04-25,507.0,508.0,471.0,494.6,137069,43.16
2025-04-28,496.95,496.95,479.0,486.7,57941,41.58
2025-04-29,489.15,500.0,483.25,487.25,40796,48.35
2025-04-30,486.05,487.0,465.0,468.45,26693,58.0
2025-05-02,465.0,475.25,460.1,465.55,69432,52.45
2025-05-05,466.0,475.9,463.75,467.4,35374,47.65
2025-05-06,468.0,473.0,443.1,449.45,47229,50.78
2025-05-07,442.7,452.2,438.4,445.75,55177,58.39
2025-05-08,448.0,456.55,427.1,433.3,53208,41.0
2025-05-09,423.5,446.15,423.05,439.85,50252,45.84
2025-05-12,450.3,478.5,450.3,469.2,67115,44.18
2025-05-13,468.8,494.85,468.8,486.65,72115,52.24
2025-05-14,486.95,507.85,486.95,504.1,73630,59.24
2025-05-15,506.6,525.0,501.4,510.7,83892,51.72
2025-05-16,510.7,520.0,505.15,512.0,57010,52.38
2025-05-19,519.2,527.8,512.05,515.3,67636,52.29
2025-05-20,519.4,547.2,512.05,540.55,176113,52.97
2025-05-21,540.45,544.5,527.05,534.4,72870,52.84
2025-05-22,538.0,538.0,527.3,532.1,31410,42.64
2025-05-23,532.1,535.1,506.0,511.8,144338,55.22
2025-05-26,463.3,485.9,457.5,474.0,463718,40.81
2025-05-27,478.7,485.8,465.0,466.85,128439,52.73
2025-05-28,468.8,475.2,466.05,471.75,47868,45.23
2025-05-29,473.4,480.95,472.05,474.2,64580,50.07
2025-05-30,476.55,486.4,462.8,477.35,152138,42.38
2025-06-02,478.0,495.25,473.0,489.0,135608,55.92
2025-06-03,493.85,516.8,491.1,510.9,222077,51.53
2025-06-04,513.35,513.55,497.55,503.45,89161,53.48
2025-06-05,505.95,511.7,494.0,495.75,104336,68.6
2025-06-06,498.8,513.5,493.4,511.75,228469,61.27
2025-06-09,515.75,522.95,509.1,510.2,119036,56.1
2025-06-10,509.0,520.4,506.15,515.2,108947,60.31
2025-06-11,516.9,549.8,515.2,527.9,432748,45.96
2025-06-12,529.5,535.5,505.35,509.75,244420,52.69
2025-06-13,506.9,525.0,501.75,520.85,142781,35.78
2025-06-16,523.0,523.0,503.4,514.1,65048,43.86
2025-06-17,513.0,525.0,505.35,509.4,78398,48.64
2025-06-18,507.5,525.0,500.75,521.15,107206,58.45
2025-06-19,520.0,522.2,505.0,514.25,98310,55.17
2025-06-20,514.2,520.0,513.35,515.7,109054,54.94
2025-06-23,513.95,519.2,508.85,513.3,63409,43.41
2025-06-24,515.05,520.0,510.5,512.75,55367,50.23
2025-06-25,513.5,552.0,513.5,538.75,658220,31.48
2025-06-26,540.1,549.85,532.8,539.1,129040,50.44
2025-06-27,546.0,559.8,539.15,541.15,250195,51.87
2025-06-30,541.15,571.8,534.55,563.95,293252,48.06
2025-07-01,565.95,579.8,563.05,577.9,219690,46.75
2025-07-02,578.8,583.0,558.4,562.1,116850,66.66
2025-07-03,566.0,577.0,551.6,556.65,167254,49.0
2025-07-04,556.65,563.35,553.25,559.7,82043,49.11
2025-07-07,553.2,564.9,548.0,557.15,122822,55.39
2025-07-08,557.15,611.0,557.15,604.85,598398,39.46
2025-07-09,605.4,619.0,595.4,602.85,386274,40.43
2025-07-10,606.5,619.9,595.2,601.3,147780,38.36
2025-07-11,602.0,615.0,595.0,607.35,250261,42.21
2025-07-14,615.95,627.0,608.5,620.15,276563,42.12
